nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C710__00010.1,16.083783668322525,38.43179347,C710,_,00010,1
C710__00240.1,16.095741555474373,38.418444165,C710,_,00240,1
C710__00230.1,16.170129425297105,38.40269354,C710,_,00230,1
C710__00220.1,16.15177108425771,38.40506147,C710,_,00220,1
C710__00210.1,16.14487776528867,38.41000977,C710,_,00210,1
C710__00200.1,16.110934782451963,38.410727065,C710,_,00200,1
C710__00180.1,16.127479044464824,38.415184085,C710,_,00180,1
C710__00170.1,16.106664969048587,38.415805515,C710,_,00170,1
C710__00150.1,16.10662817014606,38.417729675,C710,_,00150,1
C710__00140.1,16.10052291582522,38.41973908,C710,_,00140,1
C710__00130.1,16.077961346261773,38.415196495,C710,_,00130,1
C710__00110.1,16.135543025272632,38.418511515,C710,_,00110,1
C710__00100.1,16.123335704540068,38.421588705000005,C710,_,00100,1
C710__00090.1,16.107352645835093,38.423934349999996,C710,_,00090,1
C710__00080.1,16.092322914020645,38.41978041,C710,_,00080,1
C710__00070.1,16.085433833982794,38.424980785,C710,_,00070,1
C710__00050.1,16.132551821970928,38.425075295,C710,_,00050,1
C710__00030.1,16.109940567855578,38.429975330000005,C710,_,00030,1
C710__00020.1,16.10260921984029,38.428644895000005,C710,_,00020,1
C710__00020.10,16.103299950276018,38.427354785000006,C710,_,00020,10
C710__00240.10,16.095651194980782,38.418366545,C710,_,00240,10
C710__00220.10,16.16079638218126,38.391768135,C710,_,00220,10
C710__00210.10,16.15042054177806,38.405511625,C710,_,00210,10
C710__00200.10,16.112520755056238,38.409131695,C710,_,00200,10
C710__00180.10,16.131369428301227,38.413261625000004,C710,_,00180,10
C710__00150.10,16.108758700212388,38.417162955,C710,_,00150,10
C710__00140.10,16.098234534454463,38.41860918,C710,_,00140,10
C710__00110.10,16.14222828200051,38.41113653,C710,_,00110,10
C710__00100.10,16.12450000810044,38.420616115,C710,_,00100,10
C710__00090.10,16.109324258942824,38.422867535,C710,_,00090,10
C710__00080.10,16.092946042650592,38.4193463,C710,_,00080,10
C710__00070.10,16.08645946981217,38.423813855,C710,_,00070,10
C710__00060.10,16.076689871386325,38.42386549,C710,_,00060,10
C710__00040.10,16.115392058502948,38.432157700000005,C710,_,00040,10
C710__00020.100,16.100346989147994,38.42617897,C710,_,00020,100
C710__00240.100,16.09353263172093,38.41708005,C710,_,00240,100
C710__00200.100,16.11516894408599,38.405035685,C710,_,00200,100
C710__00170.100,16.108170960760532,38.408751949999996,C710,_,00170,100
C710__00150.100,16.115904152244443,38.41516252,C710,_,00150,100
C710__00140.100,16.103980348971472,38.417049875000004,C710,_,00140,100
C710__00130.100,16.089475655376766,38.413321265,C710,_,00130,100
C710__00100.100,16.122491410939496,38.41722978999999,C710,_,00100,100
C710__00090.100,16.11037835414767,38.41869337999999,C710,_,00090,100
C710__00080.100,16.093941026131066,38.419710284999994,C710,_,00080,100
C710__00070.100,16.09416579454067,38.42035542000001,C710,_,00070,100
C710__00040.100,16.129061388891763,38.424938940000004,C710,_,00040,100
C710__00030.100,16.110456096098467,38.425573920000005,C710,_,00030,100
C710__00010.1000,16.09087377968171,38.42632505,C710,_,00010,1000
C710__00240.1000,16.096082513773382,38.41666463,C710,_,00240,1000
C710__00140.1000,16.101120514377016,38.411476734999994,C710,_,00140,1000
C710__00070.1000,16.08788393525375,38.42017769500001,C710,_,00070,1000
C710__00010.1001,16.090496930587026,38.42639139,C710,_,00010,1001
