nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C724__00020.10,9.011709037513763,45.70068818,C724,_,00020,10
C724__00010.1000,9.017006661637584,45.705668970000005,C724,_,00010,1000
C724__00010.1001,9.016330005365095,45.706080685,C724,_,00010,1001
C724__00010.1002,9.015200247767652,45.705947574999996,C724,_,00010,1002
C724__00010.1003,9.015654498220343,45.706133785,C724,_,00010,1003
C724__00010.1007,9.017999118164653,45.70451309,C724,_,00010,1007
C724__00010.1008,9.016564441164915,45.704466755,C724,_,00010,1008
C724__00010.1009,9.017095002835152,45.704341150000005,C724,_,00010,1009
C724__00040.101,9.012796607474343,45.69988811,C724,_,00040,101
C724__00010.1010,9.017705597438034,45.704305095,C724,_,00010,1010
C724__00010.1014,9.017530291068883,45.704056914999995,C724,_,00010,1014
C724__00010.1015,9.017407800572878,45.703864734999996,C724,_,00010,1015
C724__00010.1016,9.017337819513372,45.703748149999996,C724,_,00010,1016
C724__00010.1017,9.017231604471206,45.70363587,C724,_,00010,1017
C724__00010.1018,9.018683659067086,45.703990004999994,C724,_,00010,1018
C724__00010.1019,9.01855685519321,45.70384703,C724,_,00010,1019
C724__00010.1020,9.018114406010394,45.70371374,C724,_,00010,1020
C724__00010.1021,9.018771387535086,45.703527019999996,C724,_,00010,1021
C724__00010.1022,9.017963948255307,45.702757385,C724,_,00010,1022
C724__00030.1024,9.015672574294673,45.702919505,C724,_,00030,1024
C724__00030.1025,9.015045310027627,45.702152285,C724,_,00030,1025
C724__00030.1026,9.015458816008685,45.701680205,C724,_,00030,1026
C724__00030.1027,9.013772338026484,45.701614835,C724,_,00030,1027
C724__00030.1028,9.01450704689026,45.701463315,C724,_,00030,1028
C724__00040.103,9.012518226677775,45.700198154999995,C724,_,00040,103
C724__00010.1030,9.018838266704492,45.70193357,C724,_,00010,1030
C724__00030.1031,9.017049826580324,45.702364195,C724,_,00030,1031
C724__00030.1033,9.017740321002638,45.701723915,C724,_,00030,1033
C724__00030.1036,9.016806963108737,45.701518695000004,C724,_,00030,1036
C724__00030.1037,9.017510756497705,45.701283829999994,C724,_,00030,1037
C724__00040.104,9.012180647944374,45.699523255,C724,_,00040,104
C724__00030.1040,9.017590873937664,45.699374320000004,C724,_,00030,1040
C724__00050.1045,9.016502711968723,45.694911965,C724,_,00050,1045
C724__00050.1046,9.013692840885252,45.694947575,C724,_,00050,1046
C724__00060.1049,9.015684972549446,45.692823614999995,C724,_,00060,1049
C724__00040.105,9.012324769092615,45.70015673,C724,_,00040,105
C724__00060.1051,9.013748618033787,45.691999455,C724,_,00060,1051
C724__00060.1052,9.013810993763553,45.691710445,C724,_,00060,1052
C724__00060.1053,9.015315296257814,45.69198763,C724,_,00060,1053
C724__00060.1054,9.012240408538165,45.69103568,C724,_,00060,1054
C724__00060.1057,9.015261159864593,45.690811264999994,C724,_,00060,1057
C724__00060.1058,9.015648107948408,45.69080857,C724,_,00060,1058
C724__00060.1059,9.011277182789907,45.688985945,C724,_,00060,1059
C724__00040.106,9.012147596703176,45.700150550000004,C724,_,00040,106
C724__00060.1060,9.010854747951052,45.688774795,C724,_,00060,1060
C724__00060.1061,9.011787049927616,45.68873659,C724,_,00060,1061
C724__00060.1062,9.010796996001478,45.688492675,C724,_,00060,1062
C724__00060.1063,9.011740122225206,45.688454025,C724,_,00060,1063
C724__00060.1064,9.013174785385392,45.689328794999994,C724,_,00060,1064
C724__00060.1065,9.014290643589067,45.689597230000004,C724,_,00060,1065
C724__00060.1066,9.015221592722462,45.68972981,C724,_,00060,1066
C724__00040.107,9.012161161021645,45.700290525,C724,_,00040,107
C724__00060.1071,9.012860576706096,45.688574575000004,C724,_,00060,1071
C724__00060.1073,9.011175292892588,45.688002545,C724,_,00060,1073
C724__00060.1074,9.01185410487659,45.688115249999996,C724,_,00060,1074
C724__00040.108,9.012122261732255,45.700328064999994,C724,_,00040,108
C724__00060.1086,9.013517876941581,45.686689595,C724,_,00060,1086
C724__00060.1088,9.014860842000031,45.68662003,C724,_,00060,1088
C724__00060.1089,9.014192342781413,45.68604764,C724,_,00060,1089
C724__00040.109,9.012093628789621,45.700366045,C724,_,00040,109
C724__00060.1090,9.014374752431298,45.686092355,C724,_,00060,1090
C724__00060.1091,9.013876023411193,45.68607875,C724,_,00060,1091
C724__00060.1092,9.01394785730983,45.68535272,C724,_,00060,1092
