nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C759__0914.1,9.846402323543696,45.528109119999996,C759,_,0914,1
C759__09140.100,9.846122693225123,45.533173105,C759,_,09140,100
C759__09040.1003,9.828875637401428,45.55886447,C759,_,09040,1003
C759__09080.1006,9.832478902578456,45.549538585,C759,_,09080,1006
C759__09080.101,9.834772537260758,45.54399828,C759,_,09080,101
C759__09080.1012,9.834423250916792,45.54849147,C759,_,09080,1012
C759__09070.1014,9.82918168516239,45.548408045,C759,_,09070,1014
C759__09080.1016,9.834078303186258,45.547953019999994,C759,_,09080,1016
C759__09080.1017,9.834788557451201,45.54746142,C759,_,09080,1017
C759__09080.1018,9.835746346958938,45.54710375,C759,_,09080,1018
C759__09080.1019,9.83554126878117,45.547894185000004,C759,_,09080,1019
C759__09070.102,9.81786246641877,45.548760290000004,C759,_,09070,102
C759__0908.1020,9.838019982776961,45.5527577,C759,_,0908,1020
C759__0908.1021,9.835888255677574,45.548721615,C759,_,0908,1021
C759__09080.1023,9.835232190464486,45.548702129999995,C759,_,09080,1023
C759__09080.1025,9.835131003421102,45.549513365,C759,_,09080,1025
C759__09080.1026,9.834501057346696,45.549513365,C759,_,09080,1026
C759__09080.1027,9.832537197886744,45.55281807,C759,_,09080,1027
C759__09080.1028,9.834225365904668,45.55004869,C759,_,09080,1028
C759__09080.1029,9.834074626480117,45.55004226,C759,_,09080,1029
C759__0915.103,9.848441030407384,45.53358057,C759,_,0915,103
C759__09080.1031,9.834712777635598,45.55121845,C759,_,09080,1031
C759__09080.1032,9.833796737868749,45.550811615,C759,_,09080,1032
C759__09080.1035,9.834000478459355,45.55169164,C759,_,09080,1035
C759__09080.1036,9.834501166106048,45.55139526,C759,_,09080,1036
C759__09080.1037,9.834423473179882,45.55173149,C759,_,09080,1037
C759__09080.1038,9.833551106962702,45.55201036,C759,_,09080,1038
C759__09080.1039,9.83557888957366,45.551457805,C759,_,09080,1039
C759__09140.104,9.834117653876834,45.53330377,C759,_,09140,104
C759__09080.1040,9.834429918397385,45.548686094999994,C759,_,09080,1040
C759__0908.1045,9.83737603480186,45.550734184999996,C759,_,0908,1045
C759__0916.1047,9.832125611908578,45.55829951,C759,_,0916,1047
C759__0908.1049,9.837030243303282,45.552740125,C759,_,0908,1049
C759__0908.1050,9.836919942480296,45.55272877,C759,_,0908,1050
C759__0917.1051,9.835283412187422,45.55317754,C759,_,0917,1051
C759__0908.1053,9.83666975209968,45.55271327,C759,_,0908,1053
C759__0917.1055,9.834402626271732,45.55432025,C759,_,0917,1055
C759__0917.1056,9.834338129855926,45.554340285,C759,_,0917,1056
C759__09170.1057,9.835840405564571,45.55509774,C759,_,09170,1057
C759__0908.1061,9.837803736012528,45.553056145,C759,_,0908,1061
C759__0917.1068,9.834456128530656,45.552284435000004,C759,_,0917,1068
C759__09080.1069,9.833898351577085,45.552102675,C759,_,09080,1069
C759__09060.107,9.809507949325834,45.546831335,C759,_,09060,107
C759__0917.1072,9.83425455947773,45.55400061,C759,_,0917,1072
C759__0917.1073,9.834479091377073,45.552725355,C759,_,0917,1073
C759__0917.1076,9.834806154036158,45.552692324999995,C759,_,0917,1076
C759__0917.1079,9.835087363200168,45.553163485,C759,_,0917,1079
C759__09110.108,9.83435527256201,45.534661220000004,C759,_,09110,108
C759__0917.1080,9.835189214843197,45.553226115,C759,_,0917,1080
C759__0917.1081,9.835174953105618,45.553075379999996,C759,_,0917,1081
C759__0917.1082,9.83532935950958,45.552989185,C759,_,0917,1082
C759__0917.1084,9.83549391458747,45.552975955,C759,_,0917,1084
C759__0917.1086,9.835425626501685,45.553099405,C759,_,0917,1086
C759__0917.1087,9.835210775259903,45.553126915,C759,_,0917,1087
C759__09170.1088,9.835941725187425,45.553289465000006,C759,_,09170,1088
C759__09110.109,9.834188304183577,45.535108435,C759,_,09110,109
C759__09170.1090,9.836340085871843,45.55339022,C759,_,09170,1090
C759__09170.1091,9.836078921044722,45.55347406,C759,_,09170,1091
C759__09170.1092,9.8360025056981,45.55354223,C759,_,09170,1092
C759__09170.1093,9.83590374277498,45.553548719999995,C759,_,09170,1093
C759__09170.1095,9.835612875391519,45.55341022,C759,_,09170,1095
C759__09170.1097,9.835697977151252,45.553122134999995,C759,_,09170,1097
C759__09170.1098,9.835647631443834,45.55324362,C759,_,09170,1098
C759__0917.110,9.834717517239525,45.552451965,C759,_,0917,110
C759__09170.1100,9.835632324755414,45.553332229999995,C759,_,09170,1100
C759__09170.1101,9.835709121582104,45.553685740000006,C759,_,09170,1101
C759__09170.1102,9.835573928259212,45.55364879,C759,_,09170,1102
C759__0917.1104,9.833171688768637,45.554425800000004,C759,_,0917,1104
C759__09170.1105,9.8361393166976,45.553586825,C759,_,09170,1105
C759__09170.1106,9.83631853053717,45.553562615000004,C759,_,09170,1106
C759__09170.1109,9.836040913698248,45.55385586,C759,_,09170,1109
C759__0917.1110,9.835368994747146,45.554034255,C759,_,0917,1110
C759__09170.1111,9.835914906411329,45.55383724,C759,_,09170,1111
C759__09170.1112,9.835880952774463,45.55397535,C759,_,09170,1112
C759__09170.1113,9.835693080036055,45.553920700000006,C759,_,09170,1113
C759__09170.1114,9.83570057634191,45.55400664,C759,_,09170,1114
C759__09170.1115,9.83611681647495,45.554147715,C759,_,09170,1115
C759__09170.1120,9.836028474624106,45.554461634999996,C759,_,09170,1120
C759__0917.1121,9.832991580041531,45.55465293,C759,_,0917,1121
C759__09170.1123,9.83604917451018,45.554748599999996,C759,_,09170,1123
C759__09140.1124,9.844861486715999,45.53274734,C759,_,09140,1124
C759__0917.1125,9.832773862215737,45.554799020000004,C759,_,0917,1125
C759__0917.1130,9.835391868651918,45.554741480000004,C759,_,0917,1130
C759__0917.1131,9.834677527878608,45.5537634,C759,_,0917,1131
C759__0917.1133,9.83554909420349,45.554528815,C759,_,0917,1133
C759__0917.1137,9.835546680507358,45.55433436,C759,_,0917,1137
C759__0917.1140,9.83545542835076,45.5541697,C759,_,0917,1140
C759__0916.1141,9.832598185893904,45.55746698,C759,_,0916,1141
C759__0917.1142,9.835191558264333,45.554240594999996,C759,_,0917,1142
C759__0917.1143,9.835081100247045,45.554097685,C759,_,0917,1143
C759__0917.1144,9.835172742778319,45.554077975,C759,_,0917,1144
C759__0917.1145,9.835195837640956,45.553722725,C759,_,0917,1145
C759__0917.1146,9.835196661264035,45.553507705,C759,_,0917,1146
C759__0917.1150,9.834926374520819,45.553792895,C759,_,0917,1150
C759__09160.1151,9.835650063749634,45.556269195,C759,_,09160,1151
C759__09160.1152,9.835961267384828,45.55662828,C759,_,09160,1152
