nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C800__0936.10,9.946884473619757,45.891761755,C800,_,0936,10
C800__0907.10000,9.932578649855909,45.886361515000004,C800,_,0907,10000
C800__0907.10002,9.932643543929496,45.886432264999996,C800,_,0907,10002
C800__0907.10003,9.93266089303863,45.886365035,C800,_,0907,10003
C800__0907.10005,9.932743205566943,45.88644506,C800,_,0907,10005
C800__0907.10006,9.932802092861223,45.886419995,C800,_,0907,10006
C800__0907.10007,9.932423538775435,45.887004645000005,C800,_,0907,10007
C800__09090.1001,9.961347793265805,45.89363468,C800,_,09090,1001
C800__0907.10013,9.932628319000035,45.886855145,C800,_,0907,10013
C800__0907.10014,9.932511207024362,45.88696943,C800,_,0907,10014
C800__0907.10019,9.93235710944157,45.887003195000005,C800,_,0907,10019
C800__0907.10021,9.931589471796169,45.88730272,C800,_,0907,10021
C800__0907.10022,9.93159526958371,45.88722826,C800,_,0907,10022
C800__09090.1003,9.96017201840272,45.89279606,C800,_,09090,1003
C800__0907.10030,9.932311383248814,45.887073785,C800,_,0907,10030
C800__0907.10031,9.932581696939067,45.886871025000005,C800,_,0907,10031
C800__0907.10034,9.932588720099314,45.88691856,C800,_,0907,10034
C800__0907.10035,9.933331594559228,45.885737230000004,C800,_,0907,10035
C800__0907.10036,9.933376024554871,45.885651485,C800,_,0907,10036
C800__09090.1004,9.960187748309421,45.892598695000004,C800,_,09090,1004
C800__0907.10053,9.931821907639574,45.88724177,C800,_,0907,10053
C800__0907.10056,9.931665575937686,45.887306484999996,C800,_,0907,10056
C800__0907.10059,9.9321856172416,45.887176315000005,C800,_,0907,10059
C800__0907.10065,9.932369462218977,45.887091925,C800,_,0907,10065
C800__0907.10073,9.932607352334248,45.886775494999995,C800,_,0907,10073
C800__0907.10074,9.93269673731575,45.886731729999994,C800,_,0907,10074
C800__0907.10078,9.932668748546902,45.886696455,C800,_,0907,10078
C800__09110.1008,9.92326124575576,45.878360619999995,C800,_,09110,1008
C800__0907.10080,9.932994310509198,45.886478034999996,C800,_,0907,10080
C800__0907.10082,9.933801820383842,45.88618721,C800,_,0907,10082
C800__0907.10083,9.933231016396864,45.886144265,C800,_,0907,10083
C800__0907.10086,9.932777314619234,45.886722385,C800,_,0907,10086
C800__0907.10088,9.933165778185103,45.886304929999994,C800,_,0907,10088
C800__0907.10089,9.93299772377759,45.886384635,C800,_,0907,10089
C800__09090.1009,9.961135237045415,45.894844140000004,C800,_,09090,1009
C800__0907.10090,9.933013854861564,45.88627862,C800,_,0907,10090
C800__0907.10093,9.93290650943013,45.886330584999996,C800,_,0907,10093
C800__0907.10094,9.93282661662449,45.886475239999996,C800,_,0907,10094
C800__0907.10095,9.933346703848663,45.885825255,C800,_,0907,10095
C800__0907.10098,9.932972862025395,45.886058489999996,C800,_,0907,10098
C800__0907.10099,9.93328231796501,45.88581333,C800,_,0907,10099
C800__0936.101,9.946357465418606,45.891780165,C800,_,0936,101
C800__09090.1010,9.960093349380235,45.89408083,C800,_,09090,1010
C800__0907.10101,9.933285989176511,45.885780485,C800,_,0907,10101
C800__0907.10103,9.933287944732076,45.885559349999994,C800,_,0907,10103
C800__0907.10104,9.932733181942055,45.885543670000004,C800,_,0907,10104
C800__0907.10105,9.932834635321797,45.885377925,C800,_,0907,10105
C800__0907.10106,9.932822710932081,45.8852807,C800,_,0907,10106
C800__0907.10108,9.9330555802871,45.885559349999994,C800,_,0907,10108
C800__09090.1011,9.959253679501145,45.893616445000006,C800,_,09090,1011
C800__0907.10110,9.932078644491126,45.88551434,C800,_,0907,10110
C800__0907.10111,9.932102604917429,45.88525216,C800,_,0907,10111
C800__0907.10112,9.931937814317173,45.885241835,C800,_,0907,10112
C800__0907.10115,9.93206254533779,45.885963695,C800,_,0907,10115
C800__0907.10117,9.931483337122256,45.885660335,C800,_,0907,10117
C800__0907.10118,9.93178017305688,45.885667260000005,C800,_,0907,10118
C800__09090.1012,9.960498649062359,45.89479808,C800,_,09090,1012
C800__0907.10120,9.931792743618715,45.88575676000001,C800,_,0907,10120
C800__0907.10123,9.931643680810236,45.8859005,C800,_,0907,10123
C800__0907.10126,9.931753681937817,45.88631301,C800,_,0907,10126
C800__0907.10129,9.931924233383711,45.88633995,C800,_,0907,10129
C800__0907.10131,9.932033026069849,45.88617645,C800,_,0907,10131
C800__09080.10133,9.94206863053029,45.89416243,C800,_,09080,10133
C800__09080.10134,9.942361740238393,45.894279495000006,C800,_,09080,10134
C800__09080.10135,9.94238958792425,45.89401275,C800,_,09080,10135
C800__09080.10136,9.942526505138037,45.89402704,C800,_,09080,10136
C800__09080.10137,9.9424627550572,45.894056989999996,C800,_,09080,10137
C800__09080.10138,9.942586226893711,45.89404596,C800,_,09080,10138
C800__0907.10139,9.932066595501603,45.8860125,C800,_,0907,10139
C800__09090.1014,9.960653840313615,45.89505762,C800,_,09090,1014
C800__09090.10140,9.967158999550502,45.892826895,C800,_,09090,10140
C800__09130.10141,9.95226657149779,45.883044195,C800,_,09130,10141
C800__09130.10143,9.952551149664432,45.882574995,C800,_,09130,10143
C800__0914.10146,9.969966056084512,45.882587380000004,C800,_,0914,10146
C800__09080.10147,9.951051607935407,45.887856645,C800,_,09080,10147
C800__09160.10148,9.905737699978385,45.87108696,C800,_,09160,10148
C800__09160.10149,9.905219348558571,45.8708236,C800,_,09160,10149
C800__09170.1015,9.917010759905224,45.87564835,C800,_,09170,1015
C800__09130.10150,9.94980041812111,45.885025815,C800,_,09130,10150
C800__09130.10151,9.949828293117807,45.884860375,C800,_,09130,10151
