nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C819__00010.1,8.137895654729888,45.746325665,C819,_,00010,1
C819__00290.1,8.199029815851487,45.684529194999996,C819,_,00290,1
C819__00280.1,8.188735483114048,45.685698540000004,C819,_,00280,1
C819__00270.1,8.200304918104514,45.687777935,C819,_,00270,1
C819__00260.1,8.178594453599093,45.68741343,C819,_,00260,1
C819__00250.1,8.19455905422701,45.692214745,C819,_,00250,1
C819__00240.1,8.191780721019509,45.691777545,C819,_,00240,1
C819__00230.1,8.186152962984572,45.69399204,C819,_,00230,1
C819__00220.1,8.182518148375188,45.693757975,C819,_,00220,1
C819__00210.1,8.173170722932277,45.693938065,C819,_,00210,1
C819__00200.1,8.196331192271561,45.698987245,C819,_,00200,1
C819__00190.1,8.189417582625156,45.69828172,C819,_,00190,1
C819__00170.1,8.177890857119849,45.698157120000005,C819,_,00170,1
C819__00160.1,8.176827223213678,45.697829275000004,C819,_,00160,1
C819__00150.1,8.16517918258715,45.697686935,C819,_,00150,1
C819__00140.1,8.179023955967896,45.70024748,C819,_,00140,1
C819__00130.1,8.173367387070181,45.700013545000004,C819,_,00130,1
C819__00120.1,8.192135633150837,45.70206548,C819,_,00120,1
C819__00110.1,8.180050515174749,45.702672969999995,C819,_,00110,1
C819__00100.1,8.168990394848894,45.7023442,C819,_,00100,1
C819__00090.1,8.162793363368888,45.70257678,C819,_,00090,1
C819__00080.1,8.189358855332213,45.708303400000005,C819,_,00080,1
C819__00070.1,8.174559160275589,45.70709287,C819,_,00070,1
C819__00060.1,8.171948848966784,45.707190749999995,C819,_,00060,1
C819__00050.1,8.185714969215685,45.714232595,C819,_,00050,1
C819__00040.1,8.147712926895185,45.710753155000006,C819,_,00040,1
C819__00030.1,8.147402289356803,45.729427725,C819,_,00030,1
C819__00020.1,8.130419333260598,45.729523505,C819,_,00020,1
C819__00010.10,8.140848149363812,45.743146734999996,C819,_,00010,10
C819__00290.10,8.198956507567344,45.684194935,C819,_,00290,10
C819__00280.10,8.190515500633845,45.68579996,C819,_,00280,10
C819__00270.10,8.200790372111921,45.687642865,C819,_,00270,10
C819__00260.10,8.179441112611096,45.687185285,C819,_,00260,10
C819__00250.10,8.197447485626206,45.69168906,C819,_,00250,10
C819__00240.10,8.191398919183296,45.691437,C819,_,00240,10
C819__00230.10,8.186129570076682,45.693484555,C819,_,00230,10
C819__00220.10,8.18417048673798,45.692821685,C819,_,00220,10
C819__00210.10,8.173779818818554,45.69290641,C819,_,00210,10
C819__00200.10,8.193998921476558,45.696742705000005,C819,_,00200,10
C819__00190.10,8.192399661773413,45.698455235,C819,_,00190,10
C819__00180.10,8.185951439883864,45.70093869,C819,_,00180,10
C819__00170.10,8.178764443812733,45.69800646,C819,_,00170,10
C819__00160.10,8.17785897425464,45.697707390000005,C819,_,00160,10
C819__00150.10,8.170017795794454,45.698090595,C819,_,00150,10
C819__00140.10,8.180000950906987,45.700088065,C819,_,00140,10
C819__00130.10,8.175517700622077,45.699877175,C819,_,00130,10
C819__00120.10,8.188739414891002,45.701038170000004,C819,_,00120,10
C819__00110.10,8.183390255110156,45.702469305,C819,_,00110,10
C819__00100.10,8.17182494768958,45.702648375,C819,_,00100,10
C819__00090.10,8.16815918707655,45.702352295,C819,_,00090,10
C819__00080.10,8.184007407555413,45.707164675,C819,_,00080,10
C819__00070.10,8.173475324899446,45.705733005,C819,_,00070,10
C819__00050.10,8.185897220659196,45.71284414,C819,_,00050,10
C819__00040.10,8.16922264274331,45.71214465,C819,_,00040,10
C819__00030.10,8.162625358663007,45.725382235,C819,_,00030,10
C819__00020.10,8.133720347408548,45.726841085000004,C819,_,00020,10
C819__00020.100,8.13295730258642,45.708800865,C819,_,00020,100
C819__00290.100,8.192571593238467,45.683352145,C819,_,00290,100
C819__00270.100,8.195842138951704,45.686840575000005,C819,_,00270,100
C819__00260.100,8.1802233998405,45.686244020000004,C819,_,00260,100
C819__00250.100,8.19894709988495,45.690827819999996,C819,_,00250,100
C819__00240.100,8.194686581738901,45.68861053,C819,_,00240,100
C819__00230.100,8.190038610201272,45.690401480000006,C819,_,00230,100
C819__00220.100,8.179605443948184,45.689133235,C819,_,00220,100
C819__00210.100,8.174093978025041,45.69154136,C819,_,00210,100
C819__00200.100,8.195956053534841,45.692232329999996,C819,_,00200,100
C819__00190.100,8.189766903238528,45.69464362,C819,_,00190,100
C819__00180.100,8.188675918802428,45.698874415,C819,_,00180,100
C819__00170.100,8.181529930803526,45.69761765,C819,_,00170,100
C819__00160.100,8.17595387298634,45.695149904999994,C819,_,00160,100
C819__00150.100,8.173608729353662,45.69719293,C819,_,00150,100
C819__00130.100,8.17355085032585,45.69941799,C819,_,00130,100
C819__00120.100,8.191798120730278,45.698630980000004,C819,_,00120,100
C819__00110.100,8.179337230957904,45.701874675,C819,_,00110,100
C819__00100.100,8.175705171819093,45.702169305,C819,_,00100,100
C819__00090.100,8.163412956910696,45.69927267,C819,_,00090,100
C819__00080.100,8.18669043596588,45.705002910000005,C819,_,00080,100
C819__00070.100,8.177510302247295,45.704909205,C819,_,00070,100
C819__00060.100,8.170262241594692,45.704415765,C819,_,00060,100
C819__00050.100,8.185920379569165,45.710796245,C819,_,00050,100
C819__00040.100,8.156084650352579,45.70121803,C819,_,00040,100
C819__00270.1000,8.194127168537737,45.6855022,C819,_,00270,1000
C819__00270.1001,8.193984074539202,45.685418865,C819,_,00270,1001
C819__00260.1002,8.186856585503058,45.683633755,C819,_,00260,1002
C819__00270.1002,8.193683535874458,45.685430285,C819,_,00270,1002
