nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C911__0906.1,8.67426572732013,45.773315804999996,C911,_,0906,1
C911__0906.10,8.67474529611576,45.773211845000006,C911,_,0906,10
C911__0906.100,8.674958221829419,45.771049985,C911,_,0906,100
C911__09070.1000,8.686068438168954,45.773038375,C911,_,09070,1000
C911__09030.1003,8.675403885795568,45.7794948,C911,_,09030,1003
C911__09030.1005,8.678291855361532,45.778499475000004,C911,_,09030,1005
C911__09030.1006,8.678385132244792,45.778778175,C911,_,09030,1006
C911__09030.1008,8.674322965860785,45.7781713,C911,_,09030,1008
C911__09030.1009,8.675055993568712,45.777317655,C911,_,09030,1009
C911__0906.101,8.677273337416327,45.771271045,C911,_,0906,101
C911__09070.1010,8.688361266283325,45.7684005,C911,_,09070,1010
C911__09030.1011,8.67557399210974,45.778751965,C911,_,09030,1011
C911__09030.1012,8.67901036645461,45.776398305,C911,_,09030,1012
C911__09070.1013,8.686087947747307,45.768961475,C911,_,09070,1013
C911__09060.1014,8.67628790419294,45.774332635,C911,_,09060,1014
C911__09060.1015,8.678117729061501,45.77400884,C911,_,09060,1015
C911__09060.1016,8.677763850657762,45.773576309999996,C911,_,09060,1016
C911__09070.1017,8.685287838066854,45.76874591,C911,_,09070,1017
C911__09070.1018,8.685429339563129,45.768753595,C911,_,09070,1018
C911__09060.1019,8.678482067306312,45.77260083,C911,_,09060,1019
C911__09070.1020,8.684035773506606,45.76891082,C911,_,09070,1020
C911__09070.1025,8.683464513871552,45.772077865,C911,_,09070,1025
C911__09070.1026,8.682764179018951,45.772765155,C911,_,09070,1026
C911__09070.1027,8.6854968841187,45.770641049999995,C911,_,09070,1027
C911__09090.1028,8.677957596748469,45.76595861,C911,_,09090,1028
C911__09070.1029,8.686520967780858,45.77210325,C911,_,09070,1029
C911__0906.103,8.67694682782345,45.771429695,C911,_,0906,103
C911__09070.1033,8.682964618739195,45.77043402,C911,_,09070,1033
C911__09070.1034,8.681738474260744,45.770564225,C911,_,09070,1034
C911__09060.1035,8.680003778181263,45.770480625000005,C911,_,09060,1035
C911__09070.1036,8.687891263735281,45.768517265,C911,_,09070,1036
C911__09070.1037,8.687171533145872,45.768749205,C911,_,09070,1037
C911__09090.1038,8.678853233357156,45.765300464999996,C911,_,09090,1038
C911__09060.1039,8.67844776024818,45.767797224999995,C911,_,09060,1039
