nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
C975__00010.1,17.121088929818924,41.01749745,C975,_,00010,1
C975__01170.1,17.100384084157124,40.88570493,C975,_,01170,1
C975__01160.1,17.11543936490309,40.89896368,C975,_,01160,1
C975__01150.1,17.07629652564419,40.89754988,C975,_,01150,1
C975__01140.1,17.062005059259203,40.897326155,C975,_,01140,1
C975__01130.1,17.121071793248426,40.91023808,C975,_,01130,1
C975__0112.1,17.106406293084262,40.91847312,C975,_,0112,1
C975__01110.1,17.102489515319412,40.913908045,C975,_,01110,1
C975__01100.1,17.090611000138367,40.918268760000004,C975,_,01100,1
C975__01070.1,17.127132719235767,40.923799224999996,C975,_,01070,1
C975__01060.1,17.119527395980526,40.92192781,C975,_,01060,1
C975__01050.1,17.095237058144882,40.92352417,C975,_,01050,1
C975__01040.1,17.093171724582525,40.924670160000005,C975,_,01040,1
C975__01030.1,17.08003236728388,40.93398223,C975,_,01030,1
C975__01020.1,17.06221949238516,40.92623684,C975,_,01020,1
C975__01010.1,17.161214592664592,40.929345335,C975,_,01010,1
C975__01000.1,17.151078815674428,40.93098281,C975,_,01000,1
C975__00990.1,17.142303412954618,40.930892275000005,C975,_,00990,1
C975__00970.1,17.157475545231602,40.938077559999996,C975,_,00970,1
C975__00960.1,17.142255815112183,40.9385139,C975,_,00960,1
C975__00950.1,17.119516834200812,40.93887551500001,C975,_,00950,1
C975__00940.1,17.110748650351553,40.937692819999995,C975,_,00940,1
C975__00930.1,17.10371737415163,40.936193785,C975,_,00930,1
C975__00920.1,17.100923381148796,40.93605004,C975,_,00920,1
C975__00910.1,17.086959124165517,40.93611768,C975,_,00910,1
C975__00900.1,17.076268041330508,40.935305225,C975,_,00900,1
C975__00890.1,17.066728513377136,40.938055434999995,C975,_,00890,1
C975__00880.1,17.052922090566405,40.932102625,C975,_,00880,1
C975__00870.1,17.047900543019946,40.93872618,C975,_,00870,1
C975__00860.1,17.164094172373275,40.945325495,C975,_,00860,1
C975__00850.1,17.14618792692167,40.943802160000004,C975,_,00850,1
C975__00840.1,17.128646673056103,40.94846107,C975,_,00840,1
C975__00830.1,17.123510163867984,40.952289629999996,C975,_,00830,1
C975__00820.1,17.10839246441082,40.945342565000004,C975,_,00820,1
C975__00810.1,17.096677962470977,40.946906330000004,C975,_,00810,1
C975__00800.1,17.093585775688673,40.944289600000005,C975,_,00800,1
C975__00790.1,17.07798629332526,40.944032515,C975,_,00790,1
C975__00770.1,17.099135371254807,40.94929654,C975,_,00770,1
C975__00760.1,17.09318236893462,40.952257634999995,C975,_,00760,1
C975__00750.1,17.086376359012142,40.949760165,C975,_,00750,1
C975__00740.1,17.08548305093242,40.96011337,C975,_,00740,1
C975__00730.1,17.07237680933219,40.95641324,C975,_,00730,1
C975__00720.1,17.055030522311434,40.954638605,C975,_,00720,1
C975__00710.1,17.04693720252437,40.95413075,C975,_,00710,1
C975__00700.1,17.15886519295374,40.953227510000005,C975,_,00700,1
C975__00690.1,17.15202159088151,40.955389690000004,C975,_,00690,1
C975__00680.1,17.133697782488625,40.958346995,C975,_,00680,1
C975__00670.1,17.127594646932753,40.95713949500001,C975,_,00670,1
C975__00630.1,17.0979053074751,40.96491328,C975,_,00630,1
C975__00620.1,17.07597243514718,40.96800929,C975,_,00620,1
C975__00610.1,17.069141697988474,40.96438337,C975,_,00610,1
C975__00600.1,17.05175209376193,40.95991719,C975,_,00600,1
C975__00590.1,17.029727581056996,40.95808069,C975,_,00590,1
C975__00580.1,17.154371405671366,40.960066725000004,C975,_,00580,1
C975__00570.1,17.153768483494012,40.972416120000005,C975,_,00570,1
C975__00560.1,17.13890295814456,40.967010595000005,C975,_,00560,1
C975__0055.1,17.120220458014764,40.96730247,C975,_,0055,1
C975__0054.1,17.117295035636122,40.963034095,C975,_,0054,1
C975__00520.1,17.102666125573784,40.969552885,C975,_,00520,1
C975__00510.1,17.098489110681157,40.968533835,C975,_,00510,1
C975__00500.1,17.07585428153609,40.974051315,C975,_,00500,1
C975__00490.1,17.072726781989623,40.977883765,C975,_,00490,1
C975__00480.1,17.06331527408598,40.974242105,C975,_,00480,1
C975__00470.1,17.042115056036945,40.969899565,C975,_,00470,1
C975__00460.1,17.04124789865938,40.96806196,C975,_,00460,1
C975__00450.1,17.1584656994482,40.98071188,C975,_,00450,1
C975__00430.1,17.131603281858354,40.976836015,C975,_,00430,1
C975__0041.1,17.11122426117766,40.96932509,C975,_,0041,1
C975__00400.1,17.098240090291533,40.979167340000004,C975,_,00400,1
C975__00380.1,17.085987898771847,40.98312438,C975,_,00380,1
C975__00370.1,17.078463193828117,40.985422,C975,_,00370,1
