nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D022__00010.1,7.9858112204027245,44.73831199,D022,_,00010,1
D022__0012.1,7.958522060365954,44.73726988,D022,_,0012,1
D022__00110.1,7.944658711518179,44.739870315000005,D022,_,00110,1
D022__00100.1,7.951575865308458,44.73495415,D022,_,00100,1
D022__00090.1,7.943304506499176,44.73399135,D022,_,00090,1
D022__00080.1,7.927736924015591,44.73281961,D022,_,00080,1
D022__00070.1,7.939318285824404,44.74534443,D022,_,00070,1
D022__00060.1,7.939018698967511,44.74687692,D022,_,00060,1
D022__00050.1,7.955845032921822,44.743288410000005,D022,_,00050,1
D022__00030.1,7.968897637400024,44.748759385,D022,_,00030,1
D022__00020.1,7.980120174383325,44.745600565000004,D022,_,00020,1
D022__00010.10,7.987861147356407,44.738190785,D022,_,00010,10
D022__00140.10,7.968258473086947,44.728702690000006,D022,_,00140,10
D022__0012.10,7.959759825856899,44.737643425,D022,_,0012,10
D022__00090.10,7.951218584144335,44.73418608,D022,_,00090,10
D022__00080.10,7.929340137504019,44.733449375,D022,_,00080,10
D022__00060.10,7.939709187827658,44.746471195,D022,_,00060,10
D022__00050.10,7.955305095059325,44.742594915,D022,_,00050,10
D022__00040.10,7.9606299681030634,44.749341625,D022,_,00040,10
D022__00030.10,7.969203696472552,44.74838622,D022,_,00030,10
D022__00020.10,7.9822217939924505,44.745713620000004,D022,_,00020,10
D022__00010.100,7.994157450110144,44.737661325000005,D022,_,00010,100
D022__00140.100,7.966718689193445,44.72236908,D022,_,00140,100
D022__00130.100,7.96096513177395,44.727212395,D022,_,00130,100
D022__00110.100,7.947980425926973,44.736588085,D022,_,00110,100
D022__00100.100,7.955299422572679,44.728593290000006,D022,_,00100,100
D022__00090.100,7.94062275098192,44.72794099,D022,_,00090,100
D022__00080.100,7.936715148212499,44.73212335,D022,_,00080,100
D022__00070.100,7.941913249452368,44.73435761,D022,_,00070,100
D022__00060.100,7.945421527627053,44.743718709999996,D022,_,00060,100
