nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D078__00010.1,13.864258271122031,42.288783595,D078,_,00010,1
D078__00140.1,13.887036262675249,42.27536382,D078,_,00140,1
D078__00130.1,13.881050603439993,42.274478675,D078,_,00130,1
D078__00120.1,13.872776890293734,42.27538182,D078,_,00120,1
D078__00110.1,13.851045044070602,42.266729655,D078,_,00110,1
D078__00100.1,13.847987343913648,42.271489994999996,D078,_,00100,1
D078__00090.1,13.843469767539343,42.271109615,D078,_,00090,1
D078__00080.1,13.879136774584971,42.280611065,D078,_,00080,1
D078__00070.1,13.85975207828698,42.274459615,D078,_,00070,1
D078__00060.1,13.895751514251634,42.288617959999996,D078,_,00060,1
D078__00050.1,13.883149404871496,42.28893762,D078,_,00050,1
D078__00040.1,13.872313810812638,42.28574188,D078,_,00040,1
D078__00030.1,13.84448621062794,42.27908849,D078,_,00030,1
D078__00020.1,13.846197788530523,42.28138779,D078,_,00020,1
D078__00010.10,13.86609870411868,42.29100786,D078,_,00010,10
D078__00140.10,13.88773265474333,42.274130795000005,D078,_,00140,10
D078__00130.10,13.88192780765213,42.2747345,D078,_,00130,10
D078__00120.10,13.873394012839103,42.275131205,D078,_,00120,10
D078__00110.10,13.85362170295755,42.267377675,D078,_,00110,10
D078__00100.10,13.849386818003483,42.271539485,D078,_,00100,10
D078__00090.10,13.846709526030711,42.269564245,D078,_,00090,10
D078__00070.10,13.862337822188335,42.27756687,D078,_,00070,10
D078__00060.10,13.893005746964075,42.28405569,D078,_,00060,10
D078__00050.10,13.884585350945326,42.287867160000005,D078,_,00050,10
D078__00040.10,13.875297986072969,42.285156459999996,D078,_,00040,10
D078__00030.10,13.849778843391967,42.279916935,D078,_,00030,10
D078__00020.10,13.848960226929737,42.28303172,D078,_,00020,10
D078__00010.100,13.863095418327925,42.286863575,D078,_,00010,100
D078__00140.100,13.891378760298586,42.274126175,D078,_,00140,100
D078__00130.100,13.8840275172031,42.273502055,D078,_,00130,100
D078__00120.100,13.873335511896494,42.275981605,D078,_,00120,100
D078__00110.100,13.862504828245509,42.267718290000005,D078,_,00110,100
D078__00100.100,13.856483103474343,42.271027705,D078,_,00100,100
D078__00080.100,13.875663926451498,42.278173815,D078,_,00080,100
D078__00070.100,13.868640629499092,42.27639071,D078,_,00070,100
D078__00060.100,13.89658434955292,42.281131375,D078,_,00060,100
D078__00050.100,13.880830692098465,42.28564283,D078,_,00050,100
D078__00040.100,13.870428586279292,42.285184975,D078,_,00040,100
D078__00030.100,13.848547793106974,42.27778592,D078,_,00030,100
D078__00010.101,13.863899004498172,42.287087045,D078,_,00010,101
D078__00140.101,13.891178632110163,42.274740185,D078,_,00140,101
D078__00130.101,13.883762744684638,42.273472215,D078,_,00130,101
D078__00120.101,13.873517368650088,42.276107765,D078,_,00120,101
D078__00110.101,13.862162223833412,42.268593155000005,D078,_,00110,101
D078__00100.101,13.857022059550857,42.271432725,D078,_,00100,101
D078__00080.101,13.875813809604365,42.27836016,D078,_,00080,101
D078__00070.101,13.869270470859393,42.276660019999994,D078,_,00070,101
D078__00060.101,13.89464600543363,42.283253665000004,D078,_,00060,101
D078__00050.101,13.88037476908288,42.285510825,D078,_,00050,101
D078__00040.101,13.87056391445946,42.285030320000004,D078,_,00040,101
D078__00030.101,13.848780455481037,42.277771310000006,D078,_,00030,101
D078__00010.102,13.863601921562955,42.286622365,D078,_,00010,102
D078__00140.102,13.891377157893135,42.27476726,D078,_,00140,102
D078__00120.102,13.873681355928529,42.27619293,D078,_,00120,102
D078__00110.102,13.862818409695993,42.267728704999996,D078,_,00110,102
D078__00080.102,13.877912963490584,42.27910957,D078,_,00080,102
D078__00070.102,13.868203160900043,42.276065085,D078,_,00070,102
D078__00060.102,13.896501181423176,42.281765985,D078,_,00060,102
