nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D170__00010.1,14.292005313340386,40.968722154999995,D170,_,00010,1
D170__00020.1,14.283345406287953,40.956569595000005,D170,_,00020,1
D170__00040.10,14.285466319722977,40.954528194999995,D170,_,00040,10
D170__00010.100,14.286836216638978,40.9568898,D170,_,00010,100
D170__00040.100,14.287482968508241,40.95476184,D170,_,00040,100
D170__00030.100,14.287664993606146,40.94688848,D170,_,00030,100
D170__00030.1000,14.285534252089587,40.947623245,D170,_,00030,1000
D170__00030.1002,14.289174270437313,40.95164538,D170,_,00030,1002
D170__00030.1003,14.28917127806212,40.9513807,D170,_,00030,1003
D170__00030.1004,14.289319965315673,40.951415319999995,D170,_,00030,1004
D170__00030.1005,14.289272616789429,40.95120846499999,D170,_,00030,1005
D170__00030.1007,14.28940738653921,40.95095684,D170,_,00030,1007
D170__00030.1009,14.289025949872318,40.951608565,D170,_,00030,1009
D170__00010.101,14.287098498668811,40.956906615,D170,_,00010,101
D170__00040.101,14.28902388930841,40.95471067,D170,_,00040,101
D170__00020.101,14.283349319396311,40.955765385,D170,_,00020,101
D170__00030.1012,14.284639526912109,40.948245195,D170,_,00030,1012
D170__00030.1013,14.28380740717763,40.948195240000004,D170,_,00030,1013
D170__00020.102,14.284726207408255,40.95591994,D170,_,00020,102
D170__00040.102,14.287739783986236,40.954979755,D170,_,00040,102
D170__00030.102,14.289169852190764,40.947083305,D170,_,00030,102
D170__00030.1024,14.285565089558597,40.952175205,D170,_,00030,1024
D170__00010.103,14.286395221686796,40.957649035,D170,_,00010,103
D170__00040.103,14.285620850815485,40.954609775,D170,_,00040,103
D170__00030.103,14.291769983579528,40.947690365,D170,_,00030,103
D170__00020.103,14.284855887136548,40.955943035000004,D170,_,00020,103
D170__00030.1030,14.291182696907224,40.94784247,D170,_,00030,1030
D170__00030.1031,14.290940284888535,40.947757395,D170,_,00030,1031
D170__00030.1032,14.29073634405923,40.947667725,D170,_,00030,1032
D170__00030.1033,14.290503407169915,40.947625009999996,D170,_,00030,1033
D170__00030.1034,14.290434166646307,40.94785685,D170,_,00030,1034
D170__00030.1035,14.290786087676324,40.94793575,D170,_,00030,1035
D170__00030.1036,14.291099697964754,40.94802197,D170,_,00030,1036
D170__00030.1037,14.291455203900927,40.948106875,D170,_,00030,1037
D170__00030.1038,14.286054407652067,40.946481809999995,D170,_,00030,1038
D170__00030.1039,14.286137707090969,40.946484874999996,D170,_,00030,1039
D170__00010.104,14.286058698777268,40.957458545,D170,_,00010,104
D170__00030.104,14.287738334568667,40.946568635,D170,_,00030,104
D170__0003.1041,14.287661038434333,40.950518285,D170,_,0003,1041
D170__00030.1047,14.285331168978725,40.952106905,D170,_,00030,1047
D170__00030.1048,14.285311765723058,40.952009435,D170,_,00030,1048
D170__00030.1049,14.284747892005633,40.95172198,D170,_,00030,1049
D170__00020.105,14.284690477806238,40.954878855000004,D170,_,00020,105
D170__00040.105,14.287781351651102,40.954799050000005,D170,_,00040,105
D170__00030.105,14.287778064122637,40.94640098,D170,_,00030,105
D170__00030.1052,14.285289264374532,40.951891425,D170,_,00030,1052
D170__00030.1053,14.285255930687756,40.951715205,D170,_,00030,1053
D170__00030.1054,14.290187441490893,40.951743485,D170,_,00030,1054
D170__00030.1055,14.290351239287885,40.951537900000005,D170,_,00030,1055
D170__00030.1058,14.2843227463576,40.945258015,D170,_,00030,1058
D170__00030.1059,14.28403784463407,40.944679155,D170,_,00030,1059
D170__00010.106,14.28728182352899,40.957509814999995,D170,_,00010,106
D170__00040.106,14.287371133940585,40.954590069999995,D170,_,00040,106
D170__00020.106,14.284555285263188,40.954915245,D170,_,00020,106
D170__00030.1060,14.285634624468932,40.94566363,D170,_,00030,1060
D170__00030.1066,14.282503861919475,40.9459681,D170,_,00030,1066
D170__0003.1068,14.287107514354457,40.950604275,D170,_,0003,1068
D170__00010.107,14.286020708323093,40.95672369,D170,_,00010,107
D170__00040.107,14.28752974182667,40.95460158,D170,_,00040,107
D170__00030.1075,14.285596078797132,40.94871653,D170,_,00030,1075
D170__00030.1078,14.288496991265433,40.946637475,D170,_,00030,1078
D170__00030.1079,14.288472445752774,40.946441730000004,D170,_,00030,1079
D170__00020.108,14.28271640684886,40.95275169,D170,_,00020,108
D170__00030.1080,14.289047685055507,40.946667145,D170,_,00030,1080
D170__00040.1082,14.287876288871761,40.953237235,D170,_,00040,1082
D170__00030.1085,14.289129705514597,40.947905845,D170,_,00030,1085
D170__00030.1086,14.28176189275862,40.94756659,D170,_,00030,1086
D170__00010.109,14.286492290329338,40.95687445,D170,_,00010,109
D170__00030.1092,14.289604009545256,40.94741088,D170,_,00030,1092
D170__00030.1093,14.289432618839436,40.94737092,D170,_,00030,1093
D170__00030.1094,14.29122372447926,40.94757563,D170,_,00030,1094
D170__00030.1095,14.290593230743909,40.947383125,D170,_,00030,1095
D170__00030.1096,14.29101009791117,40.947522774999996,D170,_,00030,1096
D170__00030.1097,14.291444600942096,40.94762352,D170,_,00030,1097
D170__00030.1099,14.280870233366201,40.95298927,D170,_,00030,1099
D170__00010.11,14.290226011397294,40.965500184999996,D170,_,00010,11
D170__00040.11,14.28550409838472,40.954531885,D170,_,00040,11
D170__00030.11,14.285111162550354,40.95213217,D170,_,00030,11
D170__00010.110,14.28598958152158,40.957106005,D170,_,00010,110
D170__00040.110,14.285726718234011,40.954540345,D170,_,00040,110
D170__00030.110,14.288766837666447,40.94665154,D170,_,00030,110
D170__00030.1100,14.281108123575606,40.953029255000004,D170,_,00030,1100
D170__00030.1101,14.281332356810763,40.953068145,D170,_,00030,1101
D170__00030.1102,14.281593542844607,40.953082585000004,D170,_,00030,1102
D170__00030.1104,14.28397827301665,40.9520847,D170,_,00030,1104
D170__00030.1106,14.28253407114633,40.948810835,D170,_,00030,1106
D170__00030.1107,14.282506019040927,40.9488997,D170,_,00030,1107
D170__00030.1108,14.282478860695635,40.94898757,D170,_,00030,1108
D170__00030.1109,14.282452098297082,40.949074769999996,D170,_,00030,1109
D170__00010.111,14.28638034417166,40.957151229999994,D170,_,00010,111
D170__00030.111,14.289203026078958,40.94697191,D170,_,00030,111
D170__00020.111,14.28493303040681,40.956543205,D170,_,00020,111
D170__00030.1110,14.28242385497431,40.949163205000005,D170,_,00030,1110
D170__00030.1112,14.28240927986576,40.949224560000005,D170,_,00030,1112
D170__00030.1113,14.281312256673239,40.94747864,D170,_,00030,1113
D170__00030.1114,14.281041934912349,40.9485727,D170,_,00030,1114
D170__00030.1115,14.280334855771272,40.94816177,D170,_,00030,1115
D170__00030.1116,14.280585897182867,40.948586695,D170,_,00030,1116
D170__00030.1117,14.28053000833274,40.9478673,D170,_,00030,1117
D170__00030.1118,14.28047297712952,40.947995309999996,D170,_,00030,1118
D170__00030.1119,14.280960842467618,40.948714565,D170,_,00030,1119
D170__00010.112,14.286674479340727,40.957152305,D170,_,00010,112
D170__00040.112,14.286144839981809,40.954670575,D170,_,00040,112
D170__00030.112,14.287728137293223,40.94625848,D170,_,00030,112
D170__00020.112,14.29403168175659,40.953046525000005,D170,_,00020,112
D170__00030.1120,14.28022835087404,40.948349050000004,D170,_,00030,1120
D170__00030.1123,14.284309493478364,40.946178950000004,D170,_,00030,1123
D170__00030.1125,14.28399658388012,40.945774815,D170,_,00030,1125
D170__00030.1127,14.283764274795937,40.94538423,D170,_,00030,1127
D170__00030.1128,14.283772657282748,40.9452508,D170,_,00030,1128
D170__00030.1129,14.28795837228296,40.948892325,D170,_,00030,1129
D170__00020.113,14.293940554829174,40.95184803,D170,_,00020,113
D170__00040.113,14.28655802339497,40.95451917,D170,_,00040,113
D170__00030.113,14.287954735375935,40.946272275,D170,_,00030,113
D170__00030.1130,14.287230867653598,40.948401114999996,D170,_,00030,1130
D170__00030.1133,14.286191546268917,40.947985825,D170,_,00030,1133
D170__00030.1134,14.290756915321728,40.951816565,D170,_,00030,1134
D170__00030.1135,14.290784543273332,40.9517728,D170,_,00030,1135
D170__00030.1137,14.290506342211469,40.951290355,D170,_,00030,1137
D170__00030.1139,14.290323693408368,40.95100979,D170,_,00030,1139
D170__00010.114,14.286967932232216,40.957152305,D170,_,00010,114
D170__00020.114,14.294314916538703,40.951940725,D170,_,00020,114
D170__00030.1140,14.289973797802574,40.950585024999995,D170,_,00030,1140
D170__00030.1142,14.289594032854737,40.950203895,D170,_,00030,1142
D170__00030.1143,14.28906690664835,40.95002054,D170,_,00030,1143
D170__00030.1144,14.28912435653314,40.949723395,D170,_,00030,1144
D170__00030.1145,14.289063842158622,40.949636104999996,D170,_,00030,1145
D170__00030.1146,14.28884380646284,40.949716765,D170,_,00030,1146
D170__00030.1148,14.283648087995282,40.951742284999995,D170,_,00030,1148
D170__0003.1149,14.286234884869707,40.950112295,D170,_,0003,1149
D170__00010.115,14.287233788718328,40.95716951,D170,_,00010,115
D170__00040.115,14.288736023566027,40.954398409999996,D170,_,00040,115
D170__00030.115,14.28776059262017,40.946127305000005,D170,_,00030,115
D170__00030.1150,14.288484630770075,40.949062765,D170,_,00030,1150
D170__00030.1151,14.289104958255828,40.94633444,D170,_,00030,1151
D170__00030.1152,14.281445103326615,40.953108150000006,D170,_,00030,1152
D170__00030.1156,14.290514500521692,40.946870355,D170,_,00030,1156
D170__00030.1159,14.290269576157517,40.94704469,D170,_,00030,1159
D170__00010.116,14.28724541555425,40.95726936,D170,_,00010,116
D170__00020.116,14.294158519368164,40.95228032,D170,_,00020,116
D170__00030.1160,14.290033835829881,40.947549775,D170,_,00030,1160
D170__00030.1161,14.28474324780808,40.950702925,D170,_,00030,1161
D170__0003.1163,14.286144604198618,40.95064492,D170,_,0003,1163
D170__0003.1164,14.286013365263374,40.95066133500001,D170,_,0003,1164
D170__00030.1167,14.288399413374856,40.950095454999996,D170,_,00030,1167
D170__00030.1169,14.290143819917567,40.950620185,D170,_,00030,1169
D170__00010.117,14.286835447117792,40.9573926,D170,_,00010,117
D170__00030.117,14.287945809440387,40.946133814999996,D170,_,00030,117
D170__00030.1170,14.283741708478244,40.950734714999996,D170,_,00030,1170
D170__00030.1171,14.283947188949284,40.95076594,D170,_,00030,1171
D170__00030.1172,14.281960808504927,40.949851695,D170,_,00030,1172
D170__00030.1174,14.283282476295962,40.952257325000005,D170,_,00030,1174
D170__00030.1178,14.283544033301204,40.949903055,D170,_,00030,1178
D170__00030.1179,14.283930596570451,40.949454544999995,D170,_,00030,1179
D170__00020.118,14.29407108409599,40.95247343,D170,_,00020,118
D170__00030.118,14.288017460364067,40.946147749999994,D170,_,00030,118
D170__00030.1180,14.288577394907499,40.947395845,D170,_,00030,1180
D170__00030.1182,14.28870380976522,40.9463304,D170,_,00030,1182
D170__00030.1183,14.29598379027487,40.9508461,D170,_,00030,1183
D170__0003.1184,14.285305336447262,40.95044451,D170,_,0003,1184
D170__0003.1185,14.285318405271862,40.950482234999996,D170,_,0003,1185
D170__0003.1186,14.285266488175145,40.950470890000005,D170,_,0003,1186
D170__0003.1187,14.285276733281814,40.950418775,D170,_,0003,1187
D170__00030.1188,14.295126835600954,40.95128529,D170,_,00030,1188
D170__00010.119,14.285232364374037,40.95939463,D170,_,00010,119
D170__00020.119,14.29403204398658,40.952561675,D170,_,00020,119
D170__00030.1190,14.286417021036154,40.946409315,D170,_,00030,1190
D170__00030.1191,14.284018506169136,40.948133600000006,D170,_,00030,1191
D170__00030.1193,14.282093611046488,40.951309699999996,D170,_,00030,1193
D170__00030.1194,14.282144521149334,40.950664384999996,D170,_,00030,1194
D170__00030.1196,14.281657538633446,40.951781205,D170,_,00030,1196
D170__00030.1197,14.281337916526958,40.95147786,D170,_,00030,1197
D170__00030.1198,14.281267476015259,40.952263295,D170,_,00030,1198
D170__00010.12,14.292583713848344,40.962004125,D170,_,00010,12
D170__00040.12,14.28562200899213,40.954566334999996,D170,_,00040,12
D170__00010.120,14.285201263218578,40.959509025,D170,_,00010,120
D170__00030.120,14.289229233401823,40.94670875,D170,_,00030,120
D170__00020.120,14.293650001874706,40.952661570000004,D170,_,00020,120
D170__00030.1202,14.282735828685368,40.948937715,D170,_,00030,1202
D170__00030.1203,14.282786576756681,40.948894135,D170,_,00030,1203
D170__00030.1206,14.28262167628333,40.949920915,D170,_,00030,1206
D170__00030.1207,14.282431094253305,40.950435080000005,D170,_,00030,1207
D170__00030.1208,14.28254220253486,40.950142105,D170,_,00030,1208
D170__00030.1209,14.282644579624375,40.94984824,D170,_,00030,1209
D170__00020.121,14.294108029699139,40.951885445,D170,_,00020,121
D170__00040.121,14.287979766931521,40.95507958,D170,_,00040,121
D170__00030.121,14.291281485876485,40.94734185,D170,_,00030,121
D170__00030.1210,14.282738193867996,40.94955278,D170,_,00030,1210
D170__00030.1211,14.290111206435482,40.95035327,D170,_,00030,1211
D170__00030.1212,14.290049953915247,40.95022748,D170,_,00030,1212
D170__00030.1214,14.283691278732734,40.951599615,D170,_,00030,1214
D170__00030.1215,14.283437949976793,40.951757555,D170,_,00030,1215
D170__00030.1216,14.282569903039155,40.948703054999996,D170,_,00030,1216
D170__00030.1217,14.282556150009185,40.948747465,D170,_,00030,1217
D170__00010.122,14.285414374649438,40.958752865,D170,_,00010,122
D170__00040.122,14.288166561262841,40.95507958,D170,_,00040,122
D170__00030.122,14.29154520793595,40.947086745,D170,_,00030,122
D170__00030.1221,14.285822715751408,40.948508705,D170,_,00030,1221
D170__00030.1222,14.286169485985784,40.9485531,D170,_,00030,1222
D170__00030.1223,14.285938904461936,40.94862519,D170,_,00030,1223
D170__00030.1224,14.28577734383391,40.948672845000004,D170,_,00030,1224
D170__00030.1227,14.2824673597214,40.947089785,D170,_,00030,1227
D170__00030.1228,14.283170380219754,40.946708115,D170,_,00030,1228
D170__00030.1229,14.284172715705825,40.94687372,D170,_,00030,1229
D170__00020.123,14.294225433986206,40.95213168,D170,_,00020,123
D170__00040.123,14.288221403209,40.9551603,D170,_,00040,123
D170__00030.1230,14.283216086000689,40.945342600000004,D170,_,00030,1230
D170__00030.1231,14.283587772938352,40.945401805,D170,_,00030,1231
D170__00030.1232,14.283083552272045,40.945965625,D170,_,00030,1232
D170__00030.1233,14.283881789129467,40.94609419,D170,_,00030,1233
D170__00030.1235,14.283685777013396,40.94570707,D170,_,00030,1235
D170__00030.1237,14.285474656204014,40.951697865,D170,_,00030,1237
D170__00030.1238,14.285505270691335,40.951866085,D170,_,00030,1238
D170__00030.1239,14.285546649106866,40.95208552,D170,_,00030,1239
D170__00010.124,14.290485399511786,40.959727529999995,D170,_,00010,124
D170__00040.124,14.287918203411701,40.95435057,D170,_,00040,124
D170__00020.124,14.294573669687004,40.952755825,D170,_,00020,124
D170__00030.1240,14.296109620200074,40.95083246,D170,_,00030,1240
