nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D171__00010.1,17.161967814474597,40.63792198,D171,_,00010,1
D171__01130.1,17.31336727221162,40.563288265,D171,_,01130,1
D171__00920.1,17.308301637613727,40.57602491,D171,_,00920,1
D171__00910.1,17.30322052969267,40.578116394999995,D171,_,00910,1
D171__00900.1,17.30248255422203,40.572408519999996,D171,_,00900,1
D171__00880.1,17.256440863440865,40.589888110000004,D171,_,00880,1
D171__00870.1,17.23977390698307,40.588140755,D171,_,00870,1
D171__00850.1,17.20027799822914,40.58533055,D171,_,00850,1
D171__00840.1,17.181008893143236,40.57923522,D171,_,00840,1
D171__00810.1,17.305256908674238,40.585184605,D171,_,00810,1
D171__00800.1,17.29470444832198,40.586571809999995,D171,_,00800,1
D171__00770.1,17.287277890639487,40.593880595,D171,_,00770,1
D171__00760.1,17.27698691398281,40.59159036,D171,_,00760,1
D171__00750.1,17.269391575133888,40.592421705,D171,_,00750,1
D171__00730.1,17.226833340299315,40.591787679999996,D171,_,00730,1
D171__00720.1,17.218376255831537,40.593285675000004,D171,_,00720,1
D171__00710.1,17.206708578032938,40.59876792,D171,_,00710,1
D171__00690.1,17.19401456054705,40.597743525,D171,_,00690,1
D171__00680.1,17.188175320389313,40.5973482,D171,_,00680,1
D171__00650.1,17.323088888943612,40.597541005,D171,_,00650,1
D171__00640.1,17.308045313591517,40.600386165,D171,_,00640,1
D171__00620.1,17.27410369337342,40.602947325,D171,_,00620,1
D171__00610.1,17.267782292475417,40.603267555,D171,_,00610,1
D171__00600.1,17.26125408013356,40.605870915,D171,_,00600,1
D171__00590.1,17.247811927102198,40.604746155,D171,_,00590,1
D171__0058.1,17.237350425173737,40.605698360000005,D171,_,0058,1
D171__00560.1,17.22772664779493,40.607486609999995,D171,_,00560,1
D171__00550.1,17.210877812123076,40.607901999999996,D171,_,00550,1
D171__00530.1,17.19591680705014,40.61326034,D171,_,00530,1
D171__00520.1,17.1878172133312,40.60857051,D171,_,00520,1
D171__00510.1,17.17937746802628,40.609785724999995,D171,_,00510,1
D171__00470.1,17.4036859099852,40.616088864999995,D171,_,00470,1
D171__00460.1,17.38996301624922,40.62287397,D171,_,00460,1
D171__00450.1,17.356873354745215,40.613034025000005,D171,_,00450,1
D171__00440.1,17.341031102500153,40.608885865000005,D171,_,00440,1
D171__00430.1,17.335817503250425,40.61689232,D171,_,00430,1
D171__00400.1,17.296532755493963,40.610180775,D171,_,00400,1
D171__00380.1,17.29263685303961,40.61518445,D171,_,00380,1
D171__00340.1,17.247927455648288,40.611362975,D171,_,00340,1
D171__00330.1,17.228788220975996,40.61257838,D171,_,00330,1
D171__00320.1,17.241508984016804,40.6185099,D171,_,00320,1
D171__00310.1,17.22643484443204,40.620706245,D171,_,00310,1
D171__00300.1,17.214518950687967,40.614708425,D171,_,00300,1
D171__00290.1,17.178228851429495,40.62176791500001,D171,_,00290,1
D171__00280.1,17.177498302466134,40.61746621,D171,_,00280,1
D171__00270.1,17.165137470174937,40.621527025,D171,_,00270,1
D171__00260.1,17.16570089084702,40.615494510000005,D171,_,00260,1
D171__00260.1,17.161296504666282,40.617744925,D171,_,00260,1
D171__00260.1,17.15162312536269,40.624232504999995,D171,_,00260,1
D171__00250.1,17.288475932212297,40.62963372,D171,_,00250,1
D171__00220.1,17.261231590505286,40.62349272,D171,_,00220,1
D171__00210.1,17.262748451392586,40.62966027,D171,_,00210,1
D171__00200.1,17.248268071788075,40.625537324999996,D171,_,00200,1
D171__00190.1,17.25610398624246,40.634413159999994,D171,_,00190,1
D171__00180.1,17.241659678697804,40.636100400000004,D171,_,00180,1
D171__00170.1,17.238247452796493,40.634036115,D171,_,00170,1
D171__00160.1,17.225787853098765,40.633763974999994,D171,_,00160,1
D171__00150.1,17.214497935564758,40.62988112,D171,_,00150,1
D171__00140.1,17.21637433415112,40.636209625,D171,_,00140,1
D171__00130.1,17.202668265901334,40.633444765,D171,_,00130,1
D171__00110.1,17.16638038537019,40.629128135,D171,_,00110,1
D171__00100.1,17.276777941732373,40.637054905,D171,_,00100,1
D171__00090.1,17.272547954798434,40.64235326,D171,_,00090,1
D171__00080.1,17.270323674353172,40.64355841,D171,_,00080,1
D171__00070.1,17.251206448032775,40.651275995,D171,_,00070,1
D171__00060.1,17.241758978098282,40.64716885,D171,_,00060,1
D171__00040.1,17.188373774129403,40.652451395,D171,_,00040,1
D171__00030.1,17.175449321488074,40.635870735,D171,_,00030,1
D171__00020.1,17.17428248288547,40.64408559,D171,_,00020,1
D171__00030.10,17.166100817784507,40.632515760000004,D171,_,00030,10
D171__01130.10,17.31332968452551,40.559634364999994,D171,_,01130,10
D171__01110.10,17.32222905248448,40.565479255,D171,_,01110,10
D171__01100.10,17.307886157965015,40.559827435,D171,_,01100,10
D171__00920.10,17.31090717696872,40.577608335,D171,_,00920,10
D171__00900.10,17.30104758042566,40.574659409999995,D171,_,00900,10
D171__00890.10,17.29292488933037,40.575624065,D171,_,00890,10
D171__00880.10,17.264019164130005,40.577049865,D171,_,00880,10
D171__00870.10,17.235181522813996,40.58546918,D171,_,00870,10
D171__00860.10,17.21730287530228,40.5838363,D171,_,00860,10
D171__00850.10,17.202340591554368,40.58358327,D171,_,00850,10
D171__00830.10,17.189325126310536,40.583104655,D171,_,00830,10
D171__00810.10,17.30758741595255,40.5829834,D171,_,00810,10
D171__00800.10,17.2947150015053,40.585049675,D171,_,00800,10
D171__00790.10,17.309043997858303,40.58778357,D171,_,00790,10
D171__00780.10,17.30142585383801,40.5906452,D171,_,00780,10
D171__00760.10,17.274491439051268,40.58066223,D171,_,00760,10
D171__00750.10,17.268688172208908,40.589944065,D171,_,00750,10
D171__00730.10,17.225956651371867,40.590512724999996,D171,_,00730,10
D171__00720.10,17.216931496044253,40.59058951,D171,_,00720,10
D171__00710.10,17.210823544652236,40.598140459999996,D171,_,00710,10
D171__00690.10,17.195365367610858,40.59689979,D171,_,00690,10
D171__00680.10,17.192957781240416,40.597264545,D171,_,00680,10
D171__00670.10,17.184578105472106,40.597105885,D171,_,00670,10
D171__00660.10,17.165198869394224,40.58354825,D171,_,00660,10
D171__00650.10,17.325734025393132,40.596331905,D171,_,00650,10
D171__00640.10,17.31330448010859,40.597895585,D171,_,00640,10
D171__00630.10,17.30213097260324,40.5945539,D171,_,00630,10
D171__00620.10,17.28497236334432,40.60238343499999,D171,_,00620,10
D171__00610.10,17.27234388238791,40.603400320000006,D171,_,00610,10
D171__00600.10,17.264126960383713,40.602989215,D171,_,00600,10
D171__00590.10,17.24904327249154,40.604196290000004,D171,_,00590,10
D171__00580.10,17.24476386276848,40.604629700000004,D171,_,00580,10
D171__00560.10,17.22715845468835,40.60681901,D171,_,00560,10
D171__00550.10,17.20946449852987,40.605000860000004,D171,_,00550,10
D171__00540.10,17.20733886402041,40.607379640000005,D171,_,00540,10
D171__00520.10,17.186781065403675,40.59860972,D171,_,00520,10
D171__00510.10,17.180082271224457,40.608882335000004,D171,_,00510,10
D171__00480.10,17.40708886102862,40.597918410000005,D171,_,00480,10
D171__00470.10,17.41340211152216,40.606011615,D171,_,00470,10
D171__00450.10,17.36584847707624,40.608574090000005,D171,_,00450,10
D171__00440.10,17.344104643516896,40.609252285,D171,_,00440,10
D171__00430.10,17.334298394979015,40.606071064999995,D171,_,00430,10
D171__00420.10,17.328569214915092,40.610992675,D171,_,00420,10
D171__00410.10,17.30421214748385,40.60578696,D171,_,00410,10
D171__00400.10,17.295486018627777,40.60896692,D171,_,00400,10
D171__00390.10,17.298803969489953,40.612188845000006,D171,_,00390,10
