nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D391__00010.1,10.250845931233261,46.202981890000004,D391,_,00010,1
D391__01030.1,10.286308141992286,46.15456022,D391,_,01030,1
D391__01020.1,10.295052287506563,46.159185975,D391,_,01020,1
D391__01010.1,10.313891876114615,46.160384275,D391,_,01010,1
D391__01000.1,10.31822504277864,46.166770174999996,D391,_,01000,1
D391__00990.1,10.324250352451577,46.174088805,D391,_,00990,1
D391__00980.1,10.31453041722861,46.17384524,D391,_,00980,1
D391__00970.1,10.30042849274491,46.171268795,D391,_,00970,1
D391__00960.1,10.296870461801912,46.16879949,D391,_,00960,1
D391__00950.1,10.345794571153242,46.17522183,D391,_,00950,1
D391__00930.1,10.333714015694788,46.176499074999995,D391,_,00930,1
D391__00920.1,10.326561738903022,46.177283195,D391,_,00920,1
D391__00910.1,10.314111185287004,46.177381319999995,D391,_,00910,1
D391__00900.1,10.309286892476749,46.17688423,D391,_,00900,1
D391__00890.1,10.29784027754203,46.1736243,D391,_,00890,1
D391__00880.1,10.300800118855364,46.1780056,D391,_,00880,1
D391__00870.1,10.29299174951576,46.177292475,D391,_,00870,1
D391__00860.1,10.292546608026619,46.176220150000006,D391,_,00860,1
D391__00850.1,10.288204504855607,46.179389445,D391,_,00850,1
D391__00840.1,10.286755441886058,46.1769022,D391,_,00840,1
D391__00830.1,10.279117701133185,46.174222735,D391,_,00830,1
D391__00820.1,10.275956884957845,46.174877429999995,D391,_,00820,1
D391__00810.1,10.283291387346962,46.177163359999994,D391,_,00810,1
D391__00790.1,10.267684526709257,46.17483208,D391,_,00790,1
D391__00780.1,10.271547972232469,46.178760510000004,D391,_,00780,1
D391__00760.1,10.476907597550923,46.176295305,D391,_,00760,1
D391__00750.1,10.473019399271656,46.169925860000006,D391,_,00750,1
D391__00730.1,10.451278952104705,46.189264605000005,D391,_,00730,1
D391__00720.1,10.393688012954023,46.17854954,D391,_,00720,1
D391__00710.1,10.396576857302533,46.18095855,D391,_,00710,1
D391__00700.1,10.416137186842224,46.191088105,D391,_,00700,1
D391__00690.1,10.379288677705034,46.192871455,D391,_,00690,1
D391__00680.1,10.36232511653214,46.17892631,D391,_,00680,1
D391__00670.1,10.354217084084066,46.186876135,D391,_,00670,1
D391__00660.1,10.353799782474695,46.183439480000004,D391,_,00660,1
