nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D402__00010.1,7.723883694258323,45.74362273,D402,_,00010,1
D402__00240.1,7.691093258822355,45.709905185,D402,_,00240,1
D402__00220.1,7.686185026912142,45.72213632,D402,_,00220,1
D402__00210.1,7.697671714065361,45.721703524999995,D402,_,00210,1
D402__00200.1,7.706189270351938,45.723399775,D402,_,00200,1
D402__00190.1,7.696396382505675,45.725656945,D402,_,00190,1
D402__00180.1,7.68914626081269,45.72758501,D402,_,00180,1
D402__00170.1,7.68309113337351,45.72843003,D402,_,00170,1
D402__00160.1,7.688292651845836,45.72865015,D402,_,00160,1
D402__00150.1,7.698222581661998,45.727897999999996,D402,_,00150,1
D402__00140.1,7.706154386814273,45.72810172,D402,_,00140,1
D402__00130.1,7.712850967468089,45.728990960000004,D402,_,00130,1
D402__00120.1,7.710737588563426,45.732905325000004,D402,_,00120,1
D402__00110.1,7.70545167155783,45.732857429999996,D402,_,00110,1
D402__00100.1,7.702985126932206,45.73350363,D402,_,00100,1
D402__00090.1,7.694206009872612,45.731050825,D402,_,00090,1
D402__00080.1,7.691446949445986,45.73478711,D402,_,00080,1
D402__00070.1,7.677907481399295,45.73504110499999,D402,_,00070,1
D402__00060.1,7.696383364227181,45.73701113,D402,_,00060,1
D402__00050.1,7.700266192511659,45.74041035,D402,_,00050,1
D402__00040.1,7.700978672428759,45.738484924999995,D402,_,00040,1
D402__00030.1,7.712291780714973,45.737234470000004,D402,_,00030,1
D402__00020.1,7.713134833382531,45.737511295000004,D402,_,00020,1
D402__00020.10,7.713872448866088,45.737705515,D402,_,00020,10
D402__00240.10,7.692307842767697,45.70866236,D402,_,00240,10
D402__00230.10,7.708628108667042,45.713198665,D402,_,00230,10
D402__00220.10,7.686383568012415,45.720599875000005,D402,_,00220,10
D402__00210.10,7.697611830745686,45.721380835,D402,_,00210,10
D402__00200.10,7.704470713814649,45.723548914999995,D402,_,00200,10
D402__00190.10,7.697699936240616,45.725649925,D402,_,00190,10
D402__00180.10,7.690819176177754,45.727627625,D402,_,00180,10
D402__00170.10,7.684337661358475,45.726336285,D402,_,00170,10
D402__00160.10,7.690049460696859,45.729352035,D402,_,00160,10
D402__00150.10,7.6990434486108486,45.727740335,D402,_,00150,10
D402__00140.10,7.706579967110665,45.727909155,D402,_,00140,10
D402__00130.10,7.713055464711016,45.72885324,D402,_,00130,10
D402__00120.10,7.710527084924692,45.732886975,D402,_,00120,10
D402__00110.10,7.7072082527009,45.732800205000004,D402,_,00110,10
D402__00100.10,7.7048595131278,45.733107430000004,D402,_,00100,10
D402__00090.10,7.6960269919521505,45.730702475,D402,_,00090,10
D402__00080.10,7.691456078177849,45.734354495,D402,_,00080,10
D402__00070.10,7.678364854748272,45.734191249999995,D402,_,00070,10
D402__00050.10,7.7009124684296415,45.739200589999996,D402,_,00050,10
D402__00040.10,7.702421338410167,45.738047120000004,D402,_,00040,10
D402__00030.10,7.710243154129881,45.73645116,D402,_,00030,10
D402__00020.100,7.714772414683354,45.736871,D402,_,00020,100
D402__00240.100,7.695005630415409,45.70452521,D402,_,00240,100
D402__00220.100,7.691759203251335,45.71790689,D402,_,00220,100
D402__00210.100,7.697809105221431,45.719867199999996,D402,_,00210,100
D402__00200.100,7.701821694211445,45.71741517,D402,_,00200,100
D402__00190.100,7.698204636578737,45.723850115000005,D402,_,00190,100
D402__00180.100,7.689427031308013,45.724931685,D402,_,00180,100
D402__00170.100,7.688578502235529,45.723975440000004,D402,_,00170,100
D402__00160.100,7.694191386677798,45.728949224999994,D402,_,00160,100
D402__00150.100,7.699817574982074,45.726246380000006,D402,_,00150,100
D402__00140.100,7.708572455541544,45.7269139,D402,_,00140,100
D402__00130.100,7.718601391796763,45.728287120000005,D402,_,00130,100
D402__00110.100,7.709799260929847,45.7305884,D402,_,00110,100
D402__00090.100,7.694970568777197,45.72920013,D402,_,00090,100
D402__00080.100,7.695181041667119,45.732347565,D402,_,00080,100
D402__00070.100,7.685128920266394,45.73409334,D402,_,00070,100
D402__00050.100,7.697375263649015,45.738207195,D402,_,00050,100
D402__00040.100,7.7056238237369765,45.736359590000006,D402,_,00040,100
D402__00030.100,7.713055798497356,45.734030634999996,D402,_,00030,100
D402__00030.1000,7.715128625174508,45.732025855,D402,_,00030,1000
D402__00030.1001,7.715140851115564,45.732009614999996,D402,_,00030,1001
D402__00120.1001,7.710620228809995,45.732211570000004,D402,_,00120,1001
D402__00030.1002,7.715003141217949,45.73207155,D402,_,00030,1002
D402__00120.1002,7.710665670341394,45.7322474,D402,_,00120,1002
D402__00030.1003,7.715164532669586,45.732084130000004,D402,_,00030,1003
