nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D412__00010.1,7.341850729945829,44.704915525000004,D412,_,00010,1
D412__00210.1,7.392723727695705,44.684336535,D412,_,00210,1
D412__00170.1,7.357580334171175,44.67799167,D412,_,00170,1
D412__00160.1,7.338201349136565,44.675684695,D412,_,00160,1
D412__00150.1,7.337451674463238,44.692337775,D412,_,00150,1
D412__00140.1,7.3514771199836915,44.692191895,D412,_,00140,1
D412__00130.1,7.360114052138044,44.698684605,D412,_,00130,1
D412__00110.1,7.379655705074567,44.693940765,D412,_,00110,1
D412__00100.1,7.389597974657955,44.695556825,D412,_,00100,1
D412__00090.1,7.394184712778262,44.70431352,D412,_,00090,1
D412__00080.1,7.407645531551367,44.696561009999996,D412,_,00080,1
D412__00070.1,7.407548164942388,44.71104005,D412,_,00070,1
D412__00050.1,7.380092541518353,44.709017485000004,D412,_,00050,1
D412__00040.1,7.371599590391316,44.709635225,D412,_,00040,1
D412__00030.1,7.35838831440646,44.709193295,D412,_,00030,1
D412__00020.1,7.348228892172276,44.706160839999995,D412,_,00020,1
D412__00010.10,7.34773503872762,44.70440835,D412,_,00010,10
D412__00210.10,7.394291726686349,44.682639390000006,D412,_,00210,10
D412__00200.10,7.381753806964274,44.682882144999994,D412,_,00200,10
D412__00190.10,7.37686856711178,44.688024145,D412,_,00190,10
D412__00180.10,7.362810195576481,44.682760724999994,D412,_,00180,10
D412__00170.10,7.358550639835173,44.676974355,D412,_,00170,10
D412__00160.10,7.350423846825019,44.676013389999994,D412,_,00160,10
D412__00150.10,7.339120893545942,44.69000683,D412,_,00150,10
D412__00140.10,7.350424996992134,44.6933223,D412,_,00140,10
D412__00120.10,7.373265134637661,44.699704894999996,D412,_,00120,10
D412__00100.10,7.392961773681435,44.692375035,D412,_,00100,10
D412__00090.10,7.397229485744494,44.70499194,D412,_,00090,10
D412__00080.10,7.407815371844021,44.694111809999995,D412,_,00080,10
D412__00070.10,7.409616094389449,44.70250058,D412,_,00070,10
D412__00060.10,7.405487528621781,44.715575279999996,D412,_,00060,10
D412__00050.10,7.382898682439031,44.707952795,D412,_,00050,10
D412__00040.10,7.374711504883692,44.70848219,D412,_,00040,10
D412__00020.10,7.356949966084117,44.707775940000005,D412,_,00020,10
D412__00010.100,7.347448897139558,44.69818688,D412,_,00010,100
D412__00190.100,7.370949178833062,44.68499824,D412,_,00190,100
D412__00170.100,7.357104341632506,44.67046389,D412,_,00170,100
D412__00160.100,7.353314214807176,44.66922889,D412,_,00160,100
D412__00150.100,7.348014534418388,44.683089155000005,D412,_,00150,100
D412__00140.100,7.356119578822087,44.69097247,D412,_,00140,100
D412__00130.100,7.364330783288395,44.696235134999995,D412,_,00130,100
D412__00120.100,7.374027241608797,44.69870598,D412,_,00120,100
D412__00100.100,7.39879652190923,44.6884095,D412,_,00100,100
D412__00090.100,7.397885759136855,44.696375875,D412,_,00090,100
D412__00070.100,7.40691253343376,44.6997456,D412,_,00070,100
D412__00050.100,7.39296930094878,44.703013755,D412,_,00050,100
D412__00030.100,7.367725965931397,44.7049441,D412,_,00030,100
D412__00020.100,7.349823585580399,44.7026437,D412,_,00020,100
D412__00180.1000,7.360901298562627,44.67942219,D412,_,00180,1000
D412__00130.1001,7.363627280518019,44.6924255,D412,_,00130,1001
D412__00140.1001,7.35741119258166,44.69147263,D412,_,00140,1001
D412__00130.1002,7.363213739657394,44.692545435,D412,_,00130,1002
D412__00140.1002,7.356068319334916,44.67803845,D412,_,00140,1002
D412__00140.1003,7.352861918420055,44.68936333,D412,_,00140,1003
D412__00180.1003,7.3692120823218605,44.68025526,D412,_,00180,1003
D412__00130.1004,7.363572561702319,44.693172860000004,D412,_,00130,1004
D412__00180.1004,7.369537405804732,44.680454375,D412,_,00180,1004
D412__00140.1004,7.352849041548377,44.689855285,D412,_,00140,1004
D412__00180.1005,7.369698182110452,44.680488229999995,D412,_,00180,1005
