nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D475__00010.1,12.417285677533329,42.27029426,D475,_,00010,1
D475__00190.1,12.431288876749925,42.21047365,D475,_,00190,1
D475__00180.1,12.45274068494716,42.217258220000005,D475,_,00180,1
D475__00150.1,12.455692296500555,42.226272120000004,D475,_,00150,1
D475__00140.1,12.448883047158198,42.227855695,D475,_,00140,1
D475__00120.1,12.433789322168742,42.23160998,D475,_,00120,1
D475__00110.1,12.460745148790782,42.23536537,D475,_,00110,1
D475__00100.1,12.441991108381742,42.237626164999995,D475,_,00100,1
D475__00090.1,12.476366789855584,42.24364287,D475,_,00090,1
D475__00070.1,12.457326359289764,42.25440591500001,D475,_,00070,1
D475__00050.1,12.443515260331921,42.253794595,D475,_,00050,1
D475__00040.1,12.412679507712717,42.2564024,D475,_,00040,1
D475__00030.1,12.444399122707772,42.26089467,D475,_,00030,1
D475__00020.1,12.435382969241136,42.26679276,D475,_,00020,1
D475__00010.10,12.417590489666198,42.263638900000004,D475,_,00010,10
D475__00190.10,12.434026395423315,42.208890775,D475,_,00190,10
D475__00180.10,12.465018729505502,42.215643990000004,D475,_,00180,10
D475__00170.10,12.445750257393271,42.217298979999995,D475,_,00170,10
D475__00150.10,12.458777481546456,42.22581967,D475,_,00150,10
D475__00140.10,12.448000131383912,42.227500649999996,D475,_,00140,10
D475__00130.10,12.442041138936187,42.228187025,D475,_,00130,10
D475__00120.10,12.438359454483358,42.230247945,D475,_,00120,10
D475__00110.10,12.465574698010714,42.23438437,D475,_,00110,10
D475__00100.10,12.435889374336156,42.23717242,D475,_,00100,10
D475__00090.10,12.474802922840912,42.240377370000004,D475,_,00090,10
D475__00080.10,12.46650774732505,42.24532038,D475,_,00080,10
D475__00070.10,12.459731377801752,42.251465775,D475,_,00070,10
D475__00060.10,12.452831671133378,42.24437828,D475,_,00060,10
D475__00050.10,12.443242157529575,42.252358830000006,D475,_,00050,10
D475__00040.10,12.413679577155385,42.249653085000006,D475,_,00040,10
D475__00030.10,12.448536048947894,42.260523115,D475,_,00030,10
D475__00020.10,12.441763452591726,42.26533851,D475,_,00020,10
D475__00010.100,12.43171657308121,42.25996326,D475,_,00010,100
D475__00190.100,12.445569106070554,42.207071064999994,D475,_,00190,100
D475__00180.100,12.459069995403517,42.21045865,D475,_,00180,100
D475__00170.100,12.444948957868942,42.21567723,D475,_,00170,100
D475__00150.100,12.458778050571928,42.224067745,D475,_,00150,100
D475__00130.100,12.442776461343446,42.22792303999999,D475,_,00130,100
D475__00120.100,12.442066404120858,42.22573142,D475,_,00120,100
D475__00100.100,12.444992407513478,42.23086978,D475,_,00100,100
D475__00090.100,12.471538757271501,42.2350629,D475,_,00090,100
D475__00080.100,12.466717988669144,42.242957465,D475,_,00080,100
D475__00070.100,12.46473384129919,42.247390975,D475,_,00070,100
D475__00060.100,12.451562986471977,42.238403715000004,D475,_,00060,100
D475__00050.100,12.445041861139451,42.252953495,D475,_,00050,100
D475__00040.100,12.426999219411226,42.24181951,D475,_,00040,100
D475__00030.100,12.449451650280327,42.252318790000004,D475,_,00030,100
D475__00020.100,12.443473356379936,42.25481345,D475,_,00020,100
D475__00130.1008,12.445308493627062,42.22524912,D475,_,00130,1008
D475__00130.1009,12.445357565722292,42.22526562,D475,_,00130,1009
D475__00010.101,12.431703123416352,42.26034867,D475,_,00010,101
D475__00190.101,12.434051404144586,42.208479735,D475,_,00190,101
D475__00180.101,12.460796416473276,42.210266615,D475,_,00180,101
D475__00170.101,12.44570169960447,42.215877975,D475,_,00170,101
D475__00160.101,12.43551277562573,42.211975695,D475,_,00160,101
D475__00150.101,12.45992440166864,42.224096725,D475,_,00150,101
D475__00130.101,12.442799422493302,42.227898159999995,D475,_,00130,101
D475__00120.101,12.442223653279056,42.225712755,D475,_,00120,101
D475__00110.101,12.457949011128584,42.23266037,D475,_,00110,101
D475__00100.101,12.444702323284645,42.230985415,D475,_,00100,101
D475__00090.101,12.471150434261755,42.234168374999996,D475,_,00090,101
D475__00080.101,12.467589129582862,42.243144310000005,D475,_,00080,101
D475__00070.101,12.46514228503263,42.247132175,D475,_,00070,101
D475__00060.101,12.451438234586298,42.238112009999995,D475,_,00060,101
D475__00050.101,12.440654884340475,42.25208041,D475,_,00050,101
D475__00040.101,12.42737315235104,42.241651945,D475,_,00040,101
D475__00030.101,12.449926921810562,42.25207074,D475,_,00030,101
D475__00020.101,12.442533164561812,42.254546919999996,D475,_,00020,101
D475__00130.1010,12.445802836025596,42.225313155,D475,_,00130,1010
D475__00130.1011,12.445829674136283,42.22522489,D475,_,00130,1011
D475__00130.1012,12.445456051465612,42.225178174999996,D475,_,00130,1012
D475__00130.1013,12.44541236269503,42.2253044,D475,_,00130,1013
D475__00130.1014,12.444127449516742,42.22446824,D475,_,00130,1014
D475__00130.1015,12.44266565022907,42.22384429,D475,_,00130,1015
D475__00130.1017,12.442725188122225,42.223713315,D475,_,00130,1017
D475__00130.1018,12.444445814336023,42.227624855,D475,_,00130,1018
D475__00010.102,12.432548417294239,42.261966799999996,D475,_,00010,102
D475__00190.102,12.43386493974063,42.20829198,D475,_,00190,102
D475__00180.102,12.4602420208216,42.209180265,D475,_,00180,102
D475__00170.102,12.449820020465957,42.21603485,D475,_,00170,102
D475__00160.102,12.4376516582609,42.211906580000004,D475,_,00160,102
D475__00150.102,12.460772299500581,42.224113755000005,D475,_,00150,102
D475__00130.102,12.442844199747633,42.227878864999994,D475,_,00130,102
D475__00120.102,12.442451568110314,42.22566737,D475,_,00120,102
D475__00110.102,12.459090599798353,42.232609374999996,D475,_,00110,102
D475__00100.102,12.445468319285244,42.231698765000004,D475,_,00100,102
D475__00090.102,12.473754309458387,42.238241540000004,D475,_,00090,102
D475__00080.102,12.467650267710816,42.242419765,D475,_,00080,102
D475__00070.102,12.4663173950602,42.24666944,D475,_,00070,102
D475__00060.102,12.45148186933383,42.237915130000005,D475,_,00060,102
D475__00050.102,12.4399420755703,42.251075505,D475,_,00050,102
D475__00040.102,12.420646529489005,42.24131869,D475,_,00040,102
D475__00030.102,12.451757262143936,42.252437584999996,D475,_,00030,102
D475__00020.102,12.44260130303411,42.254305585,D475,_,00020,102
D475__00130.1020,12.442047225183114,42.227851135,D475,_,00130,1020
D475__00130.1021,12.441698714243426,42.228195835,D475,_,00130,1021
D475__00130.1022,12.441676152232874,42.22830913,D475,_,00130,1022
D475__00130.1023,12.443330314051748,42.227778889999996,D475,_,00130,1023
D475__00130.1024,12.443449127673421,42.227660990000004,D475,_,00130,1024
D475__00130.1025,12.443360451010061,42.227891345,D475,_,00130,1025
D475__00130.1026,12.443441709000826,42.2279542,D475,_,00130,1026
D475__00130.1027,12.444698354219954,42.22648486,D475,_,00130,1027
D475__00010.103,12.434063654910787,42.26271958,D475,_,00010,103
D475__00190.103,12.437450074767582,42.203160780000005,D475,_,00190,103
D475__00180.103,12.453530890513118,42.209459765000005,D475,_,00180,103
D475__00170.103,12.451837148948204,42.216745065,D475,_,00170,103
D475__00160.103,12.437436441601694,42.21128461,D475,_,00160,103
D475__00150.103,12.461578498461932,42.224020665,D475,_,00150,103
D475__00140.103,12.44225941287749,42.222540815,D475,_,00140,103
D475__00120.103,12.442097734713567,42.2256459,D475,_,00120,103
D475__00110.103,12.458773129140074,42.23245577,D475,_,00110,103
D475__00100.103,12.445804026762323,42.232324045,D475,_,00100,103
D475__00080.103,12.469316000278749,42.235239480000004,D475,_,00080,103
D475__00070.103,12.466746069556471,42.24637887,D475,_,00070,103
D475__00060.103,12.45135555051173,42.237569435,D475,_,00060,103
D475__00050.103,12.440386053613992,42.25049111,D475,_,00050,103
D475__00040.103,12.422848798047823,42.24129507,D475,_,00040,103
D475__00030.103,12.453557685897,42.252721980000004,D475,_,00030,103
D475__00020.103,12.44351245983353,42.254409100000004,D475,_,00020,103
D475__00010.104,12.43455183987063,42.26294536,D475,_,00010,104
D475__00190.104,12.434712913445473,42.208282215,D475,_,00190,104
D475__00180.104,12.452682202193538,42.208599955,D475,_,00180,104
D475__00170.104,12.450809659191084,42.21489117,D475,_,00170,104
D475__00160.104,12.43828348833268,42.21186749,D475,_,00160,104
D475__00150.104,12.463384594043955,42.22395068,D475,_,00150,104
D475__00120.104,12.441970706914574,42.22556178,D475,_,00120,104
D475__00110.104,12.460172604247035,42.23230806,D475,_,00110,104
D475__00100.104,12.446296261943049,42.23262694,D475,_,00100,104
D475__00080.104,12.4663096521901,42.23512687,D475,_,00080,104
D475__00070.104,12.45715500959785,42.24648666,D475,_,00070,104
D475__00060.104,12.451675060800913,42.23774223,D475,_,00060,104
D475__00050.104,12.440698521194482,42.249874275,D475,_,00050,104
D475__00040.104,12.424862956748031,42.24135271,D475,_,00040,104
D475__00030.104,12.454919413220065,42.25243732,D475,_,00030,104
D475__00020.104,12.444943702223469,42.25450856,D475,_,00020,104
D475__00010.105,12.43196106447869,42.261354995000005,D475,_,00010,105
D475__00190.105,12.433851298117819,42.20797079,D475,_,00190,105
D475__00180.105,12.459102899838387,42.207814475000006,D475,_,00180,105
D475__00170.105,12.451096232853953,42.21470999,D475,_,00170,105
