nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D476__00030.1,16.16833350551324,39.0140105,D476,_,00030,1
D476__00230.1,16.152095212300516,38.978769045,D476,_,00230,1
D476__00220.1,16.17761539993323,38.99797173,D476,_,00220,1
D476__00210.1,16.17294595949594,38.993586925,D476,_,00210,1
D476__00200.1,16.1609549314402,38.98899916,D476,_,00200,1
D476__00190.1,16.14863372798657,38.986479695,D476,_,00190,1
D476__00180.1,16.18990912440445,39.004284855,D476,_,00180,1
D476__00170.1,16.18474887866377,39.00240645,D476,_,00170,1
D476__00150.1,16.149400971741265,39.001747725,D476,_,00150,1
D476__00140.1,16.148115256284825,38.994290465000006,D476,_,00140,1
D476__00130.1,16.208579449045175,39.011291764999996,D476,_,00130,1
D476__00120.1,16.17458849226341,39.004493694999994,D476,_,00120,1
D476__00100.1,16.139863603128607,39.005299055,D476,_,00100,1
D476__00080.1,16.221218157351178,39.01869541,D476,_,00080,1
D476__00060.1,16.19915901602559,39.014235645,D476,_,00060,1
D476__00050.1,16.18492153021245,39.01430233,D476,_,00050,1
D476__00040.1,16.176914410011822,39.01459919,D476,_,00040,1
D476__00010.10,16.14705800197609,39.01379537,D476,_,00010,10
D476__00220.10,16.17637834032883,38.99691783,D476,_,00220,10
D476__00210.10,16.168917316598588,38.992848620000004,D476,_,00210,10
D476__00200.10,16.161385725285086,38.987044775,D476,_,00200,10
D476__00190.10,16.15145009557547,38.986431045,D476,_,00190,10
D476__00180.10,16.193509710141626,39.003341434999996,D476,_,00180,10
D476__00170.10,16.18007089651107,39.00164493,D476,_,00170,10
D476__00150.10,16.1513192972442,39.000688249999996,D476,_,00150,10
D476__00140.10,16.144474127477423,38.99337781,D476,_,00140,10
D476__00130.10,16.204902649394555,39.01028026,D476,_,00130,10
D476__00120.10,16.17476903354379,39.003860835,D476,_,00120,10
D476__00110.10,16.147255535607176,39.006455095,D476,_,00110,10
D476__00080.10,16.218662867843953,39.01364423,D476,_,00080,10
D476__00060.10,16.198301366235228,39.014610975,D476,_,00060,10
D476__00050.10,16.18810929187702,39.013685545,D476,_,00050,10
D476__00040.10,16.17813716088461,39.013819005,D476,_,00040,10
D476__00020.10,16.150924237364514,39.01431153,D476,_,00020,10
D476__00010.100,16.15143178665534,39.0097929,D476,_,00010,100
D476__0023.100,16.14832445870246,38.972820915,D476,_,0023,100
D476__00220.100,16.170442399893822,38.98881201499999,D476,_,00220,100
D476__00210.100,16.163846802826377,38.989304489999995,D476,_,00210,100
D476__0020.100,16.15962114722956,38.98254906,D476,_,0020,100
