nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D480__00010.1,14.310226048704315,41.963431455000006,D480,_,00010,1
D480__00110.1,14.33231843253926,41.94045979,D480,_,00110,1
D480__00100.1,14.326179787741271,41.936067484999995,D480,_,00100,1
D480__00080.1,14.330027202211093,41.94573303,D480,_,00080,1
D480__00070.1,14.325911146204621,41.943060145,D480,_,00070,1
D480__00060.1,14.321580687760129,41.938461905,D480,_,00060,1
D480__00050.1,14.313790051576763,41.941912259999995,D480,_,00050,1
D480__00040.1,14.33178690753794,41.953611464999994,D480,_,00040,1
D480__00030.1,14.31473785771189,41.951926990000004,D480,_,00030,1
D480__00020.1,14.31829639569468,41.961216515000004,D480,_,00020,1
D480__00010.10,14.31171690659248,41.963233965,D480,_,00010,10
D480__00110.10,14.334057880823542,41.940732909999994,D480,_,00110,10
D480__00100.10,14.32448267931305,41.935276290000004,D480,_,00100,10
D480__00080.10,14.329902696021371,41.944632895,D480,_,00080,10
D480__00070.10,14.325554775856808,41.942239674999996,D480,_,00070,10
D480__00050.10,14.316483560095966,41.941192515,D480,_,00050,10
D480__00040.10,14.335457629131525,41.953407485,D480,_,00040,10
D480__00030.10,14.31384708482662,41.950706515,D480,_,00030,10
D480__00020.10,14.319507145135422,41.96022895,D480,_,00020,10
D480__00010.100,14.314065933293215,41.962034349999996,D480,_,00010,100
D480__00110.100,14.334364169458762,41.939527825,D480,_,00110,100
D480__00100.100,14.328365814901577,41.934156615000006,D480,_,00100,100
D480__00090.100,14.318018126429099,41.935182385000005,D480,_,00090,100
D480__00080.100,14.337816644233431,41.943837345000006,D480,_,00080,100
D480__00070.100,14.32894794892539,41.940659545,D480,_,00070,100
D480__00060.100,14.323345742862884,41.937430230000004,D480,_,00060,100
D480__00050.100,14.315698531987573,41.93828331,D480,_,00050,100
D480__00040.100,14.33012717151108,41.94939701,D480,_,00040,100
D480__00030.100,14.328788380329815,41.950026359999995,D480,_,00030,100
D480__00020.100,14.320018203633744,41.95480254,D480,_,00020,100
D480__00060.1000,14.322168837405751,41.94114653,D480,_,00060,1000
D480__00060.1001,14.320908127096939,41.94006194,D480,_,00060,1001
D480__00060.1002,14.321265814594089,41.94045966,D480,_,00060,1002
D480__00060.1003,14.322568372205584,41.94198679,D480,_,00060,1003
D480__00060.1004,14.32283063616434,41.941901290000004,D480,_,00060,1004
D480__00060.1005,14.322706742037123,41.941917325000006,D480,_,00060,1005
D480__00060.1006,14.322658783253338,41.94199012,D480,_,00060,1006
D480__00060.1007,14.32337780850857,41.94165103,D480,_,00060,1007
D480__00060.1008,14.325043941560098,41.93851535,D480,_,00060,1008
D480__00060.1009,14.321699173984188,41.93857827,D480,_,00060,1009
D480__00010.101,14.314328064912946,41.96207645,D480,_,00010,101
D480__00110.101,14.334501839205998,41.93953483,D480,_,00110,101
D480__00100.101,14.32712566472963,41.934662849999995,D480,_,00100,101
D480__00090.101,14.3184317338129,41.93536449,D480,_,00090,101
D480__00080.101,14.337860438265531,41.943971765,D480,_,00080,101
D480__00070.101,14.327453292867578,41.94182203,D480,_,00070,101
D480__00060.101,14.323376940917132,41.937379225,D480,_,00060,101
D480__00050.101,14.315826720972066,41.938247495,D480,_,00050,101
D480__00040.101,14.330503380093795,41.949353785,D480,_,00040,101
D480__00030.101,14.329003137092037,41.950076075,D480,_,00030,101
D480__00020.101,14.320182789300212,41.954623385000005,D480,_,00020,101
D480__00060.1010,14.32172091618557,41.938313765000004,D480,_,00060,1010
D480__00060.1011,14.321882413812869,41.938399454999995,D480,_,00060,1011
D480__00060.1012,14.321583801074837,41.937935905,D480,_,00060,1012
D480__00060.1013,14.32329626941507,41.938203380000004,D480,_,00060,1013
D480__00060.1014,14.323177453996598,41.938198325,D480,_,00060,1014
D480__00060.1016,14.324365851617946,41.937543015,D480,_,00060,1016
D480__00060.1017,14.32224590891695,41.936886720000004,D480,_,00060,1017
D480__00060.1018,14.322896829013619,41.936753620000005,D480,_,00060,1018
D480__00060.1019,14.32396807684967,41.936163105000006,D480,_,00060,1019
D480__00010.102,14.314242547034176,41.961649775,D480,_,00010,102
D480__00110.102,14.334716146695898,41.939795835,D480,_,00110,102
D480__00100.102,14.327919661352606,41.934280615,D480,_,00100,102
D480__00090.102,14.317986391981453,41.93510487499999,D480,_,00090,102
D480__00080.102,14.33773923723434,41.94399674,D480,_,00080,102
D480__00070.102,14.32739489986091,41.94169336,D480,_,00070,102
D480__00050.102,14.315895979294858,41.938311389999996,D480,_,00050,102
D480__00040.102,14.3305069646314,41.949066900000005,D480,_,00040,102
D480__00030.102,14.329184184705701,41.949964195,D480,_,00030,102
D480__00020.102,14.320167343018195,41.954371525,D480,_,00020,102
D480__00060.1020,14.324031725906792,41.93631231,D480,_,00060,1020
D480__00060.1021,14.324136454671283,41.93635306,D480,_,00060,1021
D480__00060.1022,14.32416241040898,41.936436195,D480,_,00060,1022
D480__00060.1023,14.325978265653262,41.936578725,D480,_,00060,1023
D480__00060.1024,14.323109784799556,41.937858775,D480,_,00060,1024
D480__00060.1025,14.323059907550112,41.9378565,D480,_,00060,1025
D480__00060.1027,14.323816838014318,41.93745644,D480,_,00060,1027
D480__00060.1028,14.32204622076778,41.9394611,D480,_,00060,1028
D480__00060.1029,14.32282007010256,41.93908998,D480,_,00060,1029
D480__00010.103,14.31456290781784,41.962093655000004,D480,_,00010,103
D480__00110.103,14.334677824709193,41.939611635000006,D480,_,00110,103
D480__00100.103,14.32784778827648,41.93419987,D480,_,00100,103
D480__00090.103,14.318609416362229,41.935375504999996,D480,_,00090,103
