nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D495__00010.1,14.157591566814872,42.106287179999995,D495,_,00010,1
D495__00260.1,14.160667986613769,42.072014385,D495,_,00260,1
D495__00250.1,14.140442554885507,42.085233439999996,D495,_,00250,1
D495__00240.1,14.125271652652833,42.075310345,D495,_,00240,1
D495__00230.1,14.208294274341736,42.090457275,D495,_,00230,1
D495__00220.1,14.200206450273813,42.090201635,D495,_,00220,1
D495__00210.1,14.20350858944471,42.09311048,D495,_,00210,1
D495__00190.1,14.212032329140518,42.096820640000004,D495,_,00190,1
D495__00170.1,14.222647679549977,42.100622845,D495,_,00170,1
D495__00160.1,14.221470429699897,42.10098757,D495,_,00160,1
D495__00150.1,14.209361173699634,42.10085393,D495,_,00150,1
D495__00140.1,14.204486221064656,42.100694245,D495,_,00140,1
D495__00130.1,14.20245988791762,42.100256619999996,D495,_,00130,1
D495__00120.1,14.163922277806307,42.085658505,D495,_,00120,1
D495__00110.1,14.117695848265228,42.09451453,D495,_,00110,1
D495__00100.1,14.099063080470458,42.09404332,D495,_,00100,1
D495__00080.1,14.219520158270662,42.104417355,D495,_,00080,1
D495__00070.1,14.225407754801079,42.107899275,D495,_,00070,1
D495__00060.1,14.213539579772638,42.107740715000006,D495,_,00060,1
D495__00050.1,14.205883408657867,42.107539994999996,D495,_,00050,1
D495__00040.1,14.225522665565768,42.110771545,D495,_,00040,1
D495__00030.1,14.208636059961552,42.116791465000006,D495,_,00030,1
D495__00020.1,14.197537333723552,42.10998098,D495,_,00020,1
D495__00040.10,14.226204902176413,42.10931111,D495,_,00040,10
D495__00230.10,14.209437579586432,42.090043065,D495,_,00230,10
D495__00220.10,14.200189055193373,42.089510845,D495,_,00220,10
D495__00190.10,14.213389345255296,42.09691005,D495,_,00190,10
D495__00180.10,14.233171666393043,42.10238439,D495,_,00180,10
D495__00170.10,14.223731999526436,42.101321940000005,D495,_,00170,10
D495__00160.10,14.217053672440313,42.099373365,D495,_,00160,10
D495__00150.10,14.209635064798285,42.09978415,D495,_,00150,10
D495__00140.10,14.206510725796551,42.10063079,D495,_,00140,10
D495__00090.10,14.226286014126819,42.105713095,D495,_,00090,10
D495__00080.10,14.220225075182974,42.103719225,D495,_,00080,10
D495__00070.10,14.217376104810574,42.106822695,D495,_,00070,10
D495__00060.10,14.211238391223914,42.106909175,D495,_,00060,10
D495__00050.10,14.209498640832049,42.107206375000004,D495,_,00050,10
D495__00030.100,14.208787904691714,42.11206093,D495,_,00030,100
D495__00220.100,14.199426228764679,42.083266475,D495,_,00220,100
D495__00210.100,14.203704716618493,42.091830335,D495,_,00210,100
D495__00200.100,14.209754345486004,42.093154745,D495,_,00200,100
D495__00190.100,14.21515001563251,42.094826964999996,D495,_,00190,100
D495__00180.100,14.230721322147819,42.100293585,D495,_,00180,100
D495__00170.100,14.225215709706701,42.099215924999996,D495,_,00170,100
D495__00160.100,14.22029218070399,42.097872124999995,D495,_,00160,100
D495__00090.100,14.224025168164756,42.102809005,D495,_,00090,100
D495__00080.100,14.215144143094014,42.101550135,D495,_,00080,100
D495__00070.100,14.224838847358466,42.106458565,D495,_,00070,100
D495__00060.100,14.215315038393404,42.104829535,D495,_,00060,100
D495__00050.100,14.208836021439065,42.1040618,D495,_,00050,100
D495__00040.100,14.227283668845462,42.10618591,D495,_,00040,100
D495__00210.1000,14.206697796171284,42.0903189,D495,_,00210,1000
D495__00210.1001,14.206807064771931,42.090360525,D495,_,00210,1001
D495__00210.1002,14.206755019315388,42.09023241,D495,_,00210,1002
D495__00210.1003,14.206695912999159,42.090167805,D495,_,00210,1003
D495__00210.1004,14.206869118384153,42.09015497,D495,_,00210,1004
D495__00210.1006,14.206917369863529,42.08986816,D495,_,00210,1006
D495__00210.1007,14.206416222160659,42.089900005000004,D495,_,00210,1007
D495__00210.1008,14.2062513199872,42.089791395,D495,_,00210,1008
D495__00210.1009,14.206112004910278,42.089669075,D495,_,00210,1009
D495__00030.101,14.208552480638668,42.11155352,D495,_,00030,101
D495__00230.101,14.206736294739757,42.08764712,D495,_,00230,101
D495__00210.101,14.203786402109124,42.091837815,D495,_,00210,101
D495__00200.101,14.210187195373244,42.093786605000005,D495,_,00200,101
D495__00190.101,14.215484389000135,42.094989569999996,D495,_,00190,101
D495__00180.101,14.231211890613439,42.10038738,D495,_,00180,101
D495__00170.101,14.22537097131113,42.099151425,D495,_,00170,101
D495__00090.101,14.224778718649322,42.103746945,D495,_,00090,101
D495__00080.101,14.215415407738188,42.1013731,D495,_,00080,101
D495__00070.101,14.215788241525118,42.105182095,D495,_,00070,101
D495__00060.101,14.215081114801158,42.104745625,D495,_,00060,101
D495__00050.101,14.20925794236691,42.104636075,D495,_,00050,101
D495__00040.101,14.227510462574799,42.10615155,D495,_,00040,101
D495__00210.1010,14.206150024633743,42.089630435000004,D495,_,00210,1010
D495__00210.1011,14.20622435369025,42.08962119500001,D495,_,00210,1011
D495__00210.1012,14.206263975718162,42.08947349,D495,_,00210,1012
D495__00210.1013,14.206490789264215,42.089598075,D495,_,00210,1013
D495__00210.1015,14.20646014645206,42.089393265,D495,_,00210,1015
D495__00210.1018,14.20657290200111,42.089307295,D495,_,00210,1018
D495__00030.102,14.209463288360517,42.112455155,D495,_,00030,102
D495__00220.102,14.201754566882537,42.08469489,D495,_,00220,102
D495__00210.102,14.203861391413131,42.091855769999995,D495,_,00210,102
D495__00200.102,14.210082907946667,42.093341895,D495,_,00200,102
D495__00190.102,14.215251748247233,42.09428754,D495,_,00190,102
D495__00180.102,14.231668604998857,42.10001714,D495,_,00180,102
D495__00170.102,14.225367568013064,42.09890684,D495,_,00170,102
D495__00160.102,14.220605932618174,42.0977016,D495,_,00160,102
D495__00090.102,14.224774706160847,42.103277094999996,D495,_,00090,102
D495__00080.102,14.2156556379821,42.101212880000006,D495,_,00080,102
D495__00070.102,14.216303860175039,42.10524035,D495,_,00070,102
D495__00060.102,14.215327642585432,42.104575405000006,D495,_,00060,102
D495__00050.102,14.209489475718026,42.104551105,D495,_,00050,102
D495__00040.102,14.227685664254512,42.106215115,D495,_,00040,102
D495__00210.1021,14.206908358466068,42.08955142,D495,_,00210,1021
D495__00210.1023,14.206708876112428,42.089351565,D495,_,00210,1023
D495__00210.1025,14.205575101774151,42.08987961,D495,_,00210,1025
D495__00210.1027,14.205774970660258,42.089779254999996,D495,_,00210,1027
D495__00210.1028,14.205851651282053,42.08974275,D495,_,00210,1028
D495__00210.1029,14.205879324143858,42.08966758,D495,_,00210,1029
D495__00050.103,14.209309755307803,42.104167090000004,D495,_,00050,103
D495__00230.103,14.207005872414497,42.087779845,D495,_,00230,103
D495__00220.103,14.20178527212752,42.087606175,D495,_,00220,103
D495__00210.103,14.203776968299753,42.091802935000004,D495,_,00210,103
D495__00200.103,14.209986059149248,42.09318994,D495,_,00200,103
D495__00190.103,14.21554765760613,42.094034504999996,D495,_,00190,103
D495__00180.103,14.232137501431572,42.100176680000004,D495,_,00180,103
D495__00170.103,14.225551844409651,42.099381075,D495,_,00170,103
D495__00160.103,14.220524422377792,42.09827244,D495,_,00160,103
D495__00090.103,14.224945119914466,42.103485594999995,D495,_,00090,103
D495__00080.103,14.21613746399656,42.10201773,D495,_,00080,103
D495__00070.103,14.215979620296348,42.1050496,D495,_,00070,103
D495__00060.103,14.210057625744426,42.1045744,D495,_,00060,103
D495__00210.1030,14.205944930890077,42.089655019999995,D495,_,00210,1030
D495__00210.1031,14.205923315015458,42.089624584999996,D495,_,00210,1031
D495__00210.1032,14.205980227075866,42.089641945,D495,_,00210,1032
D495__00210.1033,14.205493778725293,42.089780590000004,D495,_,00210,1033
D495__00210.1034,14.205587068015642,42.089716205,D495,_,00210,1034
D495__00210.1035,14.205520804619423,42.089691759999994,D495,_,00210,1035
D495__00210.1036,14.205507713358603,42.089641645,D495,_,00210,1036
D495__00210.1037,14.205447956998238,42.089643345,D495,_,00210,1037
D495__00210.1038,14.20534586456224,42.089586745,D495,_,00210,1038
D495__00210.1039,14.205507406659095,42.089596650000004,D495,_,00210,1039
D495__00040.104,14.228855413835017,42.106126525,D495,_,00040,104
D495__00230.104,14.207339939986252,42.08766269,D495,_,00230,104
D495__00220.104,14.202294713802111,42.085160005,D495,_,00220,104
D495__00210.104,14.203686468671219,42.091782065000004,D495,_,00210,104
D495__00200.104,14.210582144120782,42.09315945,D495,_,00200,104
D495__00180.104,14.232321144788415,42.100429005,D495,_,00180,104
D495__00170.104,14.225486639293955,42.09902255,D495,_,00170,104
D495__00160.104,14.220755394370066,42.098007155000005,D495,_,00160,104
D495__00140.104,14.207116740998465,42.097907164999995,D495,_,00140,104
D495__00090.104,14.225517571579829,42.10350129,D495,_,00090,104
D495__00080.104,14.216304476856488,42.10164843,D495,_,00080,104
D495__00060.104,14.210402912616313,42.10462479,D495,_,00060,104
D495__00050.104,14.209160258770144,42.10406108,D495,_,00050,104
D495__00210.1040,14.205479075075578,42.089569655000005,D495,_,00210,1040
D495__00210.1041,14.205453242932574,42.08955025,D495,_,00210,1041
D495__00210.1042,14.205448545907348,42.08949613,D495,_,00210,1042
D495__00210.1043,14.205517296059309,42.089518105,D495,_,00210,1043
D495__00210.1044,14.205567703876445,42.089570865,D495,_,00210,1044
D495__00210.1046,14.205662010337171,42.08962681,D495,_,00210,1046
D495__00210.1047,14.205683323384577,42.08957745,D495,_,00210,1047
D495__00210.1048,14.205756700811822,42.08960139,D495,_,00210,1048
D495__00210.1049,14.205814289612077,42.08957183,D495,_,00210,1049
D495__00040.105,14.229185661349451,42.106364475,D495,_,00040,105
D495__00220.105,14.20271418094839,42.08721253,D495,_,00220,105
D495__00180.105,14.232636320179004,42.10037793,D495,_,00180,105
D495__00170.105,14.225696172434201,42.09917154,D495,_,00170,105
D495__00160.105,14.220607094771875,42.09828253,D495,_,00160,105
D495__00140.105,14.207546371575475,42.09786127,D495,_,00140,105
D495__00090.105,14.225396123259882,42.10309766,D495,_,00090,105
D495__00080.105,14.216057150523703,42.10162983,D495,_,00080,105
D495__00070.105,14.216819298092316,42.105570485,D495,_,00070,105
D495__00060.105,14.210486463112947,42.104096725,D495,_,00060,105
D495__00050.105,14.209591881438488,42.104233215,D495,_,00050,105
D495__00210.1050,14.205881125074017,42.08954899,D495,_,00210,1050
D495__00210.1051,14.205796986083293,42.08951705,D495,_,00210,1051
D495__00210.1052,14.205700881028072,42.08949803,D495,_,00210,1052
D495__00210.1053,14.205593980629743,42.08948196,D495,_,00210,1053
D495__00210.1055,14.205532457848179,42.089417515,D495,_,00210,1055
D495__00210.1057,14.20572118241408,42.089435144999996,D495,_,00210,1057
D495__00210.1058,14.206015296918345,42.089480925000004,D495,_,00210,1058
D495__00030.106,14.209419567312638,42.111809185,D495,_,00030,106
D495__00230.106,14.206806349010819,42.08740021,D495,_,00230,106
D495__00220.106,14.201645427379283,42.08917859,D495,_,00220,106
D495__00210.106,14.205754132928064,42.091431165,D495,_,00210,106
