nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D499__00010.1,7.898459262833123,44.546029794999995,D499,_,00010,1
D499__00200.1,7.95711701401471,44.4981629,D499,_,00200,1
D499__00190.1,7.947194697370781,44.49451342,D499,_,00190,1
D499__00180.1,7.942621696278366,44.497448274999996,D499,_,00180,1
D499__00170.1,7.9387748546821,44.509404305000004,D499,_,00170,1
D499__00150.1,7.93399758504229,44.50026233,D499,_,00150,1
D499__0013.1,7.909884724252622,44.511794785,D499,_,0013,1
D499__00120.1,7.918933714266245,44.50752976,D499,_,00120,1
D499__00110.1,7.909507870305509,44.509751370000004,D499,_,00110,1
D499__00100.1,7.895714709928722,44.504880835,D499,_,00100,1
D499__00090.1,7.890754816171707,44.50556591,D499,_,00090,1
D499__00080.1,7.897572282140066,44.514014975,D499,_,00080,1
D499__00070.1,7.9103050084740865,44.52330832,D499,_,00070,1
D499__00060.1,7.911282470681035,44.523309069999996,D499,_,00060,1
D499__00040.1,7.9163617658140915,44.532967255,D499,_,00040,1
D499__00030.1,7.908254015257379,44.53470952,D499,_,00030,1
D499__00020.1,7.900455335576544,44.54865074,D499,_,00020,1
D499__00010.10,7.8997816567501715,44.545356665,D499,_,00010,10
D499__00200.10,7.957171380562787,44.496089705,D499,_,00200,10
D499__00190.10,7.949740512241947,44.491532065,D499,_,00190,10
D499__00180.10,7.942674548366482,44.500173335,D499,_,00180,10
D499__00170.10,7.939189705071224,44.509473985,D499,_,00170,10
D499__00150.10,7.934333946726047,44.49853186,D499,_,00150,10
D499__00140.10,7.926616185266215,44.512126555,D499,_,00140,10
D499__0013.10,7.91224597727527,44.511255155,D499,_,0013,10
D499__00120.10,7.92118987969579,44.505984839999996,D499,_,00120,10
D499__00110.10,7.911097752435386,44.508512870000004,D499,_,00110,10
D499__00100.10,7.8968899559872066,44.504541865,D499,_,00100,10
D499__00090.10,7.890367770595297,44.504758675000005,D499,_,00090,10
D499__00080.10,7.900944113749504,44.51186401,D499,_,00080,10
D499__00070.10,7.9097952045540465,44.521555115,D499,_,00070,10
D499__00060.10,7.914323471097137,44.52363762,D499,_,00060,10
D499__00050.10,7.92505707805662,44.518839674999995,D499,_,00050,10
