nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D530__00010.1,11.841769320818067,46.111666145,D530,_,00010,1
D530__00920.1,11.949789137873605,45.98225894,D530,_,00920,1
D530__00910.1,11.931544893971045,45.984030875,D530,_,00910,1
D530__00900.1,11.917130443784707,45.98260648,D530,_,00900,1
D530__00890.1,11.906802801766162,45.984947055,D530,_,00890,1
D530__00880.1,11.95194303127872,45.98399773,D530,_,00880,1
D530__00870.1,11.931600401444225,45.98502555,D530,_,00870,1
D530__00860.1,11.926582468416262,45.990868185,D530,_,00860,1
D530__00850.1,11.906809824627084,45.990827835000005,D530,_,00850,1
D530__00840.1,11.89314185136655,45.989733785,D530,_,00840,1
D530__00830.1,11.962431185730734,45.991896785,D530,_,00830,1
D530__00820.1,11.968980647771549,46.00096044,D530,_,00820,1
D530__00810.1,11.950616530281668,45.996779935,D530,_,00810,1
D530__00800.1,11.94797511978906,45.9955197,D530,_,00800,1
D530__00790.1,11.94322799723524,45.99965813,D530,_,00790,1
D530__00780.1,11.906538840283961,45.996467034999995,D530,_,00780,1
D530__00770.1,11.883663850025398,45.998648795,D530,_,00770,1
D530__00750.1,11.962854916373345,46.008478755,D530,_,00750,1
D530__00740.1,11.951008922454644,46.010134125,D530,_,00740,1
D530__00730.1,11.938591232319695,46.00400303,D530,_,00730,1
D530__0072.1,11.944181737340955,46.012865344999994,D530,_,0072,1
D530__00710.1,11.922035052311749,46.005778375000006,D530,_,00710,1
D530__00700.1,11.923243230196736,46.011940859999996,D530,_,00700,1
D530__00690.1,11.902628193153367,46.003652405,D530,_,00690,1
D530__0065.1,11.956295810305878,46.021439355,D530,_,0065,1
D530__00630.1,11.944846703539856,46.02089351,D530,_,00630,1
D530__0061.1,11.900644632707824,46.01700517,D530,_,0061,1
D530__00600.1,11.89354131962222,46.015082055,D530,_,00600,1
D530__00590.1,11.875317785989267,46.019162765,D530,_,00590,1
D530__0058.1,11.87070624151642,46.01214599,D530,_,0058,1
D530__00570.1,11.860074730953071,46.016689205,D530,_,00570,1
D530__00560.1,11.84998768007051,46.01388093,D530,_,00560,1
D530__00540.1,11.979754331739198,46.03631353,D530,_,00540,1
D530__00530.1,11.95868400959125,46.026448945,D530,_,00530,1
D530__0050.1,11.9250830071954,46.024430215,D530,_,0050,1
D530__00470.1,11.873670292184826,46.024202185,D530,_,00470,1
D530__0046.1,11.862757569505796,46.019935755000006,D530,_,0046,1
D530__00450.1,11.968076651433632,46.04697435,D530,_,00450,1
D530__00440.1,11.955422610705757,46.040070925,D530,_,00440,1
D530__00430.1,11.939730684586637,46.036377085,D530,_,00430,1
D530__00420.1,11.924973139930751,46.030913045000005,D530,_,00420,1
D530__0040.1,11.902051860129916,46.02778784,D530,_,0040,1
D530__00390.1,11.884665862250426,46.02964953,D530,_,00390,1
D530__00380.1,11.952677681489718,46.049924675,D530,_,00380,1
D530__00370.1,11.937893815946136,46.0438764,D530,_,00370,1
D530__00360.1,11.933028785611853,46.044108265000006,D530,_,00360,1
D530__00350.1,11.926452387197656,46.04365345,D530,_,00350,1
D530__00310.1,11.942011417851539,46.05488467,D530,_,00310,1
D530__00300.1,11.938386709173919,46.052053275000006,D530,_,00300,1
D530__00270.1,11.898038873738145,46.051859735,D530,_,00270,1
D530__00250.1,11.920217851181434,46.0659959,D530,_,00250,1
D530__00240.1,11.918874219433015,46.066188534999995,D530,_,00240,1
D530__00230.1,11.909582077285549,46.067558774999995,D530,_,00230,1
D530__00220.1,11.906772969993341,46.060423795000005,D530,_,00220,1
D530__00210.1,11.89431143069616,46.0616645,D530,_,00210,1
D530__00200.1,11.882571708238409,46.057661839999994,D530,_,00200,1
D530__00180.1,11.915382707436923,46.07190446,D530,_,00180,1
D530__00170.1,11.88611832609141,46.06662631,D530,_,00170,1
D530__00160.1,11.876076713419266,46.065220159999996,D530,_,00160,1
D530__00150.1,11.937318324120374,46.08768847,D530,_,00150,1
D530__00140.1,11.920880471027488,46.081408935,D530,_,00140,1
D530__00130.1,11.911094528766123,46.077631295,D530,_,00130,1
D530__00120.1,11.90161727695265,46.081740925,D530,_,00120,1
D530__00110.1,11.88555991987953,46.076065325,D530,_,00110,1
D530__00100.1,11.874198325177503,46.077474045,D530,_,00100,1
D530__00090.1,11.927713363092405,46.09041202,D530,_,00090,1
D530__00080.1,11.913748950350222,46.08709089,D530,_,00080,1
D530__00070.1,11.908768176105571,46.093682875,D530,_,00070,1
D530__00060.1,11.895466131005438,46.09938407,D530,_,00060,1
D530__00050.1,11.86495699130391,46.085564719999994,D530,_,00050,1
D530__00040.1,11.853205581021829,46.08652524,D530,_,00040,1
D530__00030.1,11.863889118714798,46.10402942,D530,_,00030,1
D530__00020.1,11.885945339389258,46.118733025,D530,_,00020,1
D530__00010.10,11.856390205858506,46.11083193,D530,_,00010,10
D530__00920.10,11.9477361028629,45.981039385,D530,_,00920,10
D530__00910.10,11.932477041564038,45.981136495,D530,_,00910,10
D530__00900.10,11.921424736889668,45.98087357,D530,_,00900,10
D530__00890.10,11.908802289457139,45.984134385,D530,_,00890,10
D530__00880.10,11.951814084205843,45.983362119999995,D530,_,00880,10
D530__00870.10,11.947300190697868,45.98545265,D530,_,00870,10
D530__00860.10,11.931650359089787,45.989350465,D530,_,00860,10
D530__00850.10,11.912516784695303,45.990234445,D530,_,00850,10
D530__00840.10,11.898016865494093,45.990616325000005,D530,_,00840,10
D530__00830.10,11.964978826981687,45.992602265,D530,_,00830,10
D530__00820.10,11.970958426192094,45.99985925,D530,_,00820,10
D530__00810.10,11.954913247771835,45.997401055,D530,_,00810,10
D530__00800.10,11.947319611985066,45.993698595,D530,_,00800,10
D530__00790.10,11.943023689438668,45.997965095,D530,_,00790,10
D530__00780.10,11.910201711639836,45.997879475000005,D530,_,00780,10
D530__00770.10,11.885289588058459,45.997733229999994,D530,_,00770,10
D530__00750.10,11.964519523896417,46.008192425000004,D530,_,00750,10
D530__00740.10,11.951587307036824,46.00972778,D530,_,00740,10
D530__0072.10,11.941480800326598,46.011430215000004,D530,_,0072,10
D530__00710.10,11.925069355254035,46.00363811,D530,_,00710,10
D530__00700.10,11.92658836599064,46.01172343,D530,_,00700,10
D530__00690.10,11.906299569607198,46.004355135,D530,_,00690,10
D530__00680.10,11.903206226512372,46.008589400000005,D530,_,00680,10
D530__00670.10,11.88781362304873,46.007130970000006,D530,_,00670,10
D530__0065.10,11.956512610960136,46.02141969,D530,_,0065,10
D530__00630.10,11.946699280216352,46.020131695,D530,_,00630,10
D530__00620.10,11.919092546616806,46.016671869999996,D530,_,00620,10
