nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D542__00010.1,13.737783785525947,43.225677430000005,D542,_,00010,1
D542__01380.1,13.509416988411772,43.168716275,D542,_,01380,1
D542__01360.1,13.533991790598844,43.17246507,D542,_,01360,1
D542__01350.1,13.510990845647065,43.1736063,D542,_,01350,1
D542__01340.1,13.510761222244053,43.1741574,D542,_,01340,1
D542__01330.1,13.742989980379052,43.11886648,D542,_,01330,1
D542__01320.1,13.821929725404317,43.13440509,D542,_,01320,1
D542__01310.1,13.815091758006862,43.13353419,D542,_,01310,1
D542__01300.1,13.806750331825263,43.13190052,D542,_,01300,1
D542__01280.1,13.80769615174323,43.13994076,D542,_,01280,1
D542__01270.1,13.788935648550513,43.135700009999994,D542,_,01270,1
D542__01260.1,13.775768171161019,43.137094454999996,D542,_,01260,1
D542__01230.1,13.757037044371176,43.13055978,D542,_,01230,1
D542__01210.1,13.720848287873455,43.127636175,D542,_,01210,1
D542__01200.1,13.742268560511176,43.139221055,D542,_,01200,1
D542__01190.1,13.738436249445224,43.138022660000004,D542,_,01190,1
D542__01170.1,13.70800221008671,43.128752595,D542,_,01170,1
D542__01160.1,13.711218779926764,43.134906225,D542,_,01160,1
D542__01150.1,13.690525300646637,43.13277665,D542,_,01150,1
D542__01140.1,13.683634123433318,43.116984465,D542,_,01140,1
D542__01130.1,13.686511650659998,43.130469094999995,D542,_,01130,1
D542__01120.1,13.665225756001178,43.118149575000004,D542,_,01120,1
D542__01110.1,13.665067187155184,43.121530265,D542,_,01110,1
D542__01100.1,13.678323641899686,43.13024301,D542,_,01100,1
D542__01090.1,13.80965634874259,43.146018305,D542,_,01090,1
D542__01080.1,13.787692027323626,43.13991245,D542,_,01080,1
D542__01070.1,13.780287545817202,43.145003365,D542,_,01070,1
D542__01050.1,13.748565898097638,43.13888556,D542,_,01050,1
D542__01040.1,13.767261505791701,43.14715905,D542,_,01040,1
D542__01030.1,13.738964078051827,43.146004285000004,D542,_,01030,1
D542__01010.1,13.709692900951842,43.142474715000006,D542,_,01010,1
D542__01000.1,13.697307357246306,43.14347292,D542,_,01000,1
D542__00980.1,13.674146024966502,43.138188935,D542,_,00980,1
D542__00970.1,13.665115215972769,43.134688510000004,D542,_,00970,1
D542__00950.1,13.64944463375457,43.13800069,D542,_,00950,1
D542__00940.1,13.645180979496669,43.138870960000006,D542,_,00940,1
D542__00930.1,13.629452490965406,43.135258445,D542,_,00930,1
D542__00920.1,13.637851515039653,43.144256215,D542,_,00920,1
D542__00910.1,13.653154676273463,43.147062739999996,D542,_,00910,1
D542__00890.1,13.634274455882665,43.150912925,D542,_,00890,1
D542__00880.1,13.805519852417753,43.16255774,D542,_,00880,1
D542__00860.1,13.782609688547211,43.153503560000004,D542,_,00860,1
D542__00850.1,13.765847352858884,43.154441645,D542,_,00850,1
D542__00820.1,13.744439556776015,43.15360065,D542,_,00820,1
D542__00810.1,13.726431082566702,43.152784125,D542,_,00810,1
D542__00800.1,13.729705120077623,43.158867295,D542,_,00800,1
D542__00790.1,13.70883158611631,43.158985275,D542,_,00790,1
D542__00780.1,13.704984968763704,43.15807038,D542,_,00780,1
D542__00770.1,13.704847570759496,43.15573724,D542,_,00770,1
D542__00760.1,13.704565349772016,43.155637369999994,D542,_,00760,1
D542__00750.1,13.684248899420995,43.153386915,D542,_,00750,1
D542__00740.1,13.6779419404148,43.150677599999995,D542,_,00740,1
D542__00730.1,13.663800313317342,43.146745280000005,D542,_,00730,1
D542__00720.1,13.664085560003866,43.154711035000005,D542,_,00720,1
D542__00710.1,13.646647188697255,43.150409305,D542,_,00710,1
D542__00700.1,13.656361431787598,43.158690695000004,D542,_,00700,1
D542__00690.1,13.639366548553017,43.157966779999995,D542,_,00690,1
D542__00660.1,13.771590814471052,43.165583805,D542,_,00660,1
D542__00650.1,13.75561314335505,43.163273595,D542,_,00650,1
D542__00640.1,13.736357842596185,43.16313714,D542,_,00640,1
D542__00630.1,13.723597727166872,43.16505483,D542,_,00630,1
D542__00620.1,13.715069919362385,43.16159476,D542,_,00620,1
D542__00610.1,13.715408637942163,43.163758475,D542,_,00610,1
D542__00600.1,13.704787818455905,43.162237825000005,D542,_,00600,1
D542__00580.1,13.684820397760081,43.160609210000004,D542,_,00580,1
D542__00570.1,13.667761471799576,43.159653989999995,D542,_,00570,1
D542__00560.1,13.68122944911514,43.169601685,D542,_,00560,1
D542__00520.1,13.656727004148902,43.164655804999995,D542,_,00520,1
D542__00510.1,13.64301107456443,43.170020445,D542,_,00510,1
D542__00490.1,13.76639531000497,43.173183825,D542,_,00490,1
D542__00470.1,13.748816383245677,43.17511735,D542,_,00470,1
D542__00460.1,13.733806215255871,43.168480255,D542,_,00460,1
D542__00430.1,13.701337054313264,43.174527350000005,D542,_,00430,1
D542__00420.1,13.682835469300894,43.17330612000001,D542,_,00420,1
D542__00400.1,13.679390787430378,43.1724258,D542,_,00400,1
D542__00390.1,13.655722767601562,43.170948545,D542,_,00390,1
D542__00380.1,13.668045440062606,43.182298075,D542,_,00380,1
D542__00360.1,13.650220732277145,43.180920775000004,D542,_,00360,1
D542__00340.1,13.653974349240752,43.18722837,D542,_,00340,1
D542__00330.1,13.75208840813148,43.18812941,D542,_,00330,1
D542__00320.1,13.74774163896642,43.186429585,D542,_,00320,1
D542__00310.1,13.73572072579806,43.180055765,D542,_,00310,1
D542__00290.1,13.717573879828482,43.181953035,D542,_,00290,1
D542__00280.1,13.705911885945682,43.18440009,D542,_,00280,1
D542__00270.1,13.70197086419249,43.185646565,D542,_,00270,1
D542__00260.1,13.715959573106,43.19544358,D542,_,00260,1
D542__00250.1,13.711688254536057,43.192406094999996,D542,_,00250,1
D542__00220.1,13.743319615848307,43.194966195000006,D542,_,00220,1
D542__00190.1,13.76778242100584,43.19795666,D542,_,00190,1
D542__00160.1,13.740807506302815,43.204403255,D542,_,00160,1
D542__00120.1,13.76139902786073,43.21094049,D542,_,00120,1
D542__00110.1,13.75435909789309,43.214398655,D542,_,00110,1
D542__00090.1,13.739532867662788,43.21765141,D542,_,00090,1
D542__00080.1,13.777790178756327,43.22334153,D542,_,00080,1
D542__00070.1,13.770014800515636,43.221660674999995,D542,_,00070,1
D542__00050.1,13.737686787612645,43.223396315,D542,_,00050,1
D542__00040.1,13.773116414227244,43.23242959,D542,_,00040,1
D542__00020.1,13.75687977287604,43.22947854,D542,_,00020,1
D542__00020.10,13.761236954838097,43.22323378,D542,_,00020,10
D542__01380.10,13.5129384620897,43.16723818,D542,_,01380,10
D542__01370.10,13.494469993455766,43.16680246999999,D542,_,01370,10
D542__01360.10,13.528521238439797,43.17046315,D542,_,01360,10
D542__01350.10,13.515925373879622,43.17328761,D542,_,01350,10
D542__01340.10,13.508135144142752,43.170728780000005,D542,_,01340,10
D542__01320.10,13.819710248812068,43.129469455,D542,_,01320,10
D542__01310.10,13.818580205113195,43.13329306,D542,_,01310,10
D542__01300.10,13.812956910938983,43.129560435,D542,_,01300,10
D542__01290.10,13.789478472287614,43.127529124999995,D542,_,01290,10
D542__01280.10,13.803646779489164,43.135632185,D542,_,01280,10
D542__01270.10,13.79569381178423,43.13444456,D542,_,01270,10
D542__01250.10,13.776690248456735,43.13084884,D542,_,01250,10
D542__01240.10,13.762571067660831,43.130175120000004,D542,_,01240,10
D542__01230.10,13.751442277603033,43.127865365000005,D542,_,01230,10
D542__01220.10,13.740457860652688,43.129478195000004,D542,_,01220,10
D542__01200.10,13.744994325000054,43.13837745,D542,_,01200,10
D542__01180.10,13.713853688178741,43.134807699999996,D542,_,01180,10
D542__01170.10,13.70323971464729,43.127003204999994,D542,_,01170,10
D542__01160.10,13.711089716703722,43.13379863,D542,_,01160,10
D542__01140.10,13.695131779827708,43.117614875,D542,_,01140,10
D542__01130.10,13.682283844254144,43.124507115,D542,_,01130,10
D542__01120.10,13.667616456809558,43.114237935,D542,_,01120,10
D542__01110.10,13.679297220259004,43.12085377,D542,_,01110,10
D542__01090.10,13.811131451044151,43.14587073,D542,_,01090,10
D542__01080.10,13.789987611050574,43.137308695,D542,_,01080,10
D542__01060.10,13.771778489998724,43.145002735,D542,_,01060,10
D542__01050.10,13.762309578609017,43.136956335,D542,_,01050,10
D542__01030.10,13.745859764880416,43.14290666,D542,_,01030,10
D542__01020.10,13.732333630086856,43.142208534999995,D542,_,01020,10
D542__01010.10,13.712864097987456,43.14154791,D542,_,01010,10
D542__00990.10,13.68722833898808,43.13885971,D542,_,00990,10
D542__00980.10,13.672297651265833,43.135976985,D542,_,00980,10
D542__00970.10,13.664142299019261,43.13420962,D542,_,00970,10
D542__00960.10,13.659897798697969,43.13959389,D542,_,00960,10
D542__00940.10,13.640463468840043,43.137010715,D542,_,00940,10
D542__00930.10,13.633423007610187,43.134292675,D542,_,00930,10
D542__00920.10,13.64304576030844,43.13905421,D542,_,00920,10
D542__00910.10,13.64915814316199,43.144030244999996,D542,_,00910,10
D542__00890.10,13.630295721822407,43.145576410000004,D542,_,00890,10
