nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D559__00010.1,8.903413420978115,44.612270805,D559,_,00010,1
D559__00140.1,8.894838927120642,44.566308129999996,D559,_,00140,1
D559__00130.1,8.901720521957827,44.577115365,D559,_,00130,1
D559__00120.1,8.886871717446844,44.574099415,D559,_,00120,1
D559__00100.1,8.888066858851765,44.581712194999994,D559,_,00100,1
D559__00090.1,8.889662975195234,44.588626335,D559,_,00090,1
D559__00080.1,8.882169983552618,44.586321845,D559,_,00080,1
D559__00050.1,8.878877241286126,44.593385,D559,_,00050,1
D559__00040.1,8.87254745855625,44.60366380000001,D559,_,00040,1
D559__00030.1,8.890312301745587,44.597827475,D559,_,00030,1
D559__00020.1,8.885945593841491,44.6092302,D559,_,00020,1
D559__00030.10,8.891288446605284,44.59785421,D559,_,00030,10
D559__00140.10,8.887884567435975,44.56359673,D559,_,00140,10
D559__00120.10,8.887490514274978,44.573532115,D559,_,00120,10
D559__00110.10,8.908068730514572,44.587021109999995,D559,_,00110,10
D559__00100.10,8.894015408682733,44.58133496,D559,_,00100,10
D559__00090.10,8.900346903409744,44.590682165000004,D559,_,00090,10
D559__00080.10,8.884645764367747,44.58467425,D559,_,00080,10
D559__00070.10,8.867836288388064,44.585134100000005,D559,_,00070,10
D559__00060.10,8.898143176466403,44.597652165,D559,_,00060,10
D559__00050.10,8.878751824249257,44.59067142,D559,_,00050,10
D559__00010.100,8.904990648099673,44.611751155,D559,_,00010,100
D559__00130.100,8.907860321785236,44.57551307999999,D559,_,00130,100
D559__00120.100,8.887391907831574,44.57086862,D559,_,00120,100
D559__00110.100,8.910242696432812,44.58513981,D559,_,00110,100
D559__00100.100,8.88751484517364,44.5747265,D559,_,00100,100
D559__00090.100,8.887399017639972,44.585434135,D559,_,00090,100
D559__00080.100,8.876582806869688,44.577640720000005,D559,_,00080,100
D559__00070.100,8.865508032117084,44.587847575,D559,_,00070,100
D559__00050.100,8.878523044582504,44.59530948,D559,_,00050,100
D559__00040.100,8.874879463899628,44.597912539999996,D559,_,00040,100
D559__00030.100,8.901393485201039,44.603797145,D559,_,00030,100
D559__00010.101,8.903182371023515,44.611618045,D559,_,00010,101
D559__00130.101,8.909418309840984,44.57548941,D559,_,00130,101
D559__00120.101,8.888688536502354,44.570808025,D559,_,00120,101
D559__00110.101,8.907207553774683,44.585041835,D559,_,00110,101
D559__00100.101,8.881167240290084,44.574940675,D559,_,00100,101
D559__00090.101,8.887462958865052,44.58569823,D559,_,00090,101
D559__00070.101,8.866180436585715,44.587482725,D559,_,00070,101
D559__00060.101,8.906447977254103,44.598402435,D559,_,00060,101
D559__00050.101,8.87864034715659,44.59530948,D559,_,00050,101
D559__00030.101,8.901565534185272,44.603499455000005,D559,_,00030,101
D559__00020.101,8.883510195318607,44.60179009,D559,_,00020,101
D559__00010.102,8.903359146684352,44.611681454999996,D559,_,00010,102
D559__00130.102,8.910323680184524,44.57547339,D559,_,00130,102
D559__00120.102,8.889058294650475,44.570881565,D559,_,00120,102
D559__00110.102,8.908642422000181,44.58489175,D559,_,00110,102
D559__00100.102,8.881273940688,44.57493874,D559,_,00100,102
D559__00090.102,8.88549310510944,44.585266605,D559,_,00090,102
D559__00080.102,8.884431308948539,44.579215755,D559,_,00080,102
D559__00070.102,8.867142182453739,44.58776542,D559,_,00070,102
D559__00060.102,8.906589522117319,44.598514179999995,D559,_,00060,102
D559__00050.102,8.878835527663803,44.59522126,D559,_,00050,102
D559__00040.102,8.872728909585113,44.599271705,D559,_,00040,102
D559__00030.102,8.901838354358393,44.603639924999996,D559,_,00030,102
D559__00020.102,8.883801922415465,44.601554394999994,D559,_,00020,102
D559__00010.103,8.903297344761487,44.61135401,D559,_,00010,103
D559__00130.103,8.911388222927776,44.57547687,D559,_,00130,103
D559__00120.103,8.886244213003145,44.57037769,D559,_,00120,103
D559__00110.103,8.90808405640259,44.584871275,D559,_,00110,103
D559__00100.103,8.881435155111195,44.574882685,D559,_,00100,103
D559__00090.103,8.885911591935157,44.584704735,D559,_,00090,103
D559__00080.103,8.88444859311863,44.57896599,D559,_,00080,103
D559__00070.103,8.866673072823644,44.58749806,D559,_,00070,103
D559__00060.103,8.90735013318324,44.598513835,D559,_,00060,103
D559__00050.103,8.877451708295103,44.59490724,D559,_,00050,103
D559__00040.103,8.872648692777952,44.59960426,D559,_,00040,103
D559__00030.103,8.90223067572675,44.60323581,D559,_,00030,103
D559__00010.104,8.903588451317052,44.611434485000004,D559,_,00010,104
D559__00130.104,8.910578663645797,44.57524367,D559,_,00130,104
D559__00120.104,8.886910545021955,44.570495815,D559,_,00120,104
D559__00110.104,8.909457411129456,44.584564154999995,D559,_,00110,104
D559__00100.104,8.881165101583957,44.574625525,D559,_,00100,104
D559__00090.104,8.887910245491424,44.584537895,D559,_,00090,104
D559__00080.104,8.883570292742093,44.5785586,D559,_,00080,104
D559__00070.104,8.865262477600456,44.587360905,D559,_,00070,104
D559__00060.104,8.907802170054694,44.59841468,D559,_,00060,104
D559__00050.104,8.8767863376614,44.59445355,D559,_,00050,104
D559__00030.104,8.902832429908141,44.603188225,D559,_,00030,104
D559__00010.105,8.904257077771568,44.611633405,D559,_,00010,105
D559__00130.105,8.91200211930391,44.575411945,D559,_,00130,105
D559__00120.105,8.887215047698522,44.57059993,D559,_,00120,105
D559__00110.105,8.909365945428574,44.58517487,D559,_,00110,105
D559__00100.105,8.881298341945651,44.574669835,D559,_,00100,105
D559__00090.105,8.889937443032867,44.586079905,D559,_,00090,105
D559__00080.105,8.884247848342516,44.57856306,D559,_,00080,105
D559__00070.105,8.866201968950904,44.586194985,D559,_,00070,105
D559__00060.105,8.906794055426543,44.59839938499999,D559,_,00060,105
D559__00050.105,8.878515996127398,44.594641495000005,D559,_,00050,105
D559__00040.105,8.872912889192502,44.601531515,D559,_,00040,105
D559__00030.105,8.897882613541501,44.60364182,D559,_,00030,105
D559__00010.106,8.905248742734598,44.611653294999996,D559,_,00010,106
D559__00130.106,8.90937237896553,44.575159675,D559,_,00130,106
D559__00120.106,8.88735447054849,44.570390445,D559,_,00120,106
D559__00110.106,8.909588792076526,44.584961445,D559,_,00110,106
D559__00100.106,8.881244840445312,44.574464025,D559,_,00100,106
D559__00090.106,8.89374267502765,44.58711667,D559,_,00090,106
D559__00080.106,8.879333079294,44.577789415,D559,_,00080,106
D559__00070.106,8.865670463576262,44.58614135,D559,_,00070,106
D559__00060.106,8.907686818998528,44.598251585,D559,_,00060,106
D559__00050.106,8.87862748629999,44.594468899999995,D559,_,00050,106
D559__00040.106,8.874067650705879,44.601082735,D559,_,00040,106
D559__00030.106,8.901270668103056,44.602657875000006,D559,_,00030,106
D559__00010.107,8.902683585133872,44.61126473,D559,_,00010,107
