nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D656A_00300.1,10.711486944035109,42.953232465,D656,A,00300,1
D656__00280.1,10.762523443084856,42.92042929,D656,_,00280,1
D656__00270.1,10.780221726162482,42.92174588,D656,_,00270,1
D656__00250.1,10.758669114950699,42.925712614999995,D656,_,00250,1
D656__00230.1,10.74543543080177,42.92660157,D656,_,00230,1
D656__00190.1,10.764637793542907,42.933553145,D656,_,00190,1
D656__00180.1,10.796636528684308,42.950078345,D656,_,00180,1
D656__00100.1,10.784886166568647,42.96831179,D656,_,00100,1
D656__00090.1,10.783593291123989,42.96606453,D656,_,00090,1
D656__00070.1,10.750136471551393,42.98376683,D656,_,00070,1
D656__00060.1,10.793697581149083,42.97797014,D656,_,00060,1
D656__00050.1,10.766901202920469,42.984719935,D656,_,00050,1
D656__00040.1,10.757717501773842,42.982091935,D656,_,00040,1
D656__00030.1,10.780721656520766,43.00246935,D656,_,00030,1
D656__00020.1,10.76788691090708,43.007983115,D656,_,00020,1
D656__00010.1,10.742234293742989,43.014062515,D656,_,00010,1
D656A_00340.1,10.739029981393813,42.939051955,D656,A,00340,1
D656A_00330.1,10.727458468412614,42.943834425000006,D656,A,00330,1
D656A_00290.10,10.723699548665996,42.953338959999996,D656,A,00290,10
D656__0028.10,10.763308473043121,42.91870628,D656,_,0028,10
D656__00270.10,10.781073861012917,42.92114935,D656,_,00270,10
D656__00260.10,10.763954963944673,42.92682157,D656,_,00260,10
D656__00250.10,10.758464211874479,42.925891425,D656,_,00250,10
D656__00230.10,10.746272284773937,42.926172785,D656,_,00230,10
D656__00210.10,10.786035540527092,42.92802338,D656,_,00210,10
D656__0019.10,10.74718028684175,42.932137135000005,D656,_,0019,10
D656__00180.10,10.801098461089783,42.946912350000005,D656,_,00180,10
D656__00170.10,10.787391400853657,42.941343795,D656,_,00170,10
D656__00140.10,10.761939338507712,42.94395894,D656,_,00140,10
D656__00120.10,10.799047515581403,42.958662665000006,D656,_,00120,10
D656__00080.10,10.742183455641275,42.947133414999996,D656,_,00080,10
