nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D678__00010.1,8.403406711791444,44.76812907,D678,_,00010,1
D678__00090.1,8.419682819710268,44.742178640000006,D678,_,00090,1
D678__00080.1,8.394501489519183,44.73849409,D678,_,00080,1
D678__00070.1,8.416434766047788,44.751008490000004,D678,_,00070,1
D678__00060.1,8.410637173758126,44.74742208,D678,_,00060,1
D678__00050.1,8.41995694517854,44.754049075,D678,_,00050,1
D678__00040.1,8.406330888709785,44.75427,D678,_,00040,1
D678__00030.1,8.428855490155392,44.762856920000004,D678,_,00030,1
D678__00020.1,8.42335171336487,44.761781854999995,D678,_,00020,1
D678__00030.10,8.43059173578977,44.762126415,D678,_,00030,10
D678__00090.10,8.417166825548835,44.739904100000004,D678,_,00090,10
D678__00070.10,8.41966153228007,44.752539999999996,D678,_,00070,10
D678__00060.10,8.393867845113139,44.74578749,D678,_,00060,10
D678__00040.10,8.410940561040825,44.754588145,D678,_,00040,10
D678__00010.100,8.409572923083733,44.758415465,D678,_,00010,100
D678__00090.100,8.412090460079098,44.73156999,D678,_,00090,100
D678__00080.100,8.411815442981016,44.73739588,D678,_,00080,100
D678__00070.100,8.416113838220344,44.744077704999995,D678,_,00070,100
D678__00060.100,8.41069200069893,44.74424218,D678,_,00060,100
D678__00050.100,8.421945589947004,44.75289388,D678,_,00050,100
D678__00040.100,8.416543092032313,44.753767350000004,D678,_,00040,100
D678__00030.100,8.435083097729908,44.758315159999995,D678,_,00030,100
D678__00020.100,8.423528282175752,44.75920402,D678,_,00020,100
D678__00010.101,8.410380965857442,44.758781295000006,D678,_,00010,101
D678__00090.101,8.412833965461719,44.73239551,D678,_,00090,101
D678__00080.101,8.411959942180376,44.737878484999996,D678,_,00080,101
D678__00070.101,8.416909202904877,44.743654594999995,D678,_,00070,101
D678__00050.101,8.422078133675903,44.75293556,D678,_,00050,101
D678__00040.101,8.416559931500217,44.75334567,D678,_,00040,101
D678__00030.101,8.436915499551418,44.75895609,D678,_,00030,101
D678__00020.101,8.42377978561535,44.758683765,D678,_,00020,101
D678__00010.102,8.410757103745759,44.758797955,D678,_,00010,102
D678__00090.102,8.413261561601855,44.732562525,D678,_,00090,102
D678__00080.102,8.412061107920877,44.737127225,D678,_,00080,102
D678__00070.102,8.416545630132838,44.744234899999995,D678,_,00070,102
D678__00060.102,8.410260559508613,44.74525314,D678,_,00060,102
D678__00050.102,8.422430587344437,44.75315214,D678,_,00050,102
D678__00040.102,8.416657824631432,44.752668715,D678,_,00040,102
D678__00030.102,8.436432224409625,44.758254475,D678,_,00030,102
D678__00020.102,8.424091408303763,44.75811759,D678,_,00020,102
D678__00010.103,8.410911118346476,44.759064845,D678,_,00010,103
D678__00090.103,8.419011007482585,44.73871295,D678,_,00090,103
D678__00080.103,8.411909348600778,44.73657886,D678,_,00080,103
D678__00070.103,8.417925036836156,44.743615305,D678,_,00070,103
D678__00060.103,8.410846817374544,44.745076685,D678,_,00060,103
D678__00050.103,8.422509491315989,44.75343502,D678,_,00050,103
D678__00040.103,8.417421568704249,44.753180415,D678,_,00040,103
D678__00030.103,8.436192980854647,44.757803519999996,D678,_,00030,103
D678__00020.103,8.424060311059831,44.75920402,D678,_,00020,103
D678__00010.104,8.411170263442706,44.759199935,D678,_,00010,104
D678__00080.104,8.412492936788258,44.73752332,D678,_,00080,104
D678__00060.104,8.411189963966057,44.745107305000005,D678,_,00060,104
D678__00050.104,8.422591716758856,44.75334772,D678,_,00050,104
D678__00040.104,8.417737188125905,44.753031539999995,D678,_,00040,104
D678__00030.104,8.437886827130402,44.758871209999995,D678,_,00030,104
D678__00020.104,8.424544571573595,44.75919055,D678,_,00020,104
D678__00010.105,8.410881215219273,44.758648410000006,D678,_,00010,105
D678__00090.105,8.415614470234852,44.733965909999995,D678,_,00090,105
D678__00080.105,8.41317459519384,44.737619955,D678,_,00080,105
D678__00060.105,8.411334986356026,44.744305525,D678,_,00060,105
D678__00050.105,8.42266694774322,44.753473435000004,D678,_,00050,105
D678__00020.105,8.424677303079054,44.758978475,D678,_,00020,105
D678__00010.106,8.411167189536524,44.75873326,D678,_,00010,106
D678__00090.106,8.415539510317004,44.7351923,D678,_,00090,106
D678__00080.106,8.412719489102733,44.73721712,D678,_,00080,106
D678__00070.106,8.418969136199502,44.74412595,D678,_,00070,106
D678__00060.106,8.411452551362665,44.743911569999995,D678,_,00060,106
D678__00050.106,8.422699056849481,44.753413855000005,D678,_,00050,106
D678__00040.106,8.417851799840081,44.75233986,D678,_,00040,106
D678__00030.106,8.437795538413017,44.75772412,D678,_,00030,106
D678__00020.106,8.424895385720163,44.75881061,D678,_,00020,106
