nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D755__00030.1,14.75961518911595,41.30492839,D755,_,00030,1
D755__00230.1,14.808052365029507,41.246978965,D755,_,00230,1
D755__00220.1,14.790058728359234,41.250192115,D755,_,00220,1
D755__00210.1,14.800761110813388,41.258099665,D755,_,00210,1
D755__00200.1,14.799652570133663,41.256616215,D755,_,00200,1
D755__00190.1,14.787704969121492,41.263012745,D755,_,00190,1
D755__00180.1,14.786522687692393,41.26173044,D755,_,00180,1
D755__00170.1,14.77356115776971,41.263597515,D755,_,00170,1
D755__00160.1,14.792175874585872,41.27059047,D755,_,00160,1
D755__00150.1,14.78168700069374,41.270725335,D755,_,00150,1
D755__00140.1,14.78101141201712,41.280415075,D755,_,00140,1
D755__00130.1,14.77684257376536,41.279160215000005,D755,_,00130,1
D755__00120.1,14.760644267690028,41.27507434,D755,_,00120,1
D755__00110.1,14.789877367791362,41.289936725000004,D755,_,00110,1
D755__00100.1,14.766381649827377,41.28442071,D755,_,00100,1
D755__00090.1,14.753506601542277,41.282192165,D755,_,00090,1
D755__00080.1,14.78824661258291,41.295451830000005,D755,_,00080,1
D755__00070.1,14.770066950571334,41.291547525,D755,_,00070,1
D755__00060.1,14.761127222599773,41.294422485,D755,_,00060,1
D755__00050.1,14.760663389169714,41.2992843,D755,_,00050,1
D755__00010.10,14.76167485461067,41.30622677,D755,_,00010,10
D755__00240.10,14.78910238534582,41.23838138,D755,_,00240,10
D755__00230.10,14.807996083102939,41.242673870000004,D755,_,00230,10
D755__00220.10,14.791755987798227,41.249051095,D755,_,00220,10
D755__00210.10,14.80045156330436,41.256859055,D755,_,00210,10
D755__00200.10,14.794556929554213,41.255595885000005,D755,_,00200,10
D755__00190.10,14.786603879297246,41.262277255,D755,_,00190,10
D755__00180.10,14.787086549571907,41.261114915,D755,_,00180,10
D755__00170.10,14.774179193397439,41.263634655000004,D755,_,00170,10
D755__00160.10,14.790624967310386,41.266459885,D755,_,00160,10
D755__00150.10,14.782635347394216,41.2707994,D755,_,00150,10
D755__00140.10,14.781204050434333,41.278200475,D755,_,00140,10
D755__00130.10,14.774880662602932,41.275305165,D755,_,00130,10
D755__00120.10,14.762558743869011,41.27348958,D755,_,00120,10
D755__00110.10,14.791300197435676,41.28865557,D755,_,00110,10
D755__00090.10,14.755317702753278,41.280725340000004,D755,_,00090,10
D755__00080.10,14.779026837530306,41.290375575,D755,_,00080,10
D755__00070.10,14.773399240295358,41.29034235,D755,_,00070,10
D755__00060.10,14.762447357988643,41.293141135,D755,_,00060,10
D755__00050.10,14.762386105646318,41.29686435,D755,_,00050,10
D755__00040.10,14.778002935317076,41.301238985,D755,_,00040,10
D755__00030.10,14.759460794358745,41.303881364999995,D755,_,00030,10
D755__00020.10,14.77936154903706,41.309699985,D755,_,00020,10
D755__00030.100,14.774941619298207,41.301373005,D755,_,00030,100
D755__00240.100,14.789047169450694,41.238923935,D755,_,00240,100
D755__00210.100,14.799457898060155,41.252650035,D755,_,00210,100
D755__00200.100,14.793619228997589,41.252249954999996,D755,_,00200,100
D755__00190.100,14.793277750729448,41.260095835,D755,_,00190,100
D755__00180.100,14.786129460008263,41.259685309999995,D755,_,00180,100
D755__00170.100,14.778409206434379,41.262656575,D755,_,00170,100
D755__00160.100,14.794542566022912,41.262661269999995,D755,_,00160,100
D755__00150.100,14.783118002838211,41.26733983,D755,_,00150,100
D755__00140.100,14.78563273389456,41.276181395,D755,_,00140,100
D755__00130.100,14.771964469087283,41.268475605,D755,_,00130,100
D755__00110.100,14.784584679352477,41.281850795,D755,_,00110,100
D755__00100.100,14.76751369292911,41.279896795,D755,_,00100,100
D755__00090.100,14.762147837130566,41.27838336000001,D755,_,00090,100
D755__00070.100,14.774979159130158,41.28195076,D755,_,00070,100
D755__00060.100,14.759934370337758,41.285005435,D755,_,00060,100
D755__00050.100,14.773694288301993,41.298280375,D755,_,00050,100
D755__00040.100,14.784993261024399,41.2991195,D755,_,00040,100
D755__00180.1000,14.787651969219437,41.26092249,D755,_,00180,1000
D755__00180.1001,14.787216644506536,41.26093458,D755,_,00180,1001
D755__00180.1002,14.787606982662307,41.26088556,D755,_,00180,1002
D755__00180.1003,14.787231841426335,41.26085163,D755,_,00180,1003
D755__00180.1004,14.787321910683676,41.260832745,D755,_,00180,1004
D755__00180.1005,14.787245133281077,41.260772974999995,D755,_,00180,1005
D755__00180.1006,14.787316941624569,41.26075876,D755,_,00180,1006
D755__00180.1007,14.787251670450699,41.26072577,D755,_,00180,1007
D755__00180.1008,14.787510759857467,41.260678240000004,D755,_,00180,1008
D755__00180.1009,14.787264018302782,41.260661525,D755,_,00180,1009
D755__00010.101,14.769596788547734,41.310312335,D755,_,00010,101
D755__00240.101,14.789884666712439,41.240055025000004,D755,_,00240,101
D755__00210.101,14.79909341699781,41.255925805000004,D755,_,00210,101
D755__00200.101,14.793643572482207,41.251626314999996,D755,_,00200,101
D755__00190.101,14.793048551533635,41.259990765,D755,_,00190,101
D755__00170.101,14.778653981667087,41.26264295,D755,_,00170,101
D755__00160.101,14.79448329987505,41.262622795,D755,_,00160,101
D755__00150.101,14.783280282274099,41.267479415,D755,_,00150,101
D755__00140.101,14.785780200329821,41.276162775,D755,_,00140,101
D755__00130.101,14.771842177224771,41.268102549999995,D755,_,00130,101
D755__00120.101,14.765829584245637,41.27418143,D755,_,00120,101
D755__00090.101,14.762233830869263,41.278313825,D755,_,00090,101
D755__00080.101,14.783630849531175,41.28739603,D755,_,00080,101
D755__00070.101,14.77456833244715,41.28252655,D755,_,00070,101
D755__00060.101,14.76019889180917,41.28444714,D755,_,00060,101
D755__00040.101,14.786017356343745,41.298581235,D755,_,00040,101
D755__00180.1010,14.787516518854616,41.26061674,D755,_,00180,1010
D755__00180.1011,14.787283581305164,41.26050196,D755,_,00180,1011
D755__00180.1012,14.787400228038688,41.260569685,D755,_,00180,1012
D755__00180.1013,14.787341001321217,41.260494135,D755,_,00180,1013
D755__00180.1014,14.787307118082907,41.260399085,D755,_,00180,1014
D755__00180.1015,14.787480433427096,41.260378525,D755,_,00180,1015
D755__00180.1016,14.787285645239432,41.260201675000005,D755,_,00180,1016
D755__00180.1017,14.787301970108382,41.260115215,D755,_,00180,1017
D755__00180.1018,14.78718206621337,41.26004801,D755,_,00180,1018
D755__00180.1019,14.78713268000859,41.260010005,D755,_,00180,1019
D755__00010.102,14.76830590798571,41.31087192,D755,_,00010,102
D755__00240.102,14.790725960164416,41.23870164,D755,_,00240,102
D755__00210.102,14.799436511013662,41.255409285,D755,_,00210,102
D755__00200.102,14.794736953818106,41.25180028,D755,_,00200,102
D755__00190.102,14.793445195061636,41.260049609999996,D755,_,00190,102
D755__00170.102,14.778884307910456,41.26248835,D755,_,00170,102
D755__00160.102,14.79552188250343,41.26277366,D755,_,00160,102
D755__00150.102,14.783569249033754,41.26745922,D755,_,00150,102
D755__00140.102,14.785876907127331,41.275769600000004,D755,_,00140,102
D755__00130.102,14.771375648824542,41.267749605,D755,_,00130,102
D755__00120.102,14.756279406304774,41.273018515000004,D755,_,00120,102
D755__00110.102,14.786102461019729,41.280942010000004,D755,_,00110,102
D755__00100.102,14.76793945370811,41.2799624,D755,_,00100,102
D755__00090.102,14.761695787949545,41.27805641,D755,_,00090,102
D755__00080.102,14.784216836821969,41.287375165,D755,_,00080,102
D755__00070.102,14.775198872258226,41.282049705000006,D755,_,00070,102
D755__00060.102,14.757389925709088,41.283233355,D755,_,00060,102
D755__00040.102,14.786285922655141,41.298334645,D755,_,00040,102
D755__00030.102,14.76336012634895,41.301423075,D755,_,00030,102
D755__00180.1020,14.787130977987498,41.25996452,D755,_,00180,1020
D755__00180.1021,14.787110852530212,41.259916965,D755,_,00180,1021
D755__00180.1022,14.787054893496201,41.259877495,D755,_,00180,1022
D755__00180.1023,14.787036041962665,41.25983439,D755,_,00180,1023
D755__00180.1024,14.787020563926841,41.259799955000005,D755,_,00180,1024
D755__00180.1025,14.787177684748759,41.25992708,D755,_,00180,1025
D755__00180.1026,14.78705899381392,41.259515820000004,D755,_,00180,1026
D755__00180.1027,14.787268205068193,41.259222095,D755,_,00180,1027
D755__00180.1028,14.78760539737726,41.259485035,D755,_,00180,1028
D755__00180.1029,14.787110066196117,41.259360065,D755,_,00180,1029
D755__00010.103,14.767415157656227,41.311186635,D755,_,00010,103
D755__00240.103,14.791050245577082,41.23845669,D755,_,00240,103
D755__00210.103,14.79984151269657,41.254745485,D755,_,00210,103
D755__00200.103,14.793933095020352,41.25085248,D755,_,00200,103
D755__00190.103,14.794128220071295,41.26005977,D755,_,00190,103
D755__00180.103,14.78606793660965,41.26015565,D755,_,00180,103
D755__00170.103,14.779179628861819,41.26224607,D755,_,00170,103
D755__00160.103,14.79535579597104,41.26264654,D755,_,00160,103
D755__00150.103,14.784797489087039,41.267650735000004,D755,_,00150,103
D755__00140.103,14.786481524931935,41.27576801,D755,_,00140,103
D755__00130.103,14.77137953965753,41.267304714999995,D755,_,00130,103
D755__00120.103,14.758164746802759,41.272959095,D755,_,00120,103
D755__00110.103,14.786418552658699,41.280960825,D755,_,00110,103
D755__00080.103,14.77961813860124,41.29433227,D755,_,00080,103
D755__00070.103,14.7753270180385,41.282130295,D755,_,00070,103
D755__00060.103,14.757702809905368,41.283286375,D755,_,00060,103
D755__00050.103,14.77769904575435,41.298153045,D755,_,00050,103
D755__00040.103,14.786094062972497,41.29742042,D755,_,00040,103
D755__00030.103,14.761018610918317,41.303715305,D755,_,00030,103
D755__00180.1030,14.78712622158826,41.258970575,D755,_,00180,1030
D755__00180.1031,14.787335331032507,41.258960900000005,D755,_,00180,1031
D755__00180.1032,14.78713130763338,41.25874732,D755,_,00180,1032
D755__00180.1033,14.787203151353607,41.258741154999996,D755,_,00180,1033
D755__00180.1034,14.787113108278474,41.258551755,D755,_,00180,1034
D755__00180.1035,14.787180566669264,41.258543865,D755,_,00180,1035
D755__00180.1036,14.787053808800508,41.25824542,D755,_,00180,1036
D755__00180.1037,14.787159719377458,41.25831101,D755,_,00180,1037
D755__00180.1038,14.786855303851453,41.257953,D755,_,00180,1038
D755__00180.1039,14.785949939210763,41.257515944999994,D755,_,00180,1039
D755__00010.104,14.76798882615752,41.311514564999996,D755,_,00010,104
D755__00240.104,14.791186673842667,41.238093539999994,D755,_,00240,104
D755__00210.104,14.801290661235676,41.256195885,D755,_,00210,104
D755__00200.104,14.792933132491868,41.24963693,D755,_,00200,104
D755__00190.104,14.79422310584594,41.260876765,D755,_,00190,104
D755__00180.104,14.786042238008687,41.260102675,D755,_,00180,104
D755__00170.104,14.779680744096389,41.26171637,D755,_,00170,104
D755__00160.104,14.795403418170325,41.262507400000004,D755,_,00160,104
D755__00150.104,14.785460208241204,41.268110855,D755,_,00150,104
D755__00140.104,14.786459183052528,41.276542115,D755,_,00140,104
D755__00130.104,14.770119540170576,41.267200715,D755,_,00130,104
D755__00120.104,14.75955516371127,41.27044338,D755,_,00120,104
D755__00110.104,14.787601394293164,41.279601095000004,D755,_,00110,104
D755__00100.104,14.767278690931077,41.2798688,D755,_,00100,104
D755__00090.104,14.761516730139562,41.27692092,D755,_,00090,104
D755__00080.104,14.779600554543507,41.281513265,D755,_,00080,104
D755__00070.104,14.77546711081631,41.282209325,D755,_,00070,104
D755__00060.104,14.758312752207978,41.28311751,D755,_,00060,104
D755__00040.104,14.78681031328438,41.297044385,D755,_,00040,104
D755__00180.1040,14.78675560239136,41.257299515,D755,_,00180,1040
D755__00180.1041,14.785667521121697,41.25678209,D755,_,00180,1041
D755__00180.1042,14.782974181816071,41.25682924,D755,_,00180,1042
D755__00180.1043,14.783070302097379,41.25671604,D755,_,00180,1043
D755__00180.1046,14.783789285629187,41.25491218,D755,_,00180,1046
D755__00180.1047,14.784985437240753,41.260430819999996,D755,_,00180,1047
D755__00180.1049,14.783647339522894,41.258133425,D755,_,00180,1049
D755__00010.105,14.768709857076598,41.31220821,D755,_,00010,105
D755__00240.105,14.789126464936071,41.241077305000005,D755,_,00240,105
D755__00210.105,14.798705977117095,41.254989855000005,D755,_,00210,105
D755__00200.105,14.794807831349855,41.251198845,D755,_,00200,105
D755__00190.105,14.794546888653189,41.260773029999996,D755,_,00190,105
D755__00180.105,14.786023705760282,41.26005737,D755,_,00180,105
D755__00170.105,14.780031185828946,41.261751770000004,D755,_,00170,105
D755__00150.105,14.785665552715631,41.267989875,D755,_,00150,105
D755__00140.105,14.786486012560886,41.27661172,D755,_,00140,105
D755__00130.105,14.770224890735697,41.267004305,D755,_,00130,105
D755__00110.105,14.784755606603628,41.28156257,D755,_,00110,105
D755__00090.105,14.761767796562538,41.277565665,D755,_,00090,105
D755__00080.105,14.780190308766787,41.28160162,D755,_,00080,105
D755__00070.105,14.774917175276574,41.28274826,D755,_,00070,105
D755__00060.105,14.758148890337043,41.2826837,D755,_,00060,105
D755__00050.105,14.77788554221557,41.29508914,D755,_,00050,105
D755__00040.105,14.786836758193362,41.29639162,D755,_,00040,105
D755__00030.105,14.762015686955877,41.30382088,D755,_,00030,105
D755__00180.1050,14.783602297271647,41.2581467,D755,_,00180,1050
D755__00180.1051,14.783564305975354,41.25817034,D755,_,00180,1051
D755__00180.1052,14.783367004743898,41.258102875,D755,_,00180,1052
D755__00180.1053,14.783362129899789,41.258082865,D755,_,00180,1053
D755__00180.1054,14.787128873816929,41.25756329,D755,_,00180,1054
D755__00180.1055,14.786745937900488,41.257598115,D755,_,00180,1055
D755__00180.1056,14.786586476974689,41.258473304999995,D755,_,00180,1056
D755__00180.1057,14.786547778735263,41.258422115,D755,_,00180,1057
D755__00180.1058,14.78646054504182,41.257640595,D755,_,00180,1058
D755__00010.106,14.769099380400696,41.31231178,D755,_,00010,106
D755__00240.106,14.788750034646398,41.240348205000004,D755,_,00240,106
D755__00210.106,14.798047529949244,41.253949004999996,D755,_,00210,106
D755__00200.106,14.795546937810876,41.251292109999994,D755,_,00200,106
D755__00190.106,14.794619033705226,41.260616595,D755,_,00190,106
D755__00170.106,14.777597162711437,41.26162027,D755,_,00170,106
D755__00160.106,14.794523370765345,41.26253939,D755,_,00160,106
D755__00150.106,14.785847847842078,41.26794848,D755,_,00150,106
D755__00140.106,14.786751555782509,41.276415175,D755,_,00140,106
D755__00130.106,14.770141612530793,41.26683729,D755,_,00130,106
D755__00110.106,14.791504657497335,41.287893960000005,D755,_,00110,106
D755__00100.106,14.7669948612902,41.280844645,D755,_,00100,106
D755__00090.106,14.76207225201117,41.27808929,D755,_,00090,106
D755__00080.106,14.78224924204073,41.280494165,D755,_,00080,106
D755__00070.106,14.775868454392,41.28222124,D755,_,00070,106
D755__00060.106,14.758631052185791,41.28287636,D755,_,00060,106
D755__00050.106,14.775068466695245,41.294377049999994,D755,_,00050,106
D755__00040.106,14.787677126917334,41.295994265000004,D755,_,00040,106
D755__00030.106,14.76215254424524,41.303846039999996,D755,_,00030,106
D755__00180.1061,14.784085455749471,41.257092815,D755,_,00180,1061
D755__00180.1062,14.784023795157253,41.257065929999996,D755,_,00180,1062
D755__00180.1063,14.783747518431268,41.256792250000004,D755,_,00180,1063
D755__00180.1064,14.78276828199991,41.25650191,D755,_,00180,1064
D755__00180.1065,14.782642141570827,41.256499930000004,D755,_,00180,1065
D755__00180.1066,14.783280778911957,41.257156315,D755,_,00180,1066
D755__00180.1067,14.784555246746692,41.255188405,D755,_,00180,1067
D755__00180.1068,14.784576512341257,41.25547644,D755,_,00180,1068
D755__00180.1069,14.784279717226102,41.257805485,D755,_,00180,1069
D755__00010.107,14.769103917195281,41.31195611,D755,_,00010,107
D755__00240.107,14.78947029592679,41.24046246,D755,_,00240,107
D755__00210.107,14.798687578809387,41.25389176,D755,_,00210,107
D755__00200.107,14.796710736108079,41.250952209999994,D755,_,00200,107
D755__00190.107,14.79471776216017,41.260480945,D755,_,00190,107
D755__00180.107,14.785879622844938,41.259853205,D755,_,00180,107
D755__00170.107,14.777876991625124,41.261488654999994,D755,_,00170,107
D755__00160.107,14.794658993913954,41.262544055,D755,_,00160,107
D755__00150.107,14.785888350893204,41.26779838,D755,_,00150,107
D755__00140.107,14.786794866795201,41.276476395,D755,_,00140,107
D755__00130.107,14.770897761211632,41.2668817,D755,_,00130,107
D755__00110.107,14.793748540447755,41.283597525,D755,_,00110,107
D755__00100.107,14.766997233575736,41.27982583,D755,_,00100,107
D755__00090.107,14.761968970099549,41.27740292,D755,_,00090,107
D755__00080.107,14.779635963268255,41.29365544,D755,_,00080,107
D755__00070.107,14.776192927306134,41.282263900000004,D755,_,00070,107
D755__00060.107,14.759383249549625,41.282815369999994,D755,_,00060,107
D755__00050.107,14.774005551759037,41.293629825,D755,_,00050,107
D755__00030.107,14.761876682956192,41.303111040000005,D755,_,00030,107
D755__00020.107,14.77464831985322,41.306575305,D755,_,00020,107
D755__00180.1070,14.784245820503797,41.25770684,D755,_,00180,1070
D755__00180.1071,14.783787861886044,41.255367480000004,D755,_,00180,1071
D755__00180.1072,14.783757233130682,41.256413495000004,D755,_,00180,1072
D755__00180.1073,14.78389605550596,41.256380379999996,D755,_,00180,1073
D755__00180.1074,14.786508184767833,41.260218645,D755,_,00180,1074
D755__00180.1075,14.786478133826648,41.260191539999994,D755,_,00180,1075
D755__00180.1076,14.786546300873217,41.260156205,D755,_,00180,1076
D755__00180.1077,14.786311888330452,41.260265204999996,D755,_,00180,1077
D755__00180.1078,14.78641822519915,41.26026137,D755,_,00180,1078
D755__00180.1079,14.783599438577642,41.258036525,D755,_,00180,1079
D755__00010.108,14.769443611075513,41.312332815000005,D755,_,00010,108
D755__00240.108,14.789310856750472,41.240455479999994,D755,_,00240,108
D755__00210.108,14.801853666559484,41.254282939999996,D755,_,00210,108
D755__00200.108,14.798032584377825,41.251162535,D755,_,00200,108
D755__00190.108,14.794815263615032,41.260381355,D755,_,00190,108
D755__00180.108,14.785787420347743,41.259791765,D755,_,00180,108
D755__00170.108,14.779033720020713,41.261182835,D755,_,00170,108
D755__00160.108,14.794579586888513,41.262379685,D755,_,00160,108
D755__00150.108,14.786317286450153,41.267995825,D755,_,00150,108
D755__00140.108,14.786785560531985,41.27579979,D755,_,00140,108
D755__00130.108,14.771837935311229,41.266764155000004,D755,_,00130,108
D755__00110.108,14.793926180694479,41.283385804999995,D755,_,00110,108
D755__00100.108,14.765674223527643,41.28121122,D755,_,00100,108
D755__00080.108,14.780486587086617,41.28993885,D755,_,00080,108
D755__00070.108,14.77577721753865,41.28267844,D755,_,00070,108
D755__00050.108,14.7734785202451,41.29330599,D755,_,00050,108
D755__00040.108,14.7841256306504,41.296435349999996,D755,_,00040,108
D755__00030.108,14.761986239330632,41.303053935,D755,_,00030,108
D755__00020.108,14.779803513099685,41.309421845,D755,_,00020,108
D755__00180.1080,14.78360819268147,41.258081759999996,D755,_,00180,1080
D755__00180.1081,14.783466017565566,41.256080710000006,D755,_,00180,1081
D755__00180.1082,14.786068001185173,41.259637335,D755,_,00180,1082
