nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D861__00010.1,14.765194206079713,38.052271149999996,D861,_,00010,1
D861__00270.1,14.828719875642584,37.981108324999994,D861,_,00270,1
D861__00260.1,14.811358471061837,37.993910025000005,D861,_,00260,1
D861__00250.1,14.794827066363966,37.99158438,D861,_,00250,1
D861__00240.1,14.791103811001957,37.986673755,D861,_,00240,1
D861__00230.1,14.764222669498531,37.9874478,D861,_,00230,1
D861__00220.1,14.80871576701455,38.010181895,D861,_,00220,1
D861__00210.1,14.795100416817295,38.006739104999994,D861,_,00210,1
D861__00190.1,14.76487777724163,38.00242709,D861,_,00190,1
D861__00170.1,14.775724540733716,38.012060175,D861,_,00170,1
D861__00160.1,14.787666346920007,38.023495955,D861,_,00160,1
D861__00150.1,14.780478690936924,38.019615225,D861,_,00150,1
D861__00130.1,14.771291113972453,38.021601770000004,D861,_,00130,1
D861__00110.1,14.767321283555393,38.02879454,D861,_,00110,1
D861__00100.1,14.764067747325267,38.03022936,D861,_,00100,1
D861__00090.1,14.788858404405214,38.035741564999995,D861,_,00090,1
D861__00080.1,14.780711862616318,38.03987572,D861,_,00080,1
D861__00070.1,14.769688927612934,38.03427199,D861,_,00070,1
D861__00060.1,14.756286258559909,38.035553045,D861,_,00060,1
D861__00040.1,14.803767171099151,38.03261853,D861,_,00040,1
D861__00030.1,14.779312286244387,38.04405704,D861,_,00030,1
D861__00020.1,14.769502055418494,38.05139184,D861,_,00020,1
D861__00010.10,14.766121943356692,38.051293245,D861,_,00010,10
D861__00270.10,14.823370183137065,37.966696195,D861,_,00270,10
D861__00260.10,14.822005245891827,37.986241935,D861,_,00260,10
D861__00250.10,14.797532481534947,37.982408855,D861,_,00250,10
D861__00240.10,14.796443439370847,37.98184082,D861,_,00240,10
D861__00230.10,14.778775498225293,37.980871565,D861,_,00230,10
D861__00220.10,14.804317134983782,38.00022047,D861,_,00220,10
D861__00210.10,14.799511591538622,38.00527017,D861,_,00210,10
D861__00190.10,14.7652528873437,38.001891655,D861,_,00190,10
D861__00180.10,14.789591084567808,38.010645775,D861,_,00180,10
D861__00170.10,14.770057349490148,38.01029402,D861,_,00170,10
D861__00160.10,14.803334782226207,38.011798105,D861,_,00160,10
D861__00150.10,14.778989429472595,38.01933409,D861,_,00150,10
D861__00140.10,14.777511790189202,38.019083574999996,D861,_,00140,10
D861__00130.10,14.770788436039705,38.02119761,D861,_,00130,10
D861__00090.10,14.791528773894449,38.03435833,D861,_,00090,10
D861__00080.10,14.781357974475315,38.03914796,D861,_,00080,10
D861__00060.10,14.758248269000529,38.036381855,D861,_,00060,10
D861__00050.10,14.75918374055248,38.03779196,D861,_,00050,10
D861__00040.10,14.79645903300494,38.0373779,D861,_,00040,10
