nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D867A_00010.1,11.928203023381629,44.02858182,D867,A,00010,1
D867C_00140.1,11.963148857337194,43.94008603,D867,C,00140,1
D867C_00130.1,11.97000822629547,43.942073435,D867,C,00130,1
D867C_00120.1,11.980953983645227,43.9549653,D867,C,00120,1
D867C_00110.1,11.970305714611763,43.949184134999996,D867,C,00110,1
D867C_00100.1,11.9661688018382,43.953568235,D867,C,00100,1
D867C_00090.1,11.951198181213197,43.94988901,D867,C,00090,1
D867C_00080.1,11.946274540485751,43.951226905,D867,C,00080,1
D867C_00070.1,11.939743893833702,43.956200755,D867,C,00070,1
D867C_00060.1,11.982016587059718,43.96116898,D867,C,00060,1
D867C_00050.1,11.93553461132785,43.96065427,D867,C,00050,1
D867C_00040.1,11.928459785277688,43.965782795,D867,C,00040,1
D867C_00030.1,11.916852962516959,43.95618941,D867,C,00030,1
D867C_00020.1,11.913260748961234,43.9617475,D867,C,00020,1
D867B_00550.1,11.954925841482611,43.972362485,D867,B,00550,1
D867B_00540.1,11.930567219523528,43.96711887,D867,B,00540,1
D867B_00530.1,11.9528305398301,43.976900400000005,D867,B,00530,1
D867B_00510.1,11.907757353962245,43.975469915,D867,B,00510,1
D867B_00500.1,11.896258188415327,43.968336234999995,D867,B,00500,1
D867B_00490.1,11.932595785553517,43.982264365000006,D867,B,00490,1
D867B_00480.1,11.927863910363051,43.987928455,D867,B,00480,1
D867B_00470.1,11.925276215256321,43.97902033,D867,B,00470,1
D867B_00450.1,11.906246419606244,43.984197395,D867,B,00450,1
D867B_00440.1,11.89215201914168,43.975340985,D867,B,00440,1
D867B_00430.1,11.898064458742883,43.98016771,D867,B,00430,1
D867B_00420.1,11.875355949075896,43.983466495,D867,B,00420,1
D867B_00410.1,11.922537524240749,43.99692168999999,D867,B,00410,1
D867B_00400.1,11.909810760850348,43.994106055,D867,B,00400,1
D867B_00390.1,11.895524719057683,43.990304460000004,D867,B,00390,1
D867B_00380.1,11.886045232659965,43.982686055,D867,B,00380,1
D867B_00360.1,11.878848923417339,43.9926258,D867,B,00360,1
D867B_00350.1,11.913460081737005,43.999016569999995,D867,B,00350,1
D867B_00340.1,11.892614622671879,43.996958315,D867,B,00340,1
D867B_00330.1,11.883845232571824,43.99775776,D867,B,00330,1
