nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D874__01010.1,10.435971207454962,44.074053425,D874,_,01010,1
D874__02010.1,10.435630886630474,44.104497095,D874,_,02010,1
D874__01010.10,10.435043510578057,44.070913255,D874,_,01010,10
D874__0304.10,10.405119137249251,44.043926715,D874,_,0304,10
D874__02010.10,10.434496119267301,44.103483479999994,D874,_,02010,10
D874__02020.100,10.445417763781812,44.10291452,D874,_,02020,100
D874__02060.1000,10.456780138158017,44.09440221,D874,_,02060,1000
D874__01050.10000,10.44082573243811,44.06286064,D874,_,01050,10000
D874__01210.10001,10.472806417668732,44.03994091,D874,_,01210,10001
D874__01270.10007,10.480984508651236,44.026354444999996,D874,_,01270,10007
D874__01270.10008,10.480780451549144,44.02635323,D874,_,01270,10008
D874__01270.10009,10.48089149691481,44.026209425000005,D874,_,01270,10009
D874__02060.1001,10.457455972230822,44.094251175,D874,_,02060,1001
D874__03040.1001,10.409232179675591,44.04226407,D874,_,03040,1001
D874__01270.10010,10.481064369630571,44.026244825,D874,_,01270,10010
D874__01210.10013,10.484593026140942,44.036663825,D874,_,01210,10013
D874__01080.10015,10.42585034437657,44.056766295,D874,_,01080,10015
D874__01090.10016,10.445394010366496,44.055822225,D874,_,01090,10016
D874__01050.10019,10.440104136061265,44.06480561,D874,_,01050,10019
D874__01050.1002,10.440846066960741,44.059128445,D874,_,01050,1002
D874__03040.1002,10.410356390441738,44.042981885,D874,_,03040,1002
D874__02090.1002,10.458719851270136,44.093759649999996,D874,_,02090,1002
D874__01050.10020,10.43992037114343,44.063139315,D874,_,01050,10020
D874__01050.10021,10.439249773219249,44.06478658,D874,_,01050,10021
D874__01090.10022,10.444412569599123,44.057347050000004,D874,_,01090,10022
D874__01090.10023,10.446606907894822,44.054813984999996,D874,_,01090,10023
D874__01090.10024,10.44673306113041,44.05483491,D874,_,01090,10024
D874__01090.10027,10.447297147459526,44.05507140500001,D874,_,01090,10027
D874__01090.10028,10.445883484131322,44.054689365,D874,_,01090,10028
D874__01090.10029,10.446071979031975,44.05472502,D874,_,01090,10029
D874__01050.1003,10.441039062529807,44.059150200000005,D874,_,01050,1003
D874__03040.1003,10.410667478905712,44.042997405,D874,_,03040,1003
D874__02060.1003,10.453015330110283,44.09253973,D874,_,02060,1003
D874__01090.10030,10.44641492922891,44.054782615,D874,_,01090,10030
D874__01090.10031,10.447430054824709,44.05537088,D874,_,01090,10031
D874__01090.10032,10.44784963439564,44.055481900000004,D874,_,01090,10032
D874__01090.10033,10.447399610371878,44.055485520000005,D874,_,01090,10033
D874__01090.10034,10.44782424827834,44.055584485,D874,_,01090,10034
D874__01090.10035,10.44696392617217,44.054792675,D874,_,01090,10035
D874__01090.10036,10.44675789290634,44.054767555,D874,_,01090,10036
D874__01090.10037,10.446462777768687,44.0547216,D874,_,01090,10037
D874__01090.10038,10.446266353746232,44.05469348,D874,_,01090,10038
D874__01090.10039,10.446144353023266,44.054672104999995,D874,_,01090,10039
D874__01050.1004,10.441195280669428,44.059070145,D874,_,01050,1004
D874__03040.1004,10.410943439221988,44.043221724999995,D874,_,03040,1004
D874__02060.1004,10.4537862725025,44.09266839,D874,_,02060,1004
D874__01090.10040,10.449563485944712,44.055202359999996,D874,_,01090,10040
D874__01090.10042,10.449707391462555,44.05491747,D874,_,01090,10042
D874__01090.10043,10.449557859225594,44.05482309,D874,_,01090,10043
D874__01090.10045,10.449425587840512,44.054813015,D874,_,01090,10045
D874__01090.10047,10.445453142716232,44.05466204,D874,_,01090,10047
D874__01090.10048,10.44582749601624,44.05468287,D874,_,01090,10048
D874__01050.1005,10.44130035277638,44.059168765,D874,_,01050,1005
D874__03040.1005,10.411541561927308,44.043216709999996,D874,_,03040,1005
D874__02060.1005,10.45539215123635,44.09291289,D874,_,02060,1005
D874__01090.10050,10.448769476733675,44.055701155,D874,_,01090,10050
D874__01090.10051,10.449012397732645,44.055754255,D874,_,01090,10051
D874__01090.10052,10.449344598703451,44.055578839999995,D874,_,01090,10052
D874__01090.10054,10.448568447424991,44.055758685,D874,_,01090,10054
D874__01090.10055,10.449147752057115,44.05452011,D874,_,01090,10055
D874__01090.10056,10.449288172817715,44.054459545,D874,_,01090,10056
D874__01090.10057,10.448791219571184,44.054370825,D874,_,01090,10057
D874__01090.10058,10.449002525037224,44.05428216,D874,_,01090,10058
D874__01090.10059,10.448607625000466,44.054141205,D874,_,01090,10059
D874__02060.1006,10.454913865590083,44.09254722,D874,_,02060,1006
D874__03040.1006,10.411911764393071,44.04288108,D874,_,03040,1006
D874__01090.10060,10.448731934113098,44.05423102,D874,_,01090,10060
D874__01090.10061,10.448469274006257,44.05411686,D874,_,01090,10061
D874__01090.10062,10.447619399819832,44.054337000000004,D874,_,01090,10062
D874__01090.10063,10.448085317932232,44.054067399999994,D874,_,01090,10063
D874__01090.10064,10.447561475820835,44.054300295000004,D874,_,01090,10064
D874__01090.10065,10.447457954464188,44.054661435,D874,_,01090,10065
D874__01090.10066,10.447449350884185,44.054597805,D874,_,01090,10066
D874__01090.10067,10.445611664231748,44.054568855,D874,_,01090,10067
D874__01050.1007,10.439251949934281,44.059785115,D874,_,01050,1007
D874__03040.1007,10.411134299272703,44.042717530000004,D874,_,03040,1007
D874__02060.1007,10.455724690540682,44.093138315000004,D874,_,02060,1007
D874__01050.10071,10.440477802417412,44.06460372,D874,_,01050,10071
D874__01050.10072,10.440495248977076,44.064632495,D874,_,01050,10072
D874__01050.10074,10.440285288183102,44.064633674999996,D874,_,01050,10074
D874__01090.10077,10.44389969929342,44.056480255,D874,_,01090,10077
D874__01090.10078,10.440378263497063,44.057973655,D874,_,01090,10078
D874__01050.1008,10.441757737543746,44.059331285,D874,_,01050,1008
D874__03040.1008,10.41102956927151,44.04259615,D874,_,03040,1008
D874__02060.1008,10.455816156245747,44.092925275,D874,_,02060,1008
D874__01120.10081,10.420514397753486,44.046930055000004,D874,_,01120,10081
D874__01120.10082,10.42045615396739,44.046830755,D874,_,01120,10082
D874__01120.10083,10.42064518512132,44.04668967,D874,_,01120,10083
D874__01050.10085,10.443164853223069,44.060574365,D874,_,01050,10085
D874__01120.10086,10.42230024334491,44.04879451,D874,_,01120,10086
D874__01120.10087,10.422402826164163,44.048714884999995,D874,_,01120,10087
D874__01120.10088,10.42258448820351,44.048732904999994,D874,_,01120,10088
D874__02060.1009,10.456000275114452,44.093072525,D874,_,02060,1009
D874__03040.1009,10.410323577269164,44.04252994,D874,_,03040,1009
D874__01140.10092,10.454102885444618,44.04976436,D874,_,01140,10092
D874__01020.10096,10.44148099662426,44.07133002,D874,_,01020,10096
D874__01140.10097,10.45432395942989,44.049695125,D874,_,01140,10097
D874__02020.101,10.446853909067276,44.10356285,D874,_,02020,101
D874__0304.101,10.404442663969634,44.042535044999994,D874,_,0304,101
D874__01050.1010,10.442230862231419,44.059758380000005,D874,_,01050,1010
D874__03040.1010,10.410790933124265,44.04288589,D874,_,03040,1010
D874__02060.1010,10.456242492021685,44.092935225000005,D874,_,02060,1010
D874__01140.10101,10.455608578697094,44.049833195,D874,_,01140,10101
D874__01140.10102,10.45558518262873,44.04964862,D874,_,01140,10102
D874__01140.10103,10.455741571865296,44.04991055,D874,_,01140,10103
D874__01140.10104,10.455869309832805,44.04982699,D874,_,01140,10104
D874__01050.10106,10.44221719534698,44.06185523,D874,_,01050,10106
D874__01150.10107,10.472360979640872,44.04216233,D874,_,01150,10107
D874__02060.1011,10.45683797936584,44.09262078,D874,_,02060,1011
D874__03040.1011,10.410451773854497,44.04283494,D874,_,03040,1011
D874__01100.10110,10.453853513878228,44.050785245,D874,_,01100,10110
D874__01090.10112,10.445817878140266,44.055829445,D874,_,01090,10112
D874__01090.10113,10.44569648783623,44.055060714999996,D874,_,01090,10113
D874__01270.10114,10.47728435310766,44.027796615,D874,_,01270,10114
D874__01090.10116,10.445766224555472,44.055060714999996,D874,_,01090,10116
D874__0105.10117,10.437851927607323,44.06168067,D874,_,0105,10117
D874__0105.10118,10.437896332808652,44.061714179999996,D874,_,0105,10118
D874__02080.10119,10.439142183463481,44.09192537,D874,_,02080,10119
D874__01050.1012,10.442403159986377,44.05934845,D874,_,01050,1012
D874__03040.1012,10.410273224000024,44.042698025,D874,_,03040,1012
D874__02080.10120,10.439092979357365,44.091913579999996,D874,_,02080,10120
D874__02080.10121,10.439119074673936,44.091959425,D874,_,02080,10121
D874__02080.10122,10.439095606755199,44.091777405,D874,_,02080,10122
D874__02080.10123,10.439197000701402,44.09184282,D874,_,02080,10123
D874__02080.10124,10.439068933597381,44.091583105,D874,_,02080,10124
D874__02080.10125,10.439275519893737,44.09170992,D874,_,02080,10125
D874__02080.10126,10.439069273562561,44.09142026,D874,_,02080,10126
D874__02080.10127,10.438964150834803,44.091372355,D874,_,02080,10127
D874__02080.10128,10.439070105868346,44.09130211,D874,_,02080,10128
D874__02080.10129,10.439009831787452,44.09129606,D874,_,02080,10129
D874__02060.1013,10.457138185026354,44.09285249,D874,_,02060,1013
D874__03040.1013,10.410017457219869,44.042568599999996,D874,_,03040,1013
D874__02080.10130,10.439143438774549,44.091209285,D874,_,02080,10130
D874__02080.10131,10.439077581974864,44.0912467,D874,_,02080,10131
D874__02080.10132,10.438801332120006,44.090962975,D874,_,02080,10132
D874__02080.10133,10.439121207837829,44.091180359999996,D874,_,02080,10133
D874__02080.10134,10.438859260345744,44.090966885,D874,_,02080,10134
D874__02080.10135,10.438409389263951,44.090649365000004,D874,_,02080,10135
D874__02080.10136,10.438456426284722,44.090659224999996,D874,_,02080,10136
D874__02080.10137,10.438340250748405,44.090623965,D874,_,02080,10137
D874__02080.10138,10.438448677210861,44.090445880000004,D874,_,02080,10138
D874__02080.10139,10.438485924201565,44.090461545,D874,_,02080,10139
D874__01020.1014,10.439128932294729,44.072291045,D874,_,01020,1014
D874__03040.1014,10.409494327123792,44.042190865,D874,_,03040,1014
D874__02060.1014,10.45756223130046,44.09272275,D874,_,02060,1014
D874__02080.10140,10.439031349644797,44.090304615,D874,_,02080,10140
D874__02080.10141,10.439030721359572,44.090278335,D874,_,02080,10141
D874__02080.10142,10.439269669884762,44.090248585,D874,_,02080,10142
D874__02080.10143,10.439345849683065,44.09022514,D874,_,02080,10143
D874__02080.10144,10.43955459550444,44.090106504999994,D874,_,02080,10144
D874__02080.10145,10.439783733432845,44.09004724,D874,_,02080,10145
D874__02080.10146,10.440089233970733,44.089663265,D874,_,02080,10146
D874__02080.10147,10.439807800469207,44.08981957,D874,_,02080,10147
D874__02080.10148,10.439925518446511,44.089790175,D874,_,02080,10148
D874__03060.1015,10.409140079349022,44.042049455,D874,_,03060,1015
D874__02080.10150,10.439834796040888,44.08985578,D874,_,02080,10150
D874__02080.10151,10.440268069747017,44.08960413,D874,_,02080,10151
D874__02080.10152,10.440339752147763,44.089534924999995,D874,_,02080,10152
D874__02080.10153,10.440592614465093,44.0894769,D874,_,02080,10153
D874__02080.10154,10.440619700441314,44.089571195000005,D874,_,02080,10154
D874__02080.10155,10.44104561858671,44.089653014999996,D874,_,02080,10155
D874__02080.10156,10.44092686136187,44.089729895,D874,_,02080,10156
D874__02080.10157,10.441296030723088,44.089892625000005,D874,_,02080,10157
D874__02080.10158,10.44124117058005,44.08990104,D874,_,02080,10158
D874__02080.10159,10.44175470262325,44.09012858,D874,_,02080,10159
D874__02060.1016,10.456951868222522,44.09250616,D874,_,02060,1016
D874__03060.1016,10.409065698099923,44.04190314,D874,_,03060,1016
D874__02080.10160,10.441373123250804,44.08994082,D874,_,02080,10160
D874__02080.10161,10.44145056216763,44.089935249999996,D874,_,02080,10161
D874__02080.10162,10.44265185104371,44.09015081,D874,_,02080,10162
D874__02080.10163,10.442373854535951,44.09010312,D874,_,02080,10163
D874__02080.10164,10.442695059500979,44.090115749999995,D874,_,02080,10164
D874__02080.10165,10.443012978038023,44.089976925,D874,_,02080,10165
D874__02080.10166,10.441670917301174,44.090079564999996,D874,_,02080,10166
D874__02080.10167,10.442192818782415,44.090223465,D874,_,02080,10167
D874__01050.1017,10.446646076877574,44.059996760000004,D874,_,01050,1017
D874__03060.1017,10.409030432724663,44.041859735,D874,_,03060,1017
D874__02060.1017,10.454560939627035,44.092633905,D874,_,02060,1017
D874__02070.10170,10.434203896158035,44.09178397,D874,_,02070,10170
D874__02080.10173,10.437275603767898,44.08863744,D874,_,02080,10173
D874__01090.10174,10.451672389296345,44.051973305000004,D874,_,01090,10174
D874__02070.10174,10.432114970647152,44.091409285,D874,_,02070,10174
D874__0205.10175,10.442781137647867,44.09938737,D874,_,0205,10175
D874__01080.10177,10.425826247146869,44.05655111,D874,_,01080,10177
D874__02080.10177,10.437845123044418,44.091834535000004,D874,_,02080,10177
D874__0105.10178,10.438711886409532,44.061632845000005,D874,_,0105,10178
D874__02060.10178,10.454557960733336,44.092510184999995,D874,_,02060,10178
D874__0105.10179,10.438837371136163,44.06158018,D874,_,0105,10179
D874__01050.1018,10.446625814486943,44.059607760000006,D874,_,01050,1018
D874__03060.1018,10.409175482510047,44.041902015000005,D874,_,03060,1018
D874__02060.1018,10.457520865842113,44.092455315,D874,_,02060,1018
D874__01050.10180,10.439435193226702,44.061438075,D874,_,01050,10180
D874__01050.10181,10.439452156390644,44.06187337,D874,_,01050,10181
D874__01050.10182,10.439519656007617,44.062005825,D874,_,01050,10182
D874__02060.10182,10.452607314568846,44.093718915,D874,_,02060,10182
D874__01050.10183,10.439413599133562,44.06197304,D874,_,01050,10183
D874__0207.10183,10.43337410731174,44.09134225,D874,_,0207,10183
D874__01050.10184,10.439395641185762,44.06199374,D874,_,01050,10184
D874__01050.10185,10.439325376285048,44.062023855,D874,_,01050,10185
D874__01050.10186,10.439347868944614,44.06194978,D874,_,01050,10186
D874__01050.10187,10.439326558688705,44.061978135000004,D874,_,01050,10187
D874__02070.10187,10.43420107752651,44.09078022,D874,_,02070,10187
D874__01100.10189,10.454645574944092,44.050527925,D874,_,01100,10189
D874__0207.10189,10.433206860588726,44.091346345000005,D874,_,0207,10189
D874__01050.1019,10.436756715863154,44.05910918,D874,_,01050,1019
