nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D890__00010.1,8.498735564621432,44.80120757,D890,_,00010,1
D890__00150.1,8.55546888488459,44.802979955,D890,_,00150,1
D890__00140.1,8.541397594106382,44.804955684999996,D890,_,00140,1
D890__00130.1,8.543974220930878,44.82013928,D890,_,00130,1
D890__00110.1,8.53583914302002,44.819042705,D890,_,00110,1
D890__00100.1,8.53133329924754,44.803857365,D890,_,00100,1
D890__00090.1,8.51966197411419,44.797073964999996,D890,_,00090,1
D890__00080.1,8.521304088848904,44.80431303,D890,_,00080,1
D890__00060.1,8.507838454442997,44.80670864,D890,_,00060,1
D890__00050.1,8.507219052908859,44.80124311,D890,_,00050,1
D890__00030.1,8.495196670315917,44.790311635,D890,_,00030,1
D890__00020.1,8.486028924762788,44.796256905,D890,_,00020,1
D890__00030.10,8.50154439582106,44.788183065,D890,_,00030,10
D890__00150.10,8.558114531959053,44.80139,D890,_,00150,10
D890__00130.10,8.543982847146388,44.817752795000004,D890,_,00130,10
D890__00110.10,8.535163196083708,44.816791495000004,D890,_,00110,10
D890__00100.10,8.533051344129097,44.802691214999996,D890,_,00100,10
D890__00090.10,8.522450873695037,44.797564565,D890,_,00090,10
D890__00080.10,8.522779950335693,44.803095255,D890,_,00080,10
D890__00070.10,8.52308993364726,44.81226891,D890,_,00070,10
D890__00060.10,8.509645860302488,44.803871265,D890,_,00060,10
D890__00050.10,8.510306136256224,44.80040133,D890,_,00050,10
D890__00040.10,8.513415238739022,44.793179679999994,D890,_,00040,10
D890__00010.100,8.500306521663756,44.80122258,D890,_,00010,100
D890__00150.100,8.563291268456313,44.800101325,D890,_,00150,100
D890__00140.100,8.548448689800747,44.80292661,D890,_,00140,100
D890__00130.100,8.546350864164012,44.80958632,D890,_,00130,100
D890__00110.100,8.535365325452785,44.81124543,D890,_,00110,100
D890__00100.100,8.53521097734444,44.79788287,D890,_,00100,100
D890__00090.100,8.526141284206817,44.795121429999995,D890,_,00090,100
D890__00080.100,8.52477430418823,44.802080155,D890,_,00080,100
D890__00060.100,8.512144993345192,44.802717335,D890,_,00060,100
D890__00050.100,8.510867931990685,44.79817042,D890,_,00050,100
D890__00040.100,8.519256309697631,44.79591963,D890,_,00040,100
D890__00030.100,8.505068158916245,44.790772925,D890,_,00030,100
D890__00010.101,8.499870881561709,44.80203701,D890,_,00010,101
D890__00150.101,8.555488719968462,44.802655564999995,D890,_,00150,101
D890__00140.101,8.549433602085818,44.802245854999995,D890,_,00140,101
D890__00120.101,8.541937533679453,44.80960409,D890,_,00120,101
D890__00100.101,8.53539695709,44.79762983,D890,_,00100,101
D890__00090.101,8.527986394565733,44.79430336,D890,_,00090,101
D890__00080.101,8.524342488689097,44.801964035,D890,_,00080,101
D890__00060.101,8.512777059661225,44.801337725,D890,_,00060,101
D890__00050.101,8.510883192356442,44.79762431,D890,_,00050,101
D890__00040.101,8.518104893623795,44.795906585,D890,_,00040,101
D890__00020.101,8.50239320358803,44.798879255,D890,_,00020,101
D890__00010.102,8.505520229281258,44.801742765,D890,_,00010,102
D890__00140.102,8.550279468727803,44.801597290000004,D890,_,00140,102
D890__00130.102,8.547848579551044,44.80936688,D890,_,00130,102
D890__00110.102,8.535424625589432,44.811612374999996,D890,_,00110,102
D890__00100.102,8.534746889613206,44.79712797,D890,_,00100,102
D890__00090.102,8.526967725374341,44.794135784999995,D890,_,00090,102
D890__00080.102,8.523945530334919,44.801834819999996,D890,_,00080,102
D890__00060.102,8.5128818182279,44.80279783,D890,_,00060,102
D890__00050.102,8.510772855419031,44.79696353,D890,_,00050,102
D890__00040.102,8.518048340955554,44.79570875,D890,_,00040,102
D890__00030.102,8.50475232670013,44.79112532,D890,_,00030,102
D890__00010.103,8.504990668022057,44.80254178,D890,_,00010,103
D890__00150.103,8.558167706908929,44.803161705,D890,_,00150,103
D890__00140.103,8.55037600717063,44.80121894,D890,_,00140,103
D890__00130.103,8.547897644635151,44.8096079,D890,_,00130,103
D890__00100.103,8.534157068812116,44.797015384999995,D890,_,00100,103
D890__00090.103,8.526286576023928,44.793783905,D890,_,00090,103
D890__00080.103,8.52397265110877,44.801672785,D890,_,00080,103
D890__00070.103,8.520102653915037,44.807624675,D890,_,00070,103
D890__00060.103,8.513546103440472,44.80477296,D890,_,00060,103
D890__00040.103,8.518142384848094,44.795603745,D890,_,00040,103
D890__00020.103,8.50226024313147,44.798632585,D890,_,00020,103
D890__00020.104,8.501444454885789,44.798629860000005,D890,_,00020,104
D890__00140.104,8.550501526402225,44.802173395,D890,_,00140,104
D890__00120.104,8.541862302092724,44.80959251,D890,_,00120,104
D890__00110.104,8.535424716509166,44.812936210000004,D890,_,00110,104
D890__00100.104,8.533897809755175,44.796865190000005,D890,_,00100,104
D890__00090.104,8.525985996260765,44.79453515,D890,_,00090,104
D890__00080.104,8.523802159080304,44.80176472,D890,_,00080,104
D890__00060.104,8.513897785766716,44.803477189999995,D890,_,00060,104
D890__00040.104,8.51830528540717,44.795498914999996,D890,_,00040,104
D890__00030.104,8.50504119995125,44.79131,D890,_,00030,104
D890__00010.105,8.505382511782063,44.80240812,D890,_,00010,105
D890__00150.105,8.555167481401304,44.80207988,D890,_,00150,105
D890__00140.105,8.550282393383647,44.80264639,D890,_,00140,105
D890__00130.105,8.548404280428649,44.810624315,D890,_,00130,105
D890__00120.105,8.541862485535283,44.80954451,D890,_,00120,105
D890__00110.105,8.536588339111603,44.813789310000004,D890,_,00110,105
D890__00100.105,8.533673344718402,44.79683334,D890,_,00100,105
D890__00090.105,8.525309398132768,44.79507312,D890,_,00090,105
D890__00080.105,8.52359559697901,44.801612325,D890,_,00080,105
D890__00060.105,8.514617579639777,44.803947745,D890,_,00060,105
D890__00050.105,8.510053479428532,44.797910865000006,D890,_,00050,105
D890__00040.105,8.519008558504014,44.795314755,D890,_,00040,105
D890__00030.105,8.50574737193768,44.791178235000004,D890,_,00030,105
D890__00020.105,8.501172314189606,44.796990755,D890,_,00020,105
D890__00010.106,8.507796546429972,44.802179980000005,D890,_,00010,106
D890__00150.106,8.555986903720306,44.801942955,D890,_,00150,106
D890__00140.106,8.550120382343156,44.802987785,D890,_,00140,106
D890__00130.106,8.548704320769593,44.810468065,D890,_,00130,106
D890__00120.106,8.541948704787494,44.80947788,D890,_,00120,106
D890__00110.106,8.537155488364677,44.814055025,D890,_,00110,106
D890__00100.106,8.533250785180883,44.796898365,D890,_,00100,106
D890__00090.106,8.522897859831389,44.795341695000005,D890,_,00090,106
D890__00080.106,8.523116990775037,44.801707414999996,D890,_,00080,106
D890__00070.106,8.520424551547592,44.807029665,D890,_,00070,106
D890__00060.106,8.514333760127109,44.802861070000006,D890,_,00060,106
D890__00050.106,8.518775722895516,44.79839529,D890,_,00050,106
D890__00040.106,8.519268144817058,44.794927755,D890,_,00040,106
D890__00020.106,8.501781365457974,44.797143955,D890,_,00020,106
D890__00020.107,8.502149656069665,44.797610755,D890,_,00020,107
D890__00150.107,8.558739169748872,44.802729165,D890,_,00150,107
D890__00140.107,8.550173156417525,44.80323268,D890,_,00140,107
D890__00130.107,8.549009147071711,44.81029373,D890,_,00130,107
D890__00110.107,8.537567980380128,44.813753935,D890,_,00110,107
D890__00100.107,8.534081200174434,44.796301369999995,D890,_,00100,107
D890__00090.107,8.522878630051524,44.796076549999995,D890,_,00090,107
