nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D921__00010.1,8.427114178694346,45.72855753,D921,_,00010,1
D921__00040.1,8.425815297515413,45.727448725,D921,_,00040,1
D921__00030.1,8.408076377788877,45.729755465,D921,_,00030,1
D921__00020.1,8.395702863562544,45.727119915,D921,_,00020,1
D921__00020.10,8.399530719791866,45.728443819999995,D921,_,00020,10
D921__00040.10,8.42769615062046,45.727653704999994,D921,_,00040,10
D921__00030.10,8.40555437707021,45.728843365,D921,_,00030,10
D921__00010.100,8.42696995020519,45.730011524999995,D921,_,00010,100
D921__00040.100,8.419622314646094,45.7254001,D921,_,00040,100
D921__00030.100,8.416374572220743,45.72800638,D921,_,00030,100
D921__00020.100,8.398853797011347,45.72663335,D921,_,00020,100
D921__00040.1000,8.428861436966276,45.724048255,D921,_,00040,1000
D921__00040.1001,8.424768453449389,45.7238607,D921,_,00040,1001
D921__00040.1002,8.42516729504636,45.723927425,D921,_,00040,1002
D921__00040.1003,8.42966293066949,45.727691914999994,D921,_,00040,1003
D921__00040.1004,8.429552466037723,45.727879125,D921,_,00040,1004
D921__00040.1005,8.429472230355112,45.727992865000004,D921,_,00040,1005
D921__00010.1006,8.422937669628231,45.72620266,D921,_,00010,1006
D921__00040.1006,8.429411171285672,45.725266115,D921,_,00040,1006
D921__00010.1007,8.423138791369126,45.726309655,D921,_,00010,1007
D921__00040.1007,8.430691832652315,45.72784396,D921,_,00040,1007
D921__00010.1008,8.424961569927955,45.72690059,D921,_,00010,1008
D921__00010.1009,8.422558770777147,45.727456595,D921,_,00010,1009
D921__00010.101,8.427168472413047,45.729929549999994,D921,_,00010,101
D921__00040.101,8.419650356956975,45.725360710000004,D921,_,00040,101
D921__00030.101,8.416841756447962,45.72803621,D921,_,00030,101
D921__00020.101,8.398904284086095,45.72651908,D921,_,00020,101
D921__00010.1010,8.428045689935367,45.729564575,D921,_,00010,1010
D921__00040.1013,8.428774813747282,45.726813985,D921,_,00040,1013
