nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D967__00010.1,7.648561788940344,44.602090145,D967,_,00010,1
D967__00180.1,7.671395246553491,44.582382685,D967,_,00180,1
D967__00170.1,7.6657550369616425,44.583636575,D967,_,00170,1
D967__00160.1,7.657398999419215,44.580327885,D967,_,00160,1
D967__00140.1,7.634765076657578,44.582393644999996,D967,_,00140,1
D967__00130.1,7.646248499351608,44.583670715,D967,_,00130,1
D967__00120.1,7.6552649503056,44.588113765,D967,_,00120,1
D967__00110.1,7.670030641497792,44.58374398,D967,_,00110,1
D967__00090.1,7.690528492910959,44.590844635,D967,_,00090,1
D967__00080.1,7.690224476470124,44.6000624,D967,_,00080,1
D967__00070.1,7.686791018005091,44.601510365,D967,_,00070,1
D967__00060.1,7.676692150715985,44.601465835,D967,_,00060,1
D967__00050.1,7.668383790319568,44.602724455,D967,_,00050,1
D967__00030.1,7.656885894702915,44.603687135,D967,_,00030,1
D967__00020.1,7.646847255339851,44.592978099999996,D967,_,00020,1
D967__00010.10,7.656058957126495,44.604719455,D967,_,00010,10
D967__00160.10,7.659819979555001,44.57529079,D967,_,00160,10
D967__00150.10,7.650646832403368,44.580289895,D967,_,00150,10
D967__00140.10,7.6371535900306,44.58453491,D967,_,00140,10
D967__00130.10,7.647154798867209,44.58418132,D967,_,00130,10
D967__00110.10,7.674120266315029,44.58428611,D967,_,00110,10
D967__00100.10,7.670994330626474,44.5897366,D967,_,00100,10
D967__00090.10,7.692653912700184,44.59259556,D967,_,00090,10
D967__00050.10,7.669267522235032,44.59680272,D967,_,00050,10
D967__00030.100,7.658298342427494,44.597050335,D967,_,00030,100
D967__00160.100,7.658092003873737,44.580936859999994,D967,_,00160,100
D967__00150.100,7.648806130987444,44.579090535000006,D967,_,00150,100
D967__00140.100,7.640463500324275,44.58107398,D967,_,00140,100
D967__00130.100,7.653878562669347,44.58705588,D967,_,00130,100
D967__00100.100,7.673350429727532,44.58906797,D967,_,00100,100
D967__00080.100,7.69179012196572,44.59845882,D967,_,00080,100
D967__00070.100,7.689889543879582,44.597504475,D967,_,00070,100
D967__00050.100,7.671205882954749,44.593358445,D967,_,00050,100
D967__00120.1000,7.666493357234713,44.58710931,D967,_,00120,1000
D967__00120.1002,7.666446930861238,44.58735767,D967,_,00120,1002
D967__00120.1003,7.664951858285381,44.586168815,D967,_,00120,1003
D967__00120.1004,7.6651413712080725,44.586180815000006,D967,_,00120,1004
D967__00120.1005,7.666237932839579,44.585483845,D967,_,00120,1005
D967__00120.1006,7.666402484639983,44.585551275,D967,_,00120,1006
D967__00120.1007,7.666374416017563,44.58559572,D967,_,00120,1007
D967__00120.1008,7.666451344546499,44.58558277,D967,_,00120,1008
D967__00120.1009,7.666492392719247,44.585539935,D967,_,00120,1009
D967__00010.101,7.651884845218117,44.591352915,D967,_,00010,101
D967__00180.101,7.679845381930467,44.575917125000004,D967,_,00180,101
D967__00160.101,7.654365711510148,44.574633195000004,D967,_,00160,101
D967__00140.101,7.64017533478812,44.58216659,D967,_,00140,101
D967__00130.101,7.65388188966652,44.5872224,D967,_,00130,101
D967__00100.101,7.686447881740554,44.586649765000004,D967,_,00100,101
D967__00080.101,7.691788581134105,44.59795515,D967,_,00080,101
D967__00050.101,7.671939126848962,44.593566685,D967,_,00050,101
D967__00120.1011,7.66632061470451,44.585551825,D967,_,00120,1011
D967__00120.1012,7.666354701188501,44.58560330500001,D967,_,00120,1012
