nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
D997__00010.1,8.947372820051504,39.772517025,D997,_,00010,1
D997__00330.1,9.04384482771769,39.707491595,D997,_,00330,1
D997__00310.1,9.041587702282056,39.718527019999996,D997,_,00310,1
D997__00300.1,9.02543487581232,39.71914994,D997,_,00300,1
D997__00290.1,9.049467490636339,39.730815129999996,D997,_,00290,1
D997__00270.1,9.030447436849432,39.732309055,D997,_,00270,1
D997__00250.1,9.0122680718632,39.731912875,D997,_,00250,1
D997__00240.1,8.998825070042614,39.731296670000006,D997,_,00240,1
D997__00230.1,9.05872819764545,39.739233909999996,D997,_,00230,1
D997__00210.1,9.035505123329916,39.74206255,D997,_,00210,1
D997__00190.1,9.005409149128148,39.738526205,D997,_,00190,1
D997__00180.1,8.989942626580401,39.736862904999995,D997,_,00180,1
D997__00170.1,9.059069692128476,39.748466545,D997,_,00170,1
D997__00160.1,9.049003088628687,39.747888455,D997,_,00160,1
D997__00150.1,9.042439059700452,39.747172840000005,D997,_,00150,1
D997__00130.1,9.01826805817638,39.749271725,D997,_,00130,1
D997__00120.1,9.011654397558889,39.750403515,D997,_,00120,1
D997__00100.1,9.063736569659188,39.754081694999996,D997,_,00100,1
D997__00090.1,9.0448520144549,39.758396265,D997,_,00090,1
D997__00080.1,9.037158593996008,39.7575067,D997,_,00080,1
D997__00070.1,9.03192824639044,39.758047250000004,D997,_,00070,1
D997__00060.1,9.018556479643086,39.760897150000005,D997,_,00060,1
D997__00050.1,9.01212498105986,39.759223565,D997,_,00050,1
D997__00040.1,8.993756970945899,39.76817269,D997,_,00040,1
D997__00030.1,8.945850888956858,39.762942445,D997,_,00030,1
D997__00020.1,8.977931784998203,39.779972625,D997,_,00020,1
D997__00060.10,9.015785091250017,39.759400325,D997,_,00060,10
D997__00330.10,9.05078959950714,39.706951825,D997,_,00330,10
D997__00320.10,9.047450570074007,39.714964030000004,D997,_,00320,10
D997__00310.10,9.039821445461444,39.71762227,D997,_,00310,10
D997__00300.10,9.022407247558288,39.71818993,D997,_,00300,10
D997__00290.10,9.059871105970121,39.72321417,D997,_,00290,10
D997__00280.10,9.048227769347255,39.728715465,D997,_,00280,10
D997__00270.10,9.031639476934814,39.73121951,D997,_,00270,10
D997__00240.10,9.006560200053856,39.73079813,D997,_,00240,10
D997__00230.10,9.058939130438077,39.73787345,D997,_,00230,10
D997__00220.10,9.044588817764776,39.73663406,D997,_,00220,10
D997__00210.10,9.040611668662688,39.742719890000004,D997,_,00210,10
D997__0020.10,9.018363788712094,39.735116965,D997,_,0020,10
D997__00190.10,9.012913739704002,39.739217534999995,D997,_,00190,10
D997__00170.10,9.067872169387517,39.746970255,D997,_,00170,10
D997__00160.10,9.053488138621805,39.748408975000004,D997,_,00160,10
D997__00150.10,9.047995704245293,39.748087569999996,D997,_,00150,10
D997__00140.10,9.035182009486523,39.74911004,D997,_,00140,10
D997__00130.10,9.021248403868922,39.74968166,D997,_,00130,10
D997__00120.10,9.016436625322754,39.74937346,D997,_,00120,10
D997__00100.10,9.065035825655652,39.75139573,D997,_,00100,10
D997__00090.10,9.054226495508615,39.75780766,D997,_,00090,10
D997__00080.10,9.042437500912909,39.756383725000006,D997,_,00080,10
D997__00070.10,9.02850094684783,39.755718810000005,D997,_,00070,10
D997__00090.100,9.056761416210708,39.754296124999996,D997,_,00090,100
D997__00330.100,9.051894435594473,39.69958278,D997,_,00330,100
D997__00310.100,9.034673519599377,39.711923920000004,D997,_,00310,100
D997__00290.100,9.051319812653725,39.725140135000004,D997,_,00290,100
D997__00280.100,9.04369816140289,39.719438505,D997,_,00280,100
D997__00270.100,9.036248415632695,39.72766373,D997,_,00270,100
D997__00250.100,9.01381200271869,39.727703000000005,D997,_,00250,100
D997__00240.100,9.002412449524154,39.724285800000004,D997,_,00240,100
D997__00230.100,9.05776672112506,39.731267779999996,D997,_,00230,100
D997__00220.100,9.04044619051061,39.729970645,D997,_,00220,100
D997__00210.100,9.03674952552278,39.73545021,D997,_,00210,100
D997__0020.100,9.01701367385943,39.73436302,D997,_,0020,100
D997__00160.100,9.055259326796431,39.74231693,D997,_,00160,100
D997__00150.100,9.049291006331162,39.739696495000004,D997,_,00150,100
D997__00140.100,9.029493771492064,39.744125055,D997,_,00140,100
D997__00130.100,9.023834668063186,39.740775665,D997,_,00130,100
D997__00120.100,9.009325533939691,39.74199601,D997,_,00120,100
D997__00200.1002,9.027139258283588,39.737340625,D997,_,00200,1002
D997__00200.1003,9.027604906447639,39.73696734,D997,_,00200,1003
D997__00200.1006,9.01930384046982,39.736549835000005,D997,_,00200,1006
D997__00200.1007,9.031135564398385,39.73460958,D997,_,00200,1007
D997__00060.101,9.024413407003214,39.75468889,D997,_,00060,101
D997__00330.101,9.05218849379591,39.699749165,D997,_,00330,101
D997__00310.101,9.03595685011164,39.711437365,D997,_,00310,101
D997__00290.101,9.051671258695848,39.72427037,D997,_,00290,101
D997__00280.101,9.045958014539572,39.719447654999996,D997,_,00280,101
D997__00270.101,9.036537856173922,39.727194185,D997,_,00270,101
D997__00260.101,9.024976460726393,39.72254727,D997,_,00260,101
D997__00250.101,9.014339116056522,39.727350900000005,D997,_,00250,101
D997__00240.101,9.003336350316761,39.72503936,D997,_,00240,101
D997__00230.101,9.05734360402313,39.732409875,D997,_,00230,101
D997__00220.101,9.040581544058355,39.73003973,D997,_,00220,101
D997__00210.101,9.03737843958329,39.735534345,D997,_,00210,101
D997__00160.101,9.055985121173519,39.741891655,D997,_,00160,101
D997__00150.101,9.049611148753929,39.740115599999996,D997,_,00150,101
D997__00140.101,9.031253554462504,39.74359511,D997,_,00140,101
D997__00130.101,9.024309262300802,39.74063202000001,D997,_,00130,101
D997__00120.101,9.009820477879005,39.741962474999994,D997,_,00120,101
D997__00090.101,9.05637644980765,39.75339862,D997,_,00090,101
D997__00080.101,9.04134590442887,39.749818215000005,D997,_,00080,101
D997__0020.1017,9.020392504200835,39.731050929999995,D997,_,0020,1017
D997__00200.1019,9.021958916015475,39.734415865,D997,_,00200,1019
D997__00060.102,9.024834192458334,39.754701985,D997,_,00060,102
D997__00330.102,9.051788009727776,39.700505545,D997,_,00330,102
D997__00310.102,9.042246693041083,39.707027675,D997,_,00310,102
D997__00300.102,9.029888834207119,39.713442895,D997,_,00300,102
D997__00290.102,9.05158554350649,39.724616870000006,D997,_,00290,102
D997__00280.102,9.04709450129456,39.718959335,D997,_,00280,102
D997__00270.102,9.028631056498176,39.72695047,D997,_,00270,102
D997__00260.102,9.026710907918616,39.72334251,D997,_,00260,102
D997__00240.102,9.004841602309543,39.724019665,D997,_,00240,102
D997__00230.102,9.058587423409433,39.732161225,D997,_,00230,102
D997__00220.102,9.040621425506039,39.73015548,D997,_,00220,102
D997__00210.102,9.037368341300535,39.73534926,D997,_,00210,102
D997__0020.102,9.017123638034317,39.734244329999996,D997,_,0020,102
D997__00160.102,9.05602398354267,39.741524735,D997,_,00160,102
D997__00150.102,9.049927567797809,39.738505020000005,D997,_,00150,102
D997__00140.102,9.031894989334397,39.743668125,D997,_,00140,102
D997__00120.102,9.009401261887295,39.741522925,D997,_,00120,102
D997__00090.102,9.058641792940545,39.753781745,D997,_,00090,102
D997__00080.102,9.04120514506917,39.749326375,D997,_,00080,102
D997__00070.102,9.03386654571833,39.75365463,D997,_,00070,102
D997__00200.1021,9.022082491864952,39.73465317,D997,_,00200,1021
D997__0020.1022,9.019406450430367,39.731532325,D997,_,0020,1022
D997__0020.1023,9.023197793107794,39.73355702,D997,_,0020,1023
D997__0020.1024,9.018097364146296,39.733509964999996,D997,_,0020,1024
D997__0020.1029,9.017573221553164,39.73393749,D997,_,0020,1029
D997__00060.103,9.024509737584165,39.755049135,D997,_,00060,103
D997__00330.103,9.052266130310674,39.700623705,D997,_,00330,103
D997__00320.103,9.047457092803077,39.709087460000006,D997,_,00320,103
D997__00310.103,9.03771825172039,39.712041905,D997,_,00310,103
D997__00300.103,9.03024508608962,39.713552765,D997,_,00300,103
D997__00290.103,9.05160781042051,39.72406278,D997,_,00290,103
D997__00280.103,9.045021733558281,39.718007084999996,D997,_,00280,103
D997__00270.103,9.029026309968529,39.726709735,D997,_,00270,103
