nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E036__00010.1,16.72674953662003,40.59994481,E036,_,00010,1
E036__0144.1,16.755871980700697,40.580163584999994,E036,_,0144,1
E036__01420.1,16.83608870927629,40.412187205,E036,_,01420,1
E036__01410.1,16.879391194024688,40.442693185,E036,_,01410,1
E036__01340.1,16.826021356032733,40.436140265,E036,_,01340,1
E036__01330.1,16.81727213307257,40.441483004999995,E036,_,01330,1
E036__01300.1,16.84799018772481,40.4696146,E036,_,01300,1
E036__01290.1,16.839522860894682,40.462918130000006,E036,_,01290,1
E036__01270.1,16.801125135657905,40.459729365,E036,_,01270,1
E036__01260.1,16.83772582479669,40.482021155,E036,_,01260,1
E036__01220.1,16.75304159224613,40.47373198,E036,_,01220,1
E036__01160.1,16.799759239029296,40.49499845,E036,_,01160,1
E036__01150.1,16.796045688512805,40.502672704999995,E036,_,01150,1
E036__01140.1,16.766331675162768,40.488173044999996,E036,_,01140,1
E036__01130.1,16.77777092424938,40.50834372,E036,_,01130,1
E036__01120.1,16.75759637494272,40.493191624999994,E036,_,01120,1
E036__01100.1,16.734638949891952,40.499194945,E036,_,01100,1
E036__01090.1,16.71928559880761,40.481744129999996,E036,_,01090,1
E036__01080.1,16.81348719367707,40.52408925,E036,_,01080,1
E036__01060.1,16.788019589758385,40.511259460000005,E036,_,01060,1
E036__01040.1,16.796360328410792,40.52783563,E036,_,01040,1
E036__01000.1,16.737396412279818,40.508824974999996,E036,_,01000,1
E036__00990.1,16.8240352678212,40.550857895,E036,_,00990,1
E036__00970.1,16.808796809693447,40.539863139999994,E036,_,00970,1
E036__00950.1,16.789903752303896,40.532454335,E036,_,00950,1
E036__00940.1,16.802544485015527,40.54661488,E036,_,00940,1
E036__00930.1,16.78892122331102,40.543368470000004,E036,_,00930,1
E036__00900.1,16.770783934699047,40.532586115,E036,_,00900,1
E036__00870.1,16.759449496669923,40.528527955,E036,_,00870,1
E036__00830.1,16.73236893864429,40.52195705,E036,_,00830,1
E036__00820.1,16.722305545877653,40.532401105,E036,_,00820,1
E036__00810.1,16.84111855346783,40.559766065000005,E036,_,00810,1
E036__00790.1,16.794408103017123,40.554318115,E036,_,00790,1
E036__00780.1,16.777702886067164,40.55023353,E036,_,00780,1
E036__00770.1,16.77450287626299,40.553848630000005,E036,_,00770,1
E036__00760.1,16.76496039594535,40.55096793,E036,_,00760,1
E036__00750.1,16.754977359215864,40.544663305,E036,_,00750,1
E036__00740.1,16.75011781482445,40.541998234999994,E036,_,00740,1
E036__00720.1,16.751062400263194,40.54940445,E036,_,00720,1
E036__00710.1,16.743828631561563,40.547354670000004,E036,_,00710,1
E036__00700.1,16.748448990376467,40.548715494999996,E036,_,00700,1
E036__00690.1,16.740245441161584,40.545375135,E036,_,00690,1
E036__00680.1,16.74108711528053,40.537071985,E036,_,00680,1
E036__00670.1,16.74066402052199,40.5417959,E036,_,00670,1
E036__00660.1,16.736185113754335,40.5427428,E036,_,00660,1
E036__00650.1,16.725221002442588,40.5428058,E036,_,00650,1
E036__00630.1,16.819312705426192,40.56436415,E036,_,00630,1
E036__00620.1,16.805579827169232,40.56397458,E036,_,00620,1
E036__00600.1,16.786858886240545,40.560540355,E036,_,00600,1
E036__00590.1,16.77516338332355,40.557614295,E036,_,00590,1
E036__00570.1,16.761475418896627,40.565569905000004,E036,_,00570,1
E036__00550.1,16.74850241512559,40.555894710000004,E036,_,00550,1
E036__00540.1,16.743749477963025,40.553028595,E036,_,00540,1
E036__00530.1,16.742397233655076,40.5582224,E036,_,00530,1
E036__00520.1,16.740489556295977,40.557457944999996,E036,_,00520,1
E036__00510.1,16.732030985473934,40.55627188,E036,_,00510,1
E036__00500.1,16.73575269399533,40.546262209999995,E036,_,00500,1
E036__00490.1,16.734597547966928,40.549937655,E036,_,00490,1
E036__00480.1,16.729366710246374,40.555372215,E036,_,00480,1
E036__00470.1,16.718479044705866,40.55658473,E036,_,00470,1
E036__00460.1,16.718541973830646,40.54548284,E036,_,00460,1
E036__00450.1,16.707964639321865,40.55707271,E036,_,00450,1
E036__00440.1,16.81710615675653,40.573121525000005,E036,_,00440,1
E036__00430.1,16.798931638129023,40.568675305,E036,_,00430,1
E036__00420.1,16.788680215020555,40.571550395,E036,_,00420,1
E036__00410.1,16.778946420424422,40.567157115,E036,_,00410,1
E036__00400.1,16.7706322084143,40.56889894,E036,_,00400,1
E036__00390.1,16.76137572316692,40.56754985,E036,_,00390,1
E036__00380.1,16.759110538913774,40.56737409,E036,_,00380,1
E036__00370.1,16.737270235834444,40.56815852,E036,_,00370,1
E036__00360.1,16.73110186421537,40.562237355,E036,_,00360,1
E036__00350.1,16.712647686051838,40.560925945,E036,_,00350,1
E036__00340.1,16.767835888578254,40.577342855,E036,_,00340,1
E036__00330.1,16.75875942891733,40.57727916,E036,_,00330,1
E036__00310.1,16.7347970771459,40.573049025,E036,_,00310,1
E036__00300.1,16.726433434996153,40.573657819999994,E036,_,00300,1
E036__00290.1,16.722258815620407,40.574854695,E036,_,00290,1
E036__00280.1,16.72013888018248,40.575465525,E036,_,00280,1
E036__00270.1,16.76252416162408,40.594977220000004,E036,_,00270,1
E036__00260.1,16.761237437497993,40.583571570000004,E036,_,00260,1
E036__00250.1,16.740105522281308,40.5859923,E036,_,00250,1
E036__00240.1,16.73638245270334,40.584874035,E036,_,00240,1
E036__00230.1,16.730810995742644,40.58259837,E036,_,00230,1
E036__00220.1,16.72787862446884,40.580865895,E036,_,00220,1
E036__00210.1,16.723607620457116,40.585393365,E036,_,00210,1
E036__00200.1,16.717744877524293,40.58065399,E036,_,00200,1
E036__00190.1,16.748665529098048,40.58940246,E036,_,00190,1
E036__00180.1,16.740626763746285,40.592696715,E036,_,00180,1
E036__00170.1,16.736901384438873,40.59314129,E036,_,00170,1
E036__00160.1,16.73016520256511,40.591398425,E036,_,00160,1
E036__00150.1,16.73018728931616,40.58998489,E036,_,00150,1
E036__00140.1,16.726237846020314,40.587918235000004,E036,_,00140,1
E036__00130.1,16.720023868487154,40.590699045,E036,_,00130,1
E036__00120.1,16.718293014637922,40.589778635,E036,_,00120,1
E036__00110.1,16.747798537493004,40.59563199,E036,_,00110,1
