nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E064__00010.1,8.17795811975175,44.193137205,E064,_,00010,1
E064__00180.1,8.263865693482602,44.167903525,E064,_,00180,1
E064__00160.1,8.257408360736472,44.168424115,E064,_,00160,1
E064__00150.1,8.253551476956456,44.16587036,E064,_,00150,1
E064__00140.1,8.253675850364036,44.168450305,E064,_,00140,1
E064__00130.1,8.249170233094418,44.172564045,E064,_,00130,1
E064__00120.1,8.243384573179522,44.16476901,E064,_,00120,1
E064__00110.1,8.246648971528625,44.179893045,E064,_,00110,1
E064__00100.1,8.2383755220395,44.173300785,E064,_,00100,1
E064__00090.1,8.229661300113719,44.17312837,E064,_,00090,1
E064__00080.1,8.237730345822868,44.17701049,E064,_,00080,1
E064__00070.1,8.22897001732005,44.177115315,E064,_,00070,1
E064__00060.1,8.228826023881485,44.18414041,E064,_,00060,1
E064__00050.1,8.219196850060156,44.183653050000004,E064,_,00050,1
E064__00040.1,8.20040202421896,44.185393930000004,E064,_,00040,1
E064__00030.1,8.195883083938698,44.185762260000004,E064,_,00030,1
E064__00020.1,8.214375910934319,44.20138437,E064,_,00020,1
E064__00010.10,8.185240555409536,44.19328315,E064,_,00010,10
E064__00180.10,8.26561081102366,44.167914065,E064,_,00180,10
E064__00160.10,8.258191473201395,44.168092224999995,E064,_,00160,10
E064__00150.10,8.25377316610297,44.16548451,E064,_,00150,10
E064__00140.10,8.255739634879289,44.16836043,E064,_,00140,10
E064__00130.10,8.2494253016883,44.172219240000004,E064,_,00130,10
E064__00120.10,8.244188307862661,44.16450812,E064,_,00120,10
E064__00110.10,8.247087229455307,44.179511385,E064,_,00110,10
E064__00100.10,8.2391418291012,44.172878225,E064,_,00100,10
E064__00090.10,8.233488540387139,44.17229268,E064,_,00090,10
E064__00080.10,8.242765985800698,44.177515755,E064,_,00080,10
E064__00070.10,8.231255399453971,44.17576808,E064,_,00070,10
E064__00060.10,8.234309037188616,44.1838649,E064,_,00060,10
E064__00050.10,8.224591984403716,44.183816865,E064,_,00050,10
E064__00040.10,8.200567946469027,44.182383895,E064,_,00040,10
E064__00030.10,8.19184267151282,44.18432025,E064,_,00030,10
E064__00020.10,8.217138998594809,44.198553335,E064,_,00020,10
E064__00010.100,8.206062671928157,44.18437454,E064,_,00010,100
E064__00180.100,8.269070253493496,44.16398241,E064,_,00180,100
E064__00170.100,8.26631539392644,44.165979095,E064,_,00170,100
E064__00160.100,8.254548122560317,44.166595135,E064,_,00160,100
E064__00150.100,8.254135767445797,44.16613795,E064,_,00150,100
E064__00140.100,8.256226395835744,44.171488525,E064,_,00140,100
E064__00130.100,8.25251294080794,44.17168291,E064,_,00130,100
