nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E089__00010.1,10.872845313284515,44.98464615,E089,_,00010,1
E089__00520.1,10.87765214697956,44.930405475,E089,_,00520,1
E089__00510.1,10.872129060551714,44.937366775,E089,_,00510,1
E089__00490.1,10.844191959220844,44.933305625,E089,_,00490,1
E089__00470.1,10.869622141688474,44.950052240000005,E089,_,00470,1
E089__00440.1,10.855553681006267,44.945694305,E089,_,00440,1
E089__00420.1,10.845555873270573,44.954612735,E089,_,00420,1
E089__00400.1,10.823094637770218,44.952333429999996,E089,_,00400,1
E089__00390.1,10.820423512183382,44.944107215,E089,_,00390,1
E089__0038.1,10.818626535006171,44.952464885,E089,_,0038,1
E089__00360.1,10.79422074012736,44.953583390000006,E089,_,00360,1
E089__00350.1,10.79155642571602,44.9476565,E089,_,00350,1
E089__00340.1,10.787078744370937,44.9523807,E089,_,00340,1
E089__00330.1,10.77522419681915,44.948954055,E089,_,00330,1
E089__00320.1,10.773862557947876,44.957111465,E089,_,00320,1
E089__00310.1,10.747176378608817,44.955178294999996,E089,_,00310,1
E089__00300.1,10.89188610107339,44.96214865,E089,_,00300,1
E089__00290.1,10.880885495842897,44.96283405,E089,_,00290,1
E089__00270.1,10.866464440157255,44.964917740000004,E089,_,00270,1
E089__00260.1,10.864545963223897,44.95766773,E089,_,00260,1
E089__00250.1,10.857077749842793,44.964711879999996,E089,_,00250,1
E089__00240.1,10.837449295556741,44.962583615,E089,_,00240,1
E089__00230.1,10.832431728840504,44.957025245,E089,_,00230,1
E089__00210.1,10.815289097732439,44.963309975,E089,_,00210,1
E089__00190.1,10.803182836349853,44.962166855,E089,_,00190,1
E089__00170.1,10.775149609034461,44.970777545,E089,_,00170,1
E089__00160.1,10.759316090947806,44.96129398,E089,_,00160,1
E089__00150.1,10.7567804105007,44.965865324999996,E089,_,00150,1
E089__00140.1,10.886250762934853,44.969589185000004,E089,_,00140,1
E089__00130.1,10.876082370587227,44.97872472,E089,_,00130,1
E089__00110.1,10.860089056613635,44.974222925,E089,_,00110,1
E089__00100.1,10.850366556868629,44.970957965,E089,_,00100,1
E089__00090.1,10.838506153997539,44.973207445,E089,_,00090,1
E089__00080.1,10.833829589238976,44.9771722,E089,_,00080,1
E089__00070.1,10.8190123977348,44.97120785,E089,_,00070,1
E089__00060.1,10.803431014234032,44.97311152,E089,_,00060,1
E089__00050.1,10.794204534880063,44.96992455,E089,_,00050,1
E089__00030.1,10.793486610789017,44.980627365000004,E089,_,00030,1
E089__00010.10,10.877078342339349,44.980904595,E089,_,00010,10
E089__00520.10,10.866957028839845,44.927637125000004,E089,_,00520,10
E089__00500.10,10.86875102114558,44.936148185,E089,_,00500,10
E089__00490.10,10.846913249023004,44.931894850000006,E089,_,00490,10
E089__00480.10,10.88624637711397,44.947935945,E089,_,00480,10
