nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E101__00070.1,8.888863475413212,45.662571979999996,E101,_,00070,1
E101__00080.100,8.892483348951078,45.663576965000004,E101,_,00080,100
E101__00040.1001,8.887571020803572,45.66570858,E101,_,00040,1001
E101__00040.1003,8.886739867311181,45.666278945,E101,_,00040,1003
E101__00040.1005,8.88814660755779,45.66660752,E101,_,00040,1005
E101__00040.1006,8.88842736845006,45.665946265,E101,_,00040,1006
E101__00040.1011,8.893787722276066,45.667678635,E101,_,00040,1011
E101__00040.1013,8.895073219652165,45.6682203,E101,_,00040,1013
E101__00040.1014,8.893719384914231,45.666446085000004,E101,_,00040,1014
E101__00040.1016,8.893884784894567,45.66669768,E101,_,00040,1016
E101__00040.1017,8.893743218144316,45.666861035,E101,_,00040,1017
E101__00040.1018,8.893557478357106,45.66715941,E101,_,00040,1018
E101__00040.1019,8.893474350595767,45.667377439999996,E101,_,00040,1019
E101__00080.102,8.89279631795706,45.663712265,E101,_,00080,102
E101__00040.1020,8.893464012366714,45.667670325,E101,_,00040,1020
E101__00080.1021,8.896150561501297,45.665232285,E101,_,00080,1021
E101__00080.1022,8.895822253543876,45.666118975,E101,_,00080,1022
E101__00080.1023,8.895899660004705,45.66593848,E101,_,00080,1023
E101__00080.1024,8.896279907722388,45.665972735,E101,_,00080,1024
E101__00080.1025,8.896198420620152,45.66620391,E101,_,00080,1025
E101__00080.1026,8.896418785585903,45.665730935,E101,_,00080,1026
E101__00080.1027,8.896039583814591,45.66561863,E101,_,00080,1027
E101__00080.1028,8.896036842271144,45.665357575,E101,_,00080,1028
E101__00080.1029,8.89598208308658,45.665474169999996,E101,_,00080,1029
E101__00080.103,8.893064976003995,45.663603645,E101,_,00080,103
E101__00080.1030,8.895652703028198,45.66495874,E101,_,00080,1030
E101__00080.1032,8.895121016972539,45.66585544,E101,_,00080,1032
E101__00080.1033,8.895404518572294,45.66594244,E101,_,00080,1033
E101__00080.1034,8.895322446756374,45.6656695,E101,_,00080,1034
E101__00080.1035,8.895612417433494,45.66573005,E101,_,00080,1035
E101__00080.1036,8.895501616931725,45.665326085000004,E101,_,00080,1036
E101__00040.1039,8.895332437462017,45.666261065,E101,_,00040,1039
E101__00080.104,8.893022508005473,45.663846774999996,E101,_,00080,104
E101__00040.1040,8.89513384133773,45.666558635,E101,_,00040,1040
E101__00040.1041,8.89567929391496,45.666369015,E101,_,00040,1041
E101__00040.1042,8.89551385402804,45.66673659,E101,_,00040,1042
E101__00070.1043,8.890693568860987,45.663352665,E101,_,00070,1043
E101__00070.1044,8.89072866992608,45.663002595,E101,_,00070,1044
E101__00070.1045,8.89048797236817,45.662262845,E101,_,00070,1045
E101__00070.1046,8.890893600123828,45.66186779,E101,_,00070,1046
E101__00070.1047,8.89058270901462,45.661767620000006,E101,_,00070,1047
E101__00070.1048,8.890426600941694,45.661618555000004,E101,_,00070,1048
E101__00070.1049,8.889988927920498,45.66158994,E101,_,00070,1049
E101__00080.105,8.893385436166625,45.664491395,E101,_,00080,105
E101__00070.1050,8.890124336417408,45.661356655,E101,_,00070,1050
E101__00040.1055,8.887759901435029,45.66815819,E101,_,00040,1055
E101__00070.1056,8.889666323126217,45.662463265,E101,_,00070,1056
E101__00070.1057,8.888490431402772,45.66346325,E101,_,00070,1057
E101__00070.1058,8.887756349870962,45.664008089999996,E101,_,00070,1058
E101__00070.1059,8.888454303246068,45.663575295,E101,_,00070,1059
E101__00070.1063,8.888547330356275,45.663860580000005,E101,_,00070,1063
E101__00070.1064,8.888647833558402,45.66394596,E101,_,00070,1064
E101__00070.1066,8.887348726893894,45.664392905,E101,_,00070,1066
E101__00070.1067,8.88744171890638,45.664605745,E101,_,00070,1067
E101__00070.1068,8.888372521939974,45.664998804999996,E101,_,00070,1068
E101__00070.1069,8.889501255486405,45.66381783,E101,_,00070,1069
E101__00070.1070,8.889286385563768,45.6639754,E101,_,00070,1070
E101__00070.1071,8.889232377444078,45.6638618,E101,_,00070,1071
E101__00070.1072,8.889207969544055,45.664084195,E101,_,00070,1072
E101__00070.1073,8.889287262104673,45.664109435,E101,_,00070,1073
E101__00070.1074,8.890469209117668,45.66424851,E101,_,00070,1074
E101__00070.1075,8.890292066991304,45.66538132,E101,_,00070,1075
E101__00070.1078,8.890180505215753,45.665669875,E101,_,00070,1078
E101__00070.1079,8.891187120521648,45.664993525,E101,_,00070,1079
