nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E104A_09010.1,8.847107782952373,45.749713915,E104,A,09010,1
E104A_09010.10,8.846306516148646,45.74915109,E104,A,09010,10
E104B_09030.10,8.864397597937135,45.728639259999994,E104,B,09030,10
E104A_09020.100,8.849150958785849,45.741613470000004,E104,A,09020,100
E104B_0903.100,8.866941053664778,45.72604744,E104,B,0903,100
E104A_09060.1000,8.867153280544557,45.736652989999996,E104,A,09060,1000
E104B_09020.1000,8.875286935151845,45.73637367,E104,B,09020,1000
E104B_09020.1001,8.875471535243788,45.736386519999996,E104,B,09020,1001
E104A_09030.1002,8.865449594948526,45.745612065,E104,A,09030,1002
E104B_09020.1002,8.87563674355094,45.736386519999996,E104,B,09020,1002
E104A_09030.1003,8.865888041537499,45.74422051,E104,A,09030,1003
E104B_0903.1003,8.866167918945514,45.726531355,E104,B,0903,1003
E104A_09030.1004,8.866079904167123,45.74396232,E104,A,09030,1004
E104B_09020.1004,8.872852693772955,45.73664779,E104,B,09020,1004
E104A_09030.1005,8.866717011842134,45.74313103,E104,A,09030,1005
E104B_09020.1005,8.8735879407051,45.73482257,E104,B,09020,1005
E104A_09030.1006,8.868202936589444,45.740096109999996,E104,A,09030,1006
E104B_09020.1006,8.873403457210294,45.7353332,E104,B,09020,1006
E104B_09020.1007,8.87299753876286,45.73477928,E104,B,09020,1007
E104A_09030.1008,8.86801641829316,45.738997,E104,A,09030,1008
E104B_09020.1008,8.872639576613796,45.735162845,E104,B,09020,1008
E104A_0903.1009,8.870861359612558,45.738687389999996,E104,A,0903,1009
E104A_09060.101,8.862628076859693,45.737869195,E104,A,09060,101
E104B_09020.101,8.86884753365934,45.73372219,E104,B,09020,101
E104A_09060.1010,8.867194272665483,45.73694254,E104,A,09060,1010
E104A_09060.1011,8.866887990682855,45.736042510000004,E104,A,09060,1011
E104A_09060.1014,8.866655278328972,45.73326273,E104,A,09060,1014
E104B_09030.1014,8.872455762177083,45.72593844,E104,B,09030,1014
E104A_09060.1015,8.865931601590631,45.73205289,E104,A,09060,1015
E104A_09030.1016,8.86696750899559,45.742919564999994,E104,A,09030,1016
E104A_09030.1017,8.868141046399579,45.73936177,E104,A,09030,1017
E104B_09030.1017,8.87443022897545,45.726667739999996,E104,B,09030,1017
E104A_09030.1018,8.867875031051101,45.738647565,E104,A,09030,1018
E104B_09030.1019,8.873668974418825,45.726491085,E104,B,09030,1019
E104B_0903.102,8.866940424431409,45.725935275,E104,B,0903,102
E104A_09030.1020,8.867275420704253,45.74187728,E104,A,09030,1020
E104A_09030.1021,8.868168589238984,45.73978289,E104,A,09030,1021
E104A_09060.1022,8.866132632360593,45.73374217,E104,A,09060,1022
E104A_09060.1023,8.867798604286243,45.73429744,E104,A,09060,1023
E104B_09020.1023,8.873458719767255,45.736829225,E104,B,09020,1023
E104A_09020.1025,8.85313265614415,45.746183079999994,E104,A,09020,1025
E104A_09020.1026,8.853005390806004,45.745614905,E104,A,09020,1026
E104A_09020.1028,8.853490875434764,45.744579645,E104,A,09020,1028
E104A_09020.1029,8.854113465473663,45.74431217,E104,A,09020,1029
E104B_09020.1029,8.87361832835851,45.735916239999995,E104,B,09020,1029
E104A_09050.103,8.846468785669808,45.739048515,E104,A,09050,103
E104B_09020.103,8.869220415137214,45.734075195,E104,B,09020,103
E104A_09030.1030,8.85949994057659,45.740757255000005,E104,A,09030,1030
E104A_09030.1031,8.861550382956555,45.742823095,E104,A,09030,1031
E104B_09020.1031,8.873356870363732,45.736824444999996,E104,B,09020,1031
E104A_09030.1033,8.864741286865776,45.740052575,E104,A,09030,1033
E104A_0903.1034,8.860340854116902,45.738104629999995,E104,A,0903,1034
E104A_09060.1036,8.86550577417329,45.733714309999996,E104,A,09060,1036
E104B_09020.1036,8.873545347498464,45.73577016,E104,B,09020,1036
E104A_0903.1037,8.860281314072543,45.738557265,E104,A,0903,1037
E104A_0903.1038,8.860182510252026,45.73858489,E104,A,0903,1038
E104B_09020.1038,8.873258657297736,45.73681405,E104,B,09020,1038
E104A_09030.1039,8.860808777408515,45.7447467,E104,A,09030,1039
E104A_09020.104,8.847890032296817,45.740788495000004,E104,A,09020,104
E104B_09020.104,8.869095578270095,45.734417820000004,E104,B,09020,104
E104A_09020.1040,8.855727323333078,45.745761535,E104,A,09020,1040
E104A_09020.1041,8.85598500454111,45.74574231,E104,A,09020,1041
E104A_09020.1042,8.856398424629894,45.745987415,E104,A,09020,1042
E104A_09030.1043,8.860293322868962,45.742181744999996,E104,A,09030,1043
E104A_0903.1044,8.859951813444809,45.739680789999994,E104,A,0903,1044
E104B_09020.1046,8.87345419233785,45.735545095,E104,B,09020,1046
E104A_09030.1047,8.86142182691341,45.74418733,E104,A,09030,1047
E104A_09030.1048,8.861409214141727,45.743796275,E104,A,09030,1048
E104B_09020.1048,8.87311520756359,45.73681148,E104,B,09020,1048
E104B_0903.105,8.866105692686538,45.726338855,E104,B,0903,105
E104A_09030.1050,8.861560837867,45.744926879999994,E104,A,09030,1050
E104A_09030.1052,8.861086390587335,45.74380194,E104,A,09030,1052
E104A_09030.1053,8.861137783192957,45.74418635,E104,A,09030,1053
E104B_09020.1054,8.873401631025342,45.73554521,E104,B,09020,1054
E104A_09030.1055,8.861909865687405,45.743895285,E104,A,09030,1055
E104B_09020.1056,8.871497079735178,45.735365709999996,E104,B,09020,1056
E104B_09020.1057,8.87138189452829,45.73579343,E104,B,09020,1057
E104B_09020.1058,8.871289846590514,45.736131315,E104,B,09020,1058
E104A_09030.1059,8.86077304867493,45.742326075,E104,A,09030,1059
