nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E168__00010.1,7.790991853586337,45.82052534,E168,_,00010,1
E168__00360.1,7.893017573524389,45.752838319999995,E168,_,00360,1
E168__00350.1,7.862775573446777,45.754658985,E168,_,00350,1
E168__00330.1,7.854780489711253,45.732882685,E168,_,00330,1
E168__00320.1,7.852187618547702,45.737167255,E168,_,00320,1
E168__00310.1,7.827145018432193,45.74221841,E168,_,00310,1
E168__00300.1,7.8503413136311195,45.74556571,E168,_,00300,1
E168__00290.1,7.842649671137183,45.75063745,E168,_,00290,1
E168__00280.1,7.837971413248642,45.755034885,E168,_,00280,1
E168__00260.1,7.839337162482374,45.763435834999996,E168,_,00260,1
E168__00250.1,7.828331895664917,45.759977774999996,E168,_,00250,1
E168__00240.1,7.829988211500852,45.763296045000004,E168,_,00240,1
E168__00230.1,7.830859006557299,45.770467319999995,E168,_,00230,1
E168__00220.1,7.820487594306947,45.771654305,E168,_,00220,1
E168__00210.1,7.814669573542718,45.7695762,E168,_,00210,1
E168__00200.1,7.86582512444859,45.788513144999996,E168,_,00200,1
E168__00190.1,7.834202499783211,45.775824465,E168,_,00190,1
E168__00180.1,7.829399083773516,45.77600247,E168,_,00180,1
E168__00130.1,7.821237330944921,45.793392615,E168,_,00130,1
E168__00120.1,7.820983076219263,45.79967266,E168,_,00120,1
E168__00110.1,7.806025172302908,45.791662265,E168,_,00110,1
E168__00100.1,7.84090852491177,45.801240345,E168,_,00100,1
E168__00090.1,7.828499196994829,45.805821475,E168,_,00090,1
E168__00080.1,7.82334065810214,45.80648113,E168,_,00080,1
E168__00070.1,7.813408151123854,45.80614397,E168,_,00070,1
E168__00060.1,7.788681112362787,45.798608834999996,E168,_,00060,1
E168__00050.1,7.854850397423727,45.812968979999994,E168,_,00050,1
E168__00040.1,7.818514672349146,45.820259855,E168,_,00040,1
E168__00030.1,7.81670072810382,45.81454072,E168,_,00030,1
E168__00020.1,7.814072282246634,45.81694243,E168,_,00020,1
E168__00020.10,7.802406234278942,45.816061605,E168,_,00020,10
E168__00360.10,7.891831088905426,45.749523229999994,E168,_,00360,10
E168__00350.10,7.8635880674476,45.752531219999995,E168,_,00350,10
E168__00340.10,7.861323630051515,45.75156437,E168,_,00340,10
E168__00330.10,7.855248694824509,45.73268853,E168,_,00330,10
E168__00320.10,7.852802009070313,45.735278199999996,E168,_,00320,10
E168__00310.10,7.841915368207168,45.74618133,E168,_,00310,10
E168__00290.10,7.8433316755570655,45.749703365,E168,_,00290,10
E168__00280.10,7.839969104515449,45.75431326,E168,_,00280,10
E168__00270.10,7.84696620868116,45.763233685,E168,_,00270,10
E168__00260.10,7.838716970737073,45.76234906,E168,_,00260,10
E168__00250.10,7.832019458435614,45.75378651,E168,_,00250,10
E168__00230.10,7.833516017732121,45.770276355,E168,_,00230,10
E168__00220.10,7.821761045982196,45.770987340000005,E168,_,00220,10
E168__00210.10,7.819630147573453,45.76961397,E168,_,00210,10
E168__00180.10,7.83084020356042,45.77554732,E168,_,00180,10
E168__00170.10,7.821636583236263,45.776997215,E168,_,00170,10
E168__00160.10,7.825379520968099,45.784400855,E168,_,00160,10
E168__00150.10,7.831779222171754,45.794816275,E168,_,00150,10
E168__00140.10,7.821516915894286,45.785015035,E168,_,00140,10
E168__00130.10,7.822191390752611,45.79352079,E168,_,00130,10
E168__00120.10,7.821187744586466,45.79935395,E168,_,00120,10
E168__00110.10,7.815209454471578,45.79419288,E168,_,00110,10
E168__00090.10,7.831766946055335,45.802964925,E168,_,00090,10
E168__00080.10,7.821755031501247,45.80544517,E168,_,00080,10
E168__00070.10,7.817179731767908,45.805396189999996,E168,_,00070,10
E168__00060.10,7.802155182659041,45.796309205,E168,_,00060,10
E168__00050.10,7.8357100473309025,45.81848545,E168,_,00050,10
E168__00040.10,7.820201646573635,45.81980682,E168,_,00040,10
E168__00030.10,7.817552391700671,45.81341119,E168,_,00030,10
E168__00030.100,7.8163163915981855,45.81226521,E168,_,00030,100
E168__00360.100,7.892791747048022,45.74283335,E168,_,00360,100
E168__00350.100,7.8735983073227676,45.74397805,E168,_,00350,100
E168__00340.100,7.8557983331189245,45.743063225,E168,_,00340,100
E168__00330.100,7.855561544271554,45.72862194,E168,_,00330,100
