nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E403__00030.1,11.236977913313615,45.855160945,E403,_,00030,1
E403__00210.1,11.27029681591414,45.813673595,E403,_,00210,1
E403__00200.1,11.259981736994579,45.814595495,E403,_,00200,1
E403__00190.1,11.250077114793822,45.8172652,E403,_,00190,1
E403__00170.1,11.269160655113687,45.823828184999996,E403,_,00170,1
E403__00160.1,11.24496017745048,45.82372397,E403,_,00160,1
E403__00150.1,11.23739961000058,45.82682144499999,E403,_,00150,1
E403__00140.1,11.263279783115728,45.832601315000005,E403,_,00140,1
E403__00130.1,11.253357313876812,45.835161295000006,E403,_,00130,1
E403__00120.1,11.241305774566392,45.837099495000004,E403,_,00120,1
E403__00110.1,11.227646515659284,45.82909837,E403,_,00110,1
E403__00100.1,11.237836390710832,45.839944009999996,E403,_,00100,1
E403__00090.1,11.263467354817084,45.84527619,E403,_,00090,1
E403__00080.1,11.251940793277967,45.84752742,E403,_,00080,1
E403__00070.1,11.24121839588447,45.847239435000006,E403,_,00070,1
E403__00060.1,11.221637104258171,45.843139300000004,E403,_,00060,1
E403__00050.1,11.265146622744146,45.852674295,E403,_,00050,1
E403__00040.1,11.242621688818936,45.85562145,E403,_,00040,1
E403__00020.10,11.251766877602176,45.859610430000004,E403,_,00020,10
E403__00210.10,11.27304771089953,45.813330629999996,E403,_,00210,10
E403__00200.10,11.261886051234175,45.813856064999996,E403,_,00200,10
E403__00190.10,11.256665087252081,45.816807055,E403,_,00190,10
E403__00180.10,11.273247712629923,45.82188721,E403,_,00180,10
E403__00170.10,11.27086742131397,45.82360955,E403,_,00170,10
E403__00160.10,11.252906721261645,45.82274482,E403,_,00160,10
E403__00150.10,11.23991814110148,45.816155519999995,E403,_,00150,10
E403__00140.10,11.267419394635322,45.831446375,E403,_,00140,10
E403__00130.10,11.254066461970616,45.834157565,E403,_,00130,10
E403__00120.10,11.246221579196604,45.83580263,E403,_,00120,10
E403__00110.10,11.238519262310287,45.832010635,E403,_,00110,10
E403__00100.10,11.234264634824765,45.83564031,E403,_,00100,10
E403__00090.10,11.26930110218072,45.83946465,E403,_,00090,10
E403__00080.10,11.261404443868347,45.846259175,E403,_,00080,10
E403__00070.10,11.244911838359652,45.84643178,E403,_,00070,10
E403__00060.10,11.231021420518992,45.84484444,E403,_,00060,10
E403__00040.10,11.254961541022773,45.854623045,E403,_,00040,10
E403__00030.10,11.235768059325405,45.85347351,E403,_,00030,10
E403__00080.100,11.25919892276961,45.834763,E403,_,00080,100
E403__00210.100,11.277118285123338,45.81172578,E403,_,00210,100
E403__00190.100,11.257569615354882,45.810180445,E403,_,00190,100
E403__00180.100,11.278166136572949,45.81954701,E403,_,00180,100
E403__00170.100,11.269658972387129,45.820617865,E403,_,00170,100
E403__00160.100,11.255121344531467,45.8198425,E403,_,00160,100
E403__00140.100,11.262360559586746,45.829266295,E403,_,00140,100
E403__00130.100,11.259906219892828,45.83290834,E403,_,00130,100
E403__00120.100,11.25366821421945,45.831914115000004,E403,_,00120,100
E403__00130.1000,11.255279391816352,45.83282897,E403,_,00130,1000
E403__00210.1000,11.270164113380922,45.80656461,E403,_,00210,1000
E403__00200.1000,11.264157211354956,45.808011965,E403,_,00200,1000
E403__00130.1001,11.256848571595212,45.832972915,E403,_,00130,1001
E403__00210.1001,11.270232075250437,45.80639615,E403,_,00210,1001
E403__00200.1001,11.264580678819382,45.807857565000006,E403,_,00200,1001
E403__00140.1001,11.266097724733651,45.823040524999996,E403,_,00140,1001
E403__00130.1002,11.256654342009643,45.832411379999996,E403,_,00130,1002
E403__00210.1002,11.270105096300526,45.806676695,E403,_,00210,1002
E403__00200.1002,11.265085857853428,45.808021260000004,E403,_,00200,1002
E403__00140.1002,11.263771830812882,45.829652640000006,E403,_,00140,1002
E403__00130.1003,11.256679185993846,45.832532205,E403,_,00130,1003
E403__00210.1003,11.270340161241375,45.806657915,E403,_,00210,1003
E403__00200.1003,11.265062832475735,45.80778923,E403,_,00200,1003
E403__00140.1003,11.268111366294676,45.828666795000004,E403,_,00140,1003
E403__00140.1004,11.261050998476625,45.82489054,E403,_,00140,1004
E403__00210.1004,11.270279504548533,45.806709935,E403,_,00210,1004
E403__00200.1004,11.26239662955766,45.80806137,E403,_,00200,1004
E403__00130.1005,11.260676508767308,45.832726195,E403,_,00130,1005
E403__00210.1005,11.270472687536497,45.806477189999995,E403,_,00210,1005
E403__00200.1005,11.259664727657583,45.80778952,E403,_,00200,1005
E403__00130.1006,11.260560957573645,45.832680929999995,E403,_,00130,1006
E403__00210.1006,11.27037417541853,45.8067641,E403,_,00210,1006
E403__00200.1006,11.2572144209366,45.806827025000004,E403,_,00200,1006
E403__00140.1006,11.268366535850875,45.831380530000004,E403,_,00140,1006
E403__00130.1007,11.260580737259946,45.832653485,E403,_,00130,1007
E403__00210.1007,11.270624696703118,45.806572204999995,E403,_,00210,1007
E403__00200.1007,11.25893000851124,45.807530705000005,E403,_,00200,1007
E403__00140.1007,11.267830448990752,45.830932895000004,E403,_,00140,1007
E403__00130.1008,11.26172466646676,45.832705915,E403,_,00130,1008
E403__00210.1008,11.270458054749213,45.80675498,E403,_,00210,1008
E403__00200.1008,11.258984389157488,45.807469435,E403,_,00200,1008
E403__00140.1008,11.269474749183068,45.82902793,E403,_,00140,1008
E403__00130.1009,11.261400956724074,45.83263207,E403,_,00130,1009
E403__00210.1009,11.271251502631515,45.807040244999996,E403,_,00210,1009
E403__00200.1009,11.259063638721532,45.807386495,E403,_,00200,1009
E403__00140.1009,11.269287502502493,45.82864171,E403,_,00140,1009
E403__00080.101,11.259827732927562,45.83465583,E403,_,00080,101
E403__00210.101,11.277462749634747,45.81177658,E403,_,00210,101
E403__00200.101,11.26492801118878,45.812714490000005,E403,_,00200,101
E403__00190.101,11.254303575523288,45.810000779999996,E403,_,00190,101
E403__00180.101,11.27831888151219,45.81968085,E403,_,00180,101
E403__00170.101,11.270335033439999,45.821030365,E403,_,00170,101
E403__00160.101,11.255251421110092,45.819727490000005,E403,_,00160,101
E403__00140.101,11.263039863521197,45.82935317,E403,_,00140,101
E403__00130.101,11.260476941710795,45.83274185,E403,_,00130,101
E403__00130.1010,11.261484553711917,45.832512550000004,E403,_,00130,1010
E403__00210.1010,11.271571299323558,45.807018600000006,E403,_,00210,1010
E403__00200.1010,11.259213530835192,45.80733889,E403,_,00200,1010
E403__00140.1010,11.265777574244774,45.825684609999996,E403,_,00140,1010
E403__00130.1011,11.261395711646069,45.832324514999996,E403,_,00130,1011
E403__00210.1011,11.271441992006194,45.807035465,E403,_,00210,1011
E403__00140.1011,11.268469693289848,45.826824665000004,E403,_,00140,1011
E403__00130.1012,11.261856984686844,45.832353565000005,E403,_,00130,1012
E403__00210.1012,11.270856844279818,45.806974575,E403,_,00210,1012
E403__00200.1012,11.260915595644873,45.806985435,E403,_,00200,1012
E403__00140.1012,11.268891879897591,45.826056835,E403,_,00140,1012
E403__00130.1013,11.262200026233327,45.83215498,E403,_,00130,1013
E403__00210.1013,11.271041131143265,45.806883244999995,E403,_,00210,1013
E403__00200.1013,11.269604339466136,45.806757160000004,E403,_,00200,1013
E403__00140.1013,11.2690496976115,45.824591319999996,E403,_,00140,1013
E403__00130.1014,11.26254232357918,45.831994390000006,E403,_,00130,1014
E403__00210.1014,11.271053835541743,45.808985574999994,E403,_,00210,1014
E403__00130.1015,11.255213288834813,45.831935810000004,E403,_,00130,1015
E403__00210.1015,11.271434002489828,45.809077395,E403,_,00210,1015
E403__00200.1015,11.264583060148794,45.806678770000005,E403,_,00200,1015
E403__00140.1015,11.271608443523874,45.825710595000004,E403,_,00140,1015
E403__00130.1016,11.2553037268985,45.831949215,E403,_,00130,1016
E403__00210.1016,11.271125777353799,45.80898963,E403,_,00210,1016
E403__00200.1016,11.259692310024889,45.806705065,E403,_,00200,1016
E403__00140.1016,11.271581903082096,45.82542545,E403,_,00140,1016
E403__00130.1017,11.255391740570952,45.83196185,E403,_,00130,1017
E403__00210.1017,11.27112593580338,45.80936212,E403,_,00210,1017
E403__00200.1017,11.261079035986,45.80688902,E403,_,00200,1017
E403__00130.1018,11.255281850884478,45.831799845,E403,_,00130,1018
E403__00210.1018,11.271301458609617,45.809367765000005,E403,_,00210,1018
E403__00200.1018,11.262209651276553,45.806877605,E403,_,00200,1018
E403__00140.1018,11.268727292675496,45.829944795,E403,_,00140,1018
E403__00130.1019,11.255348981507842,45.831742719999994,E403,_,00130,1019
E403__00210.1019,11.27123735494229,45.80935494,E403,_,00210,1019
E403__00200.1019,11.26253369897336,45.805979054999995,E403,_,00200,1019
E403__00140.1019,11.268686265919133,45.829764175,E403,_,00140,1019
E403__00080.102,11.255397132421443,45.83438194,E403,_,00080,102
E403__00210.102,11.27793160239921,45.81186244,E403,_,00210,102
E403__00200.102,11.265035704783138,45.81251086,E403,_,00200,102
E403__00190.102,11.256309899463396,45.80992043,E403,_,00190,102
E403__00180.102,11.27856150316692,45.819425635,E403,_,00180,102
E403__00170.102,11.270439253788581,45.82054028,E403,_,00170,102
E403__00160.102,11.255220767463532,45.819408075,E403,_,00160,102
E403__00140.102,11.26390578906381,45.82957911,E403,_,00140,102
E403__00130.102,11.260653584264048,45.83276619,E403,_,00130,102
E403__00130.1020,11.254518789493662,45.831285144999995,E403,_,00130,1020
E403__00210.1020,11.271394642787563,45.80930325,E403,_,00210,1020
E403__00200.1020,11.263570998132366,45.80609192,E403,_,00200,1020
E403__00140.1020,11.267255476414725,45.8263873,E403,_,00140,1020
E403__00140.1021,11.272476690478008,45.825201195,E403,_,00140,1021
E403__00210.1021,11.271235900923049,45.809274535,E403,_,00210,1021
E403__00200.1021,11.266294227127043,45.806159205,E403,_,00200,1021
E403__00140.1022,11.272873536652707,45.82533121,E403,_,00140,1022
E403__00210.1022,11.271330535125063,45.809730529999996,E403,_,00210,1022
E403__00200.1022,11.260873851301731,45.812413295,E403,_,00200,1022
E403__00140.1023,11.273224034191156,45.825270655,E403,_,00140,1023
E403__00210.1023,11.271250805409778,45.809717975,E403,_,00210,1023
E403__00200.1023,11.257100437551893,45.80605061,E403,_,00200,1023
E403__00130.1024,11.256713728227925,45.832056015,E403,_,00130,1024
E403__00210.1024,11.271582601117375,45.809759310000004,E403,_,00210,1024
E403__00200.1024,11.259208968023021,45.80571425,E403,_,00200,1024
E403__00130.1025,11.256795016575072,45.832068555,E403,_,00130,1025
E403__00210.1025,11.271166932409312,45.80951387,E403,_,00210,1025
E403__00200.1025,11.25939247511309,45.805960490000004,E403,_,00200,1025
E403__00130.1026,11.256568774457957,45.831864225000004,E403,_,00130,1026
E403__00210.1026,11.271271407961734,45.809481105,E403,_,00210,1026
E403__00200.1026,11.261309657163077,45.806071450000005,E403,_,00200,1026
E403__00140.1026,11.272611341684854,45.824208915,E403,_,00140,1026
E403__00130.1027,11.256754317392158,45.831998275000004,E403,_,00130,1027
E403__00210.1027,11.271360356531925,45.809451665,E403,_,00210,1027
E403__00200.1027,11.261675953599877,45.80583154,E403,_,00200,1027
E403__00140.1027,11.27256918781674,45.824167380000006,E403,_,00140,1027
E403__00130.1028,11.256865952660924,45.83201635,E403,_,00130,1028
E403__00210.1028,11.27041785911387,45.806958175000005,E403,_,00210,1028
E403__00200.1028,11.262696850867588,45.8053939,E403,_,00200,1028
E403__00140.1029,11.27322694326769,45.82323823,E403,_,00140,1029
E403__00210.1029,11.270524073316468,45.806839755,E403,_,00210,1029
E403__00200.1029,11.26428228272334,45.804929220000005,E403,_,00200,1029
E403__00080.103,11.255524722384102,45.83454062,E403,_,00080,103
E403__00210.103,11.278167792553385,45.811864220000004,E403,_,00210,103
E403__00200.103,11.265390809309004,45.81257597,E403,_,00200,103
E403__00190.103,11.254944757737972,45.809729445,E403,_,00190,103
E403__00180.103,11.278819931431746,45.81938826,E403,_,00180,103
E403__00170.103,11.271579266737124,45.820996965,E403,_,00170,103
E403__00160.103,11.253212666105597,45.817639235,E403,_,00160,103
E403__00140.103,11.264238093051143,45.82986348,E403,_,00140,103
E403__00130.103,11.260687126744354,45.832661595000005,E403,_,00130,103
E403__00120.103,11.252068304129171,45.831835999999996,E403,_,00120,103
E403__00130.1030,11.256469771448753,45.831346665,E403,_,00130,1030
E403__00210.1030,11.270624397371849,45.80688193,E403,_,00210,1030
E403__00200.1030,11.261540447372113,45.805146455,E403,_,00200,1030
E403__00140.1030,11.273356077992833,45.82286341,E403,_,00140,1030
E403__00130.1031,11.256583145271396,45.83138262,E403,_,00130,1031
E403__00210.1031,11.270741533539038,45.80683001,E403,_,00210,1031
E403__00200.1031,11.26437559919194,45.81222632,E403,_,00200,1031
E403__00140.1031,11.273683421634367,45.822839720000005,E403,_,00140,1031
E403__00130.1032,11.256569563640962,45.83098906,E403,_,00130,1032
