nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E480__00010.1,15.001887136041635,40.324242165,E480,_,00010,1
E480__0017.1,15.051945120120722,40.30143873,E480,_,0017,1
E480__00160.1,15.03575149542463,40.303823085000005,E480,_,00160,1
E480__00150.1,15.02178572701892,40.30674543000001,E480,_,00150,1
E480__0014.1,15.02386629128084,40.30288137,E480,_,0014,1
E480__0013.1,15.020079115783595,40.303620785,E480,_,0013,1
E480__00120.1,15.002356186401016,40.30613348,E480,_,00120,1
E480__00110.1,15.000370064596089,40.305796325,E480,_,00110,1
E480__00100.1,15.04004925614142,40.31445717,E480,_,00100,1
E480__00090.1,15.033632400069788,40.316079955,E480,_,00090,1
E480__00080.1,15.004969753803874,40.31371478,E480,_,00080,1
E480__00060.1,15.025649471362343,40.319359575,E480,_,00060,1
E480__00040.1,14.997814453275197,40.316564255,E480,_,00040,1
E480__00020.1,15.007083298269318,40.32587316,E480,_,00020,1
E480__00030.10,14.988344344443714,40.31702786,E480,_,00030,10
E480__00180.10,15.034745748707966,40.297354595,E480,_,00180,10
E480__0017.10,15.051456384112516,40.30124692,E480,_,0017,10
E480__00150.10,15.0266000575348,40.304025285,E480,_,00150,10
E480__0014.10,15.024717397572408,40.302646425,E480,_,0014,10
E480__0013.10,15.020410504246835,40.30341249,E480,_,0013,10
E480__00120.10,15.00671697625362,40.306864149999996,E480,_,00120,10
E480__00110.10,15.001285670442442,40.30504313,E480,_,00110,10
E480__00090.10,15.034435832224169,40.312914570000004,E480,_,00090,10
E480__00080.10,15.005491234370371,40.31125215,E480,_,00080,10
E480__00070.10,15.003707130681711,40.31233978,E480,_,00070,10
E480__00010.100,15.000710361961527,40.317004155,E480,_,00010,100
E480__00180.100,15.026901026207277,40.2944085,E480,_,00180,100
E480__00170.100,15.053490784005335,40.299876639999994,E480,_,00170,100
E480__00160.100,15.03737875773221,40.302352625,E480,_,00160,100
E480__00150.100,15.034650449809625,40.29889302,E480,_,00150,100
E480__0014.100,15.028484853850323,40.297693025,E480,_,0014,100
E480__00130.100,15.015540113291802,40.300176445000005,E480,_,00130,100
E480__00120.100,15.012529862281298,40.30276318,E480,_,00120,100
E480__00110.100,14.999446518706435,40.300869415,E480,_,00110,100
E480__00100.100,15.048793045789605,40.302036615000006,E480,_,00100,100
E480__00080.100,15.014580980803915,40.30805655,E480,_,00080,100
E480__00070.100,14.999885773726184,40.305925525,E480,_,00070,100
E480__00060.100,15.030094494038147,40.31099289,E480,_,00060,100
E480__00050.100,15.016153210803719,40.314799065,E480,_,00050,100
E480__00030.100,14.985708930716026,40.31469459,E480,_,00030,100
E480__00060.101,15.030425406101623,40.31026936,E480,_,00060,101
E480__00180.101,15.032771282599406,40.29505941,E480,_,00180,101
E480__00170.101,15.034162241653533,40.295298285,E480,_,00170,101
E480__00160.101,15.03747186423556,40.302202715,E480,_,00160,101
E480__00150.101,15.034327605259229,40.29808782,E480,_,00150,101
E480__0014.101,15.02865260575625,40.29778489,E480,_,0014,101
E480__00130.101,15.015316403399158,40.299943279999994,E480,_,00130,101
E480__00120.101,15.011619305184434,40.302136685,E480,_,00120,101
E480__00110.101,15.000590135091288,40.305406205,E480,_,00110,101
E480__00100.101,15.049420942418037,40.30202215,E480,_,00100,101
E480__00010.102,15.000789844394783,40.317115315,E480,_,00010,102
E480__00170.102,15.03500699051122,40.29521647999999,E480,_,00170,102
E480__00160.102,15.037455069639428,40.302359325,E480,_,00160,102
E480__0014.102,15.025343327064622,40.300812969999996,E480,_,0014,102
E480__00130.102,15.016186963482056,40.301564115000005,E480,_,00130,102
E480__00110.102,14.999052543953066,40.300666955,E480,_,00110,102
E480__00100.102,15.048802240342736,40.30157467,E480,_,00100,102
E480__00090.102,15.032316599236456,40.306790225,E480,_,00090,102
E480__00060.102,15.029385368038355,40.310488335,E480,_,00060,102
E480__00030.102,14.986129028668971,40.316519205,E480,_,00030,102
E480__00010.103,15.000940037906144,40.31711534,E480,_,00010,103
E480__00180.103,15.031584891076083,40.293061005,E480,_,00180,103
E480__00170.103,15.036286684424212,40.29526019,E480,_,00170,103
E480__00160.103,15.037558809360274,40.30242824,E480,_,00160,103
E480__00150.103,15.034911996459945,40.301112405,E480,_,00150,103
E480__0014.103,15.028685856108737,40.29760258,E480,_,0014,103
E480__00130.103,15.016310785219293,40.30037768,E480,_,00130,103
E480__00120.103,15.013058905364487,40.301478785,E480,_,00120,103
E480__00090.103,15.032941899601328,40.306808114999995,E480,_,00090,103
E480__00070.103,15.001287810176697,40.307418135,E480,_,00070,103
E480__00060.103,15.029585147206284,40.30975708,E480,_,00060,103
E480__00050.103,15.016829540480021,40.319478135,E480,_,00050,103
E480__00010.104,15.000859536097277,40.317115315,E480,_,00010,104
E480__00180.104,15.03764411630969,40.290641054999995,E480,_,00180,104
E480__00170.104,15.036802953100281,40.295600225,E480,_,00170,104
E480__00160.104,15.037663394114988,40.30243647,E480,_,00160,104
E480__00150.104,15.028226684013006,40.301741315,E480,_,00150,104
E480__0014.104,15.0288147688393,40.297671484999995,E480,_,0014,104
E480__00130.104,15.016454081547426,40.299622555,E480,_,00130,104
E480__00120.104,15.013814460829854,40.30129051,E480,_,00120,104
E480__00110.104,14.999275326224932,40.300564269999995,E480,_,00110,104
E480__00090.104,15.033830255288073,40.306921195,E480,_,00090,104
E480__00080.104,15.013703512804891,40.306591655,E480,_,00080,104
E480__00070.104,15.001733802000459,40.30768337,E480,_,00070,104
E480__00060.104,15.028735297980731,40.31055449,E480,_,00060,104
E480__00050.104,15.016225186543974,40.319046245,E480,_,00050,104
E480__00020.104,15.011625344377695,40.31865761,E480,_,00020,104
