nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E484A_00010.1,7.97890908675098,45.17779371,E484,A,00010,1
E484B_00140.1,7.996419338717069,45.136764095000004,E484,B,00140,1
E484B_00130.1,7.995498333109218,45.137387445,E484,B,00130,1
E484B_00120.1,7.9833001738051195,45.135214115,E484,B,00120,1
E484B_00110.1,7.9754492246356,45.13358027,E484,B,00110,1
E484B_00100.1,7.972284551138789,45.138924645,E484,B,00100,1
E484B_00090.1,7.990665824021175,45.13962261,E484,B,00090,1
E484B_00080.1,7.992496269023553,45.14187596,E484,B,00080,1
E484B_00060.1,7.994211331814,45.14705791,E484,B,00060,1
E484B_00050.1,7.985681207394233,45.150862105,E484,B,00050,1
E484B_00040.1,7.9811490544863375,45.14325563,E484,B,00040,1
E484B_00030.1,7.9650480220312225,45.142539725,E484,B,00030,1
E484B_00020.1,7.975049282951501,45.149901420000006,E484,B,00020,1
E484B_00010.1,7.977065378505721,45.153658469999996,E484,B,00010,1
E484A_00120.1,7.990193948022692,45.15629849,E484,A,00120,1
E484A_00110.1,7.976143310072239,45.1554454,E484,A,00110,1
E484A_00100.1,7.990373793230596,45.15995029,E484,A,00100,1
E484A_00090.1,7.9917085925630245,45.164324565,E484,A,00090,1
E484A_00080.1,7.983702373719602,45.165464165,E484,A,00080,1
E484A_00070.1,7.972577704290495,45.166675350000006,E484,A,00070,1
E484A_00060.1,7.985454548284596,45.17147507,E484,A,00060,1
E484A_00040.1,7.995867377339733,45.16537312,E484,A,00040,1
E484A_00030.1,7.995628418345905,45.173424255,E484,A,00030,1
E484A_00020.1,7.991684594661759,45.1774839,E484,A,00020,1
E484A_00010.10,7.98753567620605,45.176276765,E484,A,00010,10
E484B_00130.10,7.996887789969618,45.135451135,E484,B,00130,10
E484B_00120.10,7.984030890102343,45.13452977,E484,B,00120,10
E484B_00110.10,7.9785057557772525,45.13468546,E484,B,00110,10
E484B_00100.10,7.972838294031309,45.13931585,E484,B,00100,10
E484B_00090.10,7.991604252652605,45.13961897,E484,B,00090,10
E484B_00080.10,7.9929135479711295,45.1406207,E484,B,00080,10
E484B_00060.10,7.998428155429842,45.14826305,E484,B,00060,10
E484B_00050.10,7.985208828787553,45.149842,E484,B,00050,10
E484B_00040.10,7.981895826905538,45.14380753499999,E484,B,00040,10
E484B_00030.10,7.9677727842445325,45.14339855,E484,B,00030,10
E484B_00020.10,7.9765323646066655,45.148558775,E484,B,00020,10
E484B_00010.10,7.978493599723441,45.152008235,E484,B,00010,10
E484A_00130.10,7.9941291402859225,45.15654025,E484,A,00130,10
E484A_00120.10,7.989894524751826,45.15494697,E484,A,00120,10
E484A_00110.10,7.9782864183788345,45.153868985,E484,A,00110,10
E484A_00100.10,7.99075850511945,45.15977444,E484,A,00100,10
E484A_00090.10,7.99214746101347,45.163560445,E484,A,00090,10
E484A_00080.10,7.985167198003678,45.164864275,E484,A,00080,10
E484A_00070.10,7.9768461377645234,45.165978345,E484,A,00070,10
E484A_00050.10,7.994110549141502,45.16999815,E484,A,00050,10
E484A_00040.10,7.999530590618988,45.167099234999995,E484,A,00040,10
E484A_00030.10,8.002525989751211,45.17085666,E484,A,00030,10
E484A_00020.10,7.993804488343128,45.178936585,E484,A,00020,10
E484A_00030.100,7.99917511530311,45.170237494999995,E484,A,00030,100
E484B_00140.100,8.003749928514186,45.133852155,E484,B,00140,100
E484B_00130.100,7.994397148550689,45.12915539,E484,B,00130,100
E484B_00120.100,7.984031214682108,45.131071680000005,E484,B,00120,100
E484B_00110.100,7.979799026903205,45.13219496,E484,B,00110,100
E484B_00100.100,7.978292117598458,45.13549081,E484,B,00100,100
