nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E489__00010.1,11.11707896278241,45.47288958,E489,_,00010,1
E489__00170.1,11.127479105059631,45.4129341,E489,_,00170,1
E489__00140.1,11.119148981467724,45.42332185,E489,_,00140,1
E489__00130.1,11.138186504061892,45.431951485,E489,_,00130,1
E489__00100.1,11.135968320223027,45.43828733,E489,_,00100,1
E489__00070.1,11.130725919881495,45.440975475,E489,_,00070,1
E489__00060.1,11.118327437319344,45.451602445,E489,_,00060,1
E489__00040.1,11.127179250219033,45.457645955000004,E489,_,00040,1
E489__0003.1,11.117962683753563,45.45343595,E489,_,0003,1
E489__00020.1,11.13151954947146,45.4658292,E489,_,00020,1
E489__00040.10,11.133706964563967,45.45557613,E489,_,00040,10
E489__00170.10,11.123062558491496,45.40867283,E489,_,00170,10
E489__00150.10,11.137783467023098,45.419351455,E489,_,00150,10
E489__00130.10,11.138598535387796,45.429220535,E489,_,00130,10
E489__00120.10,11.13322392999655,45.42411529,E489,_,00120,10
E489__00110.10,11.13642651941551,45.436742975,E489,_,00110,10
E489__00080.10,11.142062047182758,45.452291415,E489,_,00080,10
E489__00070.10,11.13053644533377,45.440762469999996,E489,_,00070,10
E489__00060.10,11.116310181342762,45.451030474999996,E489,_,00060,10
E489__00050.10,11.136843028887187,45.45847321,E489,_,00050,10
E489__00010.100,11.119753280324638,45.46537581,E489,_,00010,100
E489__00170.100,11.125457290330285,45.41104573,E489,_,00170,100
E489__00150.100,11.133309513365575,45.41691896,E489,_,00150,100
E489__00140.100,11.11988639362265,45.422458545,E489,_,00140,100
E489__00130.100,11.138324060221962,45.42860729,E489,_,00130,100
E489__00120.100,11.12245901640567,45.425161270000004,E489,_,00120,100
E489__00090.100,11.142797972937068,45.44411891,E489,_,00090,100
E489__00060.100,11.11321486920182,45.445212635000004,E489,_,00060,100
E489__00040.100,11.134896777651317,45.45711924,E489,_,00040,100
E489__0003.100,11.117897207628767,45.45244253,E489,_,0003,100
E489__00070.1000,11.131777892492167,45.44139328,E489,_,00070,1000
E489__00140.1000,11.12271653679683,45.423491150000004,E489,_,00140,1000
E489__00030.1001,11.117024858380908,45.461687905,E489,_,00030,1001
E489__00070.1001,11.13143481112008,45.44187404,E489,_,00070,1001
E489__00030.1002,11.116618161394925,45.46069352,E489,_,00030,1002
E489__00070.1002,11.121519741786884,45.452285165,E489,_,00070,1002
E489__00070.1005,11.123332937338269,45.44596967,E489,_,00070,1005
E489__0003.1006,11.119686269377695,45.45351615,E489,_,0003,1006
E489__00070.1006,11.121401883941772,45.452179799999996,E489,_,00070,1006
E489__00030.1007,11.116766743467506,45.459529204999995,E489,_,00030,1007
E489__00140.1007,11.130720029571387,45.42165851,E489,_,00140,1007
E489__00070.1007,11.121679734542436,45.45220626,E489,_,00070,1007
E489__00070.1008,11.12195786646936,45.45211942,E489,_,00070,1008
E489__00140.1008,11.131108532786943,45.421667985,E489,_,00140,1008
E489__00070.1009,11.12163939929187,45.452152915,E489,_,00070,1009
E489__00010.101,11.120461184627324,45.465974540000005,E489,_,00010,101
E489__00150.101,11.13568149265522,45.41670205,E489,_,00150,101
E489__00140.101,11.129049494318515,45.422764615000006,E489,_,00140,101
E489__00130.101,11.138473031972762,45.428365400000004,E489,_,00130,101
E489__00120.101,11.121139483001652,45.424381995,E489,_,00120,101
E489__00090.101,11.142760409590394,45.4434524,E489,_,00090,101
E489__00070.101,11.12217069176652,45.450482135,E489,_,00070,101
E489__00060.101,11.11346179655116,45.44501837999999,E489,_,00060,101
E489__00040.101,11.135321396244368,45.457081454999994,E489,_,00040,101
E489__0003.101,11.118119398430984,45.452331735,E489,_,0003,101
E489__00070.1010,11.122229313090862,45.452301375000005,E489,_,00070,1010
E489__00140.1010,11.131288601175893,45.42167492,E489,_,00140,1010
E489__00070.1011,11.122070404551668,45.451929235,E489,_,00070,1011
E489__00140.1011,11.131833801028751,45.42168951,E489,_,00140,1011
E489__00030.1012,11.119720037432923,45.45652538,E489,_,00030,1012
E489__00140.1012,11.132621137202747,45.421731664999996,E489,_,00140,1012
E489__00070.1012,11.122392126568393,45.4519743,E489,_,00070,1012
E489__00030.1013,11.119720685527145,45.45630514,E489,_,00030,1013
E489__00140.1013,11.132782032535552,45.42164952,E489,_,00140,1013
E489__00070.1013,11.122021927879782,45.452029255,E489,_,00070,1013
E489__00070.1014,11.121780018597835,45.451888435,E489,_,00070,1014
E489__00140.1014,11.133032569891103,45.421101875,E489,_,00140,1014
E489__00070.1015,11.122020448438105,45.452254865,E489,_,00070,1015
E489__00070.1016,11.130416571849544,45.442242355000005,E489,_,00070,1016
E489__00140.1016,11.131287067624886,45.421246530000005,E489,_,00140,1016
E489__00140.1017,11.13138134909332,45.42112469,E489,_,00140,1017
E489__00030.1018,11.123429338802875,45.46321224,E489,_,00030,1018
E489__00070.1018,11.130344439944263,45.443346375000004,E489,_,00070,1018
E489__0003.1019,11.121506710492044,45.45194529,E489,_,0003,1019
E489__00010.102,11.121466407763698,45.465991555,E489,_,00010,102
E489__00140.102,11.133025116331204,45.419799185,E489,_,00140,102
E489__00120.102,11.124630844818792,45.425685125,E489,_,00120,102
E489__00100.102,11.12678167589267,45.44063567,E489,_,00100,102
E489__00090.102,11.14290862043142,45.444159655,E489,_,00090,102
E489__00080.102,11.133559593465213,45.44155095,E489,_,00080,102
E489__00070.102,11.122743873162328,45.44933392,E489,_,00070,102
E489__00060.102,11.114196233604158,45.444393395,E489,_,00060,102
E489__00040.102,11.131411497581253,45.456423635,E489,_,00040,102
E489__0003.102,11.118041298831246,45.45239605,E489,_,0003,102
E489__0003.1020,11.121413614081053,45.452102624999995,E489,_,0003,1020
E489__00140.1020,11.132959542841501,45.421122034999996,E489,_,00140,1020
E489__00070.1020,11.12391294124063,45.446352985,E489,_,00070,1020
E489__0003.1021,11.12189760414806,45.451220225,E489,_,0003,1021
E489__00070.1021,11.125882004089346,45.4460584,E489,_,00070,1021
E489__0003.1022,11.12173666089782,45.451931619999996,E489,_,0003,1022
E489__00070.1022,11.126111416413384,45.445968645,E489,_,00070,1022
E489__0003.1023,11.121694982087082,45.45194529,E489,_,0003,1023
E489__00070.1023,11.127246356254545,45.445382125,E489,_,00070,1023
E489__0003.1024,11.121320705786664,45.451928345,E489,_,0003,1024
E489__00160.1024,11.12770420397074,45.415872765,E489,_,00160,1024
E489__00070.1024,11.127999696321677,45.44526561,E489,_,00070,1024
E489__0003.1025,11.121244498824344,45.45204334,E489,_,0003,1025
E489__00160.1025,11.128718704403283,45.415411505,E489,_,00160,1025
E489__00140.1025,11.130676974398344,45.421696955,E489,_,00140,1025
E489__00070.1025,11.127887063144367,45.44512623,E489,_,00070,1025
E489__0003.1026,11.120895554556299,45.450633315000005,E489,_,0003,1026
E489__00160.1026,11.128671505619334,45.415315074999995,E489,_,00160,1026
E489__00140.1026,11.131317474948524,45.421751785,E489,_,00140,1026
E489__00070.1026,11.127834873463483,45.445092915000004,E489,_,00070,1026
E489__00030.1027,11.118706978351515,45.456111465,E489,_,00030,1027
E489__00140.1027,11.131806377416112,45.42176741,E489,_,00140,1027
E489__00070.1027,11.122604599602813,45.452133555,E489,_,00070,1027
E489__00070.1028,11.124679126009843,45.45143841,E489,_,00070,1028
E489__00160.1028,11.12856505444622,45.414911355,E489,_,00160,1028
E489__00140.1028,11.132711587268705,45.42179196,E489,_,00140,1028
E489__00070.1029,11.12548811354219,45.451611615,E489,_,00070,1029
E489__00160.1029,11.128632495874665,45.41465532,E489,_,00160,1029
E489__00140.1029,11.133014550431614,45.42179753,E489,_,00140,1029
E489__00010.103,11.12217988520531,45.465858275,E489,_,00010,103
E489__00150.103,11.137575323690609,45.4183692,E489,_,00150,103
E489__00120.103,11.12533240105536,45.42540203,E489,_,00120,103
E489__00090.103,11.142876150791047,45.44351259,E489,_,00090,103
E489__00070.103,11.12288475971394,45.448461034999994,E489,_,00070,103
E489__00060.103,11.114772577934161,45.446650115,E489,_,00060,103
E489__00050.103,11.136361783760966,45.461765305,E489,_,00050,103
E489__00040.103,11.134938834039236,45.455395120000006,E489,_,00040,103
E489__00030.1030,11.119803880981411,45.457196005,E489,_,00030,1030
E489__00160.1030,11.128828767790132,45.41481292,E489,_,00160,1030
E489__00030.1031,11.119698780068443,45.455798775,E489,_,00030,1031
E489__00160.1031,11.129208662573774,45.41532941,E489,_,00160,1031
E489__00140.1031,11.132103861977663,45.420716585,E489,_,00140,1031
E489__00070.1031,11.124364977455514,45.451357725,E489,_,00070,1031
E489__00140.1032,11.127616731748052,45.419567985,E489,_,00140,1032
E489__00160.1032,11.129634612422823,45.415262965,E489,_,00160,1032
E489__00070.1033,11.123000868469905,45.44868932,E489,_,00070,1033
E489__00140.1033,11.127155010086435,45.41951354,E489,_,00140,1033
E489__00070.1034,11.123217317974175,45.448318525000005,E489,_,00070,1034
E489__00160.1034,11.129937376458983,45.415219640000004,E489,_,00160,1034
E489__00140.1034,11.133062979086546,45.419250495,E489,_,00140,1034
E489__00070.1035,11.122986560002218,45.44823783,E489,_,00070,1035
E489__00160.1035,11.129229107700178,45.41523961,E489,_,00160,1035
E489__00140.1035,11.125817538385338,45.417876039999996,E489,_,00140,1035
E489__00030.1036,11.118177266256687,45.464276514999995,E489,_,00030,1036
E489__00160.1036,11.129612631512128,45.415202695000005,E489,_,00160,1036
E489__00140.1036,11.124181018999224,45.419856225000004,E489,_,00140,1036
E489__00070.1036,11.123670501215614,45.447367715,E489,_,00070,1036
E489__00070.1037,11.12337980546291,45.446543215000005,E489,_,00070,1037
E489__00160.1037,11.129941930785364,45.415125085,E489,_,00160,1037
E489__00070.1038,11.1235149706024,45.448217119999995,E489,_,00070,1038
E489__00160.1038,11.129177758235803,45.415046815,E489,_,00160,1038
E489__00140.1038,11.132084483609637,45.419106355,E489,_,00140,1038
E489__00070.1039,11.123603952397284,45.44745281,E489,_,00070,1039
E489__00160.1039,11.129499499269574,45.41499206,E489,_,00160,1039
E489__00140.1039,11.132542565563828,45.418173265,E489,_,00140,1039
E489__00010.104,11.122185533769837,45.465368515,E489,_,00010,104
E489__00150.104,11.137955692196796,45.4187551,E489,_,00150,104
E489__00060.104,11.116335217697813,45.445315699999995,E489,_,00060,104
E489__00030.1040,11.117914773225895,45.46413669499999,E489,_,00030,1040
E489__00160.1040,11.129862097553673,45.414969165,E489,_,00160,1040
E489__00140.1040,11.131422999648784,45.419430410000004,E489,_,00140,1040
E489__00070.1040,11.12327954256034,45.446527195,E489,_,00070,1040
E489__00070.1041,11.123220000978186,45.44652294,E489,_,00070,1041
E489__00160.1041,11.129104134933709,45.414837225,E489,_,00160,1041
E489__0003.1042,11.118429709627062,45.452277605,E489,_,0003,1042
E489__00160.1042,11.129427103194185,45.414782525,E489,_,00160,1042
E489__00070.1042,11.123540073458374,45.447478245,E489,_,00070,1042
E489__00030.1043,11.118752025851279,45.45575435000001,E489,_,00030,1043
E489__00160.1043,11.129755471170567,45.414742565,E489,_,00160,1043
E489__00070.1043,11.130971739206512,45.44345428,E489,_,00070,1043
E489__00030.1044,11.118737760224551,45.455930135,E489,_,00030,1044
E489__00160.1044,11.12903425903431,45.414636085,E489,_,00160,1044
E489__00140.1044,11.125664044907978,45.418732285,E489,_,00140,1044
E489__00070.1044,11.130974867783245,45.443272414999996,E489,_,00070,1044
E489__0003.1045,11.119427187048224,45.451956415,E489,_,0003,1045
