nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E535__00010.1,13.025588969785286,42.638990684999996,E535,_,00010,1
E535__01380.1,13.003141958038595,42.494160089999994,E535,_,01380,1
E535__01370.1,12.979709799579418,42.50744985,E535,_,01370,1
E535__01360.1,12.981422521236365,42.518850375,E535,_,01360,1
E535__01350.1,12.978391409820661,42.519048035,E535,_,01350,1
E535__01340.1,12.948977977486885,42.526003845,E535,_,01340,1
E535__01330.1,13.033105638054224,42.53118473,E535,_,01330,1
E535__01320.1,13.035344995866518,42.533935604999996,E535,_,01320,1
E535__01310.1,13.036289274476738,42.543233459999996,E535,_,01310,1
E535__01300.1,13.013608535704133,42.540620225,E535,_,01300,1
E535__01290.1,13.012607318025768,42.53967101,E535,_,01290,1
E535__01280.1,13.000340577540367,42.549267785,E535,_,01280,1
E535__01270.1,12.972578436840246,42.533869815,E535,_,01270,1
E535__01260.1,12.958328944763341,42.531284920000004,E535,_,01260,1
E535__01240.1,12.912587333490421,42.540199335,E535,_,01240,1
E535__01230.1,12.937039420941673,42.550906745,E535,_,01230,1
E535__01220.1,13.055991365366912,42.551089774999994,E535,_,01220,1
E535__01210.1,13.091961639295965,42.574176295,E535,_,01210,1
E535__01200.1,13.037083667051164,42.57550825,E535,_,01200,1
E535__01190.1,13.036048564941265,42.566903475000004,E535,_,01190,1
E535__01180.1,13.038664954010198,42.55633753,E535,_,01180,1
E535__01170.1,13.038222913895005,42.556191135,E535,_,01170,1
E535__01160.1,13.019187196929522,42.545279730000004,E535,_,01160,1
E535__01150.1,13.017914643963188,42.55495718,E535,_,01150,1
E535__01140.1,13.017159817497408,42.569940305,E535,_,01140,1
E535__01130.1,13.030276251867775,42.579122510000005,E535,_,01130,1
E535__01120.1,13.023445466835538,42.581518675,E535,_,01120,1
E535__01110.1,13.00592124330115,42.574380495,E535,_,01110,1
E535__01100.1,13.017678775478018,42.567098435,E535,_,01100,1
E535__01090.1,13.010489140877857,42.557549949999995,E535,_,01090,1
E535__01080.1,13.001894594102493,42.55952589,E535,_,01080,1
E535__01070.1,13.000618512895171,42.565393564999994,E535,_,01070,1
E535__01060.1,13.003131463371265,42.575219965,E535,_,01060,1
E535__01050.1,12.983775684228672,42.571032439999996,E535,_,01050,1
E535__01040.1,12.984084295936572,42.56421692,E535,_,01040,1
E535__01030.1,12.996199500925897,42.559691015,E535,_,01030,1
E535__01020.1,12.984575713491143,42.557234414999996,E535,_,01020,1
E535__01010.1,12.989736388290641,42.55204949,E535,_,01010,1
E535__01000.1,12.969820822536025,42.55891741,E535,_,01000,1
E535__00990.1,12.969093152196384,42.56162707,E535,_,00990,1
E535__00970.1,12.967135993287208,42.57610449,E535,_,00970,1
E535__00950.1,12.948795345556107,42.5720814,E535,_,00950,1
E535__00940.1,12.943614204300346,42.571110595,E535,_,00940,1
E535__00930.1,12.941793042378066,42.56178474,E535,_,00930,1
E535__00920.1,12.914880910076384,42.562595564999995,E535,_,00920,1
E535__00910.1,12.90156063273425,42.556801375,E535,_,00910,1
E535__00900.1,13.075638408189807,42.579580715000006,E535,_,00900,1
E535__00890.1,13.083357764668378,42.596333584999996,E535,_,00890,1
E535__00880.1,13.079031585995523,42.590605929999995,E535,_,00880,1
E535__00870.1,13.065974677414626,42.582822320000005,E535,_,00870,1
E535__00860.1,13.055624225122777,42.57959444,E535,_,00860,1
E535__00850.1,13.049427453304428,42.58764012,E535,_,00850,1
E535__00840.1,13.041194869747262,42.5842385,E535,_,00840,1
E535__00830.1,13.032132655071266,42.587369980000005,E535,_,00830,1
E535__00820.1,13.04302058311891,42.592651395,E535,_,00820,1
E535__00810.1,13.051057316089578,42.59480336,E535,_,00810,1
E535__00800.1,13.046352441593859,42.601825935,E535,_,00800,1
E535__00790.1,13.023429858768775,42.600167285,E535,_,00790,1
E535__00780.1,13.033487838084671,42.59729247,E535,_,00780,1
E535__00770.1,13.029895056907153,42.5940588,E535,_,00770,1
E535__00760.1,13.017810483466622,42.597207069999996,E535,_,00760,1
E535__00750.1,13.015104003030062,42.587349405,E535,_,00750,1
E535__00740.1,13.015227979399217,42.583290405,E535,_,00740,1
E535__00730.1,13.002907929602795,42.588534714999994,E535,_,00730,1
E535__00720.1,13.003775468336949,42.606259359999996,E535,_,00720,1
E535__00710.1,12.995864905731054,42.60405457,E535,_,00710,1
E535__00700.1,12.993616675853126,42.59217734,E535,_,00700,1
E535__00690.1,12.985842957989219,42.583340495,E535,_,00690,1
E535__00680.1,12.984931551270755,42.5790335,E535,_,00680,1
E535__00670.1,12.982749917959161,42.58508841,E535,_,00670,1
E535__00660.1,12.973120267913362,42.58961879,E535,_,00660,1
E535__00650.1,12.977261005651396,42.590650775,E535,_,00650,1
E535__00640.1,12.986577730708461,42.604662955,E535,_,00640,1
E535__00630.1,12.982240737720524,42.60269177,E535,_,00630,1
E535__00620.1,12.966790174323876,42.603414235,E535,_,00620,1
E535__00610.1,12.962256101790514,42.59337076,E535,_,00610,1
E535__00600.1,12.960050670983028,42.585958794999996,E535,_,00600,1
E535__00590.1,12.941353368060376,42.580257610000004,E535,_,00590,1
E535__00560.1,12.940330847424626,42.5923803,E535,_,00560,1
E535__00550.1,12.929367837866767,42.589899439999996,E535,_,00550,1
E535__00540.1,12.920043314326326,42.591284279999996,E535,_,00540,1
E535__00530.1,12.92822861817213,42.58064886,E535,_,00530,1
E535__00520.1,12.923757480058214,42.576631485,E535,_,00520,1
E535__00510.1,12.915925337029334,42.582349365,E535,_,00510,1
E535__00500.1,12.899654204684595,42.573466034999996,E535,_,00500,1
E535__00490.1,12.9042442016086,42.589277159999995,E535,_,00490,1
E535__00480.1,12.913274684135192,42.596672850000004,E535,_,00480,1
E535__00470.1,12.901946948870386,42.60494631,E535,_,00470,1
E535__00460.1,12.886070790353951,42.60656049,E535,_,00460,1
E535__00450.1,13.084495511878565,42.60319407,E535,_,00450,1
E535__00440.1,13.07532170115324,42.609246065,E535,_,00440,1
E535__00420.1,13.062648871798274,42.604263474999996,E535,_,00420,1
E535__00400.1,13.046751253335838,42.60479624,E535,_,00400,1
E535__00390.1,13.057252976805898,42.61172162,E535,_,00390,1
E535__00360.1,13.025955209087504,42.61730967,E535,_,00360,1
E535__00350.1,13.014584235972162,42.60253385,E535,_,00350,1
E535__00340.1,13.018911849799489,42.610573085,E535,_,00340,1
E535__00330.1,13.009928845394644,42.616514855000005,E535,_,00330,1
E535__00320.1,13.004524408544054,42.60698779,E535,_,00320,1
E535__00310.1,12.994113421116062,42.616200015000004,E535,_,00310,1
E535__00300.1,12.98896454331367,42.613543320000005,E535,_,00300,1
E535__00290.1,12.985656170926264,42.614987035,E535,_,00290,1
E535__00280.1,12.973693779197324,42.61593024,E535,_,00280,1
E535__00270.1,12.974262449627457,42.6113905,E535,_,00270,1
E535__00260.1,12.967019283840443,42.61790221,E535,_,00260,1
E535__00250.1,12.962367187847732,42.606956345,E535,_,00250,1
E535__00240.1,12.954577337861668,42.61914468,E535,_,00240,1
E535__00230.1,12.947420494812109,42.617538955,E535,_,00230,1
E535__00220.1,12.947905346271748,42.60956102,E535,_,00220,1
E535__00210.1,12.93673412567774,42.614898545,E535,_,00210,1
E535__00200.1,12.932168843973205,42.599374714999996,E535,_,00200,1
E535__00190.1,12.927422321024128,42.59831919,E535,_,00190,1
E535__00180.1,12.915099374713272,42.597937715,E535,_,00180,1
E535__00170.1,12.921361092591502,42.602099795,E535,_,00170,1
E535__00160.1,12.912188660042478,42.608126005,E535,_,00160,1
E535__00150.1,12.906230539120003,42.60881684,E535,_,00150,1
