nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E677__00350.1,16.064018523336898,39.22030644,E677,_,00350,1
E677__00470.1,16.062716152196412,39.19191395,E677,_,00470,1
E677__00460.1,16.07839167553265,39.203196305000006,E677,_,00460,1
E677__00430.1,16.079904113244865,39.208596305,E677,_,00430,1
E677__00420.1,16.061296050024172,39.20799927,E677,_,00420,1
E677__00400.1,16.104568294661277,39.215821465,E677,_,00400,1
E677__00390.1,16.095738382042498,39.2138858,E677,_,00390,1
E677__00380.1,16.089121732448625,39.217681155,E677,_,00380,1
E677__00370.1,16.07745982287459,39.220447969999995,E677,_,00370,1
E677__00360.1,16.06894239384496,39.221788445,E677,_,00360,1
E677__00350.10,16.065300189442414,39.22110777,E677,_,00350,10
E677__00490.10,16.082050941360276,39.196101885000004,E677,_,00490,10
E677__00480.10,16.071649890935923,39.197525595,E677,_,00480,10
E677__00460.10,16.074683758394567,39.201908485000004,E677,_,00460,10
E677__00450.10,16.102929554533354,39.204464465,E677,_,00450,10
E677__00440.10,16.09109945575377,39.20665651,E677,_,00440,10
E677__00420.10,16.061698443375363,39.2076482,E677,_,00420,10
E677__00400.10,16.106368318410276,39.21492446,E677,_,00400,10
E677__00390.10,16.097047929896586,39.213096025,E677,_,00390,10
E677__00380.10,16.091795736412628,39.2168233,E677,_,00380,10
E677__00370.10,16.083348828640208,39.21420516,E677,_,00370,10
E677__00360.10,16.072444985863704,39.219392145,E677,_,00360,10
E677__00360.100,16.07625044345209,39.216060604999996,E677,_,00360,100
E677__00490.100,16.081258957533493,39.19253893,E677,_,00490,100
E677__00470.100,16.064850400299044,39.188431465,E677,_,00470,100
E677__00460.100,16.071796763643015,39.198592055,E677,_,00460,100
E677__00450.100,16.09766475278667,39.205436365,E677,_,00450,100
E677__00430.100,16.078048272575963,39.205072154999996,E677,_,00430,100
E677__00410.100,16.077015514553572,39.207568435,E677,_,00410,100
E677__00390.100,16.09702794865241,39.211566755,E677,_,00390,100
E677__00380.100,16.102406404729464,39.21690083,E677,_,00380,100
E677__00350.1000,16.068053517110965,39.21026811,E677,_,00350,1000
E677__00470.1000,16.066147086515855,39.184431765,E677,_,00470,1000
E677__00420.1000,16.06666715092424,39.20661944,E677,_,00420,1000
E677__00360.1000,16.074653106713765,39.216864445,E677,_,00360,1000
E677__00350.1001,16.06828544166333,39.21039484,E677,_,00350,1001
E677__00420.1001,16.066092695584835,39.204181425,E677,_,00420,1001
E677__00360.1001,16.074492283793475,39.216887025,E677,_,00360,1001
E677__00350.1002,16.066888519847396,39.21013603,E677,_,00350,1002
E677__00470.1002,16.06822947787009,39.188796825,E677,_,00470,1002
E677__00360.1002,16.074398981958495,39.216748065000004,E677,_,00360,1002
E677__00350.1003,16.067747573722677,39.209727924999996,E677,_,00350,1003
E677__00470.1003,16.068047190929175,39.188851225,E677,_,00470,1003
E677__00360.1003,16.07468451108315,39.21683498,E677,_,00360,1003
E677__00360.1004,16.074361223317645,39.216760995,E677,_,00360,1004
E677__00470.1004,16.065694053656216,39.1932549,E677,_,00470,1004
E677__00350.1005,16.068183863097744,39.208839065,E677,_,00350,1005
E677__00470.1005,16.06525524537985,39.19326583,E677,_,00470,1005
E677__00360.1005,16.07457112308407,39.21688623,E677,_,00360,1005
E677__00360.1006,16.071163101522032,39.21133524,E677,_,00360,1006
E677__00350.1007,16.069010738370338,39.2094166,E677,_,00350,1007
E677__00360.1007,16.076914071531732,39.210698144999995,E677,_,00360,1007
E677__00350.1008,16.069180000146353,39.209410594999994,E677,_,00350,1008
E677__00470.1008,16.066001895102396,39.193028465,E677,_,00470,1008
E677__00420.1008,16.06529866331237,39.201365315000004,E677,_,00420,1008
E677__00350.1009,16.06861385108894,39.20910374,E677,_,00350,1009
E677__00480.1009,16.070604376639963,39.192915935,E677,_,00480,1009
E677__00470.1009,16.06522303922392,39.19307752,E677,_,00470,1009
E677__00420.1009,16.062699885918057,39.205766665,E677,_,00420,1009
E677__00360.1009,16.074577723460543,39.217393035,E677,_,00360,1009
E677__00370.101,16.08087297155091,39.215205255,E677,_,00370,101
E677__00490.101,16.084260777996462,39.192531375,E677,_,00490,101
E677__00470.101,16.063488804991472,39.188409155,E677,_,00470,101
E677__00460.101,16.067965087152405,39.198508345,E677,_,00460,101
E677__00450.101,16.120728870928374,39.20296757,E677,_,00450,101
E677__00430.101,16.078532685125637,39.203733155,E677,_,00430,101
E677__00410.101,16.07706077890179,39.20747754,E677,_,00410,101
E677__00390.101,16.097492310686615,39.211048535,E677,_,00390,101
E677__00380.101,16.101229914699072,39.216850725,E677,_,00380,101
E677__00350.1010,16.06857678673913,39.209098735,E677,_,00350,1010
E677__00480.1010,16.070808136341043,39.19286783,E677,_,00480,1010
E677__00420.1010,16.06226082674814,39.205726565,E677,_,00420,1010
E677__00360.1010,16.07428759826832,39.21701113,E677,_,00360,1010
E677__00350.1011,16.068720270570786,39.2092342,E677,_,00350,1011
E677__00470.1011,16.065196897242558,39.19285461,E677,_,00470,1011
E677__00350.1012,16.06878612333045,39.20932577,E677,_,00350,1012
E677__00470.1012,16.06570219440792,39.193359185,E677,_,00470,1012
E677__00420.1012,16.07321636886727,39.203318935,E677,_,00420,1012
E677__00360.1012,16.07429629453866,39.216726955,E677,_,00360,1012
E677__00350.1013,16.068851241011753,39.20933559,E677,_,00350,1013
E677__00470.1013,16.065268552674034,39.193374055,E677,_,00470,1013
E677__00420.1013,16.073541252802613,39.202783894999996,E677,_,00420,1013
E677__00360.1013,16.070888329270772,39.21316569,E677,_,00360,1013
