nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E719__00010.1,7.946414886387499,43.974987215,E719,_,00010,1
E719__00130.1,7.964271478212571,43.95564909,E719,_,00130,1
E719__00120.1,7.946333312052484,43.959130925,E719,_,00120,1
E719__00110.1,7.976215721306264,43.964783355,E719,_,00110,1
E719__00100.1,7.9609534270856255,43.96234447,E719,_,00100,1
E719__00090.1,7.940664718497414,43.965516895,E719,_,00090,1
E719__00080.1,7.958734132760089,43.96553854,E719,_,00080,1
E719__00070.1,7.966601688516597,43.965360079999996,E719,_,00070,1
E719__00060.1,7.961357213597545,43.968263725,E719,_,00060,1
E719__00050.1,7.965434486306014,43.969736275,E719,_,00050,1
E719__00040.1,7.973886743259776,43.96898526,E719,_,00040,1
E719__00030.1,7.970074163519176,43.976413144999995,E719,_,00030,1
E719__00020.1,7.95674780040069,43.97409553999999,E719,_,00020,1
E719__00010.10,7.947210634267153,43.974547259999994,E719,_,00010,10
E719__00130.10,7.965603637808996,43.9553653,E719,_,00130,10
E719__00120.10,7.9478257436051765,43.958333350000004,E719,_,00120,10
E719__00110.10,7.977208588555989,43.964886594999996,E719,_,00110,10
E719__00100.10,7.961773308728802,43.962454245,E719,_,00100,10
E719__00090.10,7.944143790542942,43.9630854,E719,_,00090,10
E719__00080.10,7.958972237473958,43.96537737,E719,_,00080,10
E719__00070.10,7.9666455029939955,43.964355835,E719,_,00070,10
E719__00060.10,7.962119281437097,43.968871335,E719,_,00060,10
E719__00050.10,7.967239142170543,43.96900162,E719,_,00050,10
E719__00040.10,7.974993526585127,43.96923039,E719,_,00040,10
E719__00030.10,7.970191560527443,43.976411764999995,E719,_,00030,10
E719__00020.10,7.959402290130349,43.974057939999994,E719,_,00020,10
E719__00010.100,7.953781608545869,43.972503405,E719,_,00010,100
E719__00130.100,7.962983901091023,43.94884527,E719,_,00130,100
E719__00120.100,7.949441148745726,43.95794522,E719,_,00120,100
E719__00100.100,7.9655206569480015,43.96070503,E719,_,00100,100
E719__00090.100,7.953586458962073,43.962663715,E719,_,00090,100
E719__00080.100,7.961594276215715,43.965818029999994,E719,_,00080,100
E719__00070.100,7.973851467253981,43.964854015,E719,_,00070,100
E719__00060.100,7.962270688887712,43.96722698,E719,_,00060,100
E719__00050.100,7.971509125015201,43.970007845,E719,_,00050,100
E719__00040.100,7.979723222642209,43.967446800000005,E719,_,00040,100
E719__00030.100,7.970064078706257,43.97594839,E719,_,00030,100
E719__00020.100,7.961676397434646,43.975303565000004,E719,_,00020,100
E719__00100.1000,7.966988735283719,43.960855460000005,E719,_,00100,1000
E719__00100.1001,7.974265074827564,43.962682,E719,_,00100,1001
E719__00100.1002,7.9775311717954684,43.96273913500001,E719,_,00100,1002
E719__00100.1003,7.966356068106853,43.957853835,E719,_,00100,1003
E719__00100.1004,7.962394102186304,43.960259585,E719,_,00100,1004
E719__00100.1005,7.962837235472062,43.960024000000004,E719,_,00100,1005
E719__00100.1006,7.96651424278693,43.96099938,E719,_,00100,1006
E719__00100.1007,7.963820973301863,43.96009084,E719,_,00100,1007
E719__00100.1008,7.967549478129085,43.958119339999996,E719,_,00100,1008
E719__00100.1009,7.967259497835947,43.95828776,E719,_,00100,1009
E719__00010.101,7.953475897461621,43.972821445,E719,_,00010,101
E719__00130.101,7.964055179588307,43.949442465000004,E719,_,00130,101
E719__00120.101,7.949710984932488,43.95838304,E719,_,00120,101
E719__00100.101,7.96547167764774,43.960855415,E719,_,00100,101
E719__00090.101,7.954752638562045,43.963173815000005,E719,_,00090,101
E719__00080.101,7.9615163889560705,43.96574417,E719,_,00080,101
E719__00070.101,7.9725965464190445,43.964723635,E719,_,00070,101
E719__00050.101,7.970953653147635,43.970030265000005,E719,_,00050,101
E719__00040.101,7.979838670656187,43.967430629999996,E719,_,00040,101
E719__00030.101,7.970115613643253,43.97606825,E719,_,00030,101
E719__00020.101,7.961669631731862,43.975485535,E719,_,00020,101
E719__00100.1010,7.970831954701392,43.961731605,E719,_,00100,1010
E719__00100.1011,7.974194751425761,43.96304279,E719,_,00100,1011
E719__00100.1012,7.974304856602968,43.9628836,E719,_,00100,1012
E719__00100.1013,7.975005597854443,43.96328904000001,E719,_,00100,1013
E719__00100.1014,7.975939230124132,43.96360532,E719,_,00100,1014
E719__00100.1015,7.976222744440003,43.963838805,E719,_,00100,1015
E719__00100.1016,7.9761996798142745,43.963517945,E719,_,00100,1016
E719__00100.1017,7.975959985297502,43.963751869999996,E719,_,00100,1017
E719__00100.1018,7.967403621307126,43.962621940000005,E719,_,00100,1018
E719__00100.1019,7.965357641494572,43.9560014,E719,_,00100,1019
E719__00010.102,7.953942509861372,43.972898740000005,E719,_,00010,102
E719__00130.102,7.964648603251003,43.95047362,E719,_,00130,102
E719__00120.102,7.950120901678207,43.95890926,E719,_,00120,102
E719__00110.102,7.982114235101391,43.964661325,E719,_,00110,102
E719__00100.102,7.964922994626372,43.96093128,E719,_,00100,102
E719__00090.102,7.9549227282512724,43.96346894,E719,_,00090,102
E719__00070.102,7.972151180632958,43.96437356,E719,_,00070,102
E719__00060.102,7.962360769356285,43.967309494999995,E719,_,00060,102
E719__00050.102,7.970530373604412,43.970369305,E719,_,00050,102
E719__00040.102,7.979904179715986,43.967527974999996,E719,_,00040,102
E719__00030.102,7.969909949617932,43.976092655,E719,_,00030,102
E719__00020.102,7.961541106283235,43.9756085,E719,_,00020,102
E719__00100.1020,7.965323033141107,43.955714709999995,E719,_,00100,1020
E719__00100.1021,7.965360190582204,43.95589937,E719,_,00100,1021
E719__00100.1022,7.979443391108514,43.96087552,E719,_,00100,1022
E719__00100.1023,7.965248463733767,43.958083965,E719,_,00100,1023
E719__00100.1024,7.979217685794106,43.962028165,E719,_,00100,1024
E719__00100.1025,7.978939096367153,43.96258268,E719,_,00100,1025
E719__00100.1026,7.981124839433566,43.96187439,E719,_,00100,1026
E719__00100.1027,7.981119242991511,43.962326335,E719,_,00100,1027
E719__00100.1028,7.980956289640538,43.962803755,E719,_,00100,1028
E719__00100.1029,7.975975039008771,43.961753279999996,E719,_,00100,1029
E719__00010.103,7.953711966489959,43.972900085000006,E719,_,00010,103
E719__00130.103,7.9641285523460255,43.950189195,E719,_,00130,103
E719__00110.103,7.981070974710068,43.964580194999996,E719,_,00110,103
E719__00100.103,7.964553027062964,43.960569465000006,E719,_,00100,103
E719__00090.103,7.954679376824311,43.963734335,E719,_,00090,103
E719__00080.103,7.960734269495255,43.96561586,E719,_,00080,103
E719__00070.103,7.971847739765719,43.964222989999996,E719,_,00070,103
E719__00060.103,7.962451373735631,43.96729524,E719,_,00060,103
E719__00050.103,7.971649864862695,43.970152875,E719,_,00050,103
E719__00030.103,7.969793623335759,43.97610211,E719,_,00030,103
E719__00020.103,7.962244494605915,43.97510128,E719,_,00020,103
E719__00100.1030,7.975019209698457,43.960906465,E719,_,00100,1030
E719__00100.1031,7.975740033243521,43.9617432,E719,_,00100,1031
E719__00100.1032,7.962383916873607,43.96215637,E719,_,00100,1032
E719__00100.1033,7.962593765047347,43.961838775000004,E719,_,00100,1033
E719__00100.1036,7.966100272179794,43.956196524999996,E719,_,00100,1036
E719__00100.1037,7.966209617103887,43.95590887,E719,_,00100,1037
E719__00100.1039,7.962384683475911,43.960098145,E719,_,00100,1039
E719__00010.104,7.95340978924915,43.97318745,E719,_,00010,104
E719__00130.104,7.963383679034531,43.950005360000006,E719,_,00130,104
E719__00120.104,7.949628872760091,43.959654625,E719,_,00120,104
E719__00110.104,7.980769089119439,43.964670405,E719,_,00110,104
E719__00100.104,7.964041369931264,43.960405365,E719,_,00100,104
E719__00090.104,7.955656316021864,43.964295785000004,E719,_,00090,104
E719__00080.104,7.9605086664775415,43.9655939,E719,_,00080,104
E719__00070.104,7.970997632266379,43.963811715,E719,_,00070,104
E719__00060.104,7.962504810148758,43.967260865,E719,_,00060,104
E719__00050.104,7.972667586534477,43.970038470000006,E719,_,00050,104
E719__00040.104,7.979950421926037,43.96764571,E719,_,00040,104
E719__00030.104,7.969827131569472,43.976009180000005,E719,_,00030,104
E719__00020.104,7.96240135285008,43.97513704,E719,_,00020,104
E719__00100.1040,7.96849278853113,43.96083412,E719,_,00100,1040
E719__00100.1041,7.966903863178722,43.96035014,E719,_,00100,1041
E719__00100.1042,7.967061982306611,43.960497745,E719,_,00100,1042
