nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E782__00020.1,7.395069831540975,44.854498365,E782,_,00020,1
E782__00270.1,7.431270141513089,44.836880719999996,E782,_,00270,1
E782__00260.1,7.428587717006938,44.843595595,E782,_,00260,1
E782__00250.1,7.420171377924439,44.842644390000004,E782,_,00250,1
E782__00240.1,7.41237207733483,44.841893514999995,E782,_,00240,1
E782__00230.1,7.400880823460989,44.843477019999995,E782,_,00230,1
E782__00210.1,7.380001392121742,44.85094508,E782,_,00210,1
E782__00200.1,7.3760881791826245,44.85280584,E782,_,00200,1
E782__00130.1,7.43757191492757,44.851216225,E782,_,00130,1
E782__00120.1,7.443560269127356,44.858983030000005,E782,_,00120,1
E782__00110.1,7.4356204335076495,44.857788635,E782,_,00110,1
E782__00100.1,7.428004946865567,44.860302185,E782,_,00100,1
E782__00090.1,7.424517539553794,44.85564527,E782,_,00090,1
E782__00080.1,7.407566142390136,44.855511645,E782,_,00080,1
E782__00070.1,7.4180410454937356,44.861955519999995,E782,_,00070,1
E782__00060.1,7.412232244589054,44.863055155,E782,_,00060,1
E782__00050.1,7.402783529429907,44.86153707,E782,_,00050,1
E782__00040.1,7.392478753203132,44.862538895,E782,_,00040,1
E782__00030.10,7.385785010041737,44.86168002,E782,_,00030,10
E782__00260.10,7.431291707701332,44.84372814,E782,_,00260,10
E782__00250.10,7.421984337815319,44.839822635000004,E782,_,00250,10
E782__00240.10,7.416866854025274,44.842128775,E782,_,00240,10
E782__00230.10,7.410200352945818,44.84149897,E782,_,00230,10
E782__00210.10,7.380284572076005,44.84877246,E782,_,00210,10
E782__00200.10,7.376609935400301,44.852964,E782,_,00200,10
E782__00190.10,7.381690095577314,44.85233368,E782,_,00190,10
E782__00180.10,7.39197915313761,44.846905469999996,E782,_,00180,10
E782__00170.10,7.404037418477913,44.84769593,E782,_,00170,10
E782__00160.10,7.4097899728082055,44.849387109999995,E782,_,00160,10
E782__00130.10,7.437484431262804,44.850587035000004,E782,_,00130,10
E782__00100.10,7.433800488032913,44.860019660000006,E782,_,00100,10
E782__00090.10,7.42583306048415,44.85415364,E782,_,00090,10
E782__00080.10,7.408960809588758,44.85419735,E782,_,00080,10
E782__00070.10,7.427222334480975,44.860246205,E782,_,00070,10
E782__00060.10,7.414772718373245,44.860330340000004,E782,_,00060,10
E782__00040.10,7.397644174473115,44.862185005,E782,_,00040,10
E782__00020.100,7.398198267760935,44.852177955,E782,_,00020,100
E782__00260.100,7.439878810965681,44.843166659999994,E782,_,00260,100
E782__00240.100,7.416230492253584,44.83693857,E782,_,00240,100
E782__00190.100,7.39013344575862,44.849048175,E782,_,00190,100
E782__00180.100,7.398188541678538,44.84620423,E782,_,00180,100
E782__00160.100,7.40965767397486,44.847230280000005,E782,_,00160,100
E782__00150.100,7.4205451558450335,44.84563219,E782,_,00150,100
E782__00140.100,7.436858532341018,44.84453393,E782,_,00140,100
E782__00130.100,7.4391309027109225,44.84992896,E782,_,00130,100
E782__00120.100,7.4447978107588995,44.853163445,E782,_,00120,100
E782__00110.100,7.436139596417851,44.85392701000001,E782,_,00110,100
E782__00100.100,7.433709117599423,44.8600167,E782,_,00100,100
E782__00090.100,7.424564576317555,44.85312364,E782,_,00090,100
E782__00060.100,7.411490413027166,44.86267726,E782,_,00060,100
E782__00050.100,7.404573327192626,44.854658744999995,E782,_,00050,100
E782__00040.100,7.400960459262977,44.856737755,E782,_,00040,100
E782__00030.100,7.38671882084574,44.858714469999995,E782,_,00030,100
E782__00020.101,7.392832550239808,44.853197949999995,E782,_,00020,101
E782__00260.101,7.439979800885375,44.843186835,E782,_,00260,101
E782__00240.101,7.412866870176362,44.83772192,E782,_,00240,101
E782__00230.101,7.409159613649935,44.837818909999996,E782,_,00230,101
E782__00220.101,7.3928938863768,44.842615789999996,E782,_,00220,101
E782__00190.101,7.387865717341133,44.85100308,E782,_,00190,101
E782__00180.101,7.398048831340273,44.84625759,E782,_,00180,101
E782__00150.101,7.422906197800328,44.844422165,E782,_,00150,101
E782__00140.101,7.437097629533824,44.84448182,E782,_,00140,101
E782__00130.101,7.438423005107751,44.846266330000006,E782,_,00130,101
E782__00120.101,7.446435581411348,44.85347387,E782,_,00120,101
E782__00090.101,7.425717082441309,44.853170594999995,E782,_,00090,101
E782__00060.101,7.413578746651419,44.86209411,E782,_,00060,101
E782__00050.101,7.40485314615939,44.85462028,E782,_,00050,101
E782__00040.101,7.401324674625259,44.857981185,E782,_,00040,101
E782__00030.101,7.385876154833047,44.858080595000004,E782,_,00030,101
E782__00010.102,7.397257003553757,44.849575,E782,_,00010,102
E782__00260.102,7.4403367634018736,44.843217835000004,E782,_,00260,102
E782__00230.102,7.409078308403548,44.837384305,E782,_,00230,102
E782__00220.102,7.398075913490671,44.8413518,E782,_,00220,102
E782__00180.102,7.397797250387097,44.846674365,E782,_,00180,102
E782__00160.102,7.413738441802058,44.844171695,E782,_,00160,102
E782__00140.102,7.437268622846319,44.844450965,E782,_,00140,102
E782__00120.102,7.448901277810988,44.85285897,E782,_,00120,102
E782__00110.102,7.441055401574259,44.852524285,E782,_,00110,102
E782__00060.102,7.4103827551401995,44.856830255000006,E782,_,00060,102
E782__00050.102,7.405087997469479,44.854586795,E782,_,00050,102
E782__00030.102,7.38636728748768,44.8589562,E782,_,00030,102
E782__00020.102,7.392523821023259,44.85378734,E782,_,00020,102
E782__00020.103,7.394890569100923,44.851249485,E782,_,00020,103
E782__00260.103,7.440693869322601,44.84342452,E782,_,00260,103
E782__00230.103,7.409080232010666,44.83711303,E782,_,00230,103
E782__00220.103,7.39853720643561,44.83921037,E782,_,00220,103
E782__00190.103,7.385421570914215,44.851691790000004,E782,_,00190,103
E782__00180.103,7.3971807790605695,44.84692403,E782,_,00180,103
E782__00160.103,7.415488635012952,44.848152389999996,E782,_,00160,103
E782__00150.103,7.4190326091089815,44.847211635,E782,_,00150,103
E782__00140.103,7.437404343505429,44.844476805,E782,_,00140,103
E782__00130.103,7.4418430186122215,44.847897465,E782,_,00130,103
E782__00120.103,7.448794187760257,44.853548515,E782,_,00120,103
E782__00080.103,7.413627964961012,44.85399666,E782,_,00080,103
E782__00060.103,7.4110754627482684,44.856891745,E782,_,00060,103
E782__00050.103,7.405725302126424,44.85253593,E782,_,00050,103
E782__00040.103,7.395426212825452,44.86192258,E782,_,00040,103
E782__00030.103,7.38531500243169,44.859823355,E782,_,00030,103
E782__00020.104,7.393240600829081,44.852032845,E782,_,00020,104
E782__00260.104,7.440799810378732,44.843448535,E782,_,00260,104
E782__00230.104,7.409087180122757,44.836632140000006,E782,_,00230,104
E782__00220.104,7.397915191770858,44.843022995,E782,_,00220,104
E782__00190.104,7.391322568618985,44.851197865,E782,_,00190,104
E782__00180.104,7.396710906164974,44.846472594999994,E782,_,00180,104
E782__00160.104,7.4161188749290385,44.847832589999996,E782,_,00160,104
E782__00150.104,7.430598328880091,44.850794414999996,E782,_,00150,104
E782__00140.104,7.437637574434801,44.844506714999994,E782,_,00140,104
E782__00060.104,7.409918843796195,44.85741842,E782,_,00060,104
E782__00050.104,7.4061119695921835,44.854371404999995,E782,_,00050,104
E782__00040.104,7.397954470232449,44.8603849,E782,_,00040,104
E782__00020.105,7.393464171058836,44.85140333,E782,_,00020,105
E782__00260.105,7.4414260602028985,44.843413255,E782,_,00260,105
E782__00230.105,7.409261523086133,44.83668955,E782,_,00230,105
E782__00190.105,7.391707716774195,44.851131965,E782,_,00190,105
E782__00180.105,7.396391619839868,44.846548670000004,E782,_,00180,105
E782__00130.105,7.4425452753091355,44.84816851,E782,_,00130,105
E782__00120.105,7.447094319050249,44.85398735,E782,_,00120,105
E782__00110.105,7.43352170284288,44.853218264999995,E782,_,00110,105
E782__00050.105,7.405147641072122,44.854506505,E782,_,00050,105
E782__00040.105,7.398028112491007,44.85994505,E782,_,00040,105
E782__00030.105,7.385645375192677,44.8597486,E782,_,00030,105
E782__00010.106,7.397134368983513,44.849624899999995,E782,_,00010,106
E782__00260.106,7.441867232546413,44.843460485,E782,_,00260,106
E782__00230.106,7.409253377865161,44.837119584999996,E782,_,00230,106
E782__00190.106,7.394701261602263,44.85090185,E782,_,00190,106
E782__00180.106,7.396193153329062,44.846623135,E782,_,00180,106
E782__00160.106,7.410916242591491,44.84695109,E782,_,00160,106
E782__00150.106,7.422618790613121,44.84429323,E782,_,00150,106
