nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E812__00010.1,12.446816657233928,42.395069535000005,E812,_,00010,1
E812__00420.1,12.491596836867206,42.30899688,E812,_,00420,1
E812__00410.1,12.480528753352939,42.3079758,E812,_,00410,1
E812__00400.1,12.475067791102056,42.31523508,E812,_,00400,1
E812__00380.1,12.495260150893955,42.3273942,E812,_,00380,1
E812__00370.1,12.481810886553438,42.330458065,E812,_,00370,1
E812__00360.1,12.475849751879771,42.33141841,E812,_,00360,1
E812__00350.1,12.499058480669053,42.34196421,E812,_,00350,1
E812__00330.1,12.468891710968308,42.339171269999994,E812,_,00330,1
E812__00320.1,12.466909583299461,42.340616985,E812,_,00320,1
E812__00310.1,12.504104289854007,42.344265155,E812,_,00310,1
E812__00280.1,12.507293982243459,42.35754188,E812,_,00280,1
E812__00270.1,12.497147883713758,42.35523876,E812,_,00270,1
E812__00260.1,12.48784334151003,42.354173900000006,E812,_,00260,1
E812__00250.1,12.482757648454387,42.35603585,E812,_,00250,1
E812__00230.1,12.514706854131099,42.367169399999995,E812,_,00230,1
E812__00200.1,12.51353968208832,42.374304484999996,E812,_,00200,1
E812__00190.1,12.502606513659304,42.37558632,E812,_,00190,1
E812__00180.1,12.490868191972904,42.368245900000005,E812,_,00180,1
E812__00170.1,12.472789858758741,42.3693691,E812,_,00170,1
E812__00150.1,12.471879787095208,42.370214745,E812,_,00150,1
E812__00140.1,12.460562880217879,42.373228035,E812,_,00140,1
E812__00130.1,12.509693177411371,42.39187384,E812,_,00130,1
E812__00110.1,12.485388315975946,42.384398655,E812,_,00110,1
E812__00090.1,12.45883476324048,42.38058316,E812,_,00090,1
E812__00080.1,12.466415146358717,42.39043231,E812,_,00080,1
E812__00060.1,12.507737897092932,42.401486750000004,E812,_,00060,1
E812__00050.1,12.502939948523691,42.399777165,E812,_,00050,1
E812__00040.1,12.494177231068841,42.39673724,E812,_,00040,1
E812__00030.1,12.439536870099623,42.389599700000005,E812,_,00030,1
E812__00020.1,12.462102737114684,42.399336585,E812,_,00020,1
E812__00010.10,12.453814824502366,42.39493449,E812,_,00010,10
E812__00420.10,12.485037771382103,42.302309905,E812,_,00420,10
E812__00400.10,12.47846070323364,42.313178815,E812,_,00400,10
E812__00390.10,12.496365930185242,42.31835973,E812,_,00390,10
E812__00380.10,12.492760018744502,42.326237715000005,E812,_,00380,10
E812__00370.10,12.48918834020154,42.330534310000004,E812,_,00370,10
E812__00360.10,12.474195608341887,42.330613255,E812,_,00360,10
E812__00350.10,12.496772564784003,42.340306815000005,E812,_,00350,10
E812__00330.10,12.478607268276148,42.33602352,E812,_,00330,10
E812__00310.10,12.509266079148585,42.344608429999994,E812,_,00310,10
E812__00280.10,12.515858982909839,42.352918415000005,E812,_,00280,10
E812__00270.10,12.499855314827858,42.35330114,E812,_,00270,10
E812__00260.10,12.490917483410126,42.35272971,E812,_,00260,10
E812__00250.10,12.482899419247364,42.35524455,E812,_,00250,10
E812__00240.10,12.473362065230194,42.347062675000004,E812,_,00240,10
E812__00230.10,12.520113352751304,42.36578968,E812,_,00230,10
E812__00220.10,12.499974201134712,42.36129097,E812,_,00220,10
E812__00210.10,12.464568131111534,42.357197935,E812,_,00210,10
E812__00200.10,12.509520146665555,42.36967521,E812,_,00200,10
E812__00180.10,12.487020432014571,42.36639024,E812,_,00180,10
E812__00160.10,12.482530228025967,42.37116422,E812,_,00160,10
E812__00150.10,12.469359747129648,42.36686756,E812,_,00150,10
E812__00140.10,12.46855322489975,42.372628719999994,E812,_,00140,10
E812__00110.10,12.487119469710766,42.381680465,E812,_,00110,10
E812__00100.10,12.475590553623789,42.38113636,E812,_,00100,10
E812__00090.10,12.468662235489518,42.381692945,E812,_,00090,10
E812__00080.10,12.471127711179228,42.389537045,E812,_,00080,10
E812__00060.10,12.50647156689853,42.399672715,E812,_,00060,10
E812__00050.10,12.49560212816051,42.40041712,E812,_,00050,10
E812__00020.100,12.458856604617253,42.392091115,E812,_,00020,100
E812__00390.100,12.498921162543049,42.315235235,E812,_,00390,100
E812__00370.100,12.49124344234621,42.3281917,E812,_,00370,100
E812__00350.100,12.493759967375286,42.33570021,E812,_,00350,100
E812__00330.100,12.475537141808621,42.33713395,E812,_,00330,100
E812__00320.100,12.466151141654443,42.335199155,E812,_,00320,100
E812__00300.100,12.51033400280189,42.344297245,E812,_,00300,100
E812__00280.100,12.506685035552238,42.356852939999996,E812,_,00280,100
E812__00270.100,12.49848915038123,42.344463015,E812,_,00270,100
E812__00260.100,12.486229062496893,42.34232047,E812,_,00260,100
E812__00250.100,12.480342045561116,42.346183685,E812,_,00250,100
E812__00240.100,12.471678650036019,42.344253789999996,E812,_,00240,100
E812__00230.100,12.52258529933761,42.36391605,E812,_,00230,100
E812__00220.100,12.499022003679329,42.356238045,E812,_,00220,100
E812__00210.100,12.474414431147657,42.35913969,E812,_,00210,100
E812__00190.100,12.506144837460429,42.375482004999995,E812,_,00190,100
E812__00160.100,12.498903274938304,42.366573095,E812,_,00160,100
E812__00140.100,12.467749834219935,42.369336875,E812,_,00140,100
E812__00120.100,12.497616494090225,42.381344425,E812,_,00120,100
E812__00110.100,12.485913143123257,42.37230484,E812,_,00110,100
E812__00100.100,12.47418285899046,42.375397435,E812,_,00100,100
E812__00090.100,12.467668451617627,42.375822995,E812,_,00090,100
E812__00080.100,12.480544874025373,42.38737702,E812,_,00080,100
E812__00040.100,12.487149026313205,42.384721639999995,E812,_,00040,100
E812__0017.1000,12.482398667012971,42.36029718,E812,_,0017,1000
E812__0017.1001,12.482425013938544,42.36033374,E812,_,0017,1001
E812__00170.1002,12.477837719690331,42.363797895000005,E812,_,00170,1002
E812__00170.1003,12.47811840453327,42.363843375,E812,_,00170,1003
E812__00170.1005,12.479005104266328,42.369091985,E812,_,00170,1005
E812__00170.1006,12.478404554258086,42.369217265,E812,_,00170,1006
E812__00020.101,12.459328578702399,42.392733754999995,E812,_,00020,101
E812__00390.101,12.49997997934737,42.314559880000004,E812,_,00390,101
E812__00370.101,12.4863742320006,42.32556807,E812,_,00370,101
E812__00360.101,12.471705813632227,42.330712425,E812,_,00360,101
E812__00320.101,12.466263064488187,42.33545134,E812,_,00320,101
E812__00270.101,12.498936580614119,42.344563519999994,E812,_,00270,101
E812__00250.101,12.48106064397409,42.346278385,E812,_,00250,101
E812__00230.101,12.522068766149367,42.362955965,E812,_,00230,101
E812__00210.101,12.47505943860848,42.358854609999995,E812,_,00210,101
E812__00190.101,12.506127455220273,42.374915195,E812,_,00190,101
E812__00170.101,12.475538483670974,42.36255965,E812,_,00170,101
E812__00160.101,12.49833176277477,42.366451715,E812,_,00160,101
E812__00130.101,12.503824423472025,42.390020375,E812,_,00130,101
E812__00120.101,12.497115241387707,42.38111977,E812,_,00120,101
E812__00090.101,12.459167656302562,42.376768495,E812,_,00090,101
E812__00080.101,12.472357005770718,42.386470540000005,E812,_,00080,101
E812__00060.101,12.507542253217524,42.39412282,E812,_,00060,101
E812__00050.101,12.498742585920443,42.38804259,E812,_,00050,101
E812__00170.1010,12.483079102968773,42.359732414999996,E812,_,00170,1010
E812__00170.1011,12.473675296299483,42.361621729999996,E812,_,00170,1011
E812__00170.1012,12.478453203582411,42.36628594,E812,_,00170,1012
E812__00170.1013,12.478514578503605,42.366380105000005,E812,_,00170,1013
E812__00170.1014,12.47871255612257,42.36639016,E812,_,00170,1014
E812__00170.1015,12.478980757491996,42.366007885,E812,_,00170,1015
E812__00170.1016,12.478226305290608,42.365566215,E812,_,00170,1016
E812__00170.1017,12.479065553969749,42.36594908,E812,_,00170,1017
E812__0017.1019,12.479090805535218,42.361660875,E812,_,0017,1019
E812__00020.102,12.459459904167973,42.392674244999995,E812,_,00020,102
E812__00390.102,12.499819334148345,42.314138424999996,E812,_,00390,102
E812__00370.102,12.48600479839845,42.32666088,E812,_,00370,102
E812__00350.102,12.496620912217729,42.337320305000006,E812,_,00350,102
E812__00330.102,12.473714864790708,42.331944715,E812,_,00330,102
E812__00320.102,12.466165918137644,42.335409455000004,E812,_,00320,102
E812__00300.102,12.510886114917867,42.34354658,E812,_,00300,102
E812__00270.102,12.492559007965275,42.34236736,E812,_,00270,102
E812__00260.102,12.490225921197283,42.344248245,E812,_,00260,102
E812__00250.102,12.479879954689483,42.34554783,E812,_,00250,102
E812__00230.102,12.520342872595574,42.364774479999994,E812,_,00230,102
E812__00210.102,12.474503578767765,42.358395134999995,E812,_,00210,102
E812__00190.102,12.505965275118946,42.36471657,E812,_,00190,102
E812__00180.102,12.490319876061161,42.361059495,E812,_,00180,102
E812__00130.102,12.504426311390741,42.38967952,E812,_,00130,102
E812__00120.102,12.498641086265046,42.380806575,E812,_,00120,102
E812__00110.102,12.483633008808411,42.374460459999995,E812,_,00110,102
E812__00090.102,12.463413606507366,42.37618078,E812,_,00090,102
E812__00080.102,12.47780429345378,42.385589905,E812,_,00080,102
E812__00060.102,12.508679152369561,42.393934115,E812,_,00060,102
E812__00050.102,12.49767653682252,42.388281795,E812,_,00050,102
E812__00040.102,12.48871071369891,42.385035395,E812,_,00040,102
E812__0017.1020,12.479071556144962,42.361587535,E812,_,0017,1020
E812__00170.1021,12.481234277124864,42.357436265000004,E812,_,00170,1021
E812__00170.1023,12.481606520882355,42.357375555000004,E812,_,00170,1023
E812__00170.1024,12.481854091630765,42.35799476,E812,_,00170,1024
E812__00170.1025,12.48208139750746,42.357874635,E812,_,00170,1025
E812__00170.1027,12.476682883449802,42.36820001,E812,_,00170,1027
E812__0017.1028,12.480599943684021,42.360683735,E812,_,0017,1028
E812__00170.1029,12.478405400925736,42.364447260000006,E812,_,00170,1029
E812__00020.103,12.460489685591675,42.3931561,E812,_,00020,103
E812__00390.103,12.500003387559257,42.31410875,E812,_,00390,103
E812__00370.103,12.486921673407892,42.325949675,E812,_,00370,103
E812__00360.103,12.473153891132709,42.330124319999996,E812,_,00360,103
E812__00330.103,12.473681834438656,42.333097115,E812,_,00330,103
E812__00320.103,12.466084488030553,42.33540869,E812,_,00320,103
E812__00280.103,12.503046406437244,42.353872105,E812,_,00280,103
E812__00270.103,12.493188234636387,42.34317441,E812,_,00270,103
E812__00260.103,12.48721341539904,42.352879785,E812,_,00260,103
E812__00250.103,12.481210667291553,42.34578277,E812,_,00250,103
E812__00220.103,12.500964858119305,42.358312095,E812,_,00220,103
E812__00210.103,12.466584428896908,42.359221575,E812,_,00210,103
E812__00190.103,12.502519796946096,42.36348125,E812,_,00190,103
E812__00180.103,12.490951491337563,42.36104867,E812,_,00180,103
E812__00170.103,12.475330298480573,42.362050845,E812,_,00170,103
E812__00160.103,12.496441454293254,42.366276295000006,E812,_,00160,103
E812__00130.103,12.505350198568806,42.389163455,E812,_,00130,103
E812__00120.103,12.499629320741342,42.379682439999996,E812,_,00120,103
E812__00110.103,12.488936171298604,42.37995699,E812,_,00110,103
E812__00090.103,12.467553397178676,42.37557319,E812,_,00090,103
E812__00080.103,12.481882146813216,42.385011335,E812,_,00080,103
