nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
E839__00010.1,14.636037438141798,40.675112125,E839,_,00010,1
E839__00200.1,14.641139959305818,40.65407691,E839,_,00200,1
E839__00190.1,14.68534965851736,40.64282403,E839,_,00190,1
E839__00180.1,14.668762611747944,40.64194352,E839,_,00180,1
E839__00170.1,14.691713297703778,40.64678163,E839,_,00170,1
E839__00160.1,14.673168126900187,40.64321637,E839,_,00160,1
E839__00150.1,14.6679576989645,40.651163665,E839,_,00150,1
E839__00140.1,14.682589090396878,40.650585425,E839,_,00140,1
E839__00130.1,14.667219011194376,40.65244543,E839,_,00130,1
E839__00120.1,14.645709735205884,40.651682095,E839,_,00120,1
E839__00110.1,14.674653267437726,40.6609982,E839,_,00110,1
E839__00100.1,14.656812307517855,40.66161759,E839,_,00100,1
E839__00090.1,14.647733358117591,40.659646949999996,E839,_,00090,1
E839__00080.1,14.642547983508177,40.66040413,E839,_,00080,1
E839__00070.1,14.633386703290789,40.66035952,E839,_,00070,1
E839__00060.1,14.643393316263463,40.66511627,E839,_,00060,1
E839__00050.1,14.627774586426233,40.66802441,E839,_,00050,1
E839__00040.1,14.667232201206673,40.672715585,E839,_,00040,1
E839__00030.1,14.648780579466326,40.672555270000004,E839,_,00030,1
E839__00020.1,14.643832050189506,40.672552870000004,E839,_,00020,1
E839__00010.10,14.63732435432305,40.674436064999995,E839,_,00010,10
E839__00200.10,14.641327509057673,40.653601605000006,E839,_,00200,10
E839__00190.10,14.689878721532224,40.63788742,E839,_,00190,10
E839__00180.10,14.668184639238884,40.640239554999994,E839,_,00180,10
E839__00170.10,14.69553180237769,40.64548197,E839,_,00170,10
E839__00160.10,14.67439282810594,40.643832700000004,E839,_,00160,10
E839__00150.10,14.668647993157652,40.64529977,E839,_,00150,10
E839__00140.10,14.683728575334877,40.64582627,E839,_,00140,10
E839__00130.10,14.66035988672509,40.650735405000006,E839,_,00130,10
E839__00120.10,14.651078225821077,40.650661795,E839,_,00120,10
E839__00100.10,14.667696600918013,40.65846852,E839,_,00100,10
E839__00090.10,14.647310430926815,40.657770854999995,E839,_,00090,10
E839__00070.10,14.636049684876998,40.659345349999995,E839,_,00070,10
E839__00060.10,14.643943323654845,40.66474714,E839,_,00060,10
E839__00050.10,14.639441977067957,40.66668368,E839,_,00050,10
E839__00040.10,14.65098445746004,40.663773524999996,E839,_,00040,10
E839__00030.10,14.647288053478412,40.671439004999996,E839,_,00030,10
E839__00020.10,14.64248293848585,40.67203486,E839,_,00020,10
