nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F021__00010.1,13.461210481813625,43.162889245,F021,_,00010,1
F021__00090.1,13.480593539918416,43.147497619999996,F021,_,00090,1
F021__00080.1,13.490259787949437,43.15246365,F021,_,00080,1
F021__00060.1,13.492574560310942,43.155921515,F021,_,00060,1
F021__00040.1,13.473265339868806,43.16024098,F021,_,00040,1
F021__00030.1,13.457493373388175,43.159630675,F021,_,00030,1
F021__00020.1,13.470514232273652,43.164260395,F021,_,00020,1
F021__00010.10,13.463673439468991,43.162065025000004,F021,_,00010,10
F021__00080.10,13.49588402240088,43.150021295,F021,_,00080,10
F021__00070.10,13.470046819001068,43.152798575,F021,_,00070,10
F021__00060.10,13.491926410925823,43.154274705,F021,_,00060,10
F021__00050.10,13.490260177707748,43.162119245,F021,_,00050,10
F021__00040.10,13.477194439645476,43.159101315,F021,_,00040,10
F021__00030.10,13.456865318893023,43.158256875,F021,_,00030,10
F021__00020.10,13.47289744695461,43.161505845,F021,_,00020,10
F021__00010.100,13.464565995178987,43.16288053,F021,_,00010,100
F021__00090.100,13.485763756580024,43.14433956,F021,_,00090,100
F021__00080.100,13.501744201052706,43.146961695,F021,_,00080,100
F021__00070.100,13.476996103783186,43.15091203,F021,_,00070,100
F021__00060.100,13.505488250714492,43.15354781,F021,_,00060,100
F021__00050.100,13.480082005833765,43.15369603,F021,_,00050,100
F021__00030.100,13.457791215584564,43.157713865000005,F021,_,00030,100
F021__00020.100,13.485354358544631,43.163394775,F021,_,00020,100
F021__00020.101,13.485392835370288,43.162611435,F021,_,00020,101
F021__00090.101,13.485676630635215,43.143996215,F021,_,00090,101
F021__00080.101,13.50388449395786,43.148162150000005,F021,_,00080,101
F021__00070.101,13.477025243687711,43.150840099999996,F021,_,00070,101
F021__00050.101,13.480264617138726,43.15372901,F021,_,00050,101
F021__00040.101,13.469575777388997,43.15373956,F021,_,00040,101
F021__00030.101,13.457690793239571,43.158317675,F021,_,00030,101
F021__00010.102,13.465584343345572,43.161571175,F021,_,00010,102
F021__00090.102,13.487938507318074,43.144478765,F021,_,00090,102
F021__00080.102,13.504417862099189,43.148914265,F021,_,00080,102
F021__00070.102,13.477139427487291,43.15095077,F021,_,00070,102
F021__00050.102,13.480350643782057,43.153862955,F021,_,00050,102
F021__00030.102,13.457628544739851,43.158066885,F021,_,00030,102
F021__00020.102,13.485577457332507,43.162348075,F021,_,00020,102
F021__00010.103,13.466507921522872,43.162544255,F021,_,00010,103
F021__00090.103,13.487536603043697,43.143833965,F021,_,00090,103
F021__00080.103,13.499739005208037,43.14586315,F021,_,00080,103
F021__00070.103,13.47708925748848,43.150847685,F021,_,00070,103
F021__00060.103,13.50558417798495,43.15148983,F021,_,00060,103
F021__00050.103,13.48089393998318,43.15406315,F021,_,00050,103
F021__00040.103,13.46987136372275,43.153816975,F021,_,00040,103
F021__00030.103,13.46153189824194,43.15573377,F021,_,00030,103
F021__00020.103,13.48578725354002,43.162071845,F021,_,00020,103
F021__00010.104,13.466945158000398,43.161089970000006,F021,_,00010,104
F021__00090.104,13.488384628924559,43.14403163,F021,_,00090,104
F021__00080.104,13.50096158967496,43.14600958,F021,_,00080,104
F021__00070.104,13.476595847189923,43.15057657,F021,_,00070,104
F021__00060.104,13.506687212273768,43.15148169,F021,_,00060,104
F021__00050.104,13.480964651794523,43.152704150000005,F021,_,00050,104
F021__00030.104,13.463228178851299,43.15610991,F021,_,00030,104
F021__00020.104,13.485857567411589,43.161945735,F021,_,00020,104
F021__00010.105,13.46848658005843,43.16252417,F021,_,00010,105
F021__00090.105,13.488299430150455,43.143889195,F021,_,00090,105
F021__00080.105,13.501067630405311,43.14546455,F021,_,00080,105
F021__00070.105,13.477221411276076,43.150987725,F021,_,00070,105
F021__00060.105,13.507710715962368,43.15151858,F021,_,00060,105
F021__00050.105,13.48278038589702,43.1552777,F021,_,00050,105
F021__00030.105,13.462691165644426,43.155451345,F021,_,00030,105
F021__00020.105,13.485959571564056,43.161928520000004,F021,_,00020,105
F021__00010.106,13.468427120881653,43.1620521,F021,_,00010,106
F021__00090.106,13.488389175244622,43.143765310000006,F021,_,00090,106
F021__00080.106,13.50111565359617,43.145305975,F021,_,00080,106
F021__00070.106,13.476682895657534,43.150512335,F021,_,00070,106
F021__00060.106,13.508738058849861,43.150773945,F021,_,00060,106
F021__00050.106,13.483653421868262,43.154870360000004,F021,_,00050,106
F021__00030.106,13.462614881482047,43.155013075,F021,_,00030,106
F021__00010.107,13.467687113021615,43.164481505,F021,_,00010,107
F021__00090.107,13.488603493060959,43.14379513,F021,_,00090,107
F021__00080.107,13.501511195744595,43.145823825,F021,_,00080,107
F021__00070.107,13.476212793271573,43.150440925,F021,_,00070,107
F021__00060.107,13.50409517063264,43.150392575,F021,_,00060,107
F021__00050.107,13.481553073911638,43.15400021,F021,_,00050,107
F021__00040.107,13.469876805179736,43.154306065,F021,_,00040,107
F021__00030.107,13.462831139649676,43.155241884999995,F021,_,00030,107
F021__00020.107,13.485658029708958,43.16354744,F021,_,00020,107
F021__00020.108,13.485694102992774,43.16325837,F021,_,00020,108
F021__00090.108,13.488232972730714,43.143646355,F021,_,00090,108
F021__00080.108,13.50101951946883,43.14558622,F021,_,00080,108
F021__00070.108,13.476053231204558,43.150344755,F021,_,00070,108
F021__00060.108,13.503655067172955,43.149785585000004,F021,_,00060,108
F021__00050.108,13.484725810140997,43.154043645,F021,_,00050,108
F021__00040.108,13.471310854113598,43.153443374999995,F021,_,00040,108
F021__00030.108,13.462508366333562,43.15517767,F021,_,00030,108
F021__00020.109,13.487266381357205,43.16425753,F021,_,00020,109
F021__00090.109,13.48872390296984,43.143617065,F021,_,00090,109
F021__00080.109,13.501065447781677,43.145398035,F021,_,00080,109
F021__00070.109,13.475952038639853,43.150285835000005,F021,_,00070,109
F021__00060.109,13.503270304323983,43.150312209999996,F021,_,00060,109
F021__00040.109,13.471778852916666,43.153807715,F021,_,00040,109
F021__00030.109,13.462798049774587,43.154879935,F021,_,00030,109
F021__00010.11,13.463028076133725,43.161831649999996,F021,_,00010,11
F021__00090.11,13.48164699035732,43.1476612,F021,_,00090,11
F021__00080.11,13.49478537291884,43.152502065,F021,_,00080,11
F021__00060.11,13.49319179649634,43.154776815000005,F021,_,00060,11
F021__00050.11,13.490665099893272,43.162263495,F021,_,00050,11
F021__00030.11,13.456785020731477,43.15763627,F021,_,00030,11
F021__00020.11,13.473062550954712,43.164896240000004,F021,_,00020,11
F021__00030.110,13.463260964987377,43.15534279,F021,_,00030,110
F021__00090.110,13.490232636536845,43.1457298,F021,_,00090,110
F021__00080.110,13.49887977560757,43.14459099,F021,_,00080,110
F021__00070.110,13.475877553361899,43.150242430000006,F021,_,00070,110
F021__00060.110,13.493324971477536,43.15653653,F021,_,00060,110
F021__00050.110,13.483898959509554,43.15334198,F021,_,00050,110
F021__00010.111,13.470339917195941,43.163287935,F021,_,00010,111
F021__00090.111,13.488876467381111,43.145661395000005,F021,_,00090,111
F021__00080.111,13.501645266905362,43.145011725,F021,_,00080,111
F021__00070.111,13.47578733620248,43.15019727,F021,_,00070,111
F021__00060.111,13.4921136412545,43.153703205,F021,_,00060,111
F021__00050.111,13.485089327460233,43.15442161,F021,_,00050,111
F021__00040.111,13.47138072330391,43.15531924,F021,_,00040,111
F021__00030.111,13.461497854481511,43.15394869,F021,_,00030,111
F021__00020.111,13.485996914900095,43.162810504999996,F021,_,00020,111
F021__00010.112,13.469680962921935,43.16325879,F021,_,00010,112
F021__00090.112,13.490661290761329,43.14585578,F021,_,00090,112
F021__00080.112,13.501295990312357,43.146584114999996,F021,_,00080,112
F021__00070.112,13.47660830951504,43.150471734999996,F021,_,00070,112
F021__00060.112,13.49505779357565,43.155885530000006,F021,_,00060,112
F021__00050.112,13.4836187823799,43.15414061,F021,_,00050,112
F021__00030.112,13.463680364384398,43.1544215,F021,_,00030,112
F021__00020.112,13.488868027518027,43.16447493,F021,_,00020,112
F021__00010.113,13.469981661330904,43.16150669,F021,_,00010,113
F021__00090.113,13.488007353956062,43.14493394,F021,_,00090,113
F021__00080.113,13.500701050796957,43.146663535,F021,_,00080,113
F021__00070.113,13.476574614423349,43.150455525,F021,_,00070,113
F021__00060.113,13.495004159762113,43.155272745,F021,_,00060,113
