nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F041__00010.1,6.97077327619302,44.990904279999995,F041,_,00010,1
F041__00300.1,7.063375339386235,44.961055619999996,F041,_,00300,1
F041__00290.1,7.060296517538346,44.943601810000004,F041,_,00290,1
F041__00280.1,7.06312631197207,44.947038365,F041,_,00280,1
F041__00270.1,7.062097044754443,44.951005605000006,F041,_,00270,1
F041__00260.1,7.066158985210137,44.954630545,F041,_,00260,1
F041__00250.1,7.06526709227657,44.959797605,F041,_,00250,1
F041__00240.1,7.062364893437295,44.95721537,F041,_,00240,1
F041__00230.1,7.056112126111476,44.95828621,F041,_,00230,1
F041__00220.1,7.06226131229815,44.960732405,F041,_,00220,1
F041__00210.1,7.062240509306971,44.965655385000005,F041,_,00210,1
F041__00200.1,7.053712560142054,44.964278289999996,F041,_,00200,1
F041__00190.1,7.051608497406419,44.96137068,F041,_,00190,1
F041__00180.1,7.013050086522702,44.971655845,F041,_,00180,1
F041__00170.1,7.045315546879256,44.964099725,F041,_,00170,1
F041__00160.1,7.051436591312633,44.966804875,F041,_,00160,1
F041__00150.1,7.052632635420326,44.967326920000005,F041,_,00150,1
F041__00140.1,7.05918128520011,44.96810137,F041,_,00140,1
F041__00130.1,7.060588775093871,44.97190457,F041,_,00130,1
F041__00120.1,7.060254767487878,44.983160285,F041,_,00120,1
F041__00110.1,7.005122136106197,44.97661713,F041,_,00110,1
F041__00100.1,7.042170955185215,44.971911035,F041,_,00100,1
F041__00090.1,7.045903797469082,44.969046379999995,F041,_,00090,1
F041__00080.1,7.0399380853599185,44.96458242,F041,_,00080,1
F041__00070.1,7.034197643694173,44.96628502,F041,_,00070,1
F041__00060.1,7.029646663574876,44.96544583,F041,_,00060,1
F041__00050.1,7.023015216627575,44.968016585,F041,_,00050,1
F041__00040.1,7.015433222469815,44.973737619999994,F041,_,00040,1
F041__00030.1,7.012552453723255,44.975270370000004,F041,_,00030,1
F041__00020.1,6.966427250180905,44.978792835,F041,_,00020,1
F041__00010.10,6.965383064291937,44.98074728,F041,_,00010,10
F041__00300.10,7.067875749745697,44.950063575,F041,_,00300,10
F041__00290.10,7.061825529684013,44.94344495,F041,_,00290,10
F041__00280.10,7.066695029223176,44.94758917,F041,_,00280,10
F041__00270.10,7.062595648083738,44.949149585,F041,_,00270,10
F041__00260.10,7.066421159962474,44.954405515000005,F041,_,00260,10
F041__00240.10,7.063187179109526,44.957041520000004,F041,_,00240,10
F041__00220.10,7.062266887573897,44.95986325,F041,_,00220,10
F041__00210.10,7.06254796172839,44.965268395,F041,_,00210,10
F041__00200.10,7.05084533276769,44.96230078,F041,_,00200,10
F041__00180.10,7.024403647167347,44.965891165,F041,_,00180,10
F041__00170.10,7.046262328770405,44.96342161,F041,_,00170,10
F041__00160.10,7.05195477237982,44.96675941,F041,_,00160,10
F041__00150.10,7.053069058908895,44.967662985000004,F041,_,00150,10
F041__00140.10,7.059904981008806,44.96798752,F041,_,00140,10
F041__00130.10,7.060868394335522,44.97154607,F041,_,00130,10
F041__00120.10,7.063322544901206,44.981121075000004,F041,_,00120,10
F041__00110.10,7.011620176820797,44.978440175,F041,_,00110,10
F041__00100.10,7.049773033284435,44.973472384999994,F041,_,00100,10
F041__00090.10,7.045834923662511,44.968199299999995,F041,_,00090,10
F041__00080.10,7.0418453109581005,44.964567915,F041,_,00080,10
F041__00070.10,7.035769237371223,44.96588009,F041,_,00070,10
F041__00060.10,7.029671302969333,44.964809200000005,F041,_,00060,10
F041__00050.10,7.024984301522443,44.968137365000004,F041,_,00050,10
F041__00040.10,7.016140735238331,44.972493715,F041,_,00040,10
F041__00030.10,7.01206846295516,44.97472994,F041,_,00030,10
F041__00020.10,7.00927589071237,44.972841495,F041,_,00020,10
F041__00040.100,7.019918353394207,44.970075995,F041,_,00040,100
F041__00290.100,7.061604519476919,44.941102645,F041,_,00290,100
F041__00280.100,7.063345427870296,44.9457288,F041,_,00280,100
F041__00270.100,7.060650463849862,44.948924535,F041,_,00270,100
F041__00260.100,7.068735364724847,44.95194304,F041,_,00260,100
F041__00250.100,7.065579764320116,44.957289705,F041,_,00250,100
F041__00240.100,7.06302442927602,44.95402542,F041,_,00240,100
F041__00230.100,7.058349034726968,44.95845964,F041,_,00230,100
F041__00220.100,7.063937258102704,44.959163585,F041,_,00220,100
F041__00210.100,7.060094140567985,44.96298969,F041,_,00210,100
F041__00200.100,7.051626827110075,44.96182509,F041,_,00200,100
F041__00190.100,7.055037737826677,44.960593585,F041,_,00190,100
F041__00180.100,7.05251010646681,44.951870045,F041,_,00180,100
F041__00170.100,7.046939799605668,44.96301527,F041,_,00170,100
F041__00160.100,7.050258884983155,44.963903310000006,F041,_,00160,100
F041__00140.100,7.065310455640878,44.96743541,F041,_,00140,100
F041__00120.100,7.070918835233423,44.977509895,F041,_,00120,100
F041__00100.100,7.044414989316124,44.969376249999996,F041,_,00100,100
F041__00090.100,7.040943169991628,44.965694225,F041,_,00090,100
F041__00080.100,7.042829541543636,44.963447110000004,F041,_,00080,100
F041__00070.100,7.036506364889871,44.963987290000006,F041,_,00070,100
F041__00060.100,7.03043177727662,44.964068215,F041,_,00060,100
F041__00050.100,7.028501385272632,44.968439065,F041,_,00050,100
F041__00040.101,7.019604748258652,44.970165905,F041,_,00040,101
F041__00290.101,7.061059032398868,44.940758724999995,F041,_,00290,101
F041__00280.101,7.063339430690567,44.945295155,F041,_,00280,101
F041__00270.101,7.060631186406815,44.948966325,F041,_,00270,101
F041__00260.101,7.068708110371764,44.95140526,F041,_,00260,101
F041__00250.101,7.065274233993566,44.957444554999995,F041,_,00250,101
F041__00240.101,7.062796427102278,44.954150889999994,F041,_,00240,101
F041__00230.101,7.058179737395664,44.958511215,F041,_,00230,101
F041__00220.101,7.064199913699904,44.95917432,F041,_,00220,101
F041__00210.101,7.059167679973047,44.962804125,F041,_,00210,101
F041__00200.101,7.051350000840905,44.961919635,F041,_,00200,101
F041__00190.101,7.0547209106963,44.960329945,F041,_,00190,101
F041__00180.101,7.05263444245327,44.95195015,F041,_,00180,101
F041__00170.101,7.047040097245441,44.962980619999996,F041,_,00170,101
F041__00160.101,7.0507972527211855,44.963078255,F041,_,00160,101
F041__00150.101,7.057488481610914,44.96657887,F041,_,00150,101
F041__00120.101,7.069866357389916,44.977710495,F041,_,00120,101
F041__00100.101,7.044647234238629,44.96929954,F041,_,00100,101
F041__00090.101,7.041154045589523,44.965381035,F041,_,00090,101
F041__00080.101,7.043187695185859,44.963548775,F041,_,00080,101
F041__00070.101,7.0368624972096185,44.96419784,F041,_,00070,101
F041__00060.101,7.030495991397447,44.9641906,F041,_,00060,101
F041__00050.101,7.028262661177335,44.968490779999996,F041,_,00050,101
F041__00040.102,7.019879248368144,44.969869,F041,_,00040,102
F041__00290.102,7.0615873206036355,44.940737405,F041,_,00290,102
F041__00280.102,7.062894807743799,44.945009945,F041,_,00280,102
F041__00270.102,7.060558783529114,44.94912248,F041,_,00270,102
F041__00260.102,7.06838399724397,44.951686155000004,F041,_,00260,102
F041__00250.102,7.065090538629599,44.957506699999996,F041,_,00250,102
F041__00240.102,7.06284531714008,44.95434525,F041,_,00240,102
F041__00230.102,7.0579822494755105,44.95856836,F041,_,00230,102
F041__00220.102,7.062770488921615,44.958031445,F041,_,00220,102
F041__00210.102,7.063051378204722,44.96383349,F041,_,00210,102
F041__00200.102,7.051729791266068,44.96161811,F041,_,00200,102
F041__00190.102,7.054495748029797,44.9604654,F041,_,00190,102
F041__00180.102,7.052885095856441,44.95198793,F041,_,00180,102
F041__00170.102,7.047134060600387,44.963009845,F041,_,00170,102
F041__00160.102,7.050408791732719,44.962811615,F041,_,00160,102
F041__00120.102,7.0693695870309,44.978454015,F041,_,00120,102
F041__00100.102,7.044810531573619,44.969473255,F041,_,00100,102
F041__00090.102,7.041607816335102,44.965814105,F041,_,00090,102
F041__00080.102,7.043448199681453,44.963586975,F041,_,00080,102
F041__00070.102,7.0371116308935875,44.964290524999996,F041,_,00070,102
F041__00060.102,7.030981115888906,44.964302195,F041,_,00060,102
F041__00050.102,7.028312742268126,44.968346355,F041,_,00050,102
F041__00040.103,7.0193314194019045,44.970679665000006,F041,_,00040,103
F041__00290.103,7.0613866680724,44.940395120000005,F041,_,00290,103
F041__00280.103,7.062842473068648,44.94493301,F041,_,00280,103
F041__00270.103,7.060432528425672,44.949431685,F041,_,00270,103
F041__00260.103,7.0677532238631375,44.951573804999995,F041,_,00260,103
F041__00250.103,7.0644469996500465,44.957449655,F041,_,00250,103
F041__00240.103,7.062627411903065,44.954550909999995,F041,_,00240,103
F041__00230.103,7.057904579539645,44.958477384999995,F041,_,00230,103
F041__00220.103,7.063696307091744,44.95884427,F041,_,00220,103
F041__00210.103,7.062980186324353,44.963550045,F041,_,00210,103
F041__00200.103,7.051988875460294,44.961605045,F041,_,00200,103
F041__00190.103,7.054343974748734,44.96061753,F041,_,00190,103
F041__00180.103,7.052775646010836,44.95219963,F041,_,00180,103
F041__00170.103,7.047234971308933,44.962949995,F041,_,00170,103
F041__00160.103,7.050152836020927,44.963613545,F041,_,00160,103
F041__00120.103,7.068838268271052,44.978132105,F041,_,00120,103
F041__00100.103,7.045282564198675,44.96930403,F041,_,00100,103
F041__00090.103,7.04166496427152,44.96568359,F041,_,00090,103
F041__00080.103,7.043334454314952,44.963871350000005,F041,_,00080,103
F041__00070.103,7.036678019502588,44.96429908,F041,_,00070,103
F041__00060.103,7.0308761033422,44.964383175,F041,_,00060,103
F041__00050.103,7.02844497775958,44.96827528,F041,_,00050,103
F041__00040.104,7.019024729448608,44.97017481,F041,_,00040,104
F041__00290.104,7.0610697571975525,44.940566995,F041,_,00290,104
F041__00280.104,7.062662842471713,44.94487732,F041,_,00280,104
F041__00270.104,7.06069728174885,44.949586929999995,F041,_,00270,104
