nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F322__00010.1,14.802647295980684,41.654071165000005,F322,_,00010,1
F322__00290.1,14.801550577451307,41.595809975,F322,_,00290,1
F322__00280.1,14.817289432087513,41.599150425,F322,_,00280,1
F322__00270.1,14.808989174477473,41.601130260000005,F322,_,00270,1
F322__00260.1,14.803833982824894,41.598339655000004,F322,_,00260,1
F322__00250.1,14.83031758562242,41.606104169999995,F322,_,00250,1
F322__00240.1,14.809714236746816,41.606955375,F322,_,00240,1
F322__00230.1,14.804804096273118,41.604308020000005,F322,_,00230,1
F322__00220.1,14.833283950296966,41.613001045000004,F322,_,00220,1
F322__00210.1,14.816579647962204,41.61417455,F322,_,00210,1
F322__00190.1,14.809393566086252,41.6116015,F322,_,00190,1
F322__00180.1,14.800279303992577,41.617902335,F322,_,00180,1
F322__00170.1,14.795916451429804,41.619825365,F322,_,00170,1
F322__00160.1,14.818326379501208,41.623574605,F322,_,00160,1
F322__00140.1,14.7949355010634,41.627120489999996,F322,_,00140,1
F322__00130.1,14.830780181344409,41.62335412,F322,_,00130,1
F322__00120.1,14.82383192097645,41.63144707,F322,_,00120,1
F322__00100.1,14.824472014141215,41.64291926,F322,_,00100,1
F322__00070.1,14.797419538033502,41.64184554,F322,_,00070,1
F322__00060.1,14.826480734981654,41.652649215,F322,_,00060,1
F322__00050.1,14.810279380205287,41.650920715,F322,_,00050,1
F322__00020.1,14.821943190731261,41.658258419999996,F322,_,00020,1
F322__00010.10,14.812565705377285,41.652582980000005,F322,_,00010,10
F322__00300.10,14.822307195922733,41.589669310000005,F322,_,00300,10
F322__00290.10,14.802376198848261,41.59541134,F322,_,00290,10
F322__00270.10,14.810816817073372,41.601109775,F322,_,00270,10
F322__00260.10,14.804322727163434,41.598801879999996,F322,_,00260,10
F322__00250.10,14.837085920945018,41.605375269999996,F322,_,00250,10
F322__00240.10,14.808296695501959,41.606055905,F322,_,00240,10
F322__00230.10,14.803959282395958,41.603711610000005,F322,_,00230,10
F322__00210.10,14.82182719834007,41.614076780000005,F322,_,00210,10
F322__00190.10,14.808505171629328,41.611493374999995,F322,_,00190,10
F322__00160.10,14.816074287272581,41.621639935000005,F322,_,00160,10
F322__00150.10,14.80800291487052,41.621743475,F322,_,00150,10
F322__00140.10,14.795628973727098,41.625702454999995,F322,_,00140,10
F322__00130.10,14.828958132240043,41.61678841,F322,_,00130,10
F322__00120.10,14.828905966072323,41.631741335,F322,_,00120,10
F322__00110.10,14.807916904559614,41.629155275,F322,_,00110,10
F322__00100.10,14.828253980009006,41.642171925,F322,_,00100,10
F322__00090.10,14.81974040467215,41.64410148,F322,_,00090,10
F322__00080.10,14.802268788425131,41.63817347,F322,_,00080,10
F322__00070.10,14.79598136447515,41.64159698,F322,_,00070,10
F322__00050.10,14.810143272750036,41.64827393,F322,_,00050,10
F322__00040.10,14.803674302970979,41.651778715,F322,_,00040,10
F322__00020.10,14.828776282476358,41.653116415,F322,_,00020,10
F322__00030.100,14.83731980945089,41.653284655,F322,_,00030,100
F322__00300.100,14.818755950591546,41.58485118,F322,_,00300,100
F322__00290.100,14.805627876208575,41.59326484,F322,_,00290,100
F322__00280.100,14.83237183779883,41.595567884999994,F322,_,00280,100
F322__00260.100,14.807478671790715,41.597977525000005,F322,_,00260,100
F322__00250.100,14.839076128660537,41.60396672,F322,_,00250,100
F322__00240.100,14.810480734034806,41.603684064999996,F322,_,00240,100
F322__00230.100,14.80327091999362,41.600038575,F322,_,00230,100
F322__00220.100,14.84660142870657,41.609884075,F322,_,00220,100
F322__00210.100,14.828988690616143,41.610880505,F322,_,00210,100
F322__00190.100,14.809589240668355,41.610611555,F322,_,00190,100
F322__00180.100,14.807643249978018,41.61639676,F322,_,00180,100
F322__00170.100,14.789912417230132,41.614026325,F322,_,00170,100
F322__00160.100,14.81732438983866,41.615494749999996,F322,_,00160,100
F322__00150.100,14.81240883376575,41.619968064999995,F322,_,00150,100
F322__00140.100,14.79867250314511,41.62082103,F322,_,00140,100
F322__00120.100,14.823619352989152,41.625674505000006,F322,_,00120,100
F322__00110.100,14.809999240056385,41.62710609,F322,_,00110,100
F322__00100.100,14.826731150030264,41.631978110000006,F322,_,00100,100
F322__00090.100,14.820604778173436,41.63630924,F322,_,00090,100
F322__00070.100,14.792631903225484,41.631263465,F322,_,00070,100
F322__00060.100,14.832219086735385,41.647524090000005,F322,_,00060,100
F322__00050.100,14.81133153595229,41.65076131,F322,_,00050,100
F322__00030.101,14.83654873050143,41.652769135,F322,_,00030,101
F322__00300.101,14.819713613168313,41.584903839999996,F322,_,00300,101
F322__00290.101,14.80620879891003,41.593124095,F322,_,00290,101
F322__00280.101,14.832743777373324,41.595322595,F322,_,00280,101
F322__00270.101,14.810198412102451,41.595896859999996,F322,_,00270,101
F322__00260.101,14.806145363187381,41.59787402,F322,_,00260,101
F322__00250.101,14.839765999376233,41.604487684999995,F322,_,00250,101
F322__00240.101,14.810734884637174,41.603747514999995,F322,_,00240,101
F322__00230.101,14.80363903490612,41.599725955,F322,_,00230,101
F322__00220.101,14.847162813356672,41.61001818,F322,_,00220,101
F322__00210.101,14.816168489818487,41.61229988,F322,_,00210,101
F322__00190.101,14.80966097926789,41.610612345,F322,_,00190,101
F322__00180.101,14.807724478617548,41.616211545,F322,_,00180,101
F322__00170.101,14.791380786572404,41.613687285,F322,_,00170,101
F322__00160.101,14.81730069606773,41.61587805,F322,_,00160,101
F322__00150.101,14.812576894215367,41.61987319,F322,_,00150,101
F322__00140.101,14.799037603438816,41.62039885,F322,_,00140,101
F322__00110.101,14.811348841070336,41.626400165,F322,_,00110,101
F322__00100.101,14.830041288314217,41.635424075,F322,_,00100,101
F322__00090.101,14.817625414862261,41.634915825,F322,_,00090,101
F322__00070.101,14.792549830119555,41.631021614999995,F322,_,00070,101
F322__00060.101,14.8269219990354,41.646656699999994,F322,_,00060,101
F322__00050.101,14.811318996477482,41.650579895,F322,_,00050,101
F322__00030.102,14.836102401086718,41.652419045,F322,_,00030,102
F322__00300.102,14.81688162592506,41.585586945,F322,_,00300,102
F322__00290.102,14.805020353715939,41.592982140000004,F322,_,00290,102
F322__00280.102,14.833108749038143,41.594828955,F322,_,00280,102
F322__00270.102,14.809780897534685,41.59562339,F322,_,00270,102
F322__00260.102,14.806068949104287,41.59770367,F322,_,00260,102
F322__00250.102,14.840093365464362,41.604246415,F322,_,00250,102
F322__00240.102,14.810776880095057,41.603554555,F322,_,00240,102
F322__00230.102,14.804293969219184,41.599682085,F322,_,00230,102
F322__00220.102,14.847962218179152,41.610128915000004,F322,_,00220,102
F322__00210.102,14.816513974154246,41.612049905,F322,_,00210,102
F322__00190.102,14.809775482843701,41.610606790000006,F322,_,00190,102
F322__00180.102,14.807797667293507,41.61608472,F322,_,00180,102
F322__00170.102,14.791775572042466,41.61334393,F322,_,00170,102
F322__00160.102,14.818281862875843,41.61581706,F322,_,00160,102
F322__00150.102,14.813047152191475,41.619974765,F322,_,00150,102
F322__00140.102,14.79921339520683,41.620474380000005,F322,_,00140,102
F322__00120.102,14.824227503890512,41.624541605000005,F322,_,00120,102
F322__00110.102,14.810890856408463,41.626715265,F322,_,00110,102
F322__00100.102,14.83289609067643,41.640665465,F322,_,00100,102
F322__00090.102,14.821303392573249,41.639414515,F322,_,00090,102
F322__00070.102,14.79296748415344,41.630937294999995,F322,_,00070,102
F322__00060.102,14.829150778381166,41.64609563,F322,_,00060,102
F322__00050.102,14.811428679723498,41.650661604999996,F322,_,00050,102
F322__00040.102,14.802697518306129,41.64045853499999,F322,_,00040,102
F322__00030.103,14.835186178157887,41.652157285,F322,_,00030,103
F322__00300.103,14.81727483074795,41.58525549,F322,_,00300,103
F322__00290.103,14.799447838153142,41.59310004,F322,_,00290,103
F322__00280.103,14.832473265820944,41.594460975000004,F322,_,00280,103
F322__00270.103,14.810000875865166,41.595553935,F322,_,00270,103
F322__00260.103,14.807216690027865,41.59773516,F322,_,00260,103
F322__00250.103,14.83983617522107,41.603976165000006,F322,_,00250,103
F322__00240.103,14.810859009719216,41.60343752,F322,_,00240,103
F322__00230.103,14.804158855004145,41.599681059999995,F322,_,00230,103
F322__00220.103,14.848818036116112,41.6103118,F322,_,00220,103
F322__00210.103,14.816194748242328,41.61177036,F322,_,00210,103
F322__00200.103,14.812700955498478,41.61172689,F322,_,00200,103
F322__00180.103,14.808185827433698,41.615888375,F322,_,00180,103
F322__00170.103,14.79257567436844,41.613638835,F322,_,00170,103
F322__00140.103,14.798830909247696,41.621153675,F322,_,00140,103
F322__00100.103,14.826759269764912,41.63651543,F322,_,00100,103
F322__00090.103,14.821435346276324,41.630365104999996,F322,_,00090,103
F322__00070.103,14.793036878651577,41.63082755,F322,_,00070,103
F322__00060.103,14.830220206485732,41.645074625,F322,_,00060,103
F322__00050.103,14.811753043874454,41.649988175000004,F322,_,00050,103
F322__00040.103,14.801183380380731,41.642173325,F322,_,00040,103
F322__00030.104,14.834470274217104,41.65241193,F322,_,00030,104
F322__00300.104,14.816817906585474,41.583835035,F322,_,00300,104
F322__00290.104,14.799306459979132,41.59224764,F322,_,00290,104
F322__00280.104,14.831788374705077,41.59470586,F322,_,00280,104
F322__00270.104,14.810161813671062,41.595466555,F322,_,00270,104
F322__00250.104,14.839721182587414,41.6037101,F322,_,00250,104
F322__00240.104,14.810888731192069,41.6035439,F322,_,00240,104
F322__00230.104,14.803825627166642,41.599585915,F322,_,00230,104
F322__00210.104,14.816025312048922,41.611620785,F322,_,00210,104
F322__00200.104,14.81150941585246,41.611851975,F322,_,00200,104
F322__00190.104,14.80993819517651,41.610424484999996,F322,_,00190,104
F322__00180.104,14.808362876481535,41.61606778,F322,_,00180,104
F322__00170.104,14.793700318913825,41.613520495,F322,_,00170,104
F322__00160.104,14.815450086398808,41.61524135,F322,_,00160,104
F322__00150.104,14.81396952739168,41.61976678,F322,_,00150,104
F322__00140.104,14.798817368120499,41.620947905,F322,_,00140,104
F322__00120.104,14.823229240472557,41.62871724,F322,_,00120,104
F322__00110.104,14.809252371910826,41.627395815,F322,_,00110,104
F322__00100.104,14.824367938404567,41.635590414999996,F322,_,00100,104
F322__00090.104,14.82304949185383,41.643974725,F322,_,00090,104
F322__00060.104,14.831372999608071,41.64643511,F322,_,00060,104
F322__00050.104,14.811620079601056,41.65046777,F322,_,00050,104
F322__00040.104,14.801936825257407,41.642402805,F322,_,00040,104
F322__00040.105,14.799855414374012,41.64343862,F322,_,00040,105
F322__00300.105,14.817446924754671,41.584629045,F322,_,00300,105
F322__00290.105,14.800160093625422,41.59305272,F322,_,00290,105
