nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F337__00010.1,8.14217454812636,45.16200649,F337,_,00010,1
F337__00080.1,8.16063027012891,45.15495284,F337,_,00080,1
F337__00070.1,8.14074141277139,45.15309681,F337,_,00070,1
F337__00060.1,8.147917673033863,45.154762184999996,F337,_,00060,1
F337__00050.1,8.167785958400483,45.154381425,F337,_,00050,1
F337__00040.1,8.155159587154884,45.160934185,F337,_,00040,1
F337__00030.1,8.14293821579454,45.161039020000004,F337,_,00030,1
F337__00020.1,8.16233170236527,45.168432960000004,F337,_,00020,1
F337__00010.10,8.15181673913019,45.16389565,F337,_,00010,10
F337__00090.10,8.156083306651947,45.1539152,F337,_,00090,10
F337__00070.10,8.140335344732389,45.152049335,F337,_,00070,10
F337__00050.10,8.169033690391899,45.154472755,F337,_,00050,10
F337__00030.10,8.1422015264734,45.15967464,F337,_,00030,10
F337__00020.10,8.161663310927494,45.165690604999995,F337,_,00020,10
F337__00010.100,8.149127849759967,45.16415686,F337,_,00010,100
F337__00090.100,8.165119665843411,45.151069629999995,F337,_,00090,100
F337__00080.100,8.163867038572086,45.154635885,F337,_,00080,100
F337__00070.100,8.1471080152301,45.149040819999996,F337,_,00070,100
F337__00060.100,8.14647768435514,45.151793525,F337,_,00060,100
F337__00050.100,8.168710180452813,45.152307775,F337,_,00050,100
F337__00040.100,8.158331885031672,45.15656686,F337,_,00040,100
F337__00030.100,8.150558786306748,45.159710954999994,F337,_,00030,100
F337__00020.100,8.168756695619273,45.165737195000005,F337,_,00020,100
F337__00010.101,8.149244999871037,45.16434278,F337,_,00010,101
F337__00090.101,8.16478115515914,45.1512268,F337,_,00090,101
F337__00080.101,8.163904555714112,45.154598035,F337,_,00080,101
F337__00070.101,8.14709022132047,45.148974345,F337,_,00070,101
F337__00060.101,8.146872651352439,45.151918890000005,F337,_,00060,101
F337__00050.101,8.169293414544917,45.15244917,F337,_,00050,101
F337__00040.101,8.157860308116712,45.156906125000006,F337,_,00040,101
F337__00030.101,8.149949658166735,45.15937012,F337,_,00030,101
F337__00020.101,8.169161964652467,45.165636785000004,F337,_,00020,101
F337__00010.102,8.149040638378786,45.164546005000005,F337,_,00010,102
F337__00090.102,8.164426497945257,45.151209895,F337,_,00090,102
F337__00070.102,8.146795231730689,45.148724665,F337,_,00070,102
F337__00060.102,8.147315227721979,45.151542795,F337,_,00060,102
F337__00050.102,8.170736257298543,45.152337865,F337,_,00050,102
F337__00040.102,8.15737417535333,45.156875775,F337,_,00040,102
F337__00030.102,8.149863576842487,45.158877005,F337,_,00030,102
F337__00020.102,8.16976740512108,45.165498854999996,F337,_,00020,102
F337__00010.103,8.14937430010758,45.164671955,F337,_,00010,103
F337__00090.103,8.166001606785908,45.150899620000004,F337,_,00090,103
F337__00080.103,8.160584395813522,45.15461636,F337,_,00080,103
F337__00070.103,8.146581647919724,45.148406855000005,F337,_,00070,103
F337__00060.103,8.147573900627778,45.15140242,F337,_,00060,103
F337__00050.103,8.17174181041121,45.152474624999996,F337,_,00050,103
F337__00040.103,8.153999127095398,45.1569986,F337,_,00040,103
F337__00030.103,8.151012057839747,45.158052165,F337,_,00030,103
F337__00020.103,8.170468890865898,45.165440865,F337,_,00020,103
F337__00010.104,8.149440656512787,45.164822915,F337,_,00010,104
F337__00090.104,8.165392886403563,45.150839295,F337,_,00090,104
F337__00080.104,8.160476964010208,45.15469462,F337,_,00080,104
F337__00070.104,8.146441988510524,45.148236835000006,F337,_,00070,104
F337__00050.104,8.171028753826931,45.15281865,F337,_,00050,104
F337__00030.104,8.148416954967765,45.160697755,F337,_,00030,104
F337__00020.104,8.170921310214386,45.16541407,F337,_,00020,104
F337__00010.105,8.149493576401365,45.164980455,F337,_,00010,105
F337__00090.105,8.165311324244676,45.150671235,F337,_,00090,105
F337__00080.105,8.160232866194988,45.154728985,F337,_,00080,105
F337__00070.105,8.146557194306162,45.14776141,F337,_,00070,105
F337__00060.105,8.147866130280887,45.15143253,F337,_,00060,105
F337__00050.105,8.169890404732971,45.153555909999994,F337,_,00050,105
F337__00040.105,8.154764693313169,45.156915485,F337,_,00040,105
F337__00030.105,8.151170511060085,45.157540865,F337,_,00030,105
F337__00020.105,8.171059011146978,45.16366605,F337,_,00020,105
F337__00010.106,8.149535828735774,45.16514601,F337,_,00010,106
F337__00090.106,8.165263089223501,45.150553125,F337,_,00090,106
F337__00070.106,8.146743591204391,45.147987855,F337,_,00070,106
F337__00060.106,8.14802851823357,45.151155615,F337,_,00060,106
F337__00040.106,8.155334933268092,45.15689929,F337,_,00040,106
F337__00030.106,8.151373326487708,45.157604465,F337,_,00030,106
F337__00020.106,8.170916618826702,45.163683195000004,F337,_,00020,106
F337__00010.107,8.149596830258737,45.165305265,F337,_,00010,107
F337__00090.107,8.16528371770573,45.150395015,F337,_,00090,107
F337__00080.107,8.16065514943352,45.15470358,F337,_,00080,107
F337__00070.107,8.147267963746135,45.148066315,F337,_,00070,107
F337__00060.107,8.14823347287813,45.151135185,F337,_,00060,107
F337__00050.107,8.170147942144965,45.153950910000006,F337,_,00050,107
F337__00040.107,8.156076371629823,45.157032405,F337,_,00040,107
F337__00030.107,8.151394672083011,45.158072135,F337,_,00030,107
F337__00020.107,8.170582652600457,45.163761805,F337,_,00020,107
F337__00010.108,8.149655202608976,45.165463515,F337,_,00010,108
F337__00090.108,8.164362294144407,45.15043398,F337,_,00090,108
F337__00080.108,8.160826954734635,45.154744905,F337,_,00080,108
F337__00070.108,8.147325381202549,45.148219235,F337,_,00070,108
F337__00050.108,8.170388856867827,45.15393344,F337,_,00050,108
F337__00040.108,8.155937066959687,45.156729365000004,F337,_,00040,108
F337__00030.108,8.15149974909539,45.158070775,F337,_,00030,108
F337__00020.108,8.170114559387681,45.163824335,F337,_,00020,108
F337__00010.109,8.151594532116011,45.164923545,F337,_,00010,109
F337__00090.109,8.164404135490418,45.150171715,F337,_,00090,109
F337__00080.109,8.160887180456076,45.154660815,F337,_,00080,109
F337__00070.109,8.148110899968302,45.14859876,F337,_,00070,109
F337__00050.109,8.17073012046297,45.154080135,F337,_,00050,109
F337__00040.109,8.157402087666085,45.156154165000004,F337,_,00040,109
F337__00030.109,8.151630992202303,45.157682435,F337,_,00030,109
F337__00020.109,8.169470163605094,45.163896165,F337,_,00020,109
F337__00010.11,8.153320873128969,45.165759785,F337,_,00010,11
F337__00080.11,8.161529186916148,45.15472277,F337,_,00080,11
F337__00070.11,8.14004507503914,45.152548120000006,F337,_,00070,11
F337__00060.11,8.147155851800019,45.15398916,F337,_,00060,11
F337__00050.11,8.169056079805149,45.15486205,F337,_,00050,11
F337__00040.11,8.158046510316199,45.161437465,F337,_,00040,11
F337__00030.11,8.142414847176946,45.15968899,F337,_,00030,11
F337__00020.11,8.161966827975569,45.165665575,F337,_,00020,11
F337__00010.110,8.151419541398162,45.164615185,F337,_,00010,110
F337__00090.110,8.165358036175387,45.15004585,F337,_,00090,110
F337__00070.110,8.148068449187463,45.149206095,F337,_,00070,110
F337__00050.110,8.171075893641522,45.154524925,F337,_,00050,110
F337__00040.110,8.160071422596486,45.155100855,F337,_,00040,110
F337__00020.110,8.169020971217027,45.163829045,F337,_,00020,110
F337__00010.111,8.151217492164266,45.164275630000006,F337,_,00010,111
F337__00070.111,8.1473905769064,45.14936172,F337,_,00070,111
F337__00060.111,8.146386822263498,45.15082681,F337,_,00060,111
F337__00050.111,8.171606147852302,45.154752205,F337,_,00050,111
F337__00040.111,8.16024958434442,45.15500518,F337,_,00040,111
F337__00020.111,8.168643656652758,45.163829045,F337,_,00020,111
F337__00010.112,8.151065707949762,45.164054155,F337,_,00010,112
F337__00090.112,8.167319783553152,45.15244189,F337,_,00090,112
F337__00070.112,8.149564392217586,45.150298335,F337,_,00070,112
F337__00060.112,8.147092872238222,45.150729205,F337,_,00060,112
F337__00050.112,8.172008151690527,45.154711695,F337,_,00050,112
F337__00040.112,8.162290934930837,45.155312595,F337,_,00040,112
F337__00020.112,8.167983544003572,45.164104769999994,F337,_,00020,112
F337__00010.113,8.146872764133663,45.163839275,F337,_,00010,113
F337__00090.113,8.167465563526697,45.152243150000004,F337,_,00090,113
F337__00070.113,8.148796528063654,45.149916355,F337,_,00070,113
F337__00060.113,8.147246861287535,45.15133466,F337,_,00060,113
F337__00050.113,8.168998745552855,45.15321061,F337,_,00050,113
F337__00040.113,8.161704701484254,45.155612995,F337,_,00040,113
F337__00020.113,8.167656968533707,45.164145524999995,F337,_,00020,113
F337__00010.114,8.1468207651682,45.16361697,F337,_,00010,114
F337__00090.114,8.16690308667458,45.15193833,F337,_,00090,114
F337__00050.114,8.172596034500767,45.154617805,F337,_,00050,114
F337__00030.114,8.151331148461008,45.15734984,F337,_,00030,114
F337__00020.114,8.167086181898592,45.164095145000005,F337,_,00020,114
F337__00010.115,8.146769248282936,45.163395585,F337,_,00010,115
F337__00060.115,8.146958664190828,45.15034416,F337,_,00060,115
F337__00050.115,8.172642212716575,45.15333508,F337,_,00050,115
F337__00040.115,8.162142811716672,45.1559441,F337,_,00040,115
F337__00010.116,8.146714494764149,45.163175069999994,F337,_,00010,116
F337__00070.116,8.149275645286934,45.149466325,F337,_,00070,116
F337__00060.116,8.147335908128657,45.150417505,F337,_,00060,116
F337__00050.116,8.173166326488193,45.154314755,F337,_,00050,116
F337__00040.116,8.160320946715078,45.15718525,F337,_,00040,116
F337__00030.116,8.152187664113248,45.157081364999996,F337,_,00030,116
F337__00010.117,8.146662842385966,45.162952815,F337,_,00010,117
F337__00090.117,8.167352901347428,45.150355355,F337,_,00090,117
F337__00070.117,8.149210095559074,45.14938556,F337,_,00070,117
F337__00060.117,8.147346582132764,45.150719615,F337,_,00060,117
F337__00050.117,8.17426887282889,45.154980405,F337,_,00050,117
F337__00040.117,8.161311983951057,45.15741295,F337,_,00040,117
F337__00030.117,8.151883462500908,45.158400605,F337,_,00030,117
F337__00010.118,8.146606728746468,45.162733454999994,F337,_,00010,118
F337__00090.118,8.167598504080571,45.14998228,F337,_,00090,118
F337__00070.118,8.14919634939254,45.14931172,F337,_,00070,118
F337__00060.118,8.147721705948207,45.15106,F337,_,00060,118
F337__00050.118,8.174972837876279,45.155156315,F337,_,00050,118
F337__00040.118,8.162524175503679,45.157413555000005,F337,_,00040,118
F337__00030.118,8.152374134296771,45.158598565,F337,_,00030,118
F337__00010.119,8.146545052287127,45.162471865,F337,_,00010,119
F337__00090.119,8.16905547907875,45.15018946,F337,_,00090,119
F337__00070.119,8.149291348478027,45.149288600000006,F337,_,00070,119
F337__00060.119,8.147582534839856,45.150699155,F337,_,00060,119
F337__00050.119,8.175481141498796,45.155035325,F337,_,00050,119
F337__00040.119,8.162289925964204,45.15756188,F337,_,00040,119
F337__00030.119,8.15270246474789,45.157235799999995,F337,_,00030,119
F337__00010.12,8.15291655780829,45.166561605,F337,_,00010,12
F337__00090.12,8.157542330005285,45.152514015,F337,_,00090,12
