nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F372__00020.10,9.238719962131958,45.785804655,F372,_,00020,10
F372__00050.1002,9.235908160595923,45.778299285,F372,_,00050,1002
F372__00050.1003,9.236011144191293,45.778258575,F372,_,00050,1003
F372__00050.1005,9.235984424066476,45.778093235,F372,_,00050,1005
F372__00050.1006,9.23604185443427,45.778027615,F372,_,00050,1006
F372__00050.1007,9.234057826646044,45.778277625,F372,_,00050,1007
F372__00050.1008,9.234017711354667,45.778149244999994,F372,_,00050,1008
F372__00050.1009,9.233955445884277,45.77804128,F372,_,00050,1009
F372__00050.1010,9.233925385833654,45.777895795000006,F372,_,00050,1010
F372__00050.1011,9.233841412287632,45.77763099,F372,_,00050,1011
F372__00050.1014,9.2341367527897,45.777611985,F372,_,00050,1014
F372__00050.1015,9.234232650581696,45.777592825,F372,_,00050,1015
F372__00050.1017,9.234055661569533,45.7780276,F372,_,00050,1017
F372__00050.1019,9.234096791109653,45.77792537,F372,_,00050,1019
F372__00060.102,9.227680063957166,45.774644155000004,F372,_,00060,102
F372__00050.1020,9.234168234871778,45.77791411,F372,_,00050,1020
F372__00050.1021,9.2342370552817,45.777903265,F372,_,00050,1021
F372__00050.1023,9.234373058006913,45.777881865,F372,_,00050,1023
F372__00050.1026,9.23459121826662,45.777847570000006,F372,_,00050,1026
F372__00050.1027,9.234655338587874,45.777837455,F372,_,00050,1027
F372__00060.103,9.228287860577483,45.77343451,F372,_,00060,103
F372__00050.1031,9.234659435454358,45.777692349999995,F372,_,00050,1031
F372__00050.1035,9.234566050951447,45.777727335,F372,_,00050,1035
F372__00050.1038,9.234307801556561,45.777736145,F372,_,00050,1038
F372__00050.1039,9.234226198882356,45.777756955,F372,_,00050,1039
F372__00060.104,9.228966387449638,45.772705265,F372,_,00060,104
F372__00050.1040,9.234150487259408,45.777797285,F372,_,00050,1040
F372__00050.1041,9.234067924685334,45.777803660000004,F372,_,00050,1041
F372__00050.1042,9.233987092398944,45.777814755,F372,_,00050,1042
F372__00050.1043,9.234433899569062,45.777592485,F372,_,00050,1043
F372__00050.1044,9.234519658425913,45.77754732,F372,_,00050,1044
F372__00050.1045,9.234605924904608,45.777506235000004,F372,_,00050,1045
F372__00050.1046,9.234239947274558,45.778251635000004,F372,_,00050,1046
F372__00050.1047,9.234217181565583,45.778204945,F372,_,00050,1047
F372__00050.1048,9.234326659418453,45.778237329999996,F372,_,00050,1048
F372__00050.1049,9.234289412602983,45.778192585,F372,_,00050,1049
F372__00070.105,9.230494548308412,45.772669855000004,F372,_,00070,105
F372__00050.1050,9.234368920269429,45.77817917,F372,_,00050,1050
F372__00050.1051,9.234444137756217,45.778217565,F372,_,00050,1051
F372__00050.1052,9.23445622666954,45.778163825,F372,_,00050,1052
F372__00050.1053,9.234528123870472,45.7781772,F372,_,00050,1053
F372__00050.1054,9.234587929406494,45.778193535,F372,_,00050,1054
F372__00050.1055,9.2345898225037,45.77815345,F372,_,00050,1055
F372__00050.1056,9.234673306404092,45.77812614,F372,_,00050,1056
F372__00050.1057,9.234749259643952,45.778113239999996,F372,_,00050,1057
F372__00050.1058,9.234740067847063,45.778167745,F372,_,00050,1058
F372__00050.1059,9.234824687935115,45.778153724999996,F372,_,00050,1059
F372__00070.106,9.230435034396184,45.77254212,F372,_,00070,106
F372__00050.1061,9.234748000156426,45.777910594999994,F372,_,00050,1061
F372__00050.1062,9.234681465616806,45.777925405,F372,_,00050,1062
F372__00050.1063,9.23461729390819,45.777935725,F372,_,00050,1063
F372__00050.1064,9.234552424506669,45.77794598,F372,_,00050,1064
F372__00050.1065,9.234487686113695,45.77795634,F372,_,00050,1065
F372__00050.1066,9.234398012902648,45.77796015,F372,_,00050,1066
F372__00050.1067,9.234332722293432,45.777980799999995,F372,_,00050,1067
F372__00050.1068,9.234263919118906,45.777991655,F372,_,00050,1068
F372__00050.1069,9.234194826743742,45.778002619999995,F372,_,00050,1069
F372__00050.1070,9.234125091960895,45.77801373,F372,_,00050,1070
F372__00050.1071,9.234974792637999,45.778119495,F372,_,00050,1071
F372__00050.1072,9.235077680294054,45.778089429999994,F372,_,00050,1072
F372__00050.1073,9.235216247335071,45.778047805,F372,_,00050,1073
F372__00050.1074,9.23532214953833,45.778016615,F372,_,00050,1074
F372__00050.1075,9.235252158042726,45.77798363,F372,_,00050,1075
F372__00050.1076,9.23515959064391,45.778009589999996,F372,_,00050,1076
F372__00050.1077,9.23506768766043,45.77803227,F372,_,00050,1077
F372__00050.1078,9.235003005413645,45.778056774999996,F372,_,00050,1078
F372__00050.1079,9.234942589208167,45.778075154999996,F372,_,00050,1079
F372__00060.108,9.224924014057333,45.776844125,F372,_,00060,108
F372__00050.1081,9.234966369352728,45.777787325000006,F372,_,00050,1081
F372__00050.1082,9.235031715690827,45.77775031,F372,_,00050,1082
F372__00050.1083,9.235101840115632,45.77773331,F372,_,00050,1083
F372__00050.1084,9.235145262951463,45.77772307,F372,_,00050,1084
F372__00050.1085,9.235190579669823,45.777712455,F372,_,00050,1085
F372__00050.1086,9.235236792291396,45.77769594,F372,_,00050,1086
F372__00050.1087,9.235318142379079,45.777690395,F372,_,00050,1087
F372__00050.1088,9.234784084143914,45.777470035,F372,_,00050,1088
F372__00050.1089,9.235010421677732,45.777682625,F372,_,00050,1089
F372__00050.1091,9.23468520196874,45.777399110000005,F372,_,00050,1091
F372__00050.1092,9.234680215529842,45.7773824,F372,_,00050,1092
F372__00070.1095,9.239532914647496,45.777456135,F372,_,00070,1095
F372__00070.1096,9.2386749397355,45.775048295000005,F372,_,00070,1096
F372__00070.1097,9.231675790011009,45.77222133,F372,_,00070,1097
F372__00040.1098,9.22705970111381,45.78101207,F372,_,00040,1098
F372__00040.1099,9.226688201616689,45.780948025,F372,_,00040,1099
F372__00050.11,9.23604733620854,45.778206264999994,F372,_,00050,11
F372__00060.110,9.226622165416952,45.772121260000006,F372,_,00060,110
F372__00050.1100,9.231990370058382,45.77868404,F372,_,00050,1100
F372__00050.1103,9.23245897256108,45.77867832,F372,_,00050,1103
