nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F380__00010.1,13.765642321533624,42.916288685,F380,_,00010,1
F380__00150.1,13.811267447387472,42.88738558,F380,_,00150,1
F380__00140.1,13.812604361061956,42.8838851,F380,_,00140,1
F380__00130.1,13.792857478839501,42.881629355,F380,_,00130,1
F380__00120.1,13.810041730337165,42.89394842,F380,_,00120,1
F380__00110.1,13.799420106225877,42.89250418,F380,_,00110,1
F380__00100.1,13.796365756907633,42.89652662,F380,_,00100,1
F380__00080.1,13.801694733832463,42.900955280000005,F380,_,00080,1
F380__00070.1,13.77808821204771,42.90320749,F380,_,00070,1
F380__00060.1,13.796971655571408,42.906207120000005,F380,_,00060,1
F380__00050.1,13.778841966150893,42.909931345000004,F380,_,00050,1
F380__00040.1,13.76443017359922,42.90746938,F380,_,00040,1
F380__00030.1,13.793104984919637,42.921901184999996,F380,_,00030,1
F380__00020.1,13.788029569622124,42.924184055,F380,_,00020,1
F380__00020.10,13.787998778041372,42.92273889,F380,_,00020,10
F380__00150.10,13.814234763933893,42.886639935000005,F380,_,00150,10
F380__00140.10,13.812180773765288,42.882816025,F380,_,00140,10
F380__00130.10,13.80160738235414,42.884320880000004,F380,_,00130,10
F380__00120.10,13.809921665204833,42.894643525,F380,_,00120,10
F380__00110.10,13.801582181373535,42.890938925,F380,_,00110,10
F380__00100.10,13.796182676124618,42.894850035000005,F380,_,00100,10
F380__00090.10,13.785298612712271,42.89307644,F380,_,00090,10
F380__00070.10,13.784927741423576,42.900223345,F380,_,00070,10
F380__00060.10,13.801653693079352,42.90665419,F380,_,00060,10
F380__00050.10,13.783714423396312,42.908467105,F380,_,00050,10
F380__00040.10,13.768986157870199,42.908770445,F380,_,00040,10
F380__00030.10,13.799908020088253,42.921413545,F380,_,00030,10
F380__00010.100,13.765928833901746,42.909219785000005,F380,_,00010,100
F380__00140.100,13.815780196929268,42.880156875,F380,_,00140,100
F380__00130.100,13.801009572129935,42.880519605,F380,_,00130,100
F380__00120.100,13.82257955036372,42.89027555,F380,_,00120,100
F380__00110.100,13.807833607758084,42.888554435,F380,_,00110,100
F380__00090.100,13.788698263645106,42.891876315000005,F380,_,00090,100
F380__00070.100,13.792618082241646,42.899241634999996,F380,_,00070,100
F380__00060.100,13.804903959020924,42.900376785,F380,_,00060,100
F380__00050.100,13.79227580748509,42.905469284999995,F380,_,00050,100
F380__00040.100,13.776715469211444,42.901074405,F380,_,00040,100
F380__00030.100,13.795192103864771,42.914265895,F380,_,00030,100
F380__00020.100,13.791338064793663,42.91826499,F380,_,00020,100
F380__00150.1000,13.824759710235332,42.886076085,F380,_,00150,1000
F380__00150.1001,13.824298084150017,42.886985785,F380,_,00150,1001
F380__00150.1002,13.82370425441198,42.88660558,F380,_,00150,1002
F380__00150.1003,13.823671416375252,42.8867439,F380,_,00150,1003
F380__00070.1004,13.786559997252866,42.89481998,F380,_,00070,1004
F380__00150.1004,13.823761406354938,42.885933445,F380,_,00150,1004
F380__00150.1005,13.823275696388913,42.88671368,F380,_,00150,1005
F380__00070.1006,13.79308145522359,42.89746195,F380,_,00070,1006
F380__00150.1006,13.823811079622345,42.88593458,F380,_,00150,1006
F380__00150.1007,13.823361015725318,42.886736920000004,F380,_,00150,1007
F380__00070.1008,13.791283049745784,42.895393240000004,F380,_,00070,1008
F380__00150.1008,13.823594838056522,42.886574805,F380,_,00150,1008
F380__00070.1009,13.791473575282724,42.895455625,F380,_,00070,1009
F380__00150.1009,13.823532525709716,42.886760515000006,F380,_,00150,1009
F380__00010.101,13.766452041153595,42.90926041,F380,_,00010,101
F380__00150.101,13.823921571452146,42.885179935,F380,_,00150,101
F380__00130.101,13.801670307742068,42.87986111,F380,_,00130,101
F380__00120.101,13.811677454392088,42.88775541,F380,_,00120,101
F380__00110.101,13.803962416538658,42.88438768,F380,_,00110,101
F380__00100.101,13.80387700683717,42.893057825,F380,_,00100,101
F380__00090.101,13.790278795381852,42.89225143,F380,_,00090,101
F380__00080.101,13.803048874674703,42.898346360000005,F380,_,00080,101
F380__00070.101,13.792664953784758,42.899615975,F380,_,00070,101
F380__00060.101,13.805894001114112,42.900198735000004,F380,_,00060,101
F380__00050.101,13.791848773844894,42.90485703,F380,_,00050,101
F380__00040.101,13.76713367099179,42.90901299,F380,_,00040,101
F380__00030.101,13.795447617691625,42.91366492,F380,_,00030,101
F380__00020.101,13.788688609988776,42.91785753,F380,_,00020,101
F380__00070.1010,13.789702208849652,42.897228165,F380,_,00070,1010
F380__00150.1010,13.823001493145236,42.88581889,F380,_,00150,1010
F380__00150.1011,13.822572338999148,42.8865173,F380,_,00150,1011
F380__00150.1012,13.823141124799694,42.88605912,F380,_,00150,1012
F380__00110.1013,13.80781580922541,42.884943625,F380,_,00110,1013
F380__00150.1013,13.822817733473116,42.886591385,F380,_,00150,1013
F380__00070.1014,13.793333781644616,42.897323645,F380,_,00070,1014
F380__00150.1014,13.823363076906947,42.88592848,F380,_,00150,1014
F380__00110.1015,13.80863233656842,42.883649725,F380,_,00110,1015
F380__00150.1015,13.822937664309151,42.886624605,F380,_,00150,1015
F380__00150.1016,13.816248886583772,42.8850144,F380,_,00150,1016
F380__00150.1017,13.81695977895274,42.88528485,F380,_,00150,1017
F380__00110.1018,13.808749932657118,42.8836817,F380,_,00110,1018
F380__00150.1018,13.816154016411737,42.88499342,F380,_,00150,1018
F380__00070.1019,13.778949810096625,42.900622985,F380,_,00070,1019
F380__00150.1019,13.816587627633629,42.88525704,F380,_,00150,1019
F380__00010.102,13.765843304930613,42.908652360000005,F380,_,00010,102
F380__00150.102,13.824140665306315,42.88523068,F380,_,00150,102
F380__00140.102,13.815698554332888,42.879747359999996,F380,_,00140,102
F380__00130.102,13.806862576013776,42.878604315,F380,_,00130,102
F380__00110.102,13.803704404633379,42.88479248,F380,_,00110,102
F380__00100.102,13.80561593264444,42.892366030000005,F380,_,00100,102
F380__00090.102,13.791928166041265,42.891642455,F380,_,00090,102
F380__00080.102,13.800205247818134,42.899417965,F380,_,00080,102
F380__00070.102,13.792535563787553,42.898840495,F380,_,00070,102
F380__00050.102,13.792115241504625,42.90477127,F380,_,00050,102
F380__00040.102,13.773240342476715,42.898380535,F380,_,00040,102
F380__00030.102,13.793885582438918,42.91361168,F380,_,00030,102
F380__00020.102,13.79076240612506,42.918011065,F380,_,00020,102
F380__00070.1020,13.779423835865554,42.90103725,F380,_,00070,1020
F380__00150.1020,13.818985778305787,42.887520755,F380,_,00150,1020
F380__00110.1020,13.808111746247025,42.88442925,F380,_,00110,1020
F380__00070.1021,13.7882825508024,42.89528985,F380,_,00070,1021
F380__00150.1021,13.818826537661524,42.88819795,F380,_,00150,1021
F380__00070.1022,13.789472522787653,42.89728106,F380,_,00070,1022
F380__00150.1022,13.819148575232758,42.88792894,F380,_,00150,1022
F380__00070.1023,13.783922758520683,42.899382040000006,F380,_,00070,1023
F380__00070.1024,13.78392148508249,42.899568904999995,F380,_,00070,1024
F380__00150.1024,13.825618219365925,42.887353045,F380,_,00150,1024
F380__00110.1024,13.808225211651342,42.884470095,F380,_,00110,1024
F380__00070.1025,13.791796534619952,42.896370415,F380,_,00070,1025
F380__00150.1025,13.826749224414009,42.88766344,F380,_,00150,1025
F380__00110.1025,13.808479903468893,42.883942160000004,F380,_,00110,1025
F380__00070.1026,13.791773234629684,42.897272545,F380,_,00070,1026
F380__00150.1026,13.827016551215797,42.88713941,F380,_,00150,1026
F380__00110.1026,13.81021887858127,42.88473312,F380,_,00110,1026
F380__00070.1027,13.791696398550059,42.89659182,F380,_,00070,1027
F380__00150.1027,13.826966165417971,42.886932695,F380,_,00150,1027
F380__00110.1027,13.810182720082222,42.884939509999995,F380,_,00110,1027
F380__00110.1028,13.810299024190922,42.88529688,F380,_,00110,1028
F380__00150.1028,13.81757358255685,42.882076985,F380,_,00150,1028
F380__00070.1029,13.794485445916408,42.893740210000004,F380,_,00070,1029
F380__00150.1029,13.817643143774077,42.882102079999996,F380,_,00150,1029
F380__00110.1029,13.809561361824992,42.884817495,F380,_,00110,1029
F380__00010.103,13.766833867432538,42.908987435,F380,_,00010,103
F380__00140.103,13.814917675319208,42.87865095,F380,_,00140,103
F380__00130.103,13.806084429824534,42.87655495,F380,_,00130,103
F380__00120.103,13.822977049778904,42.889922835,F380,_,00120,103
F380__00110.103,13.807218649156596,42.884544399999996,F380,_,00110,103
F380__00100.103,13.796997109931036,42.891566275,F380,_,00100,103
F380__00090.103,13.79050849454946,42.891948,F380,_,00090,103
F380__00080.103,13.79715553680632,42.89733864,F380,_,00080,103
F380__00070.103,13.79276242818737,42.898632465,F380,_,00070,103
F380__00060.103,13.805006143681755,42.904038145,F380,_,00060,103
F380__00050.103,13.79218659778477,42.904922065,F380,_,00050,103
F380__00040.103,13.774207530372365,42.898285095000006,F380,_,00040,103
F380__00030.103,13.79591045669498,42.913162185000004,F380,_,00030,103
F380__00020.103,13.791961261756178,42.91782538,F380,_,00020,103
F380__00110.1030,13.809879977863364,42.884740695000005,F380,_,00110,1030
F380__00150.1030,13.817114509152105,42.881935139999996,F380,_,00150,1030
F380__00070.1031,13.7945657775,42.89624114,F380,_,00070,1031
F380__00150.1031,13.81755207488213,42.884771674999996,F380,_,00150,1031
F380__00110.1031,13.80992148696415,42.884380955,F380,_,00110,1031
F380__00070.1032,13.795258247700563,42.89521,F380,_,00070,1032
F380__00150.1032,13.817993620632912,42.88481323,F380,_,00150,1032
F380__00070.1033,13.796325587786173,42.896403770000006,F380,_,00070,1033
F380__00110.1033,13.806425958630765,42.8874804,F380,_,00110,1033
F380__00070.1034,13.795941760170702,42.895522915,F380,_,00070,1034
F380__00150.1034,13.817925803883856,42.884611455,F380,_,00150,1034
F380__00110.1034,13.806445165863002,42.88736475,F380,_,00110,1034
F380__00070.1035,13.796651517178294,42.89602988,F380,_,00070,1035
F380__00150.1035,13.817727909258405,42.8845383,F380,_,00150,1035
F380__00110.1035,13.80666835917513,42.88747946,F380,_,00110,1035
F380__00150.1036,13.81748964114525,42.884445819999996,F380,_,00150,1036
F380__00070.1037,13.79506252850733,42.89498776,F380,_,00070,1037
F380__00150.1037,13.817275324369454,42.884369885,F380,_,00150,1037
F380__00110.1037,13.806465586429244,42.886245775000006,F380,_,00110,1037
F380__00110.1038,13.806548055933005,42.886143669999996,F380,_,00110,1038
F380__00150.1038,13.816905624554305,42.88470848,F380,_,00150,1038
F380__00110.1039,13.807262205627254,42.889592095,F380,_,00110,1039
F380__00150.1039,13.816282386434718,42.884453675,F380,_,00150,1039
F380__00010.104,13.7674835120516,42.91058286,F380,_,00010,104
F380__00150.104,13.814533557078445,42.88246877,F380,_,00150,104
F380__00140.104,13.816229675395178,42.879135865,F380,_,00140,104
F380__00120.104,13.814293501439261,42.894653625000004,F380,_,00120,104
F380__00110.104,13.807569456140598,42.884952299999995,F380,_,00110,104
F380__00090.104,13.790207714620294,42.891857445,F380,_,00090,104
F380__00080.104,13.800727260218494,42.899341045,F380,_,00080,104
F380__00070.104,13.793085699403392,42.898934695,F380,_,00070,104
F380__00050.104,13.792215495286918,42.904841950000005,F380,_,00050,104
F380__00040.104,13.77481442306297,42.89818753,F380,_,00040,104
F380__00030.104,13.79410451266358,42.912895725,F380,_,00030,104
F380__00020.104,13.792403580691873,42.917793904999996,F380,_,00020,104
F380__00110.1040,13.803273169378404,42.888349055,F380,_,00110,1040
F380__00150.1040,13.817005340000783,42.88454599,F380,_,00150,1040
F380__00070.1041,13.791295143112567,42.895608620000004,F380,_,00070,1041
F380__00110.1041,13.807320018886124,42.885552215000004,F380,_,00110,1041
F380__00070.1042,13.791037555123355,42.89570775,F380,_,00070,1042
F380__00150.1042,13.817120899769593,42.884310424999995,F380,_,00150,1042
F380__00070.1043,13.791204874913413,42.89592773,F380,_,00070,1043
F380__00150.1043,13.816875532236475,42.88421706,F380,_,00150,1043
F380__00110.1043,13.809854131111404,42.883831695,F380,_,00110,1043
F380__00070.1044,13.791425956689142,42.89587102,F380,_,00070,1044
F380__00150.1044,13.818302806954403,42.88579063,F380,_,00150,1044
F380__00110.1044,13.810578646277946,42.88533285,F380,_,00110,1044
F380__00070.1045,13.791476145803799,42.89608973,F380,_,00070,1045
F380__00150.1045,13.818564550609958,42.885801380000004,F380,_,00150,1045
F380__00110.1045,13.805782489266992,42.888431755,F380,_,00110,1045
F380__00070.1046,13.791430190323434,42.896294215,F380,_,00070,1046
F380__00150.1046,13.819596285781833,42.882874545,F380,_,00150,1046
F380__00110.1046,13.803930349209727,42.884815745,F380,_,00110,1046
F380__00070.1047,13.791581763511342,42.896313320000004,F380,_,00070,1047
F380__00150.1047,13.818281229852287,42.882094035,F380,_,00150,1047
F380__00110.1047,13.804076061230237,42.884865535,F380,_,00110,1047
F380__00070.1048,13.791198607302594,42.896379695,F380,_,00070,1048
F380__00150.1048,13.818716151826013,42.882365695000004,F380,_,00150,1048
F380__00110.1048,13.804528192800571,42.885008455000005,F380,_,00110,1048
F380__00110.1049,13.804728237047865,42.884431005,F380,_,00110,1049
F380__00150.1049,13.819754107182554,42.882661279999994,F380,_,00150,1049
F380__00010.105,13.767746769249433,42.911119185000004,F380,_,00010,105
F380__00120.105,13.814171695694323,42.894131325000004,F380,_,00120,105
F380__00110.105,13.808463585960812,42.88362575,F380,_,00110,105
F380__00100.105,13.798748237610965,42.887763324999995,F380,_,00100,105
F380__00090.105,13.789439207519925,42.891950065,F380,_,00090,105
F380__00080.105,13.801969606169443,42.89890283,F380,_,00080,105
F380__00060.105,13.797283782961207,42.905992190000006,F380,_,00060,105
F380__00050.105,13.792397190986645,42.90516735,F380,_,00050,105
F380__00040.105,13.767679117162494,42.908096490000005,F380,_,00040,105
F380__00030.105,13.793921151572864,42.91245797,F380,_,00030,105
F380__00020.105,13.790505375550097,42.917888175,F380,_,00020,105
F380__00070.1050,13.791559233443595,42.896339585,F380,_,00070,1050
F380__00150.1050,13.820464964798216,42.882963085,F380,_,00150,1050
F380__00110.1050,13.802783012334029,42.885526354999996,F380,_,00110,1050
F380__00070.1051,13.791074832940687,42.896198455000004,F380,_,00070,1051
F380__00150.1051,13.825589034352586,42.88230854,F380,_,00150,1051
F380__00110.1051,13.803022749500663,42.88525696,F380,_,00110,1051
F380__00070.1052,13.795628026315125,42.89678548,F380,_,00070,1052
F380__00150.1052,13.826041521635112,42.882369125,F380,_,00150,1052
F380__00110.1052,13.803067932400975,42.885700205000006,F380,_,00110,1052
F380__00070.1053,13.7955212303205,42.896713885,F380,_,00070,1053
F380__00150.1053,13.82702620330075,42.881707555000006,F380,_,00150,1053
F380__00110.1053,13.803166018072341,42.88562562,F380,_,00110,1053
F380__00070.1054,13.795379947620216,42.89614883,F380,_,00070,1054
F380__00150.1054,13.827547289392893,42.881887325,F380,_,00150,1054
F380__00110.1055,13.81003994858997,42.88352686,F380,_,00110,1055
F380__00150.1055,13.82658626556606,42.881246059999995,F380,_,00150,1055
F380__00070.1056,13.794891700212649,42.89606569,F380,_,00070,1056
F380__00150.1056,13.827660101042888,42.881550275,F380,_,00150,1056
F380__00110.1056,13.809692788011224,42.8834851,F380,_,00110,1056
F380__00050.1057,13.78269335689076,42.90923435,F380,_,00050,1057
F380__00150.1057,13.821072085539608,42.883416575,F380,_,00150,1057
F380__00110.1057,13.807362840886015,42.88594294,F380,_,00110,1057
F380__00070.1057,13.794975706074124,42.895888785,F380,_,00070,1057
F380__00050.1058,13.78217013912389,42.909124489999996,F380,_,00050,1058
F380__00150.1058,13.82147203270327,42.88283424,F380,_,00150,1058
F380__00110.1058,13.809574006497563,42.884184739999995,F380,_,00110,1058
F380__00070.1058,13.794988281950479,42.89571529,F380,_,00070,1058
F380__00070.1059,13.79468652750714,42.895519715,F380,_,00070,1059
F380__00150.1059,13.821973106817822,42.882416649999996,F380,_,00150,1059
F380__00110.1059,13.810029370695382,42.884178015,F380,_,00110,1059
F380__00020.106,13.79043146339092,42.917632895,F380,_,00020,106
F380__00150.106,13.814718386732643,42.88219265,F380,_,00150,106
F380__00130.106,13.803269800223893,42.88237855,F380,_,00130,106
F380__00120.106,13.815039614251535,42.895395955,F380,_,00120,106
F380__00100.106,13.797894900515274,42.887986095,F380,_,00100,106
F380__00090.106,13.790275235979346,42.891615985,F380,_,00090,106
F380__00080.106,13.799278047217207,42.89847598,F380,_,00080,106
F380__00060.106,13.800422022054592,42.907018640000004,F380,_,00060,106
F380__00050.106,13.792417206710152,42.90497045,F380,_,00050,106
F380__00040.106,13.76844017905095,42.908210325,F380,_,00040,106
F380__00030.106,13.7944299505856,42.91224377499999,F380,_,00030,106
F380__00070.1060,13.796244558584284,42.896417595,F380,_,00070,1060
F380__00150.1060,13.820895168498662,42.88320883,F380,_,00150,1060
F380__00110.1060,13.800468324022454,42.88980205,F380,_,00110,1060
F380__00070.1061,13.795089159725652,42.895562025000004,F380,_,00070,1061
F380__00150.1061,13.819684324371861,42.884357435,F380,_,00150,1061
F380__00110.1061,13.800666984793583,42.889745745,F380,_,00110,1061
F380__00070.1062,13.7947069023873,42.895385435,F380,_,00070,1062
F380__00150.1062,13.819640473305435,42.88421395,F380,_,00150,1062
F380__00070.1063,13.795980191119959,42.89619477,F380,_,00070,1063
F380__00150.1063,13.820240095555716,42.8838327,F380,_,00150,1063
F380__00070.1064,13.796451119846555,42.895855935,F380,_,00070,1064
F380__00150.1064,13.819946259564574,42.88414623,F380,_,00150,1064
F380__00070.1065,13.796386501702953,42.896116469999996,F380,_,00070,1065
F380__00110.1066,13.8015044584906,42.89032476,F380,_,00110,1066
F380__00150.1066,13.814473101591197,42.883489765,F380,_,00150,1066
F380__00070.1067,13.796175462032828,42.896230814999996,F380,_,00070,1067
F380__00150.1067,13.815745181604754,42.884117965,F380,_,00150,1067
F380__00110.1067,13.802055035518393,42.889915564999995,F380,_,00110,1067
F380__00050.1068,13.790277591539155,42.906587895,F380,_,00050,1068
F380__00150.1068,13.81487016080462,42.883656869999996,F380,_,00150,1068
F380__00110.1068,13.802424229647489,42.89012073,F380,_,00110,1068
F380__00070.1069,13.795806731776157,42.896577245,F380,_,00070,1069
F380__00110.1069,13.802321282663241,42.890057435,F380,_,00110,1069
F380__00010.107,13.769265567898909,42.90979953,F380,_,00010,107
F380__00130.107,13.803263063049442,42.88226654,F380,_,00130,107
F380__00120.107,13.815313866949698,42.895784145,F380,_,00120,107
F380__00100.107,13.796518115144005,42.895530335000004,F380,_,00100,107
F380__00090.107,13.790787085142624,42.891393315,F380,_,00090,107
F380__00060.107,13.806323551520354,42.907043025,F380,_,00060,107
F380__00050.107,13.792379245015907,42.90487221,F380,_,00050,107
F380__00040.107,13.769038153023025,42.908189155,F380,_,00040,107
F380__00030.107,13.79486173455665,42.912374369999995,F380,_,00030,107
F380__00020.107,13.780087913359814,42.918829605,F380,_,00020,107
F380__00110.1070,13.80242870240868,42.89008867,F380,_,00110,1070
F380__00050.1071,13.792260444978151,42.90779911,F380,_,00050,1071
F380__00110.1071,13.802145961699503,42.88992031,F380,_,00110,1071
F380__00050.1072,13.792095974070898,42.907955705,F380,_,00050,1072
F380__00110.1072,13.802382462505253,42.889663355,F380,_,00110,1072
F380__00050.1073,13.792113412405586,42.908167075,F380,_,00050,1073
F380__00110.1073,13.801561381307256,42.889472510000004,F380,_,00110,1073
F380__00070.1073,13.79538806587826,42.89576957,F380,_,00070,1073
F380__00050.1074,13.79226722927088,42.90802843,F380,_,00050,1074
F380__00110.1074,13.80140610694965,42.88892607,F380,_,00110,1074
F380__00070.1074,13.795437931295309,42.895558895,F380,_,00070,1074
F380__00050.1075,13.792298154210574,42.90848628,F380,_,00050,1075
F380__00110.1075,13.801965144141935,42.889831055,F380,_,00110,1075
F380__00070.1075,13.796262645244372,42.89585913,F380,_,00070,1075
F380__00050.1076,13.792643789894802,42.907829,F380,_,00050,1076
F380__00110.1076,13.801805312884696,42.8897557,F380,_,00110,1076
F380__00070.1076,13.795037855545761,42.89658843,F380,_,00070,1076
F380__00050.1077,13.792964503459139,42.908793095,F380,_,00050,1077
F380__00110.1077,13.801404377947936,42.88951123,F380,_,00110,1077
F380__00070.1077,13.794648744223704,42.896123725,F380,_,00070,1077
F380__00050.1078,13.793140071304286,42.90830251,F380,_,00050,1078
F380__00110.1078,13.80169450512151,42.889662425,F380,_,00110,1078
F380__00070.1078,13.792790485306455,42.894624795,F380,_,00070,1078
F380__00050.1079,13.787197939427333,42.908629935,F380,_,00050,1079
F380__00110.1079,13.801494272845996,42.889485875000005,F380,_,00110,1079
F380__00070.1079,13.79112441471996,42.89537862,F380,_,00070,1079
F380__00010.108,13.769573343411203,42.909876325,F380,_,00010,108
F380__00140.108,13.814383890802947,42.87952207,F380,_,00140,108
F380__00120.108,13.815889491705395,42.895581539999995,F380,_,00120,108
F380__00100.108,13.79609816499713,42.895352555,F380,_,00100,108
F380__00090.108,13.792440911516598,42.891433135,F380,_,00090,108
F380__00080.108,13.799544631244823,42.898382685,F380,_,00080,108
F380__00070.108,13.793403459040837,42.89933263,F380,_,00070,108
F380__00060.108,13.806651306973798,42.90671378,F380,_,00060,108
F380__00050.108,13.792647355715602,42.905009155,F380,_,00050,108
F380__00040.108,13.769370970077754,42.9081499,F380,_,00040,108
F380__00030.108,13.796342561861831,42.91274574,F380,_,00030,108
F380__00020.108,13.780157341197075,42.918214075,F380,_,00020,108
F380__00050.1080,13.786613779847354,42.908858775,F380,_,00050,1080
F380__00110.1080,13.801443789186349,42.889499745,F380,_,00110,1080
F380__00070.1080,13.780579546717604,42.898266789999994,F380,_,00070,1080
F380__00050.1081,13.790090346638028,42.909100484999996,F380,_,00050,1081
F380__00110.1081,13.810185064402493,42.8865064,F380,_,00110,1081
F380__00070.1081,13.77993869398698,42.898703155,F380,_,00070,1081
F380__00050.1082,13.790382658189877,42.908897124999996,F380,_,00050,1082
F380__00110.1082,13.810079592029577,42.88646744,F380,_,00110,1082
F380__00070.1082,13.77993322147538,42.899158115,F380,_,00070,1082
F380__00050.1083,13.78991222592612,42.909007815,F380,_,00050,1083
F380__00070.1083,13.779918044787436,42.899257985,F380,_,00070,1083
F380__00050.1084,13.790083688665874,42.9088468,F380,_,00050,1084
F380__00050.1085,13.789605740473135,42.90886484,F380,_,00050,1085
F380__00110.1085,13.8030301394089,42.89129853,F380,_,00110,1085
F380__00070.1085,13.794660604538185,42.89598007,F380,_,00070,1085
F380__00050.1086,13.789491678909105,42.908710245,F380,_,00050,1086
F380__0007.1086,13.795742361736032,42.897278275,F380,_,0007,1086
F380__00050.1087,13.790164291866947,42.909126945,F380,_,00050,1087
F380__00050.1088,13.790456557944218,42.908896755,F380,_,00050,1088
F380__00110.1088,13.80290442858461,42.89059996,F380,_,00110,1088
F380__00070.1088,13.795842640049262,42.89730385,F380,_,00070,1088
F380__00050.1089,13.787288037375784,42.904777929999995,F380,_,00050,1089
F380__00110.1089,13.802145956555485,42.891208245,F380,_,00110,1089
F380__00070.1089,13.78952281947177,42.89597556,F380,_,00070,1089
F380__00020.109,13.779907842934586,42.917651035,F380,_,00020,109
F380__00140.109,13.814989488353206,42.87964168,F380,_,00140,109
F380__00120.109,13.81590839462331,42.89503723,F380,_,00120,109
F380__00100.109,13.795818935662748,42.895088545,F380,_,00100,109
F380__00080.109,13.800622689098025,42.898404805,F380,_,00080,109
F380__00060.109,13.797435580530717,42.905352925,F380,_,00060,109
F380__00050.109,13.792576821389035,42.904844245,F380,_,00050,109
F380__00040.109,13.771215632395826,42.908176534999996,F380,_,00040,109
F380__00030.109,13.797173888003876,42.912281195,F380,_,00030,109
F380__00050.1090,13.787069159429624,42.904562185,F380,_,00050,1090
F380__00110.1090,13.802051546592523,42.89038182,F380,_,00110,1090
F380__00070.1090,13.7825441721201,42.898169405000004,F380,_,00070,1090
F380__00070.1091,13.783560100088257,42.898158824999996,F380,_,00070,1091
F380__00070.1092,13.784146540836502,42.89798137,F380,_,00070,1092
F380__00110.1092,13.807160287562903,42.889500670000004,F380,_,00110,1092
F380__00070.1093,13.784433265430739,42.8978281,F380,_,00070,1093
F380__00110.1093,13.806189763664456,42.885552790000006,F380,_,00110,1093
F380__00070.1094,13.784645707215173,42.897713415,F380,_,00070,1094
F380__00110.1094,13.81169658171697,42.886055604999996,F380,_,00110,1094
F380__00070.1095,13.784695065109823,42.897690839999996,F380,_,00070,1095
F380__00110.1095,13.811724820028958,42.886013925,F380,_,00110,1095
F380__00070.1096,13.78324972766128,42.897970365,F380,_,00070,1096
F380__00110.1096,13.811217432627487,42.886044139999996,F380,_,00110,1096
F380__00070.1097,13.783297925742989,42.897962425,F380,_,00070,1097
F380__00110.1097,13.811487490499026,42.88598509,F380,_,00110,1097
F380__00070.1098,13.783295091892063,42.898059775,F380,_,00070,1098
F380__00110.1098,13.811478762960995,42.885928705,F380,_,00110,1098
F380__00070.1099,13.78494453579464,42.897608885,F380,_,00070,1099
F380__00110.1099,13.811151827710361,42.885871055,F380,_,00110,1099
F380__00020.11,13.788502528329163,42.92281132,F380,_,00020,11
F380__00150.11,13.81525232780246,42.88571966,F380,_,00150,11
F380__00120.11,13.810002462910791,42.89449293,F380,_,00120,11
F380__00100.11,13.79737781257226,42.89400774,F380,_,00100,11
F380__00080.11,13.802704745235534,42.900746675,F380,_,00080,11
F380__00070.11,13.785392209287169,42.901029205,F380,_,00070,11
F380__00060.11,13.803665239929373,42.90693225,F380,_,00060,11
F380__00050.11,13.78587927685593,42.90838999,F380,_,00050,11
F380__00040.11,13.769463520385843,42.90888107,F380,_,00040,11
F380__00030.11,13.80032499092238,42.921556054999996,F380,_,00030,11
F380__00010.110,13.770974664604658,42.910195085,F380,_,00010,110
F380__00130.110,13.802735206988874,42.882473715,F380,_,00130,110
F380__00120.110,13.816495955902592,42.89527131,F380,_,00120,110
F380__00100.110,13.79643875643743,42.89486637,F380,_,00100,110
F380__00090.110,13.789193522157698,42.8918416,F380,_,00090,110
F380__00070.110,13.793398470080461,42.898892020000005,F380,_,00070,110
F380__00060.110,13.799698800851003,42.904653745000005,F380,_,00060,110
F380__00050.110,13.7924043185276,42.9047856,F380,_,00050,110
F380__00040.110,13.769570222542637,42.90713594,F380,_,00040,110
