nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F397__00010.1,15.19936701052163,41.258758085,F397,_,00010,1
F397__00170.1,15.260925411257105,41.24781813,F397,_,00170,1
F397__00150.1,15.24793289348699,41.24731337,F397,_,00150,1
F397__00130.1,15.266401797729085,41.25093864,F397,_,00130,1
F397__00110.1,15.24699068979945,41.249691605,F397,_,00110,1
F397__00100.1,15.235215266215807,41.252849275,F397,_,00100,1
F397__00090.1,15.22552050699483,41.256291544999996,F397,_,00090,1
F397__00080.1,15.20688413717501,41.250062369999995,F397,_,00080,1
F397__00060.1,15.246437252358215,41.271159929999996,F397,_,00060,1
F397__00050.1,15.234745259305726,41.27138832,F397,_,00050,1
F397__00040.1,15.22619341889497,41.26023725,F397,_,00040,1
F397__00030.1,15.218370583098796,41.2646254,F397,_,00030,1
F397__00020.1,15.218857824031048,41.262956105,F397,_,00020,1
F397__00010.10,15.2012252553004,41.25610953,F397,_,00010,10
F397__00170.10,15.259371430235877,41.245566569999994,F397,_,00170,10
F397__00160.10,15.249933165875639,41.245425505,F397,_,00160,10
F397__00150.10,15.249196765094904,41.245485915,F397,_,00150,10
F397__00140.10,15.23092784018473,41.245229765000005,F397,_,00140,10
F397__00130.10,15.265023349097554,41.248836895,F397,_,00130,10
F397__00120.10,15.245964782098312,41.25416711,F397,_,00120,10
F397__00110.10,15.24732678954227,41.249073725,F397,_,00110,10
F397__00100.10,15.23773046455927,41.252977485,F397,_,00100,10
F397__00090.10,15.221225807774989,41.253103795,F397,_,00090,10
F397__00080.10,15.211888305655824,41.25038121,F397,_,00080,10
F397__00070.10,15.253504950244515,41.260947775000005,F397,_,00070,10
F397__00060.10,15.243890480221044,41.267792154999995,F397,_,00060,10
F397__00050.10,15.23668098381373,41.267660895,F397,_,00050,10
F397__00040.10,15.22426022874157,41.258182665,F397,_,00040,10
F397__00030.10,15.220623071622386,41.263291175,F397,_,00030,10
F397__00020.10,15.21685101536186,41.263924375,F397,_,00020,10
F397__00010.100,15.211487347088656,41.253778055,F397,_,00010,100
F397__00170.100,15.266612065325656,41.23962141,F397,_,00170,100
F397__00160.100,15.254290374286995,41.242054554999996,F397,_,00160,100
F397__00150.100,15.240082097578934,41.241195680000004,F397,_,00150,100
F397__00140.100,15.22434868523468,41.23628544,F397,_,00140,100
F397__00130.100,15.274618635101646,41.242951745,F397,_,00130,100
F397__00120.100,15.245519152364425,41.25266016,F397,_,00120,100
F397__00100.100,15.231440708004122,41.245682795,F397,_,00100,100
F397__00080.100,15.218842608295835,41.24061148,F397,_,00080,100
F397__00070.100,15.261459918512962,41.259206975,F397,_,00070,100
F397__00060.100,15.254461951816504,41.26375373,F397,_,00060,100
F397__00050.100,15.242608940774087,41.26478998,F397,_,00050,100
F397__00040.100,15.23221744610191,41.260055,F397,_,00040,100
F397__00030.100,15.236416045677625,41.26446211,F397,_,00030,100
F397__00020.100,15.223988531909253,41.257037815000004,F397,_,00020,100
F397__00010.101,15.210676636705022,41.253546715,F397,_,00010,101
F397__00170.101,15.267848839569615,41.2403912,F397,_,00170,101
F397__00160.101,15.253026157562164,41.240169315,F397,_,00160,101
F397__00150.101,15.242053671714032,41.239291345,F397,_,00150,101
F397__00140.101,15.221569347993029,41.236911305,F397,_,00140,101
F397__00130.101,15.275021789090221,41.24297997,F397,_,00130,101
F397__00120.101,15.251894906259626,41.25011993,F397,_,00120,101
F397__00110.101,15.252450698136697,41.248127745000005,F397,_,00110,101
