nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F564__0918.10,9.372435794387588,46.178782205000005,F564,_,0918,10
F564__0918.100,9.372303651140612,46.179114174999995,F564,_,0918,100
F564__0918.1000,9.377933888715845,46.176075435,F564,_,0918,1000
F564__0918.1001,9.377752874182615,46.17593479999999,F564,_,0918,1001
F564__0918.1002,9.37764154742786,46.17608964,F564,_,0918,1002
F564__0918.1003,9.377500876747682,46.176050635,F564,_,0918,1003
F564__0918.1004,9.377255615080287,46.17593548,F564,_,0918,1004
F564__0918.1006,9.377113625905821,46.175991605,F564,_,0918,1006
F564__0918.1007,9.377144815040563,46.176084515,F564,_,0918,1007
F564__0918.1008,9.377249046867057,46.176138845,F564,_,0918,1008
F564__0918.1009,9.377437260877311,46.17613788,F564,_,0918,1009
F564__0918.1010,9.377554980607243,46.176225294999995,F564,_,0918,1010
F564__0918.1011,9.377642519412145,46.176441085,F564,_,0918,1011
F564__0918.1012,9.377091275475443,46.17654745,F564,_,0918,1012
F564__0918.1013,9.377279990104817,46.17659417,F564,_,0918,1013
F564__0918.1014,9.377433309142775,46.17663787,F564,_,0918,1014
F564__0918.1015,9.37751196048908,46.17651843,F564,_,0918,1015
F564__0918.1016,9.377616069840617,46.17670535,F564,_,0918,1016
F564__0918.1017,9.377777812356609,46.17663084,F564,_,0918,1017
F564__0918.1018,9.37782719957538,46.17678852,F564,_,0918,1018
F564__0918.1019,9.378001831061248,46.17678852,F564,_,0918,1019
F564__0918.1020,9.378078515053737,46.17684142,F564,_,0918,1020
F564__0918.1021,9.378294846583707,46.176769315,F564,_,0918,1021
F564__0918.1022,9.378497517453596,46.17637662,F564,_,0918,1022
F564__0918.1023,9.37862702047844,46.17637999,F564,_,0918,1023
F564__0919.1023,9.378705149369393,46.176475464999996,F564,_,0919,1023
F564__0919.1024,9.378818253432668,46.17640431,F564,_,0919,1024
F564__0919.1025,9.378858422460883,46.176356435,F564,_,0919,1025
F564__0919.1027,9.379079507851868,46.1763264,F564,_,0919,1027
F564__09140.1029,9.379817717206919,46.176409570000004,F564,_,09140,1029
F564__0918.103,9.37245095907318,46.17910722,F564,_,0918,103
F564__09140.1030,9.379870155304165,46.176506585,F564,_,09140,1030
F564__09140.1031,9.380162211598195,46.1766309,F564,_,09140,1031
F564__09140.1033,9.380695039679576,46.176839435,F564,_,09140,1033
F564__09140.1034,9.380290904004283,46.17676156,F564,_,09140,1034
F564__09140.1035,9.380127267711394,46.176873785,F564,_,09140,1035
F564__09140.1036,9.379964636312504,46.17681045,F564,_,09140,1036
F564__09140.1037,9.379822377180894,46.1767639,F564,_,09140,1037
F564__0918.104,9.372380288092717,46.179121370000004,F564,_,0918,104
F564__0919.1042,9.379359704496386,46.17654627,F564,_,0919,1042
F564__0919.1045,9.378884830330136,46.17646413,F564,_,0919,1045
F564__0918.1046,9.37862566102686,46.176581600000006,F564,_,0918,1046
F564__0919.1046,9.378775050495609,46.176632935,F564,_,0919,1046
F564__0918.1047,9.378594325104087,46.176756145,F564,_,0918,1047
F564__0919.1047,9.378744546595641,46.1767794,F564,_,0919,1047
F564__0919.1048,9.37898835994799,46.176760825,F564,_,0919,1048
F564__0918.1049,9.37658651134447,46.17623653,F564,_,0918,1049
F564__0918.105,9.372413413350603,46.179059050000006,F564,_,0918,105
F564__09140.1052,9.38036313449661,46.177034855,F564,_,09140,1052
F564__09140.1053,9.380715616980662,46.176991,F564,_,09140,1053
F564__09140.1054,9.38047579337022,46.17725246,F564,_,09140,1054
F564__09140.1055,9.380049714993945,46.177219785,F564,_,09140,1055
F564__0921.1057,9.374413594250472,46.175129475,F564,_,0921,1057
F564__0921.1059,9.375130586910748,46.175668765,F564,_,0921,1059
F564__0918.106,9.372698053128067,46.17904713,F564,_,0918,106
F564__0919.1060,9.37899765687187,46.177029575000006,F564,_,0919,1060
F564__0918.1061,9.378723129566653,46.17692101,F564,_,0918,1061
F564__0919.1061,9.378821307982665,46.176969225,F564,_,0919,1061
F564__0918.1062,9.378588534411922,46.17689256,F564,_,0918,1062
F564__0918.1063,9.37868971762353,46.17711207,F564,_,0918,1063
F564__0919.1063,9.378792746592346,46.177141465,F564,_,0919,1063
F564__0918.1064,9.378381800007077,46.177029075,F564,_,0918,1064
F564__0918.1065,9.378372038822356,46.176873404999995,F564,_,0918,1065
F564__0918.1066,9.378209487857836,46.176893125,F564,_,0918,1066
F564__0918.1067,9.378081249308947,46.176910684999996,F564,_,0918,1067
F564__0918.1068,9.377907454477603,46.177278294999994,F564,_,0918,1068
F564__0918.1069,9.37774188163771,46.17721283,F564,_,0918,1069
F564__0918.1070,9.377625438538068,46.177074094999995,F564,_,0918,1070
F564__0918.1071,9.377632135182303,46.177277024999995,F564,_,0918,1071
F564__0918.1072,9.377466033665105,46.177183924999994,F564,_,0918,1072
F564__0918.1073,9.377391691240812,46.176954824999996,F564,_,0918,1073
F564__0918.1074,9.377527558256906,46.176811490000006,F564,_,0918,1074
F564__0918.1075,9.377404528980623,46.176811490000006,F564,_,0918,1075
F564__0918.1076,9.377223654858618,46.176797005,F564,_,0918,1076
F564__0918.1077,9.377185515527223,46.17694332,F564,_,0918,1077
F564__0918.1078,9.377070999530218,46.176777815,F564,_,0918,1078
F564__0918.1079,9.376924701502935,46.176745264999994,F564,_,0918,1079
F564__0918.108,9.372506838621764,46.178958655,F564,_,0918,108
F564__0918.1080,9.37682018964561,46.17684201,F564,_,0918,1080
F564__0918.1081,9.376818290001601,46.176959929999995,F564,_,0918,1081
F564__0918.1082,9.376819672617035,46.17721523,F564,_,0918,1082
F564__0918.1083,9.37705881962506,46.17714363,F564,_,0918,1083
F564__0918.1084,9.3771618033361,46.17722555,F564,_,0918,1084
F564__0918.1085,9.376937530229496,46.177430404999996,F564,_,0918,1085
F564__0918.1086,9.376801773240299,46.17729303,F564,_,0918,1086
F564__0918.1087,9.376766258766217,46.17745662,F564,_,0918,1087
F564__0921.1088,9.37504503930421,46.17465926,F564,_,0921,1088
F564__0918.1089,9.374766435998563,46.176587870000006,F564,_,0918,1089
F564__0918.109,9.372416636923914,46.17894454,F564,_,0918,109
F564__0918.1090,9.377115916627652,46.177356509999996,F564,_,0918,1090
F564__0918.1091,9.377249506660839,46.177345545,F564,_,0918,1091
F564__0918.1092,9.377460511522989,46.177373165,F564,_,0918,1092
F564__0918.1093,9.377504875218126,46.177410115,F564,_,0918,1093
F564__0918.1094,9.377636550718659,46.17739462,F564,_,0918,1094
F564__0918.1095,9.377795387846103,46.177430275000006,F564,_,0918,1095
F564__0918.1096,9.377917189928915,46.17745694,F564,_,0918,1096
F564__0918.1097,9.378119697037768,46.177322939999996,F564,_,0918,1097
F564__0918.1098,9.378204258913883,46.177234555,F564,_,0918,1098
F564__0918.1099,9.378317277622314,46.177137295,F564,_,0918,1099
F564__0918.110,9.37234998643782,46.178943000000004,F564,_,0918,110
F564__0918.1100,9.378505349330243,46.17713205,F564,_,0918,1100
F564__0921.1101,9.375203916953634,46.174868635,F564,_,0921,1101
F564__0918.1102,9.378452942962696,46.177223645,F564,_,0918,1102
F564__0918.1103,9.378484241121612,46.17735442,F564,_,0918,1103
F564__0918.1104,9.378580704459573,46.177393824999996,F564,_,0918,1104
F564__0918.1105,9.378718590775325,46.177440585,F564,_,0918,1105
F564__0919.1105,9.378912041677024,46.177498955000004,F564,_,0919,1105
