nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
F727__00010.1,8.745148167773976,39.79081479,F727,_,00010,1
F727__00230.1,8.801119238443889,39.74991471,F727,_,00230,1
F727__00220.1,8.788136485734675,39.748195995,F727,_,00220,1
F727__00210.1,8.775526004049592,39.742534125,F727,_,00210,1
F727__00200.1,8.768809811724147,39.73946492,F727,_,00200,1
F727__0019.1,8.770030246371277,39.74939137,F727,_,0019,1
F727__00180.1,8.763841547952321,39.74347478,F727,_,00180,1
F727__00170.1,8.795130139142659,39.75092036,F727,_,00170,1
F727__00160.1,8.779701806328948,39.75717141,F727,_,00160,1
F727__00150.1,8.77651279355031,39.754874785,F727,_,00150,1
F727__00140.1,8.767645427152544,39.7643481,F727,_,00140,1
F727__00130.1,8.762091120069725,39.758289149999996,F727,_,00130,1
F727__00120.1,8.75495672064936,39.75620883,F727,_,00120,1
F727__00110.1,8.744711087409353,39.7608213,F727,_,00110,1
F727__00090.1,8.781215872408238,39.764532435,F727,_,00090,1
F727__00080.1,8.77075187223149,39.766375495,F727,_,00080,1
F727__00070.1,8.742496175052926,39.770789585,F727,_,00070,1
F727__00060.1,8.730086977701355,39.763770054999995,F727,_,00060,1
F727__00050.1,8.717463492816332,39.754968015,F727,_,00050,1
F727__00040.1,8.753806062121765,39.776381455,F727,_,00040,1
F727__00030.1,8.722413092144523,39.77345282,F727,_,00030,1
F727__00020.1,8.695967228765014,39.76763875,F727,_,00020,1
F727__00020.10,8.707455454669455,39.763602905,F727,_,00020,10
F727__00230.10,8.793861086221472,39.7470384,F727,_,00230,10
F727__00220.10,8.790213091564105,39.746951415,F727,_,00220,10
F727__00210.10,8.77862706755524,39.742186450000005,F727,_,00210,10
F727__00200.10,8.771436200248807,39.737796415,F727,_,00200,10
F727__0019.10,8.770299281935824,39.749033190000006,F727,_,0019,10
F727__00180.10,8.76581091919254,39.742620380000005,F727,_,00180,10
F727__00170.10,8.786622833888966,39.755955924999995,F727,_,00170,10
F727__00160.10,8.780561331688684,39.756636895,F727,_,00160,10
F727__00150.10,8.776525220658248,39.753105465000004,F727,_,00150,10
F727__00120.10,8.757952529039915,39.75408472,F727,_,00120,10
F727__00110.10,8.744792691511261,39.755689845,F727,_,00110,10
F727__00090.10,8.782778771289298,39.765909885,F727,_,00090,10
F727__00080.10,8.778690276279821,39.757920625,F727,_,00080,10
F727__00070.10,8.769136602934552,39.767253635,F727,_,00070,10
F727__00060.10,8.742613474111211,39.761617904999994,F727,_,00060,10
F727__00050.10,8.715875937479307,39.747861975,F727,_,00050,10
F727__00030.10,8.717119446241997,39.767375295,F727,_,00030,10
F727__00090.100,8.787100499063886,39.756479909999996,F727,_,00090,100
F727__00230.100,8.795247882087777,39.741425910000004,F727,_,00230,100
F727__00220.100,8.787182200425619,39.743049955000004,F727,_,00220,100
F727__00210.100,8.778080411618404,39.738644,F727,_,00210,100
F727__00200.100,8.778298859686265,39.73589099,F727,_,00200,100
F727__0019.100,8.769374906340342,39.74674215,F727,_,0019,100
F727__00180.100,8.764759417374144,39.735190765,F727,_,00180,100
F727__00170.100,8.795950969237342,39.749684439999996,F727,_,00170,100
F727__00160.100,8.78220612094169,39.753165235,F727,_,00160,100
F727__00150.100,8.780435706410316,39.74705598,F727,_,00150,100
F727__00140.100,8.77519484434953,39.752828515000004,F727,_,00140,100
F727__00130.100,8.766577639616091,39.75071025,F727,_,00130,100
