nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G002__00010.1,13.73914562829208,42.40181154,G002,_,00010,1
G002__00430.1,13.779842979065688,42.301720055000004,G002,_,00430,1
G002__00420.1,13.762782568146791,42.296120779999995,G002,_,00420,1
G002__00400.1,13.743117334567225,42.284404034999994,G002,_,00400,1
G002__00390.1,13.72450056841049,42.292113215,G002,_,00390,1
G002__00370.1,13.777832549009466,42.30995885,G002,_,00370,1
G002__00350.1,13.776491369735341,42.318180225,G002,_,00350,1
G002__00340.1,13.771922483562289,42.318281495,G002,_,00340,1
G002__00330.1,13.765223599157862,42.316044680000005,G002,_,00330,1
G002__00320.1,13.761866039011302,42.31377732,G002,_,00320,1
G002__00310.1,13.756069748396548,42.30585585,G002,_,00310,1
G002__00300.1,13.748960894563606,42.305248500000005,G002,_,00300,1
G002__00290.1,13.74827566394293,42.306014175,G002,_,00290,1
G002__00280.1,13.72182092959301,42.30278179,G002,_,00280,1
G002__00270.1,13.720592403778095,42.30277338,G002,_,00270,1
G002__00260.1,13.750529169955643,42.31582909,G002,_,00260,1
G002__00250.1,13.751310023164894,42.31910404,G002,_,00250,1
G002__00240.1,13.738689662891982,42.31949317,G002,_,00240,1
G002__0019.1,13.756688692092261,42.330277615,G002,_,0019,1
G002__00180.1,13.74177279546377,42.327501514999994,G002,_,00180,1
G002__00170.1,13.73279349716482,42.327926915,G002,_,00170,1
G002__00160.1,13.724243948808526,42.331246390000004,G002,_,00160,1
G002__00150.1,13.763367270175994,42.339717725,G002,_,00150,1
G002__00140.1,13.75337042569164,42.336086449999996,G002,_,00140,1
G002__00130.1,13.755005519759496,42.343947095000004,G002,_,00130,1
G002__00120.1,13.74688234456057,42.346876905,G002,_,00120,1
G002__00110.1,13.746206900449542,42.346656575,G002,_,00110,1
G002__00100.1,13.730663034837916,42.336743635000005,G002,_,00100,1
G002__00090.1,13.729219509662089,42.336969625,G002,_,00090,1
G002__00080.1,13.72266423193991,42.338771890000004,G002,_,00080,1
G002__00070.1,13.725642077873726,42.341991795,G002,_,00070,1
G002__00060.1,13.790861706489823,42.367329655,G002,_,00060,1
G002__00050.1,13.793201233991613,42.37427168,G002,_,00050,1
G002__00040.1,13.775253283473699,42.372546065,G002,_,00040,1
G002__00030.1,13.763926034658887,42.37013478,G002,_,00030,1
G002__00020.1,13.75792261280116,42.380207285,G002,_,00020,1
G002__00010.10,13.746024258005953,42.37861619,G002,_,00010,10
G002__00430.10,13.778615650707135,42.301216960000005,G002,_,00430,10
G002__00420.10,13.767788273022129,42.29388748,G002,_,00420,10
G002__00410.10,13.756045938361574,42.295148194999996,G002,_,00410,10
G002__00400.10,13.744687713355065,42.286959975,G002,_,00400,10
G002__00390.10,13.725684623500214,42.291344190000004,G002,_,00390,10
G002__00370.10,13.77780137669527,42.308628495,G002,_,00370,10
G002__00350.10,13.778866492120793,42.314741575,G002,_,00350,10
G002__00340.10,13.772586921353284,42.31656604,G002,_,00340,10
G002__00330.10,13.764079914821426,42.314663625,G002,_,00330,10
G002__00320.10,13.760920114704817,42.313010455,G002,_,00320,10
G002__00300.10,13.750953133334775,42.304372615,G002,_,00300,10
G002__00290.10,13.743381188369721,42.304070395,G002,_,00290,10
G002__00280.10,13.721146235589881,42.302013360000004,G002,_,00280,10
G002__00270.10,13.721420738674393,42.303102055,G002,_,00270,10
G002__00260.10,13.74958841347272,42.315128805,G002,_,00260,10
G002__00240.10,13.739945721848592,42.318436505,G002,_,00240,10
G002__00180.10,13.743374353374348,42.32548505,G002,_,00180,10
G002__00170.10,13.736733046366126,42.325215580000005,G002,_,00170,10
G002__00160.10,13.725236735682216,42.330370145,G002,_,00160,10
G002__00150.10,13.762754850983951,42.337598695,G002,_,00150,10
G002__00140.10,13.755128538157024,42.333740245,G002,_,00140,10
G002__00130.10,13.753940854062812,42.341324595,G002,_,00130,10
G002__00120.10,13.747676461886527,42.344326034999995,G002,_,00120,10
G002__00110.10,13.746746389794396,42.34539078,G002,_,00110,10
G002__00100.10,13.735259593070221,42.337411974999995,G002,_,00100,10
G002__00090.10,13.724770269563702,42.33300964,G002,_,00090,10
G002__00080.10,13.723139765595871,42.338344145,G002,_,00080,10
G002__00070.10,13.728903255001573,42.342842905,G002,_,00070,10
G002__00060.10,13.791419071139224,42.36416346,G002,_,00060,10
G002__00020.10,13.761007970770763,42.381401870000005,G002,_,00020,10
G002__00070.100,13.732897856878921,42.343905075,G002,_,00070,100
G002__00430.100,13.7818477356264,42.299759820000006,G002,_,00430,100
G002__00420.100,13.764373499030887,42.296002685,G002,_,00420,100
G002__00410.100,13.76593487346905,42.29071071,G002,_,00410,100
G002__00400.100,13.74970582329604,42.28746327,G002,_,00400,100
G002__00390.100,13.730014674256722,42.287681275,G002,_,00390,100
G002__00370.100,13.778521620913533,42.305893265,G002,_,00370,100
G002__00350.100,13.777373548242224,42.310862145,G002,_,00350,100
G002__00340.100,13.770529382473313,42.314669034999994,G002,_,00340,100
G002__00330.100,13.773302366889311,42.30455027,G002,_,00330,100
G002__00320.100,13.76011858708368,42.310196565,G002,_,00320,100
G002__00310.100,13.7577455295786,42.297128105,G002,_,00310,100
G002__00300.100,13.747340442962154,42.300489514999995,G002,_,00300,100
G002__00290.100,13.741238538182412,42.30006049,G002,_,00290,100
G002__00280.100,13.72293272122187,42.300380775,G002,_,00280,100
