nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G019__00010.1,8.622134612914511,45.620295569999996,G019,_,00010,1
G019__00620.1,8.692043428806082,45.583428264999995,G019,_,00620,1
G019__00610.1,8.682494542332417,45.582738085,G019,_,00610,1
G019__00600.1,8.673319646633086,45.58412889,G019,_,00600,1
G019__00590.1,8.664041627337692,45.586029965,G019,_,00590,1
G019__00580.1,8.655526970243379,45.58536751,G019,_,00580,1
G019__00570.1,8.64915952546835,45.587906105,G019,_,00570,1
G019__00550.1,8.635967127506484,45.5877432,G019,_,00550,1
G019__00540.1,8.620639399084933,45.58462074,G019,_,00540,1
G019__00530.1,8.607288918916955,45.57945637500001,G019,_,00530,1
G019__00520.1,8.605642182991602,45.58331442,G019,_,00520,1
G019__00510.1,8.597622986444414,45.58124721,G019,_,00510,1
G019__00500.1,8.586319551231291,45.58193966,G019,_,00500,1
G019__00490.1,8.692368083355962,45.589536625,G019,_,00490,1
G019__00470.1,8.681832996814233,45.58965938,G019,_,00470,1
G019__00460.1,8.682646207175395,45.596597615,G019,_,00460,1
G019__00440.1,8.674779017998429,45.59722947,G019,_,00440,1
G019__00420.1,8.650011618359882,45.59243846,G019,_,00420,1
G019__00410.1,8.650171482806387,45.59859332,G019,_,00410,1
G019__00400.1,8.640776414378347,45.597823075,G019,_,00400,1
G019__00390.1,8.632950096889042,45.596280335,G019,_,00390,1
G019__0038.1,8.633933768553845,45.59903933,G019,_,0038,1
G019__00370.1,8.628960671342806,45.596106725,G019,_,00370,1
G019__00360.1,8.62018835599972,45.596069099999994,G019,_,00360,1
G019__00350.1,8.615274374958064,45.58881426,G019,_,00350,1
G019__00330.1,8.598345873548793,45.5904488,G019,_,00330,1
G019__00320.1,8.600592707826731,45.597646264999995,G019,_,00320,1
G019__00310.1,8.587762551184444,45.59044584,G019,_,00310,1
G019__00300.1,8.58503569194514,45.59735276,G019,_,00300,1
G019__00290.1,8.691086239696364,45.5968627,G019,_,00290,1
G019__00280.1,8.690058886382158,45.607754755,G019,_,00280,1
G019__00270.1,8.68079056896469,45.606497919999995,G019,_,00270,1
G019__00260.1,8.688570385825747,45.60931419,G019,_,00260,1
G019__00250.1,8.671678598514678,45.605432995,G019,_,00250,1
G019__00240.1,8.670701961832924,45.612335709999996,G019,_,00240,1
G019__00230.1,8.662525425162901,45.602448565,G019,_,00230,1
G019__00220.1,8.664401680714588,45.61118533,G019,_,00220,1
G019__00210.1,8.652992848475666,45.604681465,G019,_,00210,1
G019__00200.1,8.6490045304607,45.612392695,G019,_,00200,1
G019__00190.1,8.636945606980003,45.60453596,G019,_,00190,1
G019__00180.1,8.636850129199427,45.612013325,G019,_,00180,1
G019__00170.1,8.626921636467433,45.60527299,G019,_,00170,1
G019__00160.1,8.627412700817231,45.611868875,G019,_,00160,1
G019__00150.1,8.616848838354928,45.60177749,G019,_,00150,1
G019__00140.1,8.617427201454843,45.608800185,G019,_,00140,1
G019__00130.1,8.603578543922929,45.60333739,G019,_,00130,1
G019__00120.1,8.602835596639954,45.61083387,G019,_,00120,1
G019__00110.1,8.599810466841838,45.607565125,G019,_,00110,1
G019__00100.1,8.587823076502389,45.60319694499999,G019,_,00100,1
G019__00080.1,8.671196412942347,45.619563825,G019,_,00080,1
G019__00070.1,8.664794328402461,45.61935845,G019,_,00070,1
G019__00050.1,8.657874695739002,45.626391495,G019,_,00050,1
G019__00040.1,8.651358142255411,45.61997375,G019,_,00040,1
G019__00020.1,8.628807672108902,45.618603320000005,G019,_,00020,1
G019__00010.10,8.62513011298163,45.621623905,G019,_,00010,10
G019__00620.10,8.688154815764552,45.580878625,G019,_,00620,10
G019__00610.10,8.682206383823956,45.581376930000005,G019,_,00610,10
G019__00600.10,8.67984974894103,45.58412988,G019,_,00600,10
G019__00590.10,8.6690852462594,45.586407685,G019,_,00590,10
G019__00570.10,8.648771982626535,45.586122169999996,G019,_,00570,10
G019__00560.10,8.64483921621521,45.58774932,G019,_,00560,10
G019__00540.10,8.626111950262793,45.58575664,G019,_,00540,10
G019__00520.10,8.59963635778481,45.58128731,G019,_,00520,10
G019__00510.10,8.598657932061958,45.57963014,G019,_,00510,10
G019__00500.10,8.59670289574117,45.583916815,G019,_,00500,10
G019__00490.10,8.693749087244196,45.58580488,G019,_,00490,10
G019__00480.10,8.695560893977126,45.592995564999995,G019,_,00480,10
G019__00470.10,8.684985265437113,45.588616439999996,G019,_,00470,10
G019__00460.10,8.687274512824573,45.59625581,G019,_,00460,10
G019__00450.10,8.671596099137577,45.589808595,G019,_,00450,10
G019__00440.10,8.672881246904433,45.59342244,G019,_,00440,10
G019__00430.10,8.663179392837751,45.595980104999995,G019,_,00430,10
G019__00420.10,8.650433093716973,45.591932225,G019,_,00420,10
G019__00390.10,8.634845275416447,45.596157364999996,G019,_,00390,10
G019__00350.10,8.612947786589409,45.587401685,G019,_,00350,10
G019__00340.10,8.610496888149573,45.597756435,G019,_,00340,10
G019__00320.10,8.60339641101433,45.597319505,G019,_,00320,10
G019__00310.10,8.594000634387513,45.591269315,G019,_,00310,10
G019__00300.10,8.584854260614208,45.59681981999999,G019,_,00300,10
G019__00280.10,8.690119333452103,45.606972925,G019,_,00280,10
G019__00270.10,8.682857078810104,45.60585911,G019,_,00270,10
G019__00250.10,8.676871140298836,45.6068208,G019,_,00250,10
G019__00240.10,8.67843886461106,45.610499970000006,G019,_,00240,10
G019__00230.10,8.663937155826893,45.602457040000004,G019,_,00230,10
G019__00220.10,8.665357588982875,45.61036875,G019,_,00220,10
G019__00200.10,8.652009531357752,45.611748445,G019,_,00200,10
G019__00190.10,8.63944115833827,45.603167435,G019,_,00190,10
G019__00150.10,8.618083881327843,45.601652775000005,G019,_,00150,10
G019__00140.10,8.621039261095673,45.60643768,G019,_,00140,10
G019__00130.10,8.603545427380382,45.60273158,G019,_,00130,10
G019__00120.10,8.603321551839503,45.610535999999996,G019,_,00120,10
G019__00110.10,8.60168089810687,45.605645455,G019,_,00110,10
G019__00100.10,8.586589850957026,45.602006375,G019,_,00100,10
G019__00090.10,8.674398558334545,45.61375537,G019,_,00090,10
G019__00080.10,8.676274425489197,45.618663299999994,G019,_,00080,10
G019__00070.10,8.668296053823497,45.61931869,G019,_,00070,10
G019__00060.10,8.658052274553267,45.620728135,G019,_,00060,10
G019__00050.10,8.655048799605915,45.624039185,G019,_,00050,10
G019__00040.10,8.651134727170302,45.620406145,G019,_,00040,10
G019__00030.10,8.638893452560609,45.620815295,G019,_,00030,10
G019__00020.10,8.631203079045239,45.61848499,G019,_,00020,10
G019__00030.100,8.645416507139057,45.617350185,G019,_,00030,100
G019__00610.100,8.692376608024606,45.575553515,G019,_,00610,100
G019__00600.100,8.680363920149318,45.585443975000004,G019,_,00600,100
G019__00590.100,8.664600042577348,45.582462735,G019,_,00590,100
G019__00580.100,8.655336859322055,45.58177962,G019,_,00580,100
