nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G034__00020.1,16.413026673906096,38.737348615,G034,_,00020,1
G034__00080.1,16.440848591936046,38.718668555,G034,_,00080,1
G034__00070.1,16.42926310187311,38.725319135,G034,_,00070,1
G034__00060.1,16.422112513183585,38.725995190000006,G034,_,00060,1
G034__00050.1,16.4253200843836,38.730879865,G034,_,00050,1
G034__00040.1,16.420799416699932,38.736873564999996,G034,_,00040,1
G034__00030.1,16.418932498130918,38.74076727,G034,_,00030,1
G034__00010.10,16.40494084700043,38.7491733,G034,_,00010,10
G034__00060.10,16.422966948490412,38.725669255,G034,_,00060,10
G034__00050.10,16.42586709187141,38.72976784,G034,_,00050,10
G034__00040.10,16.42032919726241,38.73603333,G034,_,00040,10
G034__00030.10,16.420334858578983,38.739535785,G034,_,00030,10
G034__00020.10,16.412252660849468,38.735743785,G034,_,00020,10
G034__00020.100,16.412650179008626,38.73306649,G034,_,00020,100
G034__00080.100,16.43207006472732,38.716723155,G034,_,00080,100
G034__00070.100,16.430089103163173,38.72424385,G034,_,00070,100
G034__00060.100,16.424082122936163,38.72496683,G034,_,00060,100
G034__00040.100,16.42027227870402,38.730790025000005,G034,_,00040,100
G034__00030.100,16.418792722622484,38.737175245,G034,_,00030,100
G034__00020.101,16.414725104124464,38.72506849,G034,_,00020,101
G034__00080.101,16.43529117286843,38.717634825000005,G034,_,00080,101
G034__00060.101,16.424143234223735,38.72489686,G034,_,00060,101
G034__00050.101,16.426099554853536,38.7274543,G034,_,00050,101
G034__00040.101,16.42186870869871,38.73116775,G034,_,00040,101
G034__00030.101,16.42046964443154,38.737254565,G034,_,00030,101
G034__00010.102,16.410987813131435,38.74646797,G034,_,00010,102
G034__00080.102,16.43502687785566,38.717271565,G034,_,00080,102
G034__00070.102,16.43018619498352,38.724126165,G034,_,00070,102
G034__00060.102,16.42414293336562,38.72476056,G034,_,00060,102
G034__00050.102,16.426795624489586,38.727524165000005,G034,_,00050,102
G034__00040.102,16.422678923621802,38.731535685,G034,_,00040,102
G034__00030.102,16.421487118034097,38.737901225,G034,_,00030,102
G034__00020.102,16.41328656675423,38.73278361,G034,_,00020,102
G034__00010.103,16.41142866124308,38.746802185,G034,_,00010,103
G034__00080.103,16.435217053505,38.71666961,G034,_,00080,103
G034__00070.103,16.430308866508042,38.723976570000005,G034,_,00070,103
G034__00060.103,16.424576817818213,38.724919575,G034,_,00060,103
G034__00050.103,16.425555480592365,38.727109014999996,G034,_,00050,103
G034__00040.103,16.42264570559899,38.73252619,G034,_,00040,103
G034__00030.103,16.42239039274629,38.73688179,G034,_,00030,103
G034__00020.103,16.414518307393614,38.73317095,G034,_,00020,103
G034__00020.104,16.41316170383142,38.73247424,G034,_,00020,104
G034__00080.104,16.433496670021633,38.71725677,G034,_,00080,104
G034__00070.104,16.42918157508291,38.72375674,G034,_,00070,104
G034__00060.104,16.42462684528998,38.724903575,G034,_,00060,104
G034__00050.104,16.4257559916,38.72705771,G034,_,00050,104
G034__00040.104,16.423227965432105,38.731378675,G034,_,00040,104
G034__00030.104,16.413929948546034,38.737380185000006,G034,_,00030,104
G034__00020.105,16.413647134342497,38.732657255,G034,_,00020,105
G034__00070.105,16.42957432897405,38.723807985,G034,_,00070,105
G034__00060.105,16.424551262314203,38.724852635,G034,_,00060,105
G034__00050.105,16.42628417267867,38.72705771,G034,_,00050,105
G034__00040.105,16.42281723326397,38.73064841,G034,_,00040,105
G034__00030.105,16.413763829576745,38.737828405,G034,_,00030,105
G034__00020.106,16.409677855641526,38.732240065,G034,_,00020,106
G034__00080.106,16.432793590406696,38.716602245000004,G034,_,00080,106
G034__00070.106,16.429098151995447,38.72342216,G034,_,00070,106
G034__00060.106,16.424621851906814,38.724846740000004,G034,_,00060,106
G034__00050.106,16.426560635767622,38.727283415,G034,_,00050,106
G034__00040.106,16.423520327821038,38.731402675,G034,_,00040,106
G034__00030.106,16.414451458278094,38.737411675000004,G034,_,00030,106
G034__00020.107,16.413178707322054,38.732011665,G034,_,00020,107
G034__00070.107,16.42955569047748,38.723481265000004,G034,_,00070,107
G034__00060.107,16.42467549457803,38.724846740000004,G034,_,00060,107
G034__00050.107,16.4270402954429,38.727079364999994,G034,_,00050,107
G034__00040.107,16.423690444039313,38.731825959999995,G034,_,00040,107
G034__00030.107,16.41387342721398,38.736868835,G034,_,00030,107
G034__00020.108,16.410456730705434,38.732528965,G034,_,00020,108
G034__00080.108,16.432607255294947,38.716285514999996,G034,_,00080,108
G034__00070.108,16.42867566104628,38.7231555,G034,_,00070,108
G034__00060.108,16.424655163901797,38.724810915,G034,_,00060,108
G034__00050.108,16.426943669884366,38.727326405,G034,_,00050,108
G034__00040.108,16.423736446197616,38.731626989999995,G034,_,00040,108
G034__00030.108,16.413978414738423,38.736528879999995,G034,_,00030,108
G034__00020.109,16.41064629328463,38.7323148,G034,_,00020,109
G034__00080.109,16.43343606403769,38.71582105,G034,_,00080,109
G034__00070.109,16.428422243513936,38.722948689999996,G034,_,00070,109
G034__00050.109,16.427337030598586,38.727137244999994,G034,_,00050,109
G034__00040.109,16.423852377370004,38.731405265,G034,_,00040,109
G034__00030.109,16.414200236981017,38.736404955,G034,_,00030,109
G034__00010.11,16.405403542984708,38.749253525,G034,_,00010,11
G034__00080.11,16.440745965240737,38.717277125,G034,_,00080,11
G034__00070.11,16.43106245791576,38.724721775000006,G034,_,00070,11
G034__00060.11,16.42293630887203,38.725625230000006,G034,_,00060,11
G034__00050.11,16.423649456470635,38.72971373,G034,_,00050,11
G034__00040.11,16.421088938640384,38.736043325,G034,_,00040,11
G034__00030.11,16.421649624238178,38.7402473,G034,_,00030,11
G034__00020.11,16.413078345625053,38.736153235,G034,_,00020,11
G034__00010.110,16.402784802650473,38.75064062,G034,_,00010,110
G034__00070.110,16.428313894186108,38.722937775,G034,_,00070,110
G034__00060.110,16.424718008379656,38.72480489,G034,_,00060,110
G034__00050.110,16.426955002310464,38.72747233,G034,_,00050,110
G034__00040.110,16.424025090118107,38.731786775,G034,_,00040,110
G034__00030.110,16.41519250647714,38.73659039,G034,_,00030,110
G034__00020.110,16.41120263079616,38.732553325,G034,_,00020,110
G034__00020.111,16.411710882064643,38.732770945,G034,_,00020,111
G034__00080.111,16.432814214213764,38.715207844999995,G034,_,00080,111
G034__00060.111,16.42477633836345,38.724789400000006,G034,_,00060,111
G034__00050.111,16.426774086078524,38.726923389999996,G034,_,00050,111
G034__00040.111,16.42428072275878,38.73217305,G034,_,00040,111
G034__00030.111,16.415372573181877,38.73652756,G034,_,00030,111
G034__00020.112,16.412192377253927,38.732695335,G034,_,00020,112
G034__00080.112,16.436389620488153,38.716710695,G034,_,00080,112
G034__00060.112,16.424665120222308,38.724717195,G034,_,00060,112
G034__00050.112,16.427327718076754,38.72678416,G034,_,00050,112
G034__00040.112,16.424673071417853,38.73190958,G034,_,00040,112
G034__00030.112,16.414596988377127,38.736542415,G034,_,00030,112
G034__00020.113,16.41057674421135,38.731873685,G034,_,00020,113
G034__00080.113,16.436659769120887,38.716244665,G034,_,00080,113
G034__00070.113,16.427753902859294,38.72303103,G034,_,00070,113
G034__00060.113,16.42471830102621,38.724685605,G034,_,00060,113
G034__00050.113,16.42531167737974,38.729979545,G034,_,00050,113
G034__00040.113,16.424199836727922,38.731626705,G034,_,00040,113
G034__00030.113,16.416367306599543,38.736334435,G034,_,00030,113
G034__00020.114,16.411163298892824,38.73193336,G034,_,00020,114
G034__00080.114,16.436226774730205,38.715612144999994,G034,_,00080,114
G034__00060.114,16.42301088470642,38.7251369,G034,_,00060,114
G034__00050.114,16.42135986219546,38.728964565,G034,_,00050,114
G034__00040.114,16.42483921476898,38.731758565,G034,_,00040,114
G034__00030.114,16.415924648246648,38.736757895,G034,_,00030,114
G034__00010.115,16.407360531613847,38.736007560000004,G034,_,00010,115
G034__00080.115,16.431038122181533,38.714694789999996,G034,_,00080,115
G034__00060.115,16.42327606313804,38.725189595,G034,_,00060,115
G034__00050.115,16.42189171240568,38.728726815,G034,_,00050,115
G034__00040.115,16.424869866482272,38.73161299,G034,_,00040,115
G034__00030.115,16.416298381274203,38.738539225,G034,_,00030,115
G034__00020.115,16.411387533115445,38.732152865,G034,_,00020,115
G034__00020.116,16.411636000015037,38.73231913,G034,_,00020,116
G034__00080.116,16.431823760431392,38.714563104999996,G034,_,00080,116
G034__00060.116,16.423344859524665,38.7251793,G034,_,00060,116
G034__00050.116,16.42168525053037,38.728422275,G034,_,00050,116
G034__00040.116,16.424586224749447,38.731621765,G034,_,00040,116
G034__00030.116,16.41607839423382,38.73644236,G034,_,00030,116
G034__00020.117,16.411851966526406,38.73226973,G034,_,00020,117
G034__00080.117,16.431246659301905,38.714479915,G034,_,00080,117
G034__00060.117,16.423312672618707,38.72511776499999,G034,_,00060,117
G034__00040.117,16.42475553074747,38.731424465,G034,_,00040,117
G034__00030.117,16.416917227482678,38.73719595,G034,_,00030,117
G034__00010.118,16.4027641955277,38.742848335,G034,_,00010,118
G034__00080.118,16.432046407571942,38.71441525,G034,_,00080,118
G034__00060.118,16.423435460804576,38.72512437,G034,_,00060,118
G034__00040.118,16.42484802715445,38.7313691,G034,_,00040,118
G034__00030.118,16.417168279016536,38.736888805,G034,_,00030,118
G034__00020.118,16.41173301738594,38.73208196,G034,_,00020,118
G034__00020.119,16.411807024314967,38.731872105,G034,_,00020,119
G034__00080.119,16.43061708299713,38.714568265,G034,_,00080,119
G034__00070.119,16.430874565825846,38.724008425,G034,_,00070,119
G034__00060.119,16.42355766028451,38.725027444999995,G034,_,00060,119
G034__00040.119,16.42495097766806,38.731354304999996,G034,_,00040,119
G034__00030.119,16.41724821892059,38.736653255,G034,_,00030,119
G034__00010.12,16.405446167757205,38.7495828,G034,_,00010,12
G034__00080.12,16.442976622386013,38.71852423,G034,_,00080,12
G034__00070.12,16.432271374836176,38.72527724,G034,_,00070,12
G034__00060.12,16.42306112831419,38.72563747,G034,_,00060,12
G034__00050.12,16.423687483651854,38.729937385,G034,_,00050,12
G034__00040.12,16.422317465433316,38.736591344999994,G034,_,00040,12
G034__00030.12,16.421122555441386,38.739853215,G034,_,00030,12
G034__00020.12,16.413060593501683,38.736030275000005,G034,_,00020,12
G034__00020.120,16.412944371797774,38.73225086,G034,_,00020,120
G034__00070.120,16.43048428060257,38.723761135000004,G034,_,00070,120
G034__00060.120,16.423640215653485,38.725073975,G034,_,00060,120
G034__00040.120,16.424528145649802,38.73118051,G034,_,00040,120
G034__00030.120,16.417134445254717,38.73674864,G034,_,00030,120
G034__00020.121,16.413067001327278,38.732289359999996,G034,_,00020,121
G034__00080.121,16.430563894968998,38.71435546,G034,_,00080,121
G034__00070.121,16.430271833385504,38.723706910000004,G034,_,00070,121
G034__00060.121,16.423682795955514,38.725005100000004,G034,_,00060,121
G034__00040.121,16.424012293964154,38.730946329999995,G034,_,00040,121
G034__00030.121,16.416970348314663,38.736465034999995,G034,_,00030,121
G034__00020.122,16.413367932728573,38.73234879,G034,_,00020,122
G034__00080.122,16.43089256390061,38.71428502,G034,_,00080,122
G034__00070.122,16.430230724253576,38.72355781,G034,_,00070,122
G034__00060.122,16.423761913431303,38.724939705,G034,_,00060,122
G034__00040.122,16.42471286112407,38.73102906,G034,_,00040,122
G034__00030.122,16.417633202050695,38.737299095,G034,_,00030,122
G034__00010.123,16.406706536071255,38.742595985,G034,_,00010,123
G034__00080.123,16.430815599216423,38.714036185,G034,_,00080,123
G034__00070.123,16.430023356979078,38.723403625,G034,_,00070,123
G034__00060.123,16.42382806909621,38.72486559,G034,_,00060,123
G034__00040.123,16.424970507485575,38.7311651,G034,_,00040,123
G034__00030.123,16.417818815644587,38.73663957,G034,_,00030,123
G034__00020.123,16.4133925194914,38.732049755000006,G034,_,00020,123
G034__00010.124,16.402626638363877,38.739092240000005,G034,_,00010,124
G034__00080.124,16.431650377596146,38.71400636,G034,_,00080,124
G034__00070.124,16.429685702200146,38.72329282,G034,_,00070,124
G034__00060.124,16.42392048010821,38.72481128,G034,_,00060,124
G034__00040.124,16.42165290692884,38.729894395,G034,_,00040,124
G034__00030.124,16.417559963743976,38.736626615000006,G034,_,00030,124
G034__00020.124,16.41361491532089,38.73219259,G034,_,00020,124
G034__00010.125,16.406018921205884,38.73798223,G034,_,00010,125
G034__00070.125,16.429113819312498,38.7229602,G034,_,00070,125
G034__00060.125,16.42402578225038,38.724657255,G034,_,00060,125
G034__00040.125,16.42213044299651,38.72993882,G034,_,00040,125
G034__00030.125,16.417994365897847,38.73684199,G034,_,00030,125
G034__00020.125,16.414037060337037,38.73245463,G034,_,00020,125
G034__00010.126,16.40013500415251,38.740732215,G034,_,00010,126
G034__00080.126,16.432769291880142,38.714482880000006,G034,_,00080,126
G034__00070.126,16.430704090922035,38.723599539999995,G034,_,00070,126
G034__00060.126,16.424075971737075,38.72475727,G034,_,00060,126
G034__00040.126,16.4223309968483,38.73009175,G034,_,00040,126
G034__00030.126,16.41736790296649,38.736385735,G034,_,00030,126
G034__00020.126,16.414300608550178,38.732434745000006,G034,_,00020,126
G034__00010.127,16.404835764435752,38.740130665,G034,_,00010,127
G034__00080.127,16.432316364064043,38.71434142,G034,_,00080,127
G034__00070.127,16.429726832336968,38.72300735,G034,_,00070,127
G034__00060.127,16.42426634866477,38.72469289,G034,_,00060,127
G034__00040.127,16.422673320480875,38.730070565000005,G034,_,00040,127
G034__00030.127,16.4184668052823,38.736122879999996,G034,_,00030,127
G034__00020.127,16.414488893468068,38.73225749,G034,_,00020,127
G034__00010.128,16.40825877165088,38.740783195,G034,_,00010,128
G034__00070.128,16.429870743373968,38.723199550000004,G034,_,00070,128
G034__00060.128,16.424209143445708,38.724664565,G034,_,00060,128
G034__00050.128,16.422673029898668,38.72739162,G034,_,00050,128
G034__00040.128,16.422908791978898,38.730167545,G034,_,00040,128
G034__00030.128,16.41912322389696,38.736186195,G034,_,00030,128
G034__00020.128,16.414017179768535,38.732298555,G034,_,00020,128
G034__00010.129,16.401453937121747,38.747421865,G034,_,00010,129
G034__00080.129,16.434020539843846,38.715275739999996,G034,_,00080,129
G034__00070.129,16.429216706325377,38.722751654999996,G034,_,00070,129
G034__00060.129,16.424265568540783,38.724592560000005,G034,_,00060,129
G034__00050.129,16.422804937213655,38.727504225000004,G034,_,00050,129
G034__00040.129,16.421686520422924,38.736706955,G034,_,00040,129
G034__00030.129,16.41958778313692,38.7361535,G034,_,00030,129
G034__00020.129,16.41474875305766,38.732357074999996,G034,_,00020,129
G034__00010.13,16.405512111350113,38.748625974999996,G034,_,00010,13
G034__00080.13,16.443212044207353,38.717912955,G034,_,00080,13
G034__00070.13,16.431918636727705,38.72529338,G034,_,00070,13
G034__00060.13,16.423145432145898,38.725587015,G034,_,00060,13
G034__00050.13,16.423211692424537,38.72945913,G034,_,00050,13
G034__00040.13,16.421966945189283,38.73666229,G034,_,00040,13
G034__00030.13,16.42050385159164,38.739512325,G034,_,00030,13
G034__00020.13,16.414034202519034,38.736127455,G034,_,00020,13
