nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G282__00010.1,13.673203898045216,37.204578555,G282,_,00010,1
G282__00810.1,13.828449286901442,37.153198919999994,G282,_,00810,1
G282__00800.1,13.820430136727342,37.15643298,G282,_,00800,1
G282__00780.1,13.801287882765727,37.15441412,G282,_,00780,1
G282__00770.1,13.795068288717625,37.16176405,G282,_,00770,1
G282__00750.1,13.783930610517473,37.15797114,G282,_,00750,1
G282__00740.1,13.76699522438982,37.154700125,G282,_,00740,1
G282__00730.1,13.764041732634272,37.15927048,G282,_,00730,1
G282__00710.1,13.817256581449293,37.167269665000006,G282,_,00710,1
G282__00700.1,13.81216873606036,37.17341061,G282,_,00700,1
G282__00680.1,13.791235913031288,37.167925624999995,G282,_,00680,1
G282__00670.1,13.783835728140275,37.163866965,G282,_,00670,1
G282__00660.1,13.771898536754819,37.16023104,G282,_,00660,1
G282__00650.1,13.764336584486848,37.16618048,G282,_,00650,1
G282__00630.1,13.750497155549365,37.163066244999996,G282,_,00630,1
G282__00620.1,13.746839297089853,37.16398847000001,G282,_,00620,1
G282__00600.1,13.738251563480203,37.169109365,G282,_,00600,1
G282__00590.1,13.825282424460294,37.182200075,G282,_,00590,1
G282__00580.1,13.823317378193215,37.18165502,G282,_,00580,1
G282__00570.1,13.806107056806697,37.18142751,G282,_,00570,1
G282__00550.1,13.790372943561971,37.175436770000005,G282,_,00550,1
G282__00540.1,13.790544748216941,37.17480013,G282,_,00540,1
G282__00510.1,13.773575597091899,37.182868035,G282,_,00510,1
G282__00500.1,13.760677934312849,37.175398735,G282,_,00500,1
G282__00470.1,13.749979061589801,37.183641095,G282,_,00470,1
G282__00460.1,13.743177418496138,37.1850431,G282,_,00460,1
G282__00450.1,13.740414134531353,37.179528524999995,G282,_,00450,1
G282__00440.1,13.720776421292323,37.1737129,G282,_,00440,1
G282__00430.1,13.731010840117523,37.18142014,G282,_,00430,1
G282__00420.1,13.716396929961915,37.180645645,G282,_,00420,1
G282__00410.1,13.826033849193362,37.18408109,G282,_,00410,1
G282__00400.1,13.82243450882687,37.196235465,G282,_,00400,1
G282__00390.1,13.806292949233265,37.186263710000006,G282,_,00390,1
G282__00380.1,13.812223729851073,37.19105234,G282,_,00380,1
G282__00370.1,13.812779404904514,37.194976295000004,G282,_,00370,1
G282__00360.1,13.81067205347129,37.201406840000004,G282,_,00360,1
G282__00350.1,13.808431630485291,37.199201105,G282,_,00350,1
G282__00340.1,13.791943448515713,37.190111085,G282,_,00340,1
G282__00330.1,13.786532965684998,37.197594145,G282,_,00330,1
G282__00320.1,13.783991296651438,37.20028205,G282,_,00320,1
G282__00310.1,13.780559276750033,37.18918671,G282,_,00310,1
G282__00290.1,13.764056997431588,37.19059894,G282,_,00290,1
G282__00260.1,13.758165203579837,37.192715985,G282,_,00260,1
G282__00250.1,13.74370577506246,37.193380015,G282,_,00250,1
G282__00240.1,13.736307439315656,37.19015065,G282,_,00240,1
G282__00230.1,13.715012795277882,37.187099579999995,G282,_,00230,1
G282__00210.1,13.6961951784569,37.183352595,G282,_,00210,1
G282__00200.1,13.698706196162949,37.184463425,G282,_,00200,1
G282__00190.1,13.807227994921316,37.201842005,G282,_,00190,1
G282__00180.1,13.803385641283793,37.212352595,G282,_,00180,1
G282__00170.1,13.797809184376653,37.21964619,G282,_,00170,1
G282__00160.1,13.785323223385385,37.201476575,G282,_,00160,1
G282__00150.1,13.781766588633083,37.213034635,G282,_,00150,1
G282__00140.1,13.782978824944289,37.219898825,G282,_,00140,1
G282__00130.1,13.773762601232985,37.212832739999996,G282,_,00130,1
G282__00120.1,13.776190649619652,37.202809035,G282,_,00120,1
G282__00110.1,13.760332518260437,37.206945765,G282,_,00110,1
G282__00090.1,13.754494652465553,37.20397664,G282,_,00090,1
G282__00080.1,13.735701228545985,37.203986425,G282,_,00080,1
G282__00070.1,13.7358139160004,37.19864836,G282,_,00070,1
G282__00060.1,13.73261589870396,37.195483755,G282,_,00060,1
G282__00040.1,13.710566613321632,37.195470265,G282,_,00040,1
G282__00010.10,13.68094807275029,37.197589820000005,G282,_,00010,10
G282__00810.10,13.829918884959994,37.14177329,G282,_,00810,10
G282__00800.10,13.827152825935181,37.157969155,G282,_,00800,10
G282__00770.10,13.799002693045647,37.160272485,G282,_,00770,10
G282__00750.10,13.789114483421193,37.15627771,G282,_,00750,10
G282__00740.10,13.768227726217125,37.154598205,G282,_,00740,10
G282__00730.10,13.762012823210021,37.157199955,G282,_,00730,10
G282__00710.10,13.818669392219,37.16215006,G282,_,00710,10
G282__00700.10,13.816814628316003,37.171824845,G282,_,00700,10
G282__00680.10,13.800449606528598,37.16570498,G282,_,00680,10
G282__00670.10,13.786347845369319,37.16564036,G282,_,00670,10
G282__00660.10,13.776311710806358,37.15992013,G282,_,00660,10
G282__00650.10,13.768714795303787,37.165391185,G282,_,00650,10
G282__00630.10,13.751793702335442,37.16222214,G282,_,00630,10
G282__00620.10,13.744106918830331,37.163258240000005,G282,_,00620,10
G282__00610.10,13.743110742251385,37.16916098,G282,_,00610,10
G282__00600.10,13.734587076559638,37.16744889,G282,_,00600,10
G282__00590.10,13.831459388382477,37.177976814999994,G282,_,00590,10
G282__00580.10,13.820053478577227,37.172743495000006,G282,_,00580,10
