nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G618__00010.1,12.41978774418127,43.53561647,G618,_,00010,1
G618__01260.1,12.396988785001604,43.362155575,G618,_,01260,1
G618__01250.1,12.375490631655783,43.362065855,G618,_,01250,1
G618__01240.1,12.389249713858852,43.370240665,G618,_,01240,1
G618__01230.1,12.366803544560076,43.368580824999995,G618,_,01230,1
G618__01220.1,12.412613865820342,43.38425781,G618,_,01220,1
G618__01210.1,12.404687999774474,43.38409555,G618,_,01210,1
G618__01200.1,12.393286342108688,43.384255315000004,G618,_,01200,1
G618__01190.1,12.382196579504075,43.38092259,G618,_,01190,1
G618__01180.1,12.418998846576365,43.392434255,G618,_,01180,1
G618__01170.1,12.408116189613905,43.396715105,G618,_,01170,1
G618__01160.1,12.401518269822176,43.39809433,G618,_,01160,1
G618__01150.1,12.42515105056603,43.399903030000004,G618,_,01150,1
G618__01140.1,12.428794322950822,43.408256455,G618,_,01140,1
G618__01130.1,12.430309705741392,43.408352345,G618,_,01130,1
G618__01120.1,12.412753760215068,43.40572583,G618,_,01120,1
G618__01110.1,12.350385878877779,43.407511195,G618,_,01110,1
G618__01100.1,12.346873707761617,43.409610395,G618,_,01100,1
G618__01090.1,12.420561494746725,43.414998065,G618,_,01090,1
G618__01080.1,12.38811295917644,43.419801774999996,G618,_,01080,1
G618__01070.1,12.363612156723622,43.41346211,G618,_,01070,1
G618__01060.1,12.357908477607193,43.420512325000004,G618,_,01060,1
G618__01050.1,12.356828434124921,43.417069155,G618,_,01050,1
G618__01040.1,12.346603410842723,43.423281385,G618,_,01040,1
G618__01030.1,12.340732379030396,43.417955434999996,G618,_,01030,1
G618__01020.1,12.3270929409025,43.415440045,G618,_,01020,1
G618__01010.1,12.43582839820389,43.42497553,G618,_,01010,1
G618__01000.1,12.427031022132251,43.424710245,G618,_,01000,1
G618__00990.1,12.392075605832686,43.431086215,G618,_,00990,1
G618__00980.1,12.377854336778519,43.426665525,G618,_,00980,1
G618__00970.1,12.367476512031686,43.431294815,G618,_,00970,1
G618__00960.1,12.361736196495947,43.432274750000005,G618,_,00960,1
G618__00950.1,12.352186695656538,43.429615534999996,G618,_,00950,1
G618__00920.1,12.404289076793734,43.433319365,G618,_,00920,1
G618__00910.1,12.377487637861217,43.43528328,G618,_,00910,1
G618__00900.1,12.461168456518703,43.4458126,G618,_,00900,1
G618__00890.1,12.448041628826152,43.4443092,G618,_,00890,1
G618__00880.1,12.433430833757063,43.43688829,G618,_,00880,1
G618__00860.1,12.418116709082103,43.446643845,G618,_,00860,1
G618__00850.1,12.41547851769242,43.44152537,G618,_,00850,1
G618__00840.1,12.399306987085382,43.446882134999996,G618,_,00840,1
G618__00830.1,12.394691986250077,43.442106525,G618,_,00830,1
G618__00820.1,12.390454973568604,43.44996834,G618,_,00820,1
G618__00810.1,12.37665339811154,43.446575945,G618,_,00810,1
G618__00800.1,12.364640955704136,43.44489556,G618,_,00800,1
G618__00790.1,12.360857137740933,43.445175425,G618,_,00790,1
G618__00780.1,12.464751575933349,43.450194555,G618,_,00780,1
G618__00770.1,12.450488011450638,43.45518156,G618,_,00770,1
G618__00760.1,12.438319675081548,43.457131884999995,G618,_,00760,1
G618__00750.1,12.418872493344841,43.448704205,G618,_,00750,1
G618__00740.1,12.414713383140423,43.453477129999996,G618,_,00740,1
G618__00730.1,12.398592764310937,43.458625049999995,G618,_,00730,1
G618__00720.1,12.376397023008444,43.456177014999994,G618,_,00720,1
G618__00710.1,12.368551382267388,43.453293365,G618,_,00710,1
G618__00700.1,12.495619666857916,43.46677314,G618,_,00700,1
G618__00690.1,12.481245451075516,43.460543474999994,G618,_,00690,1
G618__00680.1,12.470676128568456,43.463548195,G618,_,00680,1
G618__00670.1,12.473191054216926,43.46340062,G618,_,00670,1
G618__00660.1,12.464455924970034,43.464204655,G618,_,00660,1
G618__00650.1,12.452071564672043,43.46639782,G618,_,00650,1
G618__00640.1,12.418894778308285,43.46104332,G618,_,00640,1
G618__00630.1,12.411302862626822,43.465568095,G618,_,00630,1
G618__00620.1,12.406537777146713,43.465607375000005,G618,_,00620,1
G618__00610.1,12.379910071745023,43.464960815,G618,_,00610,1
G618__00600.1,12.49366801139099,43.479629875,G618,_,00600,1
G618__00590.1,12.481826737132764,43.473057510000004,G618,_,00590,1
G618__00580.1,12.484892808718634,43.480225884999996,G618,_,00580,1
G618__00570.1,12.465204462784552,43.480310355,G618,_,00570,1
G618__00560.1,12.459152468207323,43.47836039,G618,_,00560,1
G618__00550.1,12.436684305189626,43.472879425,G618,_,00550,1
G618__00540.1,12.427509790031161,43.475746645,G618,_,00540,1
G618__00530.1,12.423081942200604,43.474681000000004,G618,_,00530,1
G618__00510.1,12.403390209087323,43.478140624999995,G618,_,00510,1
G618__00500.1,12.391908169391414,43.470100325000004,G618,_,00500,1
G618__00490.1,12.390920077737935,43.47700374,G618,_,00490,1
G618__00480.1,12.375560138277194,43.470778875,G618,_,00480,1
G618__00470.1,12.376343255249395,43.47903841,G618,_,00470,1
G618__00460.1,12.365002766132106,43.482616235,G618,_,00460,1
G618__00450.1,12.362300165464,43.471328545,G618,_,00450,1
G618__00440.1,12.353025155204904,43.482870595,G618,_,00440,1
