nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G628__00010.1,10.221951737442811,43.984013250000004,G628,_,00010,1
G628__00530.1,10.192384017241121,43.99330603,G628,_,00530,1
G628__00500.1,10.208560267146881,44.000703689999995,G628,_,00500,1
G628__00490.1,10.198705252833491,44.009204885,G628,_,00490,1
G628__00480.1,10.19524952150404,43.99986442,G628,_,00480,1
G628__00470.1,10.181184131369275,44.00234395,G628,_,00470,1
G628__00460.1,10.186656798681948,44.013232175,G628,_,00460,1
G628__00420.1,10.201735884032054,43.922829910000004,G628,_,00420,1
G628__00410.1,10.219459963559913,43.92729568,G628,_,00410,1
G628__00390.1,10.201744956523683,43.925787965,G628,_,00390,1
G628__00380.1,10.197240275445795,43.927902945,G628,_,00380,1
G628__00370.1,10.20643775906641,43.93280417,G628,_,00370,1
G628__00360.1,10.204040785494326,43.930101315,G628,_,00360,1
G628__00350.1,10.194229216555701,43.93151379,G628,_,00350,1
G628__00310.1,10.21364425271047,43.940113804999996,G628,_,00310,1
G628__00290.1,10.192210875371014,43.93772802,G628,_,00290,1
G628__00280.1,10.186135372954983,43.94232377,G628,_,00280,1
G628__00270.1,10.18577549441546,43.944070855,G628,_,00270,1
G628__00240.1,10.220976457008554,43.946295725,G628,_,00240,1
G628__00220.1,10.196158916423677,43.955407945,G628,_,00220,1
G628__00210.1,10.241104501646685,43.949173605,G628,_,00210,1
G628__00200.1,10.248401929813468,43.958297205,G628,_,00200,1
G628__00190.1,10.23654357756504,43.95946434,G628,_,00190,1
G628__00180.1,10.228328647477744,43.95169349,G628,_,00180,1
G628__00170.1,10.23158577374256,43.959778330000006,G628,_,00170,1
G628__00160.1,10.227880519587268,43.961544364999995,G628,_,00160,1
G628__00150.1,10.220087459072968,43.962010840000005,G628,_,00150,1
G628__00140.1,10.208777940551233,43.9687153,G628,_,00140,1
G628__00110.1,10.269825219206595,43.960293,G628,_,00110,1
G628__00100.1,10.251123118235165,43.964500445,G628,_,00100,1
G628__00060.1,10.24927352142366,43.97380183,G628,_,00060,1
G628__00050.1,10.237838621036161,43.9790977,G628,_,00050,1
G628__00040.1,10.221020288118076,43.97771674,G628,_,00040,1
G628__00030.1,10.233204701230674,43.985118084999996,G628,_,00030,1
G628__00020.1,10.227076734692252,43.983869694999996,G628,_,00020,1
G628__00010.10,10.221884029383993,43.98371102,G628,_,00010,10
G628__00530.10,10.19142567286412,43.99216791,G628,_,00530,10
G628__00520.10,10.183425634787415,43.991758595,G628,_,00520,10
G628__00510.10,10.178169030998859,43.9930633,G628,_,00510,10
G628__00500.10,10.211780696270733,43.999588485,G628,_,00500,10
G628__00490.10,10.19782566803304,44.008227,G628,_,00490,10
G628__00470.10,10.181340265129558,44.001214785,G628,_,00470,10
G628__00460.10,10.187681529766849,44.011916895,G628,_,00460,10
G628__00450.10,10.210562386929796,43.91398984,G628,_,00450,10
G628__00440.10,10.211808487939173,43.91872104,G628,_,00440,10
G628__00420.10,10.204425626076155,43.922778235,G628,_,00420,10
G628__00410.10,10.218599738796662,43.925681215,G628,_,00410,10
G628__00400.10,10.209648353477618,43.932064055,G628,_,00400,10
G628__00390.10,10.202412991977926,43.925651035,G628,_,00390,10
G628__00380.10,10.198301147837022,43.92841772,G628,_,00380,10
G628__00370.10,10.205979689326195,43.932170705000004,G628,_,00370,10
G628__00340.10,10.191738613256517,43.936199065,G628,_,00340,10
G628__00330.10,10.238339192103007,43.939114970000006,G628,_,00330,10
G628__00320.10,10.226676547668282,43.93943237,G628,_,00320,10
G628__00290.10,10.193070574203379,43.93761476,G628,_,00290,10
G628__00270.10,10.183675104084609,43.943489695,G628,_,00270,10
G628__00260.10,10.193075461064886,43.946671815,G628,_,00260,10
G628__00250.10,10.24089789902911,43.94078393,G628,_,00250,10
G628__00220.10,10.194418225350706,43.95214838,G628,_,00220,10
G628__00210.10,10.24231436793982,43.948680865,G628,_,00210,10
G628__00200.10,10.248951510211473,43.95725909,G628,_,00200,10
G628__00190.10,10.247018834507125,43.96210884,G628,_,00190,10
G628__00150.10,10.220948315454935,43.961457859999996,G628,_,00150,10
G628__00120.10,10.266831138118487,43.957132995,G628,_,00120,10
G628__00110.10,10.270684009105263,43.96020849,G628,_,00110,10
G628__00100.10,10.252701420103458,43.96421671,G628,_,00100,10
G628__00090.10,10.247227260869668,43.965606835,G628,_,00090,10
G628__00060.10,10.253699169107252,43.97428995,G628,_,00060,10
G628__00050.10,10.237656068013104,43.97879457,G628,_,00050,10
G628__00030.10,10.237555427939864,43.9860673,G628,_,00030,10
G628__00020.10,10.228026585920098,43.982842895000005,G628,_,00020,10
G628__00010.100,10.222991808532807,43.981946414999996,G628,_,00010,100
G628__00530.100,10.20120397663462,43.99050532,G628,_,00530,100
