nome_particella,lon,lat,BELFIORE,SEZIONE,FOGLIO,PARTICELLA
G643__00010.1,11.370116001444657,44.77833993,G643,_,00010,1
G643__00230.1,11.313751270752263,44.708570705,G643,_,00230,1
G643__00210.1,11.293090143546017,44.712922665,G643,_,00210,1
G643__00180.1,11.304792810253632,44.715202515,G643,_,00180,1
G643__00170.1,11.298291041582535,44.721748094999995,G643,_,00170,1
G643__00150.1,11.316096439027358,44.72225741,G643,_,00150,1
G643__00140.1,11.307464264919373,44.7287155,G643,_,00140,1
G643__00130.1,11.304530619277513,44.729394735,G643,_,00130,1
G643__00120.1,11.32332079377154,44.73097833,G643,_,00120,1
G643__00110.1,11.31473639576309,44.73322261,G643,_,00110,1
G643__00100.1,11.31381484829041,44.738658015,G643,_,00100,1
G643__00090.1,11.316315790282303,44.74062567,G643,_,00090,1
G643__00070.1,11.336235885607996,44.751544725,G643,_,00070,1
G643__00060.1,11.344566837289047,44.757716435,G643,_,00060,1
G643__00050.1,11.347699993565943,44.761421665,G643,_,00050,1
G643__00040.1,11.355634310205552,44.767721234999996,G643,_,00040,1
G643__00030.1,11.361237907736715,44.774395905000006,G643,_,00030,1
G643__00010.10,11.379419597661752,44.777310565,G643,_,00010,10
G643__00230.10,11.318052443959784,44.70661194,G643,_,00230,10
G643__00200.10,11.291774382564299,44.713588384999994,G643,_,00200,10
G643__00170.10,11.29873358041296,44.71858348,G643,_,00170,10
G643__00160.10,11.295535521541426,44.718248,G643,_,00160,10
G643__00150.10,11.320920782251854,44.72028988,G643,_,00150,10
G643__00130.10,11.306114657205919,44.727011669999996,G643,_,00130,10
G643__00100.10,11.3116742817344,44.73413634,G643,_,00100,10
G643__00080.10,11.326849790330233,44.74415143,G643,_,00080,10
G643__00070.10,11.3364602987875,44.750464545,G643,_,00070,10
G643__00060.10,11.346343901644545,44.757024785,G643,_,00060,10
G643__00050.10,11.351745745702491,44.7624973,G643,_,00050,10
G643__00040.10,11.363919790679422,44.76406799,G643,_,00040,10
G643__00030.10,11.368395333702288,44.772207785,G643,_,00030,10
G643__00020.10,11.37296898799756,44.777909225,G643,_,00020,10
G643__00070.100,11.336428741474961,44.749114385,G643,_,00070,100
G643__00230.100,11.313214906249648,44.70836185,G643,_,00230,100
G643__00220.100,11.30305603529354,44.704882760000004,G643,_,00220,100
G643__00210.100,11.301123241560557,44.71366007,G643,_,00210,100
G643__00130.100,11.301539625648216,44.724448625,G643,_,00130,100
G643__00120.100,11.319781229600919,44.72319246,G643,_,00120,100
G643__00110.100,11.319493180655513,44.72767459000001,G643,_,00110,100
G643__00090.101,11.330526290485924,44.734768825,G643,_,00090,101
G643__00230.101,11.313980847313125,44.708241465,G643,_,00230,101
G643__00220.101,11.303218532026147,44.70391559,G643,_,00220,101
G643__00210.101,11.303199398708138,44.71121434,G643,_,00210,101
G643__00150.101,11.319373960127617,44.71503682,G643,_,00150,101
G643__00130.101,11.30204930857997,44.72413844,G643,_,00130,101
G643__00110.101,11.319929021743516,44.72768431,G643,_,00110,101
G643__00150.1011,11.311898138646136,44.715862494999996,G643,_,00150,1011
G643__00150.1013,11.311958204974466,44.715983605,G643,_,00150,1013
G643__00150.1014,11.313987957219158,44.719372050000004,G643,_,00150,1014
G643__00150.1015,11.312388191450683,44.716704345,G643,_,00150,1015
G643__00150.1016,11.311791864111068,44.716078315,G643,_,00150,1016
G643__00150.1017,11.328251050862526,44.72045227,G643,_,00150,1017
G643__00150.1018,11.32910447372291,44.72057228,G643,_,00150,1018
G643__00150.1019,11.32965355411571,44.720856215,G643,_,00150,1019
G643__00090.102,11.33089294362884,44.734728165,G643,_,00090,102
G643__00180.102,11.305862438730092,44.71387351,G643,_,00180,102
G643__00170.102,11.299954622086029,44.71712585,G643,_,00170,102
G643__00130.102,11.300283334308002,44.72350917,G643,_,00130,102
G643__00120.102,11.320655028626861,44.722981520000005,G643,_,00120,102
G643__00110.102,11.319073823617199,44.727822935000006,G643,_,00110,102
G643__00150.1020,11.329483226260528,44.7206622,G643,_,00150,1020
G643__00150.1021,11.330237386159846,44.720634605,G643,_,00150,1021
G643__00150.1022,11.329676978324812,44.72046324,G643,_,00150,1022
G643__00150.1023,11.33003177043167,44.72035172,G643,_,00150,1023
G643__00150.1024,11.328969493864347,44.719901050000004,G643,_,00150,1024
G643__00150.1025,11.329256944117182,44.720315119999995,G643,_,00150,1025
G643__00150.1026,11.314728469360423,44.72123258,G643,_,00150,1026
G643__00150.1027,11.314872073979345,44.721412439999995,G643,_,00150,1027
G643__00150.1028,11.31511614475754,44.721545235,G643,_,00150,1028
G643__00150.1029,11.315563866546167,44.721276415,G643,_,00150,1029
G643__00090.103,11.331210854471639,44.734000769999994,G643,_,00090,103
G643__00230.103,11.314996249878746,44.707848975000005,G643,_,00230,103
G643__00210.103,11.300906115099089,44.714027725,G643,_,00210,103
G643__00180.103,11.306327479850031,44.71375225,G643,_,00180,103
G643__00170.103,11.308519124230966,44.71610029,G643,_,00170,103
G643__00150.103,11.319168484616373,44.714771694999996,G643,_,00150,103
G643__00130.103,11.300633655531897,44.723172215,G643,_,00130,103
G643__00120.103,11.324527950542905,44.722938825,G643,_,00120,103
